ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	ledger1_disposition	replacement_owner
"MVDM-HOST-ZERO1-000011"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|422"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"422"	"ln"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000012"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|460"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"460"	"r"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000013"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|498"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"498"	"ti"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000014"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|535"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"535"	"u"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000015"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|8"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"GetHeapBase"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000016"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|34"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"34"	"GetFileNameFromOwner"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000017"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000018"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"115"	"CheckGlobalHeap"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000019"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"159"	"FindHeapEntry"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000020"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|269"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"269"	"DumpGHeap"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000021"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"26"	"DumpMemory"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000022"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|113"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"113"	"DumpRegs"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000023"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|184"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"184"	"ListModules"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000024"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|221"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"221"	"DumpDescriptor"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386 | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000025"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"confirmed original-boundary call"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"272"	"DumpTaskInfo"	"externally-linkable"	"confirmed-old-boundary:bde/bdemisc.c:351:MVDM-FIRST-REBASELINED-000006 | confirmed-old-boundary:bde/bdemisc.c:356:MVDM-FIRST-REBASELINED-000007"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000026"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|307"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"307"	"TaskInfo"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000027"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"6"	"dump_params"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000028"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"35"	"look_for_near"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000029"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"208"	"look_for_far"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000030"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|429"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"429"	"scan_for_frameless"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000031"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|476"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"476"	"stack_trace"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000032"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|566"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"566"	"WalkStack"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000033"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|611"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"611"	"WalkStackVerbose"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000034"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"6"	"read_name"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000035"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|29"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"29"	"FindExport"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000036"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|235"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"235"	"read_symbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000037"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|255"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"255"	"FindSymbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef NEED_INDICES | #endif | #ifdef NEED_ABSOLUTES | #ifdef NEED_SYM4 | #endif | #ifdef NEED_INDICES | #endif | #endif | #if 0 | #endif | #ifdef NEED_INDICES | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000038"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|529"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"529"	"FindAddress"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef NEED_INDICES | #endif | #ifdef NEED_INDICES | #endif | #if 0 | #endif | #if 0 | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000039"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|781"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"781"	"ListNear"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000040"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|833"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"833"	"EvaluateSymbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000041"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"6"	"ReadProcessMem"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000042"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|23"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"23"	"WriteProcessMem"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000043"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|42"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"42"	"GetRegValue"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000044"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|71"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"71"	"GetEspValue"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000045"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|103"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"103"	"GetContext"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386    // | #else           // | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000046"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|226"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"226"	"GetIntelBase"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386 | #else | #endif"	"structurally-valid-conditional-context-recorded"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000047"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|254"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"254"	"read_dword"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000048"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|277"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"277"	"read_word"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
"MVDM-HOST-ZERO1-000049"	"bde/"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|300"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"300"	"read_byte"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"retain-non-softpc"	""
