record_id	family	current_root	current_path	source_sha256	source_kind	original_caller	original_declaration	observable_contract	current_disposition	final_disposition	final_component	final_path	failure_or_boundary	x86_selection	x64_selection
T284-F019	softpc	src/adapter-softpc	src/adapter-softpc/mvdm_host_identity.c	860240f82a2400007e290dd1ede3b24c426ee3930d124d599160fea1ed136f14	implementation	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/mvdm_host_identity.c	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F020	softpc	src/adapter-softpc	src/adapter-softpc/mvdm_vdd_sft_shadow.c	22625c367d452c8259ade5371c2e5ec2bccac46f8b58c4e453e46df9049d3878	implementation	dos/dem/*, dos/command/*, xms.486/*, vdd/*	inc/softpc.h; softpc.new/base/inc/sas.h; softpc.new/host/inc/*	historical SoftPC/CCPU/SAS call shape over bounded session mechanics	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/softpc/mvdm_vdd_sft_shadow.c	typed adapter-bochs/session result; never a raw host pointer	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F021	monitor	src/adapter-vdm-monitor	src\adapter-vdm-monitor\README.md	01c92bfe76e7f9020e801ca5903cc238a8adc0e72a8272d996905c4484a60e24	root-documentation	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	inc/{vdmtib,v86def}.h; vdmapi.h	historical VDM monitor record and call shape	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/monitor/README.md	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation	not applicable	not applicable
T284-F022	monitor	src/adapter-vdm-monitor	src/adapter-vdm-monitor/include/vdm.h	b49ffe69881b113b13ee3dc1234556ce16ce80a6ffa39966f3dd45f997bea1b3	public-header	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	inc/{vdmtib,v86def}.h; vdmapi.h	historical VDM monitor record and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/monitor/include/vdm.h	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F023	monitor	src/adapter-vdm-monitor	src/adapter-vdm-monitor/include/vdm_command.h	ee7073479dc8aa833ca00b97428b8091a3ce3660d820115ef4d5c1ce6e3f9593	public-header	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	inc/{vdmtib,v86def}.h; vdmapi.h	historical VDM monitor record and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/monitor/include/vdm_command.h	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F024	monitor	src/adapter-vdm-monitor	src/adapter-vdm-monitor/source/vdm_command.c	9671c37dfaae0b19c00ef1d69cdacce168a20474ccf518765be17607afc3f3ba	implementation	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	inc/{vdmtib,v86def}.h; vdmapi.h	historical VDM monitor record and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/monitor/source/vdm_command.c	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F025	monitor	src/adapter-vdm-monitor	src/adapter-vdm-monitor/source/vdm_control.c	863e802ea5aa79664acd8bd2c1df183991f71a320d3a78cb22b870f6e52edc2b	implementation	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	inc/{vdmtib,v86def}.h; vdmapi.h	historical VDM monitor record and call shape	audited-migration-input	move-with-family	adapter-mvdm-host-out	adapter-mvdm-host-out/monitor/source/vdm_control.c	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation	carry forward; reselect in S3-S8	carry forward; reselect in S3-S8
T284-F026	redir	src/adapter-redir	src\adapter-redir\README.md	dda98ed318d11907c489a01f95253367741219c2c3ff75137cd3a3510657ad7d	root-documentation	base/mvdm/vdmredir/*	inc/vdmredir.h and VDMREDIR product declarations	historical Redirector host-product boundary	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/redir/README.md	deterministic unavailable until original Redirector package is admitted	not applicable	not applicable
T284-F027	redir	src/adapter-redir	(none)	(none)	source-proven-family-gap	base/mvdm/vdmredir/*	inc/vdmredir.h and VDMREDIR product declarations	historical Redirector host-product boundary	no-current-implementation	create-named-unavailable-family	adapter-mvdm-host-out	adapter-mvdm-host-out/redir	deterministic unavailable until original Redirector package is admitted	not yet selected	not yet selected
T284-F028	wow	src/adapter-wow	src\adapter-wow\README.md	2b6f2bf99b8ce37a288bd790b7df457852b5df9f55ebf10e07e0be1254e3e1f7	root-documentation	wow32/*, wowexec/*	WOW32/WOWEXEC host-product declarations	historical WOW host-product boundary	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/wow/README.md	deterministic unavailable until original WOW package is admitted	not applicable	not applicable
T284-F029	wow	src/adapter-wow	(none)	(none)	source-proven-family-gap	wow32/*, wowexec/*	WOW32/WOWEXEC host-product declarations	historical WOW host-product boundary	no-current-implementation	create-named-unavailable-family	adapter-mvdm-host-out	adapter-mvdm-host-out/wow	deterministic unavailable until original WOW package is admitted	not yet selected	not yet selected
T284-F030	vdd	src/adapter-vdd	src\adapter-vdd\README.md	c119f03de326c13bd453fba1d2202df2412bf97175482b04a97629b22d763bad	root-documentation	vdd/*, ieuvddex/*, fax/*	VDD registration and callback declarations	historical VDD host-product boundary	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/vdd/README.md	deterministic unavailable until original VDD package is admitted	not applicable	not applicable
T284-F031	vdd	src/adapter-vdd	(none)	(none)	source-proven-family-gap	vdd/*, ieuvddex/*, fax/*	VDD registration and callback declarations	historical VDD host-product boundary	no-current-implementation	create-named-unavailable-family	adapter-mvdm-host-out	adapter-mvdm-host-out/vdd	deterministic unavailable until original VDD package is admitted	not yet selected	not yet selected
T284-F032	debugger	src/adapter-debugger	src\adapter-debugger\README.md	68f3204dd6a2b0f2e7c50b1daecb840fb487f8821455fe27234823059f144f49	root-documentation	bde/*, dbg/*, vdmdbg/*, vdmexts/*	BDE/DBG/VDMDBG/VDMEXTS declarations	historical debugger-product boundary	root-boundary-documentation	replace-with-final-family-readme	adapter-mvdm-host-out	adapter-mvdm-host-out/debugger/README.md	deterministic unavailable until original debugger package is admitted	not applicable	not applicable
T284-F033	debugger	src/adapter-debugger	(none)	(none)	source-proven-family-gap	bde/*, dbg/*, vdmdbg/*, vdmexts/*	BDE/DBG/VDMDBG/VDMEXTS declarations	historical debugger-product boundary	no-current-implementation	create-named-unavailable-family	adapter-mvdm-host-out	adapter-mvdm-host-out/debugger	deterministic unavailable until original debugger package is admitted	not yet selected	not yet selected
