"interface_id"	"parent_interface_id"	"row_kind"	"caller"	"declaration_evidence"	"required_interface"	"abi_layout"	"owner"	"availability"	"recovery_disposition"	"failure_contract"	"successor"	"focused_evidence"
"MVDM-DECL-00027"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:236"	"pEnv32"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00027"
"MVDM-DECL-00028"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:237"	"dwExitCode32"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00028"
"MVDM-DECL-00029"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:238"	"pSCSInfo"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00029"
"MVDM-DECL-00030"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:239"	"hFileStdOut"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00030"
"MVDM-DECL-00031"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:240"	"hFileStdOutDup"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00031"
"MVDM-DECL-00032"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:241"	"hFileStdErr"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00032"
"MVDM-DECL-00033"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:242"	"hFileStdErrDup"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00033"
"MVDM-DECL-00034"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:243"	"VDMInfo"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00034"
"MVDM-DECL-00035"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:244"	"pszFileStdOut"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00035"
"MVDM-DECL-00036"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:245"	"pszFileStdErr"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00036"
"MVDM-DECL-00037"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:246"	"cmdHomeDirectory"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00037"
"MVDM-DECL-00038"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:247"	"SCS_hStdIn"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00038"
"MVDM-DECL-00039"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:248"	"SCS_hStdOut"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00039"
"MVDM-DECL-00040"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:249"	"SCS_hStdErr"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00040"
"MVDM-DECL-00041"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:250"	"chDefaultDrive"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00041"
"MVDM-DECL-00042"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:251"	"DontCheckDosBinaryType"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00042"
"MVDM-DECL-00043"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:252"	"Exe32ActiveCount"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00043"
"MVDM-DECL-00044"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:253"	"fSoftpcRedirection"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00044"
"MVDM-DECL-00045"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:254"	"fSoftpcRedirectionOnShellOut"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00045"
"MVDM-DECL-00046"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:255"	"nt_std_handle_notification"	"function-or-callback-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00046"
"MVDM-DECL-00047"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:256"	"cmdPushExitInConsoleBuffer"	"function-or-callback-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00047"
"MVDM-DECL-00048"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:260"	"CntrlHandlerState"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00048"
"MVDM-DECL-00049"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:269"	"iWOWTaskId"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00049"
"MVDM-DECL-00050"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:270"	"comspec"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00050"
"MVDM-DECL-00051"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:271"	"ShortCutInfo"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00051"
"MVDM-DECL-00052"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:273"	"nt_pif_callout"	"function-or-callback-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00052"
"MVDM-DECL-00053"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:274"	"lpszzInitEnvironment"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00053"
"MVDM-DECL-00054"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:275"	"cchInitEnvironment"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00054"
"MVDM-DECL-00055"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:276"	"lpszzCurrentDirectories"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00055"
"MVDM-DECL-00056"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:277"	"cchCurrentDirectories"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00056"
"MVDM-DECL-00057"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:278"	"pIsDosBinary"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00057"
"MVDM-DECL-00058"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:279"	"pFDAccess"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00058"
"MVDM-DECL-00059"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:280"	"lpszzcmdEnv16"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00059"
"MVDM-DECL-00060"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:281"	"DosEnvCreated"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00060"
"MVDM-DECL-00061"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:282"	"IsFirstVDM"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00061"
"MVDM-DECL-00062"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:283"	"cmdVDMEnvBlk"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00062"
"MVDM-DECL-00063"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:284"	"lpszzVDMEnv32"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00063"
"MVDM-DECL-00064"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:285"	"cchVDMEnv32"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00064"
"MVDM-DECL-00065"	""	"textual-declaration-candidate"	""	"dos/command/cmd.h:286"	"VdmExitCode"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00065"
"MVDM-DECL-00066"	""	"textual-declaration-candidate"	""	"dos/command/cmdpif.h:45"	"pfdata"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00066"
"MVDM-DECL-00067"	""	"textual-declaration-candidate"	""	"dos/dem/dem.h:122"	"pulDTALocation"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00067"
"MVDM-DECL-00068"	""	"textual-declaration-candidate"	""	"dos/dem/dem.h:123"	"VDMForWOW"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00068"
"MVDM-DECL-00069"	""	"textual-declaration-candidate"	""	"dos/dem/dem.h:124"	"pHardErrPacket"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00069"
"MVDM-DECL-00070"	""	"textual-declaration-candidate"	""	"dos/dem/dem.h:125"	"CurrentISVC"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00070"
"MVDM-DECL-00071"	""	"textual-declaration-candidate"	""	"dos/dem/dem.h:126"	"aSVCNames"	"global-or-type-textual"	"unassigned-pending-caller-resolution"	"unreviewed"	"unreviewed"	"unreviewed; declaration alone does not prove a required runtime interface"	"T276 S4 caller-to-interface resolution"	"MVDM-DECL-00071"
