"file_id"	"source_path"	"package_root"	"file_kind"	"final_disposition"	"final_owner_or_link_boundary"	"final_change_class"	"named_adapter"	"mapping_implication"	"final_evidence"	"final_audit_state"
"MVDM-FILE-0032"	"dos/command/makefile"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0033"	"dos/command/sources"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0034"	"dos/dem/dem.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0035"	"dos/dem/dem.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0036"	"dos/dem/demdasd.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0037"	"dos/dem/demdasd.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0038"	"dos/dem/demdata.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0039"	"dos/dem/demdir.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0041"	"dos/dem/demerror.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0043"	"dos/dem/demfile.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0044"	"dos/dem/demgset.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0046"	"dos/dem/demioctl.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0047"	"dos/dem/demlabel.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0048"	"dos/dem/demlock.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0049"	"dos/dem/demmisc.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0050"	"dos/dem/demmsg.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0051"	"dos/dem/demmsg.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0052"	"dos/dem/demsrch.c"	"dos"	"source"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0053"	"dos/dem/dosdef.h"	"dos"	"declaration"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0054"	"dos/dem/makefile"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0055"	"dos/dem/sources"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0056"	"dos/dirs"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0057"	"dos/test/test.bat"	"dos"	"resource-or-other"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"unresolved"	"T276 source/build/package audit required"	"unreviewed"
"MVDM-FILE-0058"	"dpmi/486/dosx.exe"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0059"	"dpmi/486/dosx.map"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0060"	"dpmi/486/dosx.sym"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0061"	"dpmi/486/dxboot.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0062"	"dpmi/486/dxfunc.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0063"	"dpmi/486/dxint31.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0064"	"dpmi/486/dxintr.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0065"	"dpmi/486/dxmain.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0066"	"dpmi/486/dxstrt.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0067"	"dpmi/486/dxutil.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0068"	"dpmi/cmacros.inc"	"dpmi"	"declaration"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0069"	"dpmi/cmacros.mas"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0070"	"dpmi/dosx.def"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0071"	"dpmi/dosx.lnk"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0072"	"dpmi/dosxi.lnk"	"dpmi"	"resource-or-other"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0073"	"dpmi/dxboot.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0074"	"dpmi/dxbug.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0075"	"dpmi/dxdisk.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0076"	"dpmi/dxdma.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0077"	"dpmi/dxemm.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0078"	"dpmi/dxemm2.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0079"	"dpmi/dxend.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0080"	"dpmi/dxendpm.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0081"	"dpmi/dxfind.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0082"	"dpmi/dxfunc.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0083"	"dpmi/dxhpbios.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0084"	"dpmi/dxini.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0085"	"dpmi/dxint31.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0086"	"dpmi/dxintr.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
"MVDM-FILE-0087"	"dpmi/dxmain.asm"	"dpmi"	"source"	"guest-only"	"opennt-guest-dos DOSX/DPMI guest product; loaded immutable guest bytes, never a host link input"	"none; byte-exact guest source, build input or artifact retained"	"adapter-bop; adapter-softpc; adapter-vdm-monitor; adapter-bochs at the historical guest boundary only"	"guest addresses remain guest numeric values; any host-facing boundary uses fixed-width adapter frames and the session guest-memory mapping-manager lease"	"T276 S19: dpmi/makefile builds 16-bit 486/dosx.exe as one DPMI guest provider product, not a host static library"	"final-disposition-audited; not implemented"
