"edge_id"	"call_id"	"caller_path"	"caller_line"	"symbol"	"original_declaration_path"	"candidate_source_paths"	"candidate_package_roots"	"definition_form_candidates"	"candidate_state"	"next_stage"
"MVDM-BOUNDARY-00053"	"MVDM-CALL-002183"	"dos/command/cmdredir.c"	"350"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00054"	"MVDM-CALL-002215"	"dos/command/cmdredir.c"	"484"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00058"	"MVDM-CALL-002256"	"dos/dem/dem.c"	"42"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00065"	"MVDM-CALL-002383"	"dos/dem/demdasd.c"	"652"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00066"	"MVDM-CALL-002403"	"dos/dem/demdasd.c"	"704"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00070"	"MVDM-CALL-003409"	"dos/dem/demmisc.c"	"172"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00077"	"MVDM-CALL-003868"	"dos/dem/demsrch.c"	"2343"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00078"	"MVDM-CALL-003872"	"dos/dem/demsrch.c"	"2355"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00101"	"MVDM-CALL-004320"	"dpmi32/dpmiselr.c"	"226"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00102"	"MVDM-CALL-004326"	"dpmi32/i386/dpmi386.c"	"87"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00107"	"MVDM-CALL-005137"	"dpmi32/modesw.c"	"118"	"setCPL"	"inc/softpc.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00108"	"MVDM-CALL-005234"	"dpmi32/xmem.c"	"97"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00109"	"MVDM-CALL-006517"	"sim32/sim32.c"	"150"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00170"	"MVDM-CALL-007794"	"softpc.new/base/bios/reset.c"	"991"	"init_gen_drivers"	"softpc.new/base/inc/gendrvr.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00171"	"MVDM-CALL-007808"	"softpc.new/base/bios/reset.c"	"1028"	"hunter_init"	"softpc.new/base/inc/hunter.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00235"	"MVDM-CALL-010330"	"softpc.new/base/ccpu386/c_page.c"	"563"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00236"	"MVDM-CALL-010335"	"softpc.new/base/ccpu386/c_page.c"	"599"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00237"	"MVDM-CALL-010340"	"softpc.new/base/ccpu386/c_page.c"	"629"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00238"	"MVDM-CALL-010345"	"softpc.new/base/ccpu386/c_page.c"	"659"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00239"	"MVDM-CALL-010366"	"softpc.new/base/ccpu386/c_page.c"	"781"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00240"	"MVDM-CALL-010371"	"softpc.new/base/ccpu386/c_page.c"	"810"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00241"	"MVDM-CALL-010376"	"softpc.new/base/ccpu386/c_page.c"	"840"	"check_D"	"softpc.new/base/inc/yoda.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00266"	"MVDM-CALL-014031"	"softpc.new/base/ccpu386/ntthread.c"	"70"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00270"	"MVDM-CALL-014056"	"softpc.new/base/ccpu386/ntthread.c"	"153"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00277"	"MVDM-CALL-015485"	"softpc.new/base/ccpu386/zfrsrvd.c"	"4848"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00278"	"MVDM-CALL-015488"	"softpc.new/base/ccpu386/zfrsrvd.c"	"4858"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00279"	"MVDM-CALL-015545"	"softpc.new/base/comms/com.c"	"447"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00280"	"MVDM-CALL-015548"	"softpc.new/base/comms/com.c"	"470"	"ica_clear_int"	"softpc.new/base/inc/ica.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00301"	"MVDM-CALL-015891"	"softpc.new/base/comms/com.c"	"2623"	"host_com_disable_open"	"softpc.new/base/inc/host_com.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00302"	"MVDM-CALL-015902"	"softpc.new/base/comms/com.c"	"2660"	"host_com_disable_open"	"softpc.new/base/inc/host_com.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00310"	"MVDM-CALL-016178"	"softpc.new/base/comms/printer.c"	"663"	"ica_hw_interrupt"	"softpc.new/base/inc/ica.h"	""	""	""	"no-non-mvdm-source-candidate; MVDM, public-api, macro, assembly, data-or-unresolved"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00346"	"MVDM-CALL-017054"	"softpc.new/base/cvidc/sevid000.c"	"715"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00347"	"MVDM-CALL-017055"	"softpc.new/base/cvidc/sevid000.c"	"716"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00348"	"MVDM-CALL-017061"	"softpc.new/base/cvidc/sevid000.c"	"772"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00349"	"MVDM-CALL-017062"	"softpc.new/base/cvidc/sevid000.c"	"773"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00350"	"MVDM-CALL-017074"	"softpc.new/base/cvidc/sevid000.c"	"859"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00351"	"MVDM-CALL-017075"	"softpc.new/base/cvidc/sevid000.c"	"860"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00352"	"MVDM-CALL-017083"	"softpc.new/base/cvidc/sevid000.c"	"915"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
"MVDM-BOUNDARY-00353"	"MVDM-CALL-017084"	"softpc.new/base/cvidc/sevid000.c"	"916"	"malloc"	"softpc.new/base/inc/standard.h"	"base/win32/winnls/nlstrans/table.c;net/sockets/sockreg/sockreg.c;net/sockets/winsock2.nt5/dll/ws2_rp/ws2_hlpr/dll.cpp;net/sockets/winsock2.nt5/util/ws2inst/ws2inst.c;windows/core/advapi/tlogon.c;windows/port1632/xmpl/xmpl.c"	"base/win32/winnls;net/sockets/sockreg;net/sockets/winsock2.nt5;windows/core/advapi;windows/port1632/xmpl"	""	"non-mvdm-upstream-source-candidates-found"	"confirm exact declaration/definition and package closure only when non-MVDM candidate exists"
