candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	caller_source_root	callee_spelling	original_mvdm_definition_candidate_count	root_matching_candidate_count	linkage_matching_candidate_count	allowed_package_roots	selectable_definition_count	selectable_definition_identities	next_disposition
"MVDM-FIRST-REBASELINED-000435"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"425"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_media_check"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000436"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"428"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_close"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000437"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"429"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_read"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000440"	"demFdiskInit"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"651"	"O:\repos.external\OpenNT\base\mvdm"	"nt_fdisk_init"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000473"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"189"	"O:\repos.external\OpenNT\base\mvdm"	"GetMediaId"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000475"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"236"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_close"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000481"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"318"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_read"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000485"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"346"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_write"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000486"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"351"	"O:\repos.external\OpenNT\base\mvdm"	"nt_floppy_close"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000488"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"371"	"O:\repos.external\OpenNT\base\mvdm"	"demGetDiskFreeSpace"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|825"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000525"	"demDiskReset"	"dos/dem/demmisc.c"	"19676fa5995555ec0b16c2923953b4e6236467dc42bf36cc7e746f45d0fcf912"	"611"	"O:\repos.external\OpenNT\base\mvdm"	"HostFloppyReset"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/public/sdk/inc;public/sdk"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000526"	"demDiskReset"	"dos/dem/demmisc.c"	"19676fa5995555ec0b16c2923953b4e6236467dc42bf36cc7e746f45d0fcf912"	"612"	"O:\repos.external\OpenNT\base\mvdm"	"HostFdiskReset"	"2"	"1"	"1"	"base/mvdm/dos;base/mvdm/inc;nt/private/mvdm/inc;nt/public/sdk/inc;public/sdk"	"0"	""	"original-MVDM body exists but fails root/linkage/package gate; preserve first-degree record"
"MVDM-FIRST-REBASELINED-000530"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"290"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSwitchToDosxStack"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000531"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"334"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSwitchFromDosxStack"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|57"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000555"	"NoTranslation"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"241"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000556"	"DisplayString"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"300"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000557"	"BufferedKeyboardInput"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"373"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000563"	"FindFileFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"521"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000564"	"MapFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"590"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000565"	"RenameFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"654"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000566"	"GetDriveData"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"692"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000567"	"CreatePSP"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"738"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000568"	"ParseFilename"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"809"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000569"	"GetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"848"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000570"	"SetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"894"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000571"	"GetDevParamBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1055"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000572"	"ReturnESBX"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1093"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000573"	"GetSetCountry"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1149"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000574"	"MapASCIIZDSDX"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1193"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000576"	"ReadWriteFile"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1292"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000578"	"GetCurDir"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1430"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000580"	"AllocateMemoryBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1469"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
"MVDM-FIRST-REBASELINED-000582"	"FreeMemoryBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1513"	"O:\repos.external\OpenNT\base\mvdm"	"DpmiSimulateIretCF"	"2"	"1"	"1"	"base/mvdm/dpmi32;base/mvdm/inc;nt/private/mvdm/inc"	"1"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"one original-MVDM body meets root/linkage/package gate; signature and conditional-form proof remains"
