signature_gate_id	one_ledger1_identity	caller_physical_identity	callee_spelling	selected_definition_identity	selected_definition_path	source_class	planning_disposition	proposed_owner	next_action
"MVDM-HOST-ONE1-SIGNATURE-000015"	"MVDM-HOST-ONE1-000634"	"MVDM-HOST-ONE1-RESOLUTION-000538"	"GetFullPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|494|GetFullPathNameOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000016"	"MVDM-HOST-ONE1-000635"	"MVDM-HOST-ONE1-RESOLUTION-000539"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000017"	"MVDM-HOST-ONE1-000636"	"MVDM-HOST-ONE1-RESOLUTION-000540"	"GetShortPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|844|GetShortPathNameOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000018"	"MVDM-HOST-ONE1-000637"	"MVDM-HOST-ONE1-RESOLUTION-000541"	"SetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|661|SetEnvironmentVariableOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000019"	"MVDM-HOST-ONE1-000638"	"MVDM-HOST-ONE1-RESOLUTION-000542"	"SetCurrentDirectoryOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|635|SetCurrentDirectoryOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000020"	"MVDM-HOST-ONE1-000642"	"MVDM-HOST-ONE1-RESOLUTION-000546"	"SearchPathOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|117|SearchPathOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000021"	"MVDM-HOST-ONE1-000643"	"MVDM-HOST-ONE1-RESOLUTION-000547"	"SearchPathOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|117|SearchPathOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000022"	"MVDM-HOST-ONE1-000644"	"MVDM-HOST-ONE1-RESOLUTION-000548"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000023"	"MVDM-HOST-ONE1-000645"	"MVDM-HOST-ONE1-RESOLUTION-000549"	"GetShortPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|844|GetShortPathNameOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000024"	"MVDM-HOST-ONE1-000703"	"MVDM-HOST-ONE1-RESOLUTION-000607"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000025"	"MVDM-HOST-ONE1-000705"	"MVDM-HOST-ONE1-RESOLUTION-000609"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000026"	"MVDM-HOST-ONE1-000707"	"MVDM-HOST-ONE1-RESOLUTION-000611"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000027"	"MVDM-HOST-ONE1-000711"	"MVDM-HOST-ONE1-RESOLUTION-000615"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000028"	"MVDM-HOST-ONE1-000712"	"MVDM-HOST-ONE1-RESOLUTION-000616"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000029"	"MVDM-HOST-ONE1-000716"	"MVDM-HOST-ONE1-RESOLUTION-000620"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000030"	"MVDM-HOST-ONE1-000718"	"MVDM-HOST-ONE1-RESOLUTION-000622"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000031"	"MVDM-HOST-ONE1-000720"	"MVDM-HOST-ONE1-RESOLUTION-000624"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000032"	"MVDM-HOST-ONE1-000724"	"MVDM-HOST-ONE1-RESOLUTION-000628"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000033"	"MVDM-HOST-ONE1-000725"	"MVDM-HOST-ONE1-RESOLUTION-000629"	"nt_floppy_media_check"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956|nt_floppy_media_check"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000034"	"MVDM-HOST-ONE1-000731"	"MVDM-HOST-ONE1-RESOLUTION-000635"	"nt_fdisk_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|393|nt_fdisk_read"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000035"	"MVDM-HOST-ONE1-000732"	"MVDM-HOST-ONE1-RESOLUTION-000636"	"nt_floppy_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711|nt_floppy_read"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000036"	"MVDM-HOST-ONE1-000733"	"MVDM-HOST-ONE1-RESOLUTION-000637"	"nt_floppy_media_check"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956|nt_floppy_media_check"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000037"	"MVDM-HOST-ONE1-000739"	"MVDM-HOST-ONE1-RESOLUTION-000643"	"nt_fdisk_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|413|nt_fdisk_write"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000038"	"MVDM-HOST-ONE1-000740"	"MVDM-HOST-ONE1-RESOLUTION-000644"	"nt_floppy_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726|nt_floppy_write"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000039"	"MVDM-HOST-ONE1-000741"	"MVDM-HOST-ONE1-RESOLUTION-000645"	"nt_floppy_get_media_type"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|903|nt_floppy_get_media_type"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000040"	"MVDM-HOST-ONE1-000742"	"MVDM-HOST-ONE1-RESOLUTION-000646"	"nt_floppy_format"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|742|nt_floppy_format"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000041"	"MVDM-HOST-ONE1-000743"	"MVDM-HOST-ONE1-RESOLUTION-000647"	"nt_floppy_verify"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|771|nt_floppy_verify"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000042"	"MVDM-HOST-ONE1-000745"	"MVDM-HOST-ONE1-RESOLUTION-000649"	"nt_fdisk_verify"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|437|nt_fdisk_verify"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000043"	"MVDM-HOST-ONE1-000746"	"MVDM-HOST-ONE1-RESOLUTION-000650"	"nt_floppy_media_check"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956|nt_floppy_media_check"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000044"	"MVDM-HOST-ONE1-000747"	"MVDM-HOST-ONE1-RESOLUTION-000651"	"nt_floppy_close"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878|nt_floppy_close"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000045"	"MVDM-HOST-ONE1-000748"	"MVDM-HOST-ONE1-RESOLUTION-000652"	"nt_floppy_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711|nt_floppy_read"	"base/mvdm/softpc.new/host/src/nt_rflop.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000046"	"MVDM-HOST-ONE1-000750"	"MVDM-HOST-ONE1-RESOLUTION-000654"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000047"	"MVDM-HOST-ONE1-000755"	"MVDM-HOST-ONE1-RESOLUTION-000657"	"nt_fdisk_init"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|269|nt_fdisk_init"	"base/mvdm/softpc.new/host/src/nt_fdisk.c"	"mvdm-softpc-second-executor"	"machine-owner disposition"	"adapter-bochs + adapter-mvdm-host-out/softpc"	"retain as a named machine-boundary seed; do not import the historical executor"
"MVDM-HOST-ONE1-SIGNATURE-000048"	"MVDM-HOST-ONE1-000758"	"MVDM-HOST-ONE1-RESOLUTION-000660"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000049"	"MVDM-HOST-ONE1-000760"	"MVDM-HOST-ONE1-RESOLUTION-000662"	"CreateDirectoryOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|680|CreateDirectoryOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000050"	"MVDM-HOST-ONE1-000762"	"MVDM-HOST-ONE1-RESOLUTION-000664"	"RemoveDirectoryOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|717|RemoveDirectoryOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000051"	"MVDM-HOST-ONE1-000764"	"MVDM-HOST-ONE1-RESOLUTION-000666"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000052"	"MVDM-HOST-ONE1-000765"	"MVDM-HOST-ONE1-RESOLUTION-000667"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000053"	"MVDM-HOST-ONE1-000767"	"MVDM-HOST-ONE1-RESOLUTION-000669"	"SetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|661|SetEnvironmentVariableOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000054"	"MVDM-HOST-ONE1-000770"	"MVDM-HOST-ONE1-RESOLUTION-000672"	"SetCurrentDirectoryOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|635|SetCurrentDirectoryOem"	"base/mvdm/oemuni/file.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
"MVDM-HOST-ONE1-SIGNATURE-000055"	"MVDM-HOST-ONE1-000771"	"MVDM-HOST-ONE1-RESOLUTION-000673"	"SetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|661|SetEnvironmentVariableOem"	"base/mvdm/oemuni/process.c"	"mvdm-internal-rebase"	"zero-degree rebase candidate"	"selected MVDM package"	"prove package-local binding, then return this edge to the MVDM closure rather than an external adapter"
