"source_path"	"current_sha256"	"canonical_source_path"	"canonical_sha256"	"mirror_identity"
"fax/wowfaxui/wfsheets.c"	"C43B25CB761CD8A3CA6DD95C3E4707B9A118544A1BCBC014CA5C780A40F0AAC6"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wfsheets.c"	"C43B25CB761CD8A3CA6DD95C3E4707B9A118544A1BCBC014CA5C780A40F0AAC6"	"byte-exact"
"fax/wowfaxui/wfsheets.h"	"262CCB34768EABC0E64C6EA30096356C3823E5872A790991785CEA0B72CFCF0C"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wfsheets.h"	"262CCB34768EABC0E64C6EA30096356C3823E5872A790991785CEA0B72CFCF0C"	"byte-exact"
"fax/wowfaxui/wfupgrad.c"	"67D44211D4014E713116B72347159DA85DF18EC5D9042094C009357F9062617E"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wfupgrad.c"	"67D44211D4014E713116B72347159DA85DF18EC5D9042094C009357F9062617E"	"byte-exact"
"fax/wowfaxui/wowfaxui.c"	"D96BF03EBD449B537C25E0126529AF008E5ECC8D7421658497FE35FDE4261CA4"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wowfaxui.c"	"D96BF03EBD449B537C25E0126529AF008E5ECC8D7421658497FE35FDE4261CA4"	"byte-exact"
"fax/wowfaxui/wowfaxui.def"	"A73B79DF1AF0324E7B29ABF9E9664994CA69FCA6BCDE21A36A6AC8F741FBB6F0"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wowfaxui.def"	"A73B79DF1AF0324E7B29ABF9E9664994CA69FCA6BCDE21A36A6AC8F741FBB6F0"	"byte-exact"
"fax/wowfaxui/wowfaxui.h"	"88D90B14CEC1EBF6CB08D142F8CCC19B9DCB246CF9FAB6C63124B468284CDF51"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wowfaxui.h"	"88D90B14CEC1EBF6CB08D142F8CCC19B9DCB246CF9FAB6C63124B468284CDF51"	"byte-exact"
"fax/wowfaxui/wowfaxui.rc"	"0EB16F981EDCE319863EF147175A0F66F7C403D3CA3BB826FBE29E179E059097"	"opennt-4.5/nt/private/mvdm/fax/wowfaxui/wowfaxui.rc"	"0EB16F981EDCE319863EF147175A0F66F7C403D3CA3BB826FBE29E179E059097"	"byte-exact"
"wow32/debug.c"	"0B78331BEE5BD87CA5F786D162F345A46A04C255FDEA1BC6733FB2F171AD02A2"	"opennt-4.5/nt/private/mvdm/wow32/debug.c"	"0B78331BEE5BD87CA5F786D162F345A46A04C255FDEA1BC6733FB2F171AD02A2"	"byte-exact"
"wow32/fastwow.h"	"0A59CCBB6B0BF66982352BFEFDA5C08867EC44DD9FF55731D2B701035D684520"	"opennt-4.5/nt/private/mvdm/wow32/fastwow.h"	"0A59CCBB6B0BF66982352BFEFDA5C08867EC44DD9FF55731D2B701035D684520"	"byte-exact"
"wow32/i386/callpr32.asm"	"03A5F10DB0449058F61822ADFA928713DFD8F5CF3F31F6A46656AFF4D4C78BE7"	"opennt-4.5/nt/private/mvdm/wow32/i386/callpr32.asm"	"03A5F10DB0449058F61822ADFA928713DFD8F5CF3F31F6A46656AFF4D4C78BE7"	"byte-exact"
"wow32/i386/fastwow.asm"	"9B0C44D32EDB5FDEE9C20028CBECAF569F2C53CBAC28048C1BD97E93248A07A9"	"opennt-4.5/nt/private/mvdm/wow32/i386/fastwow.asm"	"9B0C44D32EDB5FDEE9C20028CBECAF569F2C53CBAC28048C1BD97E93248A07A9"	"byte-exact"
"wow32/i386/sources"	"4C56F6AA3DBE83AA7A7A2B6F59ABEF8987C1856FA0834337DF8A80AEA364FA5A"	"opennt-4.5/nt/private/mvdm/wow32/i386/sources"	"4C56F6AA3DBE83AA7A7A2B6F59ABEF8987C1856FA0834337DF8A80AEA364FA5A"	"byte-exact"
"wow32/isvwow.h"	"3B8357D8FA20CFBEBCF5307D0ABF0471AD93D1C74CD2C9BBE2EA42E9D2F4E132"	"opennt-4.5/nt/private/mvdm/wow32/isvwow.h"	"3B8357D8FA20CFBEBCF5307D0ABF0471AD93D1C74CD2C9BBE2EA42E9D2F4E132"	"byte-exact"
"wow32/isz.h"	"7168BE4C0F441B97E25C04894EF9B331A1577ADB002F6E5F116F262D25CD5892"	"opennt-4.5/nt/private/mvdm/wow32/isz.h"	"7168BE4C0F441B97E25C04894EF9B331A1577ADB002F6E5F116F262D25CD5892"	"byte-exact"
"wow32/makefile"	"7E0E511BD718A1D3667B643B8E73D804762FE1C638337D7931A15FA69E05CE0E"	"opennt-4.5/nt/private/mvdm/wow32/makefile"	"7E0E511BD718A1D3667B643B8E73D804762FE1C638337D7931A15FA69E05CE0E"	"byte-exact"
"wow32/makefile.inc"	"A8C98A39578E2E01D9EAB905A87AA2E7638EFE1BD1328B3E7380AD7315B6DE43"	"opennt-4.5/nt/private/mvdm/wow32/makefile.inc"	"A8C98A39578E2E01D9EAB905A87AA2E7638EFE1BD1328B3E7380AD7315B6DE43"	"byte-exact"
"wow32/mapembed.c"	"55C13643489F5BCC9419CE0341ACCB284F946D8D75352527A3B9181DFEB4A385"	"opennt-4.5/nt/private/mvdm/wow32/mapembed.c"	"55C13643489F5BCC9419CE0341ACCB284F946D8D75352527A3B9181DFEB4A385"	"byte-exact"
"wow32/mapembed.h"	"90FD350C4770756416917CF3E3318A7926B15760C1B15C32E22D9EB6FD045FD7"	"opennt-4.5/nt/private/mvdm/wow32/mapembed.h"	"90FD350C4770756416917CF3E3318A7926B15760C1B15C32E22D9EB6FD045FD7"	"byte-exact"
"wow32/precomp.h"	"B4841D516682F6677332FEDE6CA47187BFDC132A288F71564378A1C87F7BB314"	"opennt-4.5/nt/private/mvdm/wow32/precomp.h"	"B4841D516682F6677332FEDE6CA47187BFDC132A288F71564378A1C87F7BB314"	"byte-exact"
"wow32/sources"	"D24767FF50C4C7017E6FCF5F550E120DB0F580F7C07C77CBE7E99E4432F52B36"	"opennt-4.5/nt/private/mvdm/wow32/sources"	"D24767FF50C4C7017E6FCF5F550E120DB0F580F7C07C77CBE7E99E4432F52B36"	"byte-exact"
"wow32/sz.src"	"8F2489B4E39F39531F5EF69BE267D27EA4E9868863017225C81B9F0D72B8D107"	"opennt-4.5/nt/private/mvdm/wow32/sz.src"	"8F2489B4E39F39531F5EF69BE267D27EA4E9868863017225C81B9F0D72B8D107"	"byte-exact"
"wow32/thunkdll.txt"	"E5323E63E53DFE15E3C4F03A18FDA80086038194B661F4543C08165E37AA44E2"	"opennt-4.5/nt/private/mvdm/wow32/thunkdll.txt"	"E5323E63E53DFE15E3C4F03A18FDA80086038194B661F4543C08165E37AA44E2"	"byte-exact"
"wow32/waccel.c"	"C78DD24195E1A7D28DC3A9EE535B4104E9859F98EA8869F8F5591BC9C159A8E8"	"opennt-4.5/nt/private/mvdm/wow32/waccel.c"	"C78DD24195E1A7D28DC3A9EE535B4104E9859F98EA8869F8F5591BC9C159A8E8"	"byte-exact"
"wow32/waccel.h"	"3E004870D439167F62980D25F331BC26A06E267B0DF1C34688CEDDBC69DE223E"	"opennt-4.5/nt/private/mvdm/wow32/waccel.h"	"3E004870D439167F62980D25F331BC26A06E267B0DF1C34688CEDDBC69DE223E"	"byte-exact"
"wow32/walias.c"	"6118B6837C7ED291CC9D70446B7D691699D49C9EF6F2BE60D8E0FAC478D93B65"	"opennt-4.5/nt/private/mvdm/wow32/walias.c"	"6118B6837C7ED291CC9D70446B7D691699D49C9EF6F2BE60D8E0FAC478D93B65"	"byte-exact"
"wow32/walias.h"	"C87AE2F07B48F09276D205E2236D97F084F75F21706C524CB27734A3E36001CC"	"opennt-4.5/nt/private/mvdm/wow32/walias.h"	"C87AE2F07B48F09276D205E2236D97F084F75F21706C524CB27734A3E36001CC"	"byte-exact"
"wow32/walloc16.c"	"6A1111899ADF5351E03F9989325D2412EF0716DA307A36793DC35ABF585C81F2"	"opennt-4.5/nt/private/mvdm/wow32/walloc16.c"	"6A1111899ADF5351E03F9989325D2412EF0716DA307A36793DC35ABF585C81F2"	"byte-exact"
"wow32/wcall16.c"	"4875844ABFB8D22025480C14174481A194779D83759CE3A696E978B68C55A9F0"	"opennt-4.5/nt/private/mvdm/wow32/wcall16.c"	"4875844ABFB8D22025480C14174481A194779D83759CE3A696E978B68C55A9F0"	"byte-exact"
"wow32/wcall16.h"	"A1E95E5B8C27BB71613BA0C47C3181F000529D98235601DA58B6A1169D79F01E"	"opennt-4.5/nt/private/mvdm/wow32/wcall16.h"	"A1E95E5B8C27BB71613BA0C47C3181F000529D98235601DA58B6A1169D79F01E"	"byte-exact"
"wow32/wcall32.c"	"0F72AE39E691F3EF672DF4F1AEB3EBB6443E87F091FB6322EF1C13604AB3D571"	"opennt-4.5/nt/private/mvdm/wow32/wcall32.c"	"0F72AE39E691F3EF672DF4F1AEB3EBB6443E87F091FB6322EF1C13604AB3D571"	"byte-exact"
"wow32/wcall32.h"	"1432B8D6F2ADACB9EF23EF85991079ECD0E39A4C2675CB535D04E04BEB8D04AB"	"opennt-4.5/nt/private/mvdm/wow32/wcall32.h"	"1432B8D6F2ADACB9EF23EF85991079ECD0E39A4C2675CB535D04E04BEB8D04AB"	"byte-exact"
"wow32/wcmdgtbl.h"	"4C320281E81D1CECFAD832587C4887E9D96E09488348234BC276FF4B5CC00B32"	"opennt-4.5/nt/private/mvdm/wow32/wcmdgtbl.h"	"4C320281E81D1CECFAD832587C4887E9D96E09488348234BC276FF4B5CC00B32"	"byte-exact"
"wow32/wcntl32.c"	"36C8CB9A46F13998D0459BC4869DC6DD4191423C0429A7335EBD26F68C804B59"	"opennt-4.5/nt/private/mvdm/wow32/wcntl32.c"	"36C8CB9A46F13998D0459BC4869DC6DD4191423C0429A7335EBD26F68C804B59"	"byte-exact"
"wow32/wcntl32.h"	"CB390C859CEB36946BE4BAEC6B91D517BDB130C047E64249FF7CA688D1BBF7BD"	"opennt-4.5/nt/private/mvdm/wow32/wcntl32.h"	"CB390C859CEB36946BE4BAEC6B91D517BDB130C047E64249FF7CA688D1BBF7BD"	"byte-exact"
"wow32/wcommdlg.c"	"01CE83329AE37A3E987971398115B8C7B5D9DCBC3320BDFFAAA595244740A7D0"	"opennt-4.5/nt/private/mvdm/wow32/wcommdlg.c"	"01CE83329AE37A3E987971398115B8C7B5D9DCBC3320BDFFAAA595244740A7D0"	"byte-exact"
"wow32/wcommdlg.h"	"F2229629FE88AC3A5243200AF9F9F92A6A853D39322FD470DE1CBA588A5E9E69"	"opennt-4.5/nt/private/mvdm/wow32/wcommdlg.h"	"F2229629FE88AC3A5243200AF9F9F92A6A853D39322FD470DE1CBA588A5E9E69"	"byte-exact"
"wow32/wctlm32.c"	"E5C1218929F64A5BB1C2227AB1903E095E0DB50E3A1F44DBB4AD4A028579B8CA"	"opennt-4.5/nt/private/mvdm/wow32/wctlm32.c"	"E5C1218929F64A5BB1C2227AB1903E095E0DB50E3A1F44DBB4AD4A028579B8CA"	"byte-exact"
"wow32/wctlm32.h"	"FDC8D63510ADB6CA75D03DB984D7812E1711CBDDBF23F3F654A3B8D5FBBE253B"	"opennt-4.5/nt/private/mvdm/wow32/wctlm32.h"	"FDC8D63510ADB6CA75D03DB984D7812E1711CBDDBF23F3F654A3B8D5FBBE253B"	"byte-exact"
"wow32/wcurcash.c"	"ED9FA5EE3EB6CE9059D58F21DEA3A7416B0229678F7F62918DE02A2CF78D0E61"	"opennt-4.5/nt/private/mvdm/wow32/wcurcash.c"	"ED9FA5EE3EB6CE9059D58F21DEA3A7416B0229678F7F62918DE02A2CF78D0E61"	"byte-exact"
"wow32/wcurcash.h"	"159B3E0683659F36F567E5C7878BBADB82F6DFBBCC180EAECA1487BAEF229231"	"opennt-4.5/nt/private/mvdm/wow32/wcurcash.h"	"159B3E0683659F36F567E5C7878BBADB82F6DFBBCC180EAECA1487BAEF229231"	"byte-exact"
"wow32/wcuricon.c"	"5F654AB2A98B2925474DFFD49C5A3ABAAEFACF6193375AF3794E70731C4E8673"	"opennt-4.5/nt/private/mvdm/wow32/wcuricon.c"	"5F654AB2A98B2925474DFFD49C5A3ABAAEFACF6193375AF3794E70731C4E8673"	"byte-exact"
"wow32/wcuricon.h"	"34064BBF8E47655EA4A92A3C9D26A6BEFBCA2A8497AF3F82FA557BBAEC29CE81"	"opennt-4.5/nt/private/mvdm/wow32/wcuricon.h"	"34064BBF8E47655EA4A92A3C9D26A6BEFBCA2A8497AF3F82FA557BBAEC29CE81"	"byte-exact"
"wow32/wdde.c"	"859EFD3356F46B646AF8373112297212DE2016DE9A2587AF580D6D99B64DF6AA"	"opennt-4.5/nt/private/mvdm/wow32/wdde.c"	"859EFD3356F46B646AF8373112297212DE2016DE9A2587AF580D6D99B64DF6AA"	"byte-exact"
"wow32/wdde.h"	"05839FFE54047BACC09DBC2D9AD76E8E6DFC4ADFA9D0DE324C7D9F25001609D4"	"opennt-4.5/nt/private/mvdm/wow32/wdde.h"	"05839FFE54047BACC09DBC2D9AD76E8E6DFC4ADFA9D0DE324C7D9F25001609D4"	"byte-exact"
"wow32/wddeml32.c"	"13DB1E133CBB9BE8037FE9A57B1CF637F744EF23C9277697C096486BDE3A8C2C"	"opennt-4.5/nt/private/mvdm/wow32/wddeml32.c"	"13DB1E133CBB9BE8037FE9A57B1CF637F744EF23C9277697C096486BDE3A8C2C"	"byte-exact"
"wow32/wddeml32.h"	"B74CDA34EC90308AA0212142E7282A878DD7C2267A0305C07147543C0B0A0A52"	"opennt-4.5/nt/private/mvdm/wow32/wddeml32.h"	"B74CDA34EC90308AA0212142E7282A878DD7C2267A0305C07147543C0B0A0A52"	"byte-exact"
"wow32/wddetbl2.h"	"AE89A2A82C10AD6FF2B8A41F7E876AF2286B9AD48C8441B7726D901483E30148"	"opennt-4.5/nt/private/mvdm/wow32/wddetbl2.h"	"AE89A2A82C10AD6FF2B8A41F7E876AF2286B9AD48C8441B7726D901483E30148"	"byte-exact"
"wow32/wdib.c"	"D0BD4F9CB7BBA0DC5E977A8C096337DF0830E3804EF6AEB8759CF979176DD910"	"opennt-4.5/nt/private/mvdm/wow32/wdib.c"	"D0BD4F9CB7BBA0DC5E977A8C096337DF0830E3804EF6AEB8759CF979176DD910"	"byte-exact"
"wow32/wdib.h"	"AC3C662CAD367DC6C63C0812A376FBCC7BAE5DF7407BAE6EADBCFAEEE3D78CF4"	"opennt-4.5/nt/private/mvdm/wow32/wdib.h"	"AC3C662CAD367DC6C63C0812A376FBCC7BAE5DF7407BAE6EADBCFAEEE3D78CF4"	"byte-exact"
"wow32/wdos.c"	"E87B5CB3825ED937266C3BADD287EFD03CEC3AF0C26ACB32CCC86D71FA47F314"	"opennt-4.5/nt/private/mvdm/wow32/wdos.c"	"E87B5CB3825ED937266C3BADD287EFD03CEC3AF0C26ACB32CCC86D71FA47F314"	"byte-exact"
"wow32/wdos.h"	"1423FD130D03880C90591F8F31885800F93CBCEE405B59894BB984424293966D"	"opennt-4.5/nt/private/mvdm/wow32/wdos.h"	"1423FD130D03880C90591F8F31885800F93CBCEE405B59894BB984424293966D"	"byte-exact"
"wow32/wgdi.c"	"4C28E5166B294AC2A17982B3FF6E6559F369B8A8A2DD766AA18E16C8F74379D6"	"opennt-4.5/nt/private/mvdm/wow32/wgdi.c"	"4C28E5166B294AC2A17982B3FF6E6559F369B8A8A2DD766AA18E16C8F74379D6"	"byte-exact"
"wow32/wgdi.h"	"14BED9C13085E4165A1912C69F0942DA5637489FC536CC415F3883366AD034D6"	"opennt-4.5/nt/private/mvdm/wow32/wgdi.h"	"14BED9C13085E4165A1912C69F0942DA5637489FC536CC415F3883366AD034D6"	"byte-exact"
"wow32/wgdi31.c"	"38D1D570FD1625AFFDF99EB1CE072E78B26A532ABFD5FC9DD32C10B2C46D06E6"	"opennt-4.5/nt/private/mvdm/wow32/wgdi31.c"	"38D1D570FD1625AFFDF99EB1CE072E78B26A532ABFD5FC9DD32C10B2C46D06E6"	"byte-exact"
"wow32/wgdi31.h"	"E7BE60E1D9B0C2FAA7BC42FB02AE3CF0FC188F6F00729C88E7E8F9CA33280B37"	"opennt-4.5/nt/private/mvdm/wow32/wgdi31.h"	"E7BE60E1D9B0C2FAA7BC42FB02AE3CF0FC188F6F00729C88E7E8F9CA33280B37"	"byte-exact"
"wow32/wgfont.c"	"383A2AECB42C3B96AEE822559F9C9D331C1ED7BCDC7E089D018DEFC33C3FC969"	"opennt-4.5/nt/private/mvdm/wow32/wgfont.c"	"383A2AECB42C3B96AEE822559F9C9D331C1ED7BCDC7E089D018DEFC33C3FC969"	"byte-exact"
"wow32/wgfont.h"	"CFE03BFC28C71E6AAC2715112A591F7CAB7B1D0EB9D06D4CF97FDCBA21D0E15D"	"opennt-4.5/nt/private/mvdm/wow32/wgfont.h"	"CFE03BFC28C71E6AAC2715112A591F7CAB7B1D0EB9D06D4CF97FDCBA21D0E15D"	"byte-exact"
"wow32/wgman.c"	"C3BD58FC081256AF5F14653F1A15F56693BCF06EA5B20C2E15E4E0DDCC29B101"	"opennt-4.5/nt/private/mvdm/wow32/wgman.c"	"C3BD58FC081256AF5F14653F1A15F56693BCF06EA5B20C2E15E4E0DDCC29B101"	"byte-exact"
"wow32/wgman.h"	"191937F2EAE51746A02815DE843A897418DE73B19C99AABED93085A99E1D477C"	"opennt-4.5/nt/private/mvdm/wow32/wgman.h"	"191937F2EAE51746A02815DE843A897418DE73B19C99AABED93085A99E1D477C"	"byte-exact"
"wow32/wgmeta.c"	"213B4AA2F1F7A11AC310D7152027DA2DA0EA804B9EFEB6FEFC0CF609CE3D5260"	"opennt-4.5/nt/private/mvdm/wow32/wgmeta.c"	"213B4AA2F1F7A11AC310D7152027DA2DA0EA804B9EFEB6FEFC0CF609CE3D5260"	"byte-exact"
"wow32/wgmeta.h"	"2A20DC9AB3210F9015615520DE2E759F896D64AB9AA2631C754C954944696CAE"	"opennt-4.5/nt/private/mvdm/wow32/wgmeta.h"	"2A20DC9AB3210F9015615520DE2E759F896D64AB9AA2631C754C954944696CAE"	"byte-exact"
"wow32/wgpal.c"	"942BD3C12615416A532638DF4B53A08E963BD1E60DD0D081FD34765ACE0872C8"	"opennt-4.5/nt/private/mvdm/wow32/wgpal.c"	"942BD3C12615416A532638DF4B53A08E963BD1E60DD0D081FD34765ACE0872C8"	"byte-exact"
"wow32/wgpal.h"	"183C2384851DFAE9BDA593970ECA2ECC9E1E940F0418B84FF477AF7E86EAF582"	"opennt-4.5/nt/private/mvdm/wow32/wgpal.h"	"183C2384851DFAE9BDA593970ECA2ECC9E1E940F0418B84FF477AF7E86EAF582"	"byte-exact"
"wow32/wgprnset.c"	"7E53074328ACE93AE8CE39FB218FA780FF868999B40F7904FDBBFF45FBD7B990"	"opennt-4.5/nt/private/mvdm/wow32/wgprnset.c"	"7E53074328ACE93AE8CE39FB218FA780FF868999B40F7904FDBBFF45FBD7B990"	"byte-exact"
"wow32/wgprnset.h"	"6A5B7B76249B5209AA7D4B9FD2F6C29786676F3293AF68A4FDC0FEE1E52BD9E7"	"opennt-4.5/nt/private/mvdm/wow32/wgprnset.h"	"6A5B7B76249B5209AA7D4B9FD2F6C29786676F3293AF68A4FDC0FEE1E52BD9E7"	"byte-exact"
"wow32/wgtbl.h"	"43CC4724B0E6040C0ED6CDF12C4478C40A1E0BCD3B74BF6B32D91B9F77DF71A1"	"opennt-4.5/nt/private/mvdm/wow32/wgtbl.h"	"43CC4724B0E6040C0ED6CDF12C4478C40A1E0BCD3B74BF6B32D91B9F77DF71A1"	"byte-exact"
"wow32/wgtbl2.h"	"DACD3DAD507BF731B23F4CD80BA402027DD9727B3E2B15D9EC33F0764BBDBD07"	"opennt-4.5/nt/private/mvdm/wow32/wgtbl2.h"	"DACD3DAD507BF731B23F4CD80BA402027DD9727B3E2B15D9EC33F0764BBDBD07"	"byte-exact"
"wow32/wgtext.c"	"863EFA2383AFDDC1419D291C94112CBC87E918DA59A33ECD483884C323D3AFDD"	"opennt-4.5/nt/private/mvdm/wow32/wgtext.c"	"863EFA2383AFDDC1419D291C94112CBC87E918DA59A33ECD483884C323D3AFDD"	"byte-exact"
"wow32/wgtext.h"	"3253E077DA714AD87BC526A55522032290FF8E9A8F2728DF490FE1DB05EA5EF5"	"opennt-4.5/nt/private/mvdm/wow32/wgtext.h"	"3253E077DA714AD87BC526A55522032290FF8E9A8F2728DF490FE1DB05EA5EF5"	"byte-exact"
"wow32/wheap.c"	"BE3AF89DA01D5A6F296A47B7E505E2D6598B4C4E1A5CB35E76DAB3AC839848DE"	"opennt-4.5/nt/private/mvdm/wow32/wheap.c"	"BE3AF89DA01D5A6F296A47B7E505E2D6598B4C4E1A5CB35E76DAB3AC839848DE"	"byte-exact"
"wow32/wheap.h"	"2F2D102A6651259FE3FA290D63BEB8544F1D54D08C930AE4A12EFAF0BD55D7D4"	"opennt-4.5/nt/private/mvdm/wow32/wheap.h"	"2F2D102A6651259FE3FA290D63BEB8544F1D54D08C930AE4A12EFAF0BD55D7D4"	"byte-exact"
"wow32/win30api.xls"	"440676F0E110C9CFCFFBB246D364A50198323C716FEE98FC9C642C69102D11BE"	"opennt-4.5/nt/private/mvdm/wow32/win30api.xls"	"440676F0E110C9CFCFFBB246D364A50198323C716FEE98FC9C642C69102D11BE"	"byte-exact"
"wow32/winsockp.h"	"08E825BA1CE4B4226BF46045FFB2C0DAD08E38A6A9BBB18653215C64A05086D1"	"opennt-4.5/nt/private/mvdm/wow32/winsockp.h"	"08E825BA1CE4B4226BF46045FFB2C0DAD08E38A6A9BBB18653215C64A05086D1"	"byte-exact"
"wow32/winspldl.h"	"1536AFD93C023039E526EF708F405D80A8B1AF5683EE9FEB6BA16959860A847E"	"opennt-4.5/nt/private/mvdm/wow32/winspldl.h"	"1536AFD93C023039E526EF708F405D80A8B1AF5683EE9FEB6BA16959860A847E"	"byte-exact"
"wow32/wintype.xls"	"2C6ACD290ADCAF4D44620539AF833AA58B28CD8845CB0D3D4789211085EF9BD0"	"opennt-4.5/nt/private/mvdm/wow32/wintype.xls"	"2C6ACD290ADCAF4D44620539AF833AA58B28CD8845CB0D3D4789211085EF9BD0"	"byte-exact"
"wow32/witbl.h"	"F6C77E7764D702501085CE7BE7F8D8BA79CB70673E6830CB9B7FD7D0550A2A03"	"opennt-4.5/nt/private/mvdm/wow32/witbl.h"	"F6C77E7764D702501085CE7BE7F8D8BA79CB70673E6830CB9B7FD7D0550A2A03"	"byte-exact"
"wow32/wkbdtbl2.h"	"B00166F7ABF269442FA1AA4B5C07AB1C08AB126C15E886DD654F519FBEABB0EB"	"opennt-4.5/nt/private/mvdm/wow32/wkbdtbl2.h"	"B00166F7ABF269442FA1AA4B5C07AB1C08AB126C15E886DD654F519FBEABB0EB"	"byte-exact"
"wow32/wkbman.c"	"D5D728A2E7527814343BD2470BCE98CA9028796FF7E404C7FE7B57ABBCFE4367"	"opennt-4.5/nt/private/mvdm/wow32/wkbman.c"	"D5D728A2E7527814343BD2470BCE98CA9028796FF7E404C7FE7B57ABBCFE4367"	"byte-exact"
"wow32/wkbman.h"	"518922370D849B9E37F564F48B786F45559710AF7677CC43B62D5AAD85F929CC"	"opennt-4.5/nt/private/mvdm/wow32/wkbman.h"	"518922370D849B9E37F564F48B786F45559710AF7677CC43B62D5AAD85F929CC"	"byte-exact"
