symbol_id	family	declaration_path	symbol	symbol_kind	original_caller	final_component	final_subfamily	binding_disposition	failure_or_boundary
T284-S053	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_read_far	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S054	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_acquire_far	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S055	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_read_u16	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S056	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_copy_c_string	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S057	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_copy_to_guest	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S058	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_acquire	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S059	softpc	src/adapter-softpc/include/mvdm_guest_location.h	mvdm_guest_location_release	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S060	softpc	src/adapter-softpc/include/mvdm_host_identity.h	mvdm_host_identity_publish	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S061	softpc	src/adapter-softpc/include/mvdm_host_identity.h	mvdm_host_identity_resolve	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S062	softpc	src/adapter-softpc/include/mvdm_host_identity.h	mvdm_host_identity_lookup	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S063	softpc	src/adapter-softpc/include/mvdm_host_identity.h	mvdm_host_identity_release	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S064	softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	mvdm_vdd_sft_shadow_allocate	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S065	softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	mvdm_vdd_sft_shadow_retrieve	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S066	softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	mvdm_vdd_sft_shadow_associate	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S067	softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	mvdm_vdd_sft_shadow_commit	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S068	softpc	src/adapter-softpc/include/mvdm_vdd_sft_shadow.h	mvdm_vdd_sft_shadow_discard	callable declaration	dos/dem/*, dos/command/*, xms.486/*, vdd/*	adapter-mvdm-host-out	softpc	preserve exact exposed spelling; audit implementation in family migration	typed adapter-bochs/session result; never a raw host pointer
T284-S069	monitor	src/adapter-vdm-monitor/include/vdm.h	NtVdmControl	callable declaration	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	adapter-mvdm-host-out	monitor	preserve exact exposed spelling; audit implementation in family migration	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation
T284-S070	monitor	src/adapter-vdm-monitor/include/vdm_command.h	GetNextVDMCommand	callable declaration	v86/monitor/i386/*, ieuvddex/i386/vdmtib.c, dos/command/*	adapter-mvdm-host-out	monitor	preserve exact exposed spelling; audit implementation in family migration	synchronous reached subset or STATUS_NOT_IMPLEMENTED; no kernel/CSR recreation
