record_id	source_path	owner_package	review_cluster	profile_class	source_line	candidate_kind	symbol	source_excerpt	review_requirement	x86_x64_disposition
T310-S8-P4-ABI-000019	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	347	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000020	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	377	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000021	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	410	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000022	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	457	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000023	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	502	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000024	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	544	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000025	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	557	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000026	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	581	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000027	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	598	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000028	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	652	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000029	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	665	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000030	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	691	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000031	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	708	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000032	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	760	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000033	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	766	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000034	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	779	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000035	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	872	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000036	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	889	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000037	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	953	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000038	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	966	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000039	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	990	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000040	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1007	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000041	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1070	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000042	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1084	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000043	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1140	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000044	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1157	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000045	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1220	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000046	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1391	pointer-to-fixed-width-conversion	-	(ULONG)*stack + ((ULONG)(*(stack+1)) << 16),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000047	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1395	pointer-to-fixed-width-conversion	-	(ULONG)*stack + ((ULONG)(*(stack+1)) << 16),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000048	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1417	pointer-to-fixed-width-conversion	-	(ULONG)*stack + ((ULONG)(*(stack+1)) << 16),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000049	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1421	pointer-to-fixed-width-conversion	-	(ULONG)*stack + ((ULONG)(*(stack+1)) << 16),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000050	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1498	pointer-to-fixed-width-conversion	-	ulTHHOOK = (ULONG)*stack + ((ULONG)(*(stack+1)) << 16);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000051	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1527	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000052	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1542	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000053	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1615	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000054	src/mvdm-host/dbg/dbg.c	dbg	MVDM-DBG-OWNER-PACKAGE	unselected-owner-package-source	1632	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000055	src/mvdm-host/dos/command/cmd.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	58	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000056	src/mvdm-host/dos/command/cmd.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	97	function-pointer-declaration-or-slot	PFNSVC	typedef VOID (*PFNSVC)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000057	src/mvdm-host/dos/command/cmd.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	97	function-pointer-indirect-call	PFNSVC	typedef VOID (*PFNSVC)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000058	src/mvdm-host/dos/dem/dem.c	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	67	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000059	src/mvdm-host/dos/dem/dem.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	62	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000060	src/mvdm-host/dos/dem/dem.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	92	function-pointer-declaration-or-slot	PFNSVC	typedef VOID (*PFNSVC)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000061	src/mvdm-host/dos/dem/dem.h	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	92	function-pointer-indirect-call	PFNSVC	typedef VOID (*PFNSVC)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000062	src/mvdm-host/dos/dem/demfile.c	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	25	function-pointer-declaration-or-slot	VrInitialized	BOOL (*VrInitialized)(VOID); // POINTER TO FUNCTION	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000063	src/mvdm-host/dos/dem/demfile.c	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	25	function-pointer-indirect-call	VrInitialized	BOOL (*VrInitialized)(VOID); // POINTER TO FUNCTION	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000064	src/mvdm-host/dos/dem/demhndl.c	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	25	function-pointer-declaration-or-slot	VrInitialized	BOOL (*VrInitialized)(VOID); // POINTER TO FUNCTION	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000065	src/mvdm-host/dos/dem/demhndl.c	dos	MVDM-DOS-OWNER-PACKAGE	unselected-owner-package-source	25	function-pointer-indirect-call	VrInitialized	BOOL (*VrInitialized)(VOID); // POINTER TO FUNCTION	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000066	src/mvdm-host/dpmi32/data.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	126	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000067	src/mvdm-host/dpmi32/dpmi32.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	46	function-pointer-declaration-or-slot	DpmiDispatchTable	VOID (*DpmiDispatchTable[MAX_DPMI_BOP_FUNC])(VOID) = {	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000068	src/mvdm-host/dpmi32/dpmi32.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	259	architecture-conditional	-	#if defined(i386)	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000069	src/mvdm-host/dpmi32/dpmi32p.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	29	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000070	src/mvdm-host/dpmi32/dpmi32p.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	53	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000071	src/mvdm-host/dpmi32/dpmi32p.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	109	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000072	src/mvdm-host/dpmi32/dpmidata.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	31	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000073	src/mvdm-host/dpmi32/dpmidata.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	105	function-pointer-declaration-or-slot	GETREGISTERFUNCTION	typedef ULONG (*GETREGISTERFUNCTION)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000074	src/mvdm-host/dpmi32/dpmidata.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	105	function-pointer-indirect-call	GETREGISTERFUNCTION	typedef ULONG (*GETREGISTERFUNCTION)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000075	src/mvdm-host/dpmi32/dpmidata.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	106	function-pointer-declaration-or-slot	SETREGISTERFUNCTION	typedef VOID (*SETREGISTERFUNCTION)(ULONG);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000076	src/mvdm-host/dpmi32/dpmidata.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	106	function-pointer-indirect-call	SETREGISTERFUNCTION	typedef VOID (*SETREGISTERFUNCTION)(ULONG);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000077	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	335	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000078	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	669	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000079	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	778	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000080	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	839	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000081	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	1147	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000082	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	1181	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000083	src/mvdm-host/dpmi32/dpmiint.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	1217	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000084	src/mvdm-host/dpmi32/dpmiint.h	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	23	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000085	src/mvdm-host/dpmi32/dpmimemr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	234	function-pointer-indirect-call	GetDIRegister	if (!mvdm_dpmi_protected_buffer_load(getES(), (*GetDIRegister)(),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000086	src/mvdm-host/dpmi32/dpmimemr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	288	function-pointer-indirect-call	GetDIRegister	if (!mvdm_dpmi_protected_buffer_store(getES(), (*GetDIRegister)(),	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000087	src/mvdm-host/dpmi32/dpmiselr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	41	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000088	src/mvdm-host/dpmi32/dpmiselr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	152	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000089	src/mvdm-host/dpmi32/dpmiselr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	169	architecture-conditional	-	#ifdef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000090	src/mvdm-host/dpmi32/dpmiselr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	185	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000091	src/mvdm-host/dpmi32/dpmiselr.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	198	architecture-conditional	-	#ifndef i386	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000092	src/mvdm-host/dpmi32/i386/dpmimem.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	219	function-pointer-indirect-call	GetDIRegister	(CHAR *)MemInfo += (*GetDIRegister)();	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000093	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	33	function-pointer-declaration-or-slot	APIXLATFUNCTION	typedef VOID (*APIXLATFUNCTION)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000094	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	33	function-pointer-indirect-call	APIXLATFUNCTION	typedef VOID (*APIXLATFUNCTION)(VOID);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000095	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	184	function-pointer-indirect-call	GetSPRegister	StackPointer += (*GetSPRegister)();	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000096	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	188	function-pointer-indirect-call	GetSPRegister	(*SetSPRegister)((*GetSPRegister)() + 2);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000097	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	188	function-pointer-indirect-call	SetSPRegister	(*SetSPRegister)((*GetSPRegister)() + 2);	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000098	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	282	function-pointer-indirect-call	GetDXRegister	String += (*GetDXRegister)();	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000099	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	343	function-pointer-indirect-call	GetDXRegister	PmInputBuffer += (*GetDXRegister)();	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
T310-S8-P4-ABI-000100	src/mvdm-host/dpmi32/int21map.c	dpmi32	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	480	function-pointer-indirect-call	GetDXRegister	FcbAddress += (*GetDXRegister)();	read declaration, assignment/initializer, selected callers and original package context	unreviewed-source-context-required
