"file_id"	"source_path"	"original_role_group"	"lexical_call_count"	"lexical_unique_declaration_count"	"lexical_ambiguous_declaration_count"	"lexical_no_selected_extern_count"	"selected_definition_name_observed_count"	"external_boundary_candidate_count"	"interface_audit_state"	"evidence"
"MVDM-FILE-1237"	"softpc.new/host/src/nt_eoi.c"	"adapter-vdm-monitor"	"69"	"0"	"0"	"58"	"6"	"3"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_eoi.c"
"MVDM-FILE-1238"	"softpc.new/host/src/nt_error.c"	"adapter-win32-host-capability"	"203"	"0"	"0"	"200"	"3"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_error.c"
"MVDM-FILE-1239"	"softpc.new/host/src/nt_ertbl.c"	"literal-build-unobserved-auxiliary"	"0"	"0"	"0"	"0"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_ertbl.c"
"MVDM-FILE-1240"	"softpc.new/host/src/nt_event.c"	"adapter-vdm-monitor"	"308"	"0"	"0"	"292"	"16"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_event.c"
"MVDM-FILE-1241"	"softpc.new/host/src/nt_fdisk.c"	"machine-device-bridge-review"	"93"	"0"	"0"	"89"	"3"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_fdisk.c"
"MVDM-FILE-1242"	"softpc.new/host/src/nt_fulsc.c"	"machine-device-bridge-review"	"310"	"0"	"0"	"285"	"18"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_fulsc.c"
"MVDM-FILE-1243"	"softpc.new/host/src/nt_graph.c"	"machine-device-bridge-review"	"333"	"0"	"0"	"319"	"10"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_graph.c"
"MVDM-FILE-1244"	"softpc.new/host/src/nt_hfx.c"	"literal-build-unobserved-auxiliary"	"30"	"0"	"0"	"30"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_hfx.c"
"MVDM-FILE-1245"	"softpc.new/host/src/nt_hosts.c"	"machine-device-bridge-review"	"76"	"0"	"0"	"76"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_hosts.c"
"MVDM-FILE-1246"	"softpc.new/host/src/nt_hunt.c"	"literal-build-unobserved-auxiliary"	"69"	"0"	"0"	"53"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_hunt.c"
"MVDM-FILE-1247"	"softpc.new/host/src/nt_input.c"	"machine-device-bridge-review"	"8"	"0"	"0"	"8"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_input.c"
"MVDM-FILE-1248"	"softpc.new/host/src/nt_inthk.c"	"adapter-vdm-monitor"	"13"	"0"	"0"	"10"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_inthk.c"
"MVDM-FILE-1249"	"softpc.new/host/src/nt_keycd.c"	"adapter-win32-host-capability"	"8"	"0"	"0"	"8"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_keycd.c"
"MVDM-FILE-1250"	"softpc.new/host/src/nt_lpt.c"	"machine-device-bridge-review"	"101"	"0"	"0"	"99"	"2"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_lpt.c"
"MVDM-FILE-1251"	"softpc.new/host/src/nt_mem.c"	"adapter-softpc-machine-facade"	"165"	"0"	"0"	"153"	"6"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_mem.c"
"MVDM-FILE-1252"	"softpc.new/host/src/nt_mess.c"	"literal-build-unobserved-auxiliary"	"0"	"0"	"0"	"0"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_mess.c"
"MVDM-FILE-1253"	"softpc.new/host/src/nt_mouse.c"	"machine-device-bridge-review"	"270"	"0"	"0"	"191"	"27"	"2"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_mouse.c"
"MVDM-FILE-1254"	"softpc.new/host/src/nt_msscs.c"	"adapter-vdm-monitor"	"178"	"0"	"0"	"157"	"13"	"4"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_msscs.c"
"MVDM-FILE-1255"	"softpc.new/host/src/nt_munge.c"	"machine-device-bridge-review"	"18"	"0"	"0"	"18"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_munge.c"
"MVDM-FILE-1256"	"softpc.new/host/src/nt_nls.c"	"adapter-win32-host-capability"	"15"	"0"	"0"	"15"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_nls.c"
"MVDM-FILE-1257"	"softpc.new/host/src/nt_ntfun.c"	"adapter-win32-host-capability"	"89"	"0"	"0"	"86"	"3"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_ntfun.c"
"MVDM-FILE-1258"	"softpc.new/host/src/nt_pif.c"	"adapter-win32-host-capability"	"57"	"0"	"0"	"56"	"0"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_pif.c"
"MVDM-FILE-1259"	"softpc.new/host/src/nt_reset.c"	"adapter-vdm-monitor"	"57"	"0"	"0"	"49"	"5"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_reset.c"
"MVDM-FILE-1260"	"softpc.new/host/src/nt_rez.c"	"machine-device-bridge-review"	"28"	"0"	"0"	"24"	"4"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_rez.c"
"MVDM-FILE-1261"	"softpc.new/host/src/nt_rflop.c"	"machine-device-bridge-review"	"369"	"0"	"0"	"352"	"2"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_rflop.c"
"MVDM-FILE-1262"	"softpc.new/host/src/nt_sas.c"	"adapter-softpc-machine-facade"	"22"	"0"	"0"	"21"	"1"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_sas.c"
"MVDM-FILE-1263"	"softpc.new/host/src/nt_sec.c"	"adapter-win32-host-capability"	"16"	"0"	"0"	"16"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_sec.c"
"MVDM-FILE-1264"	"softpc.new/host/src/nt_smenu.c"	"literal-build-unobserved-auxiliary"	"12"	"0"	"0"	"12"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_smenu.c"
"MVDM-FILE-1265"	"softpc.new/host/src/nt_sound.c"	"machine-device-bridge-review"	"44"	"0"	"0"	"41"	"3"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_sound.c"
"MVDM-FILE-1266"	"softpc.new/host/src/nt_term.c"	"literal-build-unobserved-auxiliary"	"16"	"0"	"0"	"12"	"2"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_term.c"
"MVDM-FILE-1267"	"softpc.new/host/src/nt_thred.c"	"session-and-monitor-thread"	"18"	"0"	"0"	"15"	"2"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_thred.c"
"MVDM-FILE-1268"	"softpc.new/host/src/nt_timer.c"	"machine-device-bridge-review"	"128"	"0"	"0"	"119"	"8"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_timer.c"
"MVDM-FILE-1269"	"softpc.new/host/src/nt_umb.c"	"adapter-softpc-machine-facade"	"135"	"0"	"0"	"131"	"0"	"4"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_umb.c"
"MVDM-FILE-1270"	"softpc.new/host/src/nt_unix.c"	"adapter-win32-host-capability"	"56"	"0"	"0"	"54"	"2"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_unix.c"
"MVDM-FILE-1271"	"softpc.new/host/src/nt_vdd.c"	"adapter-vdd-or-debugger"	"95"	"0"	"0"	"89"	"1"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_vdd.c"
"MVDM-FILE-1272"	"softpc.new/host/src/nt_vflop.c"	"literal-build-unobserved-auxiliary"	"74"	"0"	"0"	"68"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_vflop.c"
"MVDM-FILE-1273"	"softpc.new/host/src/nt_vga.c"	"machine-device-bridge-review"	"320"	"0"	"0"	"283"	"37"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_vga.c"
"MVDM-FILE-1274"	"softpc.new/host/src/nt_wcom.c"	"machine-device-bridge-review"	"36"	"0"	"0"	"36"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_wcom.c"
"MVDM-FILE-1275"	"softpc.new/host/src/nt_yoda.c"	"adapter-vdd-or-debugger"	"151"	"0"	"0"	"127"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/nt_yoda.c"
"MVDM-FILE-1276"	"softpc.new/host/src/sim32.c"	"adapter-softpc-machine-facade"	"69"	"0"	"0"	"56"	"1"	"3"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/sim32.c"
"MVDM-FILE-1278"	"softpc.new/host/src/stf_conf.c"	"literal-build-unobserved-auxiliary"	"121"	"0"	"0"	"115"	"4"	"1"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/stf_conf.c"
"MVDM-FILE-1279"	"softpc.new/host/src/stubs.c"	"adapter-softpc-machine-facade"	"151"	"0"	"0"	"138"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/stubs.c"
"MVDM-FILE-1280"	"softpc.new/host/src/x86_emm.c"	"adapter-softpc-machine-facade"	"112"	"0"	"0"	"112"	"0"	"0"	"coverage-only; source-form/ABI/failure review remains required before any binding decision"	"m0-t276-s4-textual-call-candidate-ledger.tsv; m0-t276-s5-unique-call-disposition-ledger.tsv; softpc.new/host/src/x86_emm.c"
