function_id	symbol	stage1_semantic_disposition	function_disposition	final_owner	runtime_direct_call_site_count	caller_paths	selected_definition_candidates	external_definition_candidates	external_package_roots	source_definition_status	first_hop_basis	next_stage
"MVDM-FIRST-HOP-FUNCTION-0068"	"a3_setDL"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0069"	"a3_setDS"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0070"	"a3_setDX"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0071"	"a3_setES"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0072"	"a3_setIF"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0073"	"a3_setIP"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0074"	"a3_setOF"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0075"	"a3_setPF"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0076"	"a3_setSF"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0077"	"a3_setSI"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0078"	"a3_setSP"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0079"	"a3_setSS"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0080"	"a3_setZF"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/obj.vdm/c_regs.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0081"	"AbortDoc"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wgdi31.c"	""	"windows/core/ntgdi/client/output.c:2694@177ae2b20778d8099e50565f3a2ff650f069548584b52b7652e31bc492df8ebc;nt/private/net/ui/mfc200/src/wingdi.cpp:211@20abfca0778f67965223a9b84453c3fbfa4a7f1813a33d1f85841d72fac1ac24;nt/private/ntos/w32/ntgdi/client/output.c:2694@177ae2b20778d8099e50565f3a2ff650f069548584b52b7652e31bc492df8ebc"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0082"	"abs"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"softpc.new/base/video/gfx_updt.c;wow32/wgmeta.c"	""	"base/crts/crtw32/misc/abs.c:50@f2d106d0def93544435364432ba1cb0e8329c2fa0d581ef5aba87b338681acce;res/oldcrt/crt32/misc/abs.c:46@606b834efb2204dd81ef0b8b7a5b8c62573690976c1c9a7644beaca68e5678a0;res/oldcrt/crt32st/misc/abs.c:46@606b834efb2204dd81ef0b8b7a5b8c62573690976c1c9a7644beaca68e5678a0;res/oldcrt/crt32psx/misc/abs.c:46@606b834efb2204dd81ef0b8b7a5b8c62573690976c1c9a7644beaca68e5678a0;res/oldcrt/crt32nt/misc/abs.c:46@606b834efb2204dd81ef0b8b7a5b8c62573690976c1c9a7644beaca68e5678a0;res/oldcrt/crt32dll/misc/abs.c:46@606b834efb2204dd81ef0b8b7a5b8c62573690976c1c9a7644beaca68e5678a0;nt/private/sdktools/vctools/crt/crtw32/misc/abs.c:50@f2d106d0def93544435364432ba1cb0e8329c2fa0d581ef5aba87b338681acce;nt/private/windows/shell/accesory/clipbook/clipview/cvinit.c:100@3ed4a664e69846edd8ee1bee7903e98bc51de62eebb9575773f8a44badc9bf75"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0083"	"AddFontResourceA"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wgfont.c"	""	"windows/core/ntgdi/client/font.c:2488@8c74be8f5336de7e204897241ba375ca63c481717a781c25ef8320bd7a59282d;nt/private/ntos/w32/ntgdi/client/font.c:2488@8c74be8f5336de7e204897241ba375ca63c481717a781c25ef8320bd7a59282d"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0084"	"AddPrinterDriver"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"fax/wowfaxui/wfupgrad.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0085"	"AddToTraceXBuffer"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/system/illegalp.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0086"	"AdjustWindowRect"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wuwind.c"	""	"windows/core/ntuser/client/client.c:112@787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472;nt/private/ntos/w32/ntuser/client/client.c:112@787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0087"	"AdjustWindowRectEx"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wuwind.c"	""	"windows/core/ntuser/client/winmgrc.c:65@26f0174e6a0db53d942506cbdc12efbfebc34a943d780170e7bf9d95775514a4;nt/private/ntos/w32/ntuser/client/winmgrc.c:65@26f0174e6a0db53d942506cbdc12efbfebc34a943d780170e7bf9d95775514a4"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0088"	"AnimatePalette"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wgpal.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0089"	"AnsiLower"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wulang.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0090"	"AnsiLowerBuff"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wulang.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0091"	"AnsiNext"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"2"	"vdmutils/pifedit/pifedit.c;vdmutils/pifedit/pifsubs.c;wow32/mapembed.c;wow32/wulang.c"	""	"base/mvdm/wow16/inc/dbcs.c:70@24798e19a3d56bebf0a1982ad78d845c363b72cb8eb7eff4d89ce697b81bb6bc;nt/private/mvdm/wow16/inc/dbcs.c:70@24798e19a3d56bebf0a1982ad78d845c363b72cb8eb7eff4d89ce697b81bb6bc"	"base/mvdm;nt/private"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0092"	"AnsiPrev"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"vdmutils/pifedit/pifedit.c;vdmutils/pifedit/pifsubs.c;wow32/wulang.c"	""	"base/mvdm/wow16/inc/dbcs.c:102@24798e19a3d56bebf0a1982ad78d845c363b72cb8eb7eff4d89ce697b81bb6bc;nt/private/mvdm/wow16/inc/dbcs.c:102@24798e19a3d56bebf0a1982ad78d845c363b72cb8eb7eff4d89ce697b81bb6bc"	"base/mvdm;nt/private"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0093"	"AnsiToOem"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"vdmutils/pifedit/pifsubs.c;wow32/wkbman.c"	""	"windows/mfc/src42/strcore.cpp:532@0e865011c2b2f9e796eeaa1ea68f974edbf1776f6331ecfe325f8562d1ede485;windows/mfc/src40/strcore.cpp:530@0e24fbc377e2d97566af0b8c5a6191a7be406dd8e8dc96045a89df511cd23b5c;nt/private/sdktools/vctools/ntmfc/src42/strcore.cpp:532@0e865011c2b2f9e796eeaa1ea68f974edbf1776f6331ecfe325f8562d1ede485;nt/private/sdktools/vctools/ntmfc/src40/strcore.cpp:530@0e24fbc377e2d97566af0b8c5a6191a7be406dd8e8dc96045a89df511cd23b5c;nt/private/net/ui/mfc200/src/winstr.cpp:37@a3ae49332bb92a3df671e4ed642951854e88f8449d6a2cc28a4ea3c1ee1351ae"	"nt/private;windows/mfc"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0094"	"AnsiToOemBuff"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"3"	"dos/command/cmdenv.c;wow32/wkbman.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0095"	"AnsiUpper"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"vdmutils/pifedit/pifedit.c;vdmutils/pifedit/pifsubs.c;wow32/wulang.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0096"	"AnsiUpperBuff"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wulang.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0097"	"AnyPopup"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wuwind.c"	""	"windows/core/ntuser/client/winmgrc.c:110@26f0174e6a0db53d942506cbdc12efbfebc34a943d780170e7bf9d95775514a4;nt/private/ntos/w32/ntuser/client/winmgrc.c:110@26f0174e6a0db53d942506cbdc12efbfebc34a943d780170e7bf9d95775514a4"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0098"	"ApiDisable"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/bios/reset.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0099"	"ApiReset"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/bios/reset.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0100"	"AppendMenu"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"16"	"softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_mouse.c;wow32/wumenu.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0101"	"Arc"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wgdi.c"	""	"windows/core/ntgdi/client/output.c:105@177ae2b20778d8099e50565f3a2ff650f069548584b52b7652e31bc492df8ebc;nt/private/ntos/w32/ntgdi/client/output.c:105@177ae2b20778d8099e50565f3a2ff650f069548584b52b7652e31bc492df8ebc"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0102"	"ARGUMENT_PRESENT"	"macro-or-function-pointer-contract"	"non-function-expression-contract"	"not applicable"	"44"	"base/win32/client/vdm.c;oemuni/file.c;oemuni/process.c;vdmredir/vrdlc5c.c;vdmredir/vrdlcbuf.c;vdmredir/vrnmpipe.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"macro/function-pointer call site; concrete target belongs to its original context, not a new first-hop function"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0103"	"ArrangeIconicWindows"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"1"	"wow32/wuwind.c"	""	"windows/core/ntuser/client/client.c:2414@787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472;nt/private/ntos/w32/ntuser/client/client.c:2414@787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472"	"nt/private;windows/core"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0104"	"assert"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/system/quick_ev.c"	""	"sdktools/vctools/cvdump/type6.c:172@4da3df2a19b0b8fa2e31daf67eba2699d09e1337ae277078c0f5c4c455453620;sdktools/vctools/pdb/src/tools/cvdump/type6.c:172@4da3df2a19b0b8fa2e31daf67eba2699d09e1337ae277078c0f5c4c455453620;nt/private/sdktools/vctools/pdb/src/tools/cvdump/type6.c:172@4da3df2a19b0b8fa2e31daf67eba2699d09e1337ae277078c0f5c4c455453620;nt/private/sdktools/vctools/cvdump/type6.c:172@4da3df2a19b0b8fa2e31daf67eba2699d09e1337ae277078c0f5c4c455453620"	"nt/private;sdktools/vctools"	"source-definition-candidates-recorded"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0105"	"AsyncDispositionRoutine"	"selected-mvdm-internal-or-adapter-contract"	"selected-mvdm-adapter-contract"	"selected MVDM owner / adapter-mvdm-host-out"	"1"	"vdmredir/vrinit.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"same-shaped selected MVDM/adapter contract has no source definition in selected C/C++ rows"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0106"	"atan2"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/ccpu386/fpu.c"	""	"base/crts/fpw32/tran/atan.c:109@3e3474e63450cb01d5f6d8a37499102c4e2f7867dd73339c390851630fad4dda;base/crts/fpw32/tran/mac/m68k/atan2.c:65@d1c17d4e46197d8717697bacd6f72d544c49032659f95458de8e1a2b79d78ac4;res/oldcrt/fp32st/tran/atan.c:108@9cb26695ed209f4aeed2cce7a3e17e0f01c5ec5c5eab2b59ccfc62ed3f87ab67;res/oldcrt/fp32/tran/atan.c:108@9cb26695ed209f4aeed2cce7a3e17e0f01c5ec5c5eab2b59ccfc62ed3f87ab67;res/oldcrt/fp32nt/tran/atan.c:108@9cb26695ed209f4aeed2cce7a3e17e0f01c5ec5c5eab2b59ccfc62ed3f87ab67;res/oldcrt/fp32dll/tran/atan.c:108@9cb26695ed209f4aeed2cce7a3e17e0f01c5ec5c5eab2b59ccfc62ed3f87ab67;nt/private/sdktools/vctools/crt/fpw32/tran/mac/m68k/atan2.c:65@d1c17d4e46197d8717697bacd6f72d544c49032659f95458de8e1a2b79d78ac4;nt/private/sdktools/vctools/crt/fpw32/tran/atan.c:109@3e3474e63450cb01d5f6d8a37499102c4e2f7867dd73339c390851630fad4dda"	"base/crts;nt/private;res/oldcrt"	"source-definition-candidates-recorded"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0107"	"atoi"	"public-win32-or-crt-binding"	"modern-system-binding"	"external SDK/CRT"	"6"	"softpc.new/base/bios/emm_fncs.c;softpc.new/base/debug/pigyoda.c;softpc.new/base/debug/profile.c;softpc.new/base/debug/trace.c;softpc.new/base/debug/yoda.c;softpc.new/base/system/timer.c;softpc.new/host/src/config.c;vdmexts/wowprof.c;vdmredir/vrdebug.c;vdmutils/graftabl/graftabl.c;wow32/debug.c;wow32/wkman.c;wow32/wow32.c"	""	"sdktools/winobj/wfutil.c:429@dcfee007baabd53742c261d1055cb26ad2c1402c65786004e9ffa289d3385ef7;base/mvdm/wow16/commdlg/font.c:1941@8768d16b2f967b66acbfa476fd486a85d49601c21008d818675baf8b237cbafa;base/crts/crtw32/convert/atox.c:93@4aba31bcf4c392407e5174ac333b515b092ae2542d39bbf741765f04804d1402;base/boot/veneer/vrlib.c:293@119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569;nt/private/sdktools/winobj/wfutil.c:429@d23f5a1cc55b31d08cff0d73026d799205eb32b68b08bd2b7655e890943f096f;res/oldcrt/crt32/convert/atox.c:91@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/ntos/boot/veneer/vrlib.c:293@119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569;res/oldcrt/crt32st/convert/atox.c:91@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;res/oldcrt/crt32psx/convert/atox.c:91@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/windows/media/avi/drawdib.16/profdisp.c:209@73559f7359f1ad90d17ba253ba6d158f7ecfb6ea8eeabd787bb4160d4572856d;nt/private/windows/media/avi/drawdib/profdisp.c:223@7b406e1aa1c5b9ebb190556638268cb20dc147b44eb7c5e1b01693a74c2b25ac;res/oldcrt/crt32nt/convert/atox.c:91@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;res/oldcrt/crt32dll/convert/atox.c:91@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/windows/shell/oleprop/office/offglue.c:645@94756a49ddeee94a0189159f58c467049134e91c510b1d56ab2c4b4bb2ea3778;nt/private/windows/shell/accesory/clipbook/clipview/cvinit.c:111@3ed4a664e69846edd8ee1bee7903e98bc51de62eebb9575773f8a44badc9bf75;nt/private/sdktools/vctools/crt/crtw32/convert/atox.c:93@4aba31bcf4c392407e5174ac333b515b092ae2542d39bbf741765f04804d1402;nt/private/mvdm/wow16/commdlg/font.c:1941@8768d16b2f967b66acbfa476fd486a85d49601c21008d818675baf8b237cbafa;nt/private/rpc/runtime/mtrt/win32c/cruntime.c:170@f38263be1c4a2ba698d19d1c16064c2a9b7724c432b84247d03be92179c61d25"	"base/boot;base/crts;base/mvdm;nt/private;res/oldcrt;sdktools/winobj"	"source-definition-candidates-recorded"	"public contract terminates at a modern public Win32/CRT binding; OpenNT declaration evidence is retained but no OpenNT provider source is imported"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0108"	"atol"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/debug/profile.c"	""	"windows/core/advapi/digsig/softpub/util.cpp:731@72cad76597c79ca7706feccbc9d8dbffa0b16e7ca83857ccbbbe4e2586c73a25;windows/core/advapi/digsig/digsig/util.cpp:965@d73005e14361f38dfe41b41f0e1c293282d5f46e27e1335a4ed1eb95efb6ed2b;base/crts/crtw32/convert/atox.c:43@4aba31bcf4c392407e5174ac333b515b092ae2542d39bbf741765f04804d1402;res/oldcrt/crt32/convert/atox.c:41@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;res/oldcrt/crt32st/convert/atox.c:41@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/windows/media/avi/mciwnd.16/mciwnd.c:249@592fb1016037d96a21b9e870dc25cd51709ffe3c12765fed3ac3c55f30462e87;nt/private/windows/media/avi/mciavi32/aviopen.c:2500@866e0981921c8e448cec3623efe61d10616473e1557e151d755ccf330be1b841;res/oldcrt/crt32psx/convert/atox.c:41@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/windows/media/avi/mciavi.16/aviopen.c:2341@7672c2d057411a8f832b0a9c09485399bb3865c1241cb38d57929b4d9fac8907;nt/private/windows/media/avi/avifile.16/avilib.cpp:1754@73346131aea6c15d2c9afd8e48d379c9153ca4e6ebe3c44284c839d300e465ff;nt/private/windows/media/avi/avifile/avilib.cpp:2171@47fe810fb06656620b6103eb7406a1833cba1f833159b5eef642903932216e86;res/oldcrt/crt32nt/convert/atox.c:41@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;res/oldcrt/crt32dll/convert/atox.c:41@cb005b2271b1e216af37acdf22861865118a864b02bae37498eb9c765a9678f3;nt/private/windows/base/advapi/digsig/softpub/util.cpp:731@72cad76597c79ca7706feccbc9d8dbffa0b16e7ca83857ccbbbe4e2586c73a25;nt/private/windows/base/advapi/digsig/digsig/util.cpp:965@d73005e14361f38dfe41b41f0e1c293282d5f46e27e1335a4ed1eb95efb6ed2b;nt/private/sdktools/vctools/crt/crtw32/convert/atox.c:43@4aba31bcf4c392407e5174ac333b515b092ae2542d39bbf741765f04804d1402"	"base/crts;nt/private;res/oldcrt;windows/core"	"source-definition-candidates-recorded"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
"MVDM-FIRST-HOP-FUNCTION-0109"	"b_write"	"not-host-runtime-source-only"	"source-excluded-by-selected-file-disposition"	"not applicable"	"0"	"softpc.new/base/cpu/src/evid/ev_glue.c;softpc.new/base/cvidc/ev_glue.c"	""	""	""	"no-C-C++-provider-definition-required-or-found"	"all callers are tool/guest/firmware/not-host-runtime; no runtime first-hop file"	"terminal for one-degree audit; later work follows named owner package"
