"logical_path"	"target_path"	"selected_source"	"selected_sha256"	"rejected_source"	"rejected_sha256"	"candidate_class"	"selection_basis"	"first_mvdm_source"	"direct_occurrences"
"public/ddk/inc/ntddtx.h"	"source/public/ddk/inc/ntddtx.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddtx.h"	"4212a48255ab6e9bc68f06d95cee445d67b8d4a901a98c5d2a149002b3a0f9f7"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddtx.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"sim32/sim32.c"	"1"
"public/ddk/inc/ntddvdeo.h"	"source/public/ddk/inc/ntddvdeo.h"	"O:\repos.external\OpenNT\public\ddk\inc\ntddvdeo.h"	"e81160b69920ee87d603fe593916994f8448a280b2a2adfefd34c190b1b3cb78"	"O:\repos.external\OpenNT-4.5\nt\public\ddk\inc\ntddvdeo.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/config.c"	"12"
"public/internal/base/inc/vdm.h"	"source/public/internal/base/inc/vdm.h"	"O:\repos.external\OpenNT\public\internal\base\inc\vdm.h"	"c614c03a004f974c1eef37f1b29d3a8e1d7cfc33d04e7e7304befcbd6faafd18"	"O:\repos.external\OpenNT-4.5\nt\public\internal\base\inc\vdm.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"softpc.new/host/src/nt_bop.c"	"18"
"public/internal/base/inc/vdmapi.h"	"source/public/internal/base/inc/vdmapi.h"	"O:\repos.external\OpenNT\public\internal\base\inc\vdmapi.h"	"b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"O:\repos.external\OpenNT-4.5\nt\public\internal\base\inc\vdmapi.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"dos/command/cmd.h"	"1"
"public/internal/printscan/inc/winddiui.h"	"source/public/internal/printscan/inc/winddiui.h"	"O:\repos.external\OpenNT\public\internal\printscan\inc\winddiui.h"	"9d84cbe81b902ac3bc93965f654fd07e9c4adc39783f695c4cd92f988d9d38ee"	"O:\repos.external\OpenNT-4.5\nt\public\internal\printscan\inc\winddiui.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"fax/wowfaxui/wfsheets.h"	"2"
"public/internal/windows/inc/pif.h"	"source/public/internal/windows/inc/pif.h"	"O:\repos.external\OpenNT\public\internal\windows\inc\pif.h"	"224f6bdf5cfa15a37d95f97e24c30d37d947d5f7f5199d50aeab65b39d150c55"	"O:\repos.external\OpenNT-4.5\nt\public\internal\windows\inc\pif.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"dos/command/cmdpif.c"	"1"
"public/internal/windows/inc/winconp.h"	"source/public/internal/windows/inc/winconp.h"	"O:\repos.external\OpenNT\public\internal\windows\inc\winconp.h"	"26b1b3cff877ee2802aeff0eeab04f1daf7127e63279bcaa990c8b4f97384f2d"	"O:\repos.external\OpenNT-4.5\nt\public\internal\windows\inc\winconp.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"dos/command/cmdkeyb.c"	"1"
"public/internal/windows/inc/winddi.h"	"source/public/internal/windows/inc/winddi.h"	"O:\repos.external\OpenNT\public\internal\windows\inc\winddi.h"	"f3ba4a33dbbb58768c2fb8aacc205a017f05d11521ad1650e39a998be5344f4a"	"O:\repos.external\OpenNT-4.5\nt\public\internal\windows\inc\winddi.h"	""	"one-sided"	"only corresponding OpenNT/OpenNT-4.5 logical candidate exists"	"fax/wowfax/wowfaxdd.h"	"3"
"public/sdk/inc/devioctl.h"	"source/public/sdk/inc/devioctl.h"	"O:\repos.external\OpenNT\public\sdk\inc\devioctl.h"	"87098d18c8afaf1265522380b682662125c59af17d775f9ab062e5b1e17db33b"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\devioctl.h"	"67da82f053ac5b78b40d2ddcd0b4873863e8bcdc9ae0aa1e57f799fd770d781f"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"vdd/samples/mscdex/vdd/vcdex.c"	"1"
"public/sdk/inc/nt_vdd.h"	"source/public/sdk/inc/nt_vdd.h"	"O:\repos.external\OpenNT\public\sdk\inc\nt_vdd.h"	"7e89fd4420381a54bc89e9807e54ccfe138a0767996ab7c74712e5e96aeb6609"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\nt_vdd.h"	"7e89fd4420381a54bc89e9807e54ccfe138a0767996ab7c74712e5e96aeb6609"	"identical-dual-source"	"both logical candidates have the same SHA-256; retain dual provenance"	"dos/dem/demfile.c"	"8"
"public/sdk/inc/nt.h"	"source/public/sdk/inc/nt.h"	"O:\repos.external\OpenNT\public\sdk\inc\nt.h"	"c9fb3289b14c5e109c312050c05c064af3ee612822938f54ca12ddbb67472e2f"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\nt.h"	"aecb0aac147a941fb114ca4ed0e9313c7d387273cc27f0a8ed7636f544c53245"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"bde/precomp.h"	"70"
"public/sdk/inc/ntcsrdll.h"	"source/public/sdk/inc/ntcsrdll.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntcsrdll.h"	"ed1f1868eaca9e9d2a781bb57bd5e35538c0f5755f508438a6b804816655d7e8"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntcsrdll.h"	"ed1f1868eaca9e9d2a781bb57bd5e35538c0f5755f508438a6b804816655d7e8"	"identical-dual-source"	"both logical candidates have the same SHA-256; retain dual provenance"	"wow32/wow32.c"	"1"
"public/sdk/inc/ntdbg.h"	"source/public/sdk/inc/ntdbg.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntdbg.h"	"a5b4a6018a953d66d0e73008ceed9939e4f88917fca9250f6dbf780dcf1c332a"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntdbg.h"	"900444da7b388b1b6e0791002fa1b4fc1995c587bb763777be9c1117164eb712"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"dbg/dbg.c"	"3"
"public/sdk/inc/ntexapi.h"	"source/public/sdk/inc/ntexapi.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntexapi.h"	"d4bddfbf3eadd81cbf913a60108f1c7cb3362c6c51b042701bba43da6bb8e52a"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntexapi.h"	"f3c2c0a1d065539abdd8a5428046a3bb4f4da97dfc5be881c49e4881327351aa"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"softpc.new/host/src/nt_eoi.c"	"2"
"public/sdk/inc/ntioapi.h"	"source/public/sdk/inc/ntioapi.h"	"O:\repos.external\opennt\public\sdk\inc\ntioapi.h"	"fd7980ccd70169ce052baa8aa43388df2d8689f3bed43028a940093c52f9f6ee"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntioapi.h"	"a6727b06d01a4b4fafad6194bec1564c6583534aa56b041a7501d7272583b6af"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"base/mvdm/dos/dem/{demsrch.c,demerror.c,demgset.c}"	"3"
"public/sdk/inc/ntrtl.h"	"source/public/sdk/inc/ntrtl.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntrtl.h"	"2fc698d4e078abf7b18722f3e84712ab580bf22cf3362ba3ce9fb9486b1a7e98"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntrtl.h"	"23cf4b8a523bd805b6485ce38b942180de57de75d53f3fb985ecc26d7f890c18"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"bde/precomp.h"	"69"
"public/sdk/inc/ntseapi.h"	"source/public/sdk/inc/ntseapi.h"	"O:\repos.external\OpenNT\public\sdk\inc\ntseapi.h"	"c380bc1fc7fb57ae6e55834ac5bbe1621a847f36119ff5b771d536eb6a120b30"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\ntseapi.h"	"09ab3ae02767ec982418b7d23b7d30d4f00eb488d74678b3ed4122b1b8ddc3b0"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"wow32/wkman.c"	"1"
"public/sdk/inc/nturtl.h"	"source/public/sdk/inc/nturtl.h"	"O:\repos.external\OpenNT\public\sdk\inc\nturtl.h"	"c6b7844e2e1248ac38ee90dd8173f95ab0f7997d7a7cfbafda851cc07cc80921"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\nturtl.h"	"27809299a54a7c3f04a8ede40f002e03071829ab654cd60f0cf850a17c4cc1ee"	"conflicting-content"	"OpenNT public-SDK ABI cohort selected as one complete group: current carrier and direct MVDM consumer provenance select it; OpenNT-4.5 candidate is an older non-identical declaration set and is rejected without hybridization"	"bde/precomp.h"	"69"
"public/sdk/inc/vddsvc.h"	"source/public/sdk/inc/vddsvc.h"	"O:\repos.external\OpenNT\public\sdk\inc\vddsvc.h"	"70769da0455aa0b610ab046a4000bc108176dabeb8178ff8b649c41f7cd0897d"	"O:\repos.external\OpenNT-4.5\nt\public\sdk\inc\vddsvc.h"	"70769da0455aa0b610ab046a4000bc108176dabeb8178ff8b649c41f7cd0897d"	"identical-dual-source"	"both logical candidates have the same SHA-256; retain dual provenance"	"vdd/samples/adlibvdd/vdd.c"	"5"
