"dem_source"	"source_line"	"direct_include"	"disposition"	"final_owner"	"source_provenance_or_action"	"admission_state"
"dos/dem/demlock.c"	"13"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"10"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"11"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"14"	"stdio.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"15"	"string.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"16"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"17"	"mvdm.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"18"	"dbgsvc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demmisc.c"	"19"	"nt_vdd.h"	"platform-abi-mirror"	"opennt-platform-abi"	"byte-exact public SDK declaration mirror"	"S4-audited; no DEM body enabled"
"dos/dem/demmsg.c"	"9"	"stdio.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demmsg.c"	"10"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demmsg.c"	"11"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"14"	"dem.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"15"	"demmsg.h"	"local-mirror"	"opennt-mvdm-host/dos/dem"	"byte-exact original DEM header"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"16"	"winbasep.h"	"adapter-gap"	"adapter-win32"	"include-only historical private Base header; no DEM-reached declaration, so only a behavior-free same-name include carrier is permitted"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"17"	"vdm.h"	"adapter-gap"	"adapter-win32 -> session"	"DEM reaches VDMQUERYDIRINFO, VdmQueryDir and NtVdmControl; recover only their same-shaped declaration and scoped session-backed query behavior"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"18"	"softpc.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"19"	"mvdm.h"	"support-mirror"	"opennt-mvdm-support/inc"	"byte-exact selected MVDM support header"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"20"	"memory.h"	"public-sdk-or-crt"	"modern SDK/CRT"	"public compiler/platform header; no project replacement"	"S4-audited; no DEM body enabled"
"dos/dem/demsrch.c"	"21"	"nt_vdd.h"	"platform-abi-mirror"	"opennt-platform-abi"	"byte-exact public SDK declaration mirror"	"S4-audited; no DEM body enabled"
