"include_spelling"	"occurrences"	"caller_count"	"caller_paths"	"upstream_header_paths"	"upstream_package_roots"	"stage1_state"	"next_stage"	"first_hop_owner"	"first_hop_kind"
"apinums.h"	"2"	"2"	"vdmredir/vrnetapi.c;vdmredir/vrremote.c"	"public/internal/ds/inc/apinums.h"	"public/internal/ds"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"apiparam.h"	"1"	"1"	"vdmredir/vrnetapi.c"	"public/internal/ds/inc/apiparam.h"	"public/internal/ds"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"DS NetAPI/RAP/Rx package family"	"external-package-or-declaration"
"apistruc.h"	"2"	"2"	"vdmredir/vrmslot.c;vdmredir/vrnetapi.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"apiworke.h"	"1"	"1"	"vdmredir/vrremote.c"	"ds/netapi/rpcxlate/apiworke.h"	"ds/netapi/rpcxlate"	"non-mvdm source-package candidate; resolve include path ambiguity at stage two"	"expand owning package/build boundary"	"ds/netapi/rpcxlate"	"external-source-package-candidate"
"arpl.h"	"2"	"2"	"softpc.new/base/ccpu386/arpl.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"assert.h"	"3"	"3"	"softpc.new/base/ccpu386/ccpupig.c;softpc.new/base/system/qevnt.c;softpc.new/base/system/quick_ev.c"	"base/crts/crtw32/h/assert.h;base/crts/libw32/include/assert.h;com/ole32/olethunk/ole16/inc/assert.h;public/sdk/inc/crt/assert.h;sdktools/jetadmin/inc/assert.h"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc"	"external-declaration carrier; map to parent source/API at stage two"	"expand owning package/build boundary"	"MSVC CRT / public C runtime"	"modern-public-leaf"
"AT_STUFF.seg"	"4"	"4"	"softpc.new/base/bios/cntlbop.c;softpc.new/base/bios/slave_bs.c;softpc.new/base/disks/diskbios.c;softpc.new/base/system/at_dma.c"	""	""	"selected MVDM SoftPC firmware/generated segment; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"avm361.h"	"1"	"1"	"softpc.new/base/video/cga.c"	""	""	"selected MVDM local generated/header input; source-layout reconciliation, no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"BIOS_SUPPORT.seg"	"1"	"1"	"softpc.new/base/bios/bios.c"	""	""	"selected MVDM SoftPC firmware/generated segment; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bios.h"	"47"	"47"	"softpc.new/base/bios/bios.c;softpc.new/base/bios/bootstra.c;softpc.new/base/bios/cmos_bis.c;softpc.new/base/bios/equipmnt.c;softpc.new/base/bios/mem_size.c;softpc.new/base/bios/reset.c;softpc.new/base/bios/rtc_bios.c;softpc.new/base/bios/tape_io.c;softpc.new/base/bios/virtual.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/comms/com.c;softpc.new/base/comms/printer_.c;softpc.new/base/comms/printer.c;softpc.new/base/comms/rs232_io.c;softpc.new/base/debug/dasm.c;softpc.new/base/debug/pigyoda.c;softpc.new/base/debug/yoda.c;softpc.new/base/disks/floppy_i.c;softpc.new/base/disks/floppy.c;softpc.new/base/disks/gfi_mpty.c;softpc.new/base/disks/gfi_sflp.c;softpc.new/base/disks/gfi_test.c;softpc.new/base/disks/gfi.c;softpc.new/base/keymouse/keybd_io.c;softpc.new/base/keymouse/mouse_io.c;softpc.new/base/keymouse/mouse.c;softpc.new/base/support/time_day.c;softpc.new/base/system/illegalp.c;softpc.new/base/system/timer.c;softpc.new/base/system/unexp_nt.c;softpc.new/base/video/ega_vide.c;softpc.new/base/video/gvi.c;softpc.new/base/video/v7_video.c;softpc.new/base/video/vga_vide.c;softpc.new/base/video/video_io.c;softpc.new/base/video/video.c;softpc.new/host/src/nt_bop.c;softpc.new/host/src/nt_cpu.c;softpc.new/host/src/nt_error.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_hunt.c;softpc.new/host/src/nt_input.c;softpc.new/host/src/nt_mouse.c;softpc.new/host/src/nt_msscs.c;softpc.new/host/src/nt_reset.c;softpc.new/host/src/nt_timer.c;softpc.new/host/src/nt_vflop.c"	"base/boot/detect/x86/bios.h"	"base/boot/detect"	"selected-mvdm-header; no external package edge"	"expand owning package/build boundary"	"mvdm selected union"	"internal-or-selected-input"
"bop.h"	"4"	"4"	"dbg/dbg.c;v86/scaffold/i386/fakeinit.c;v86/scaffold/i386/fakekbd.c;v86/scaffold/i386/fakevid.c"	""	""	"selected-MVDM/platform declaration or firmware input; no non-MVDM package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bound.h"	"2"	"2"	"softpc.new/base/ccpu386/bound.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bsf.h"	"2"	"2"	"softpc.new/base/ccpu386/bsf.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bsr.h"	"2"	"2"	"softpc.new/base/ccpu386/bsr.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bswap.h"	"2"	"2"	"softpc.new/base/ccpu386/bswap.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bt.h"	"2"	"2"	"softpc.new/base/ccpu386/bt.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"btc.h"	"2"	"2"	"softpc.new/base/ccpu386/btc.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"btr.h"	"2"	"2"	"softpc.new/base/ccpu386/btr.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"bts.h"	"2"	"2"	"softpc.new/base/ccpu386/bts.c;softpc.new/base/ccpu386/c_main.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"build_id.h"	"1"	"1"	"softpc.new/base/bios/build_id.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_addr.h"	"121"	"121"	"softpc.new/base/ccpu386/aaa.c;softpc.new/base/ccpu386/aad.c;softpc.new/base/ccpu386/aam.c;softpc.new/base/ccpu386/aas.c;softpc.new/base/ccpu386/adc.c;softpc.new/base/ccpu386/add.c;softpc.new/base/ccpu386/and.c;softpc.new/base/ccpu386/arpl.c;softpc.new/base/ccpu386/bound.c;softpc.new/base/ccpu386/bsf.c;softpc.new/base/ccpu386/bsr.c;softpc.new/base/ccpu386/bswap.c;softpc.new/base/ccpu386/bt.c;softpc.new/base/ccpu386/btc.c;softpc.new/base/ccpu386/btr.c;softpc.new/base/ccpu386/bts.c;softpc.new/base/ccpu386/c_addr.c;softpc.new/base/ccpu386/c_bsic.c;softpc.new/base/ccpu386/c_debug.c;softpc.new/base/ccpu386/c_div64.c;softpc.new/base/ccpu386/c_intr.c;softpc.new/base/ccpu386/c_mul64.c;softpc.new/base/ccpu386/c_neg64.c;softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/c_prot.c;softpc.new/base/ccpu386/c_reg.c;softpc.new/base/ccpu386/c_seg.c;softpc.new/base/ccpu386/c_stack.c;softpc.new/base/ccpu386/c_tlb.c;softpc.new/base/ccpu386/c_tsksw.c;softpc.new/base/ccpu386/c_xcptn.c;softpc.new/base/ccpu386/c_xfer.c;softpc.new/base/ccpu386/c_xtrn.c;softpc.new/base/ccpu386/call.c;softpc.new/base/ccpu386/cbw.c;softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/cdq.c;softpc.new/base/ccpu386/clc.c;softpc.new/base/ccpu386/cld.c;softpc.new/base/ccpu386/cli.c;softpc.new/base/ccpu386/clts.c;softpc.new/base/ccpu386/cmc.c;softpc.new/base/ccpu386/cmp.c;softpc.new/base/ccpu386/cmpxchg.c;softpc.new/base/ccpu386/cwd.c;softpc.new/base/ccpu386/cwde.c;softpc.new/base/ccpu386/daa.c;softpc.new/base/ccpu386/das.c;softpc.new/base/ccpu386/dec.c;softpc.new/base/ccpu386/div.c;softpc.new/base/ccpu386/enter.c;softpc.new/base/ccpu386/idiv.c;softpc.new/base/ccpu386/imul.c;softpc.new/base/ccpu386/in.c;softpc.new/base/ccpu386/inc.c;softpc.new/base/ccpu386/into.c;softpc.new/base/ccpu386/intx.c;softpc.new/base/ccpu386/invd.c;softpc.new/base/ccpu386/invlpg.c;softpc.new/base/ccpu386/iret.c;softpc.new/base/ccpu386/jcxz.c;softpc.new/base/ccpu386/jmp.c;softpc.new/base/ccpu386/jxx.c;softpc.new/base/ccpu386/lahf.c;softpc.new/base/ccpu386/lar.c;softpc.new/base/ccpu386/lea.c;softpc.new/base/ccpu386/leave.c;softpc.new/base/ccpu386/lgdt.c;softpc.new/base/ccpu386/lidt.c;softpc.new/base/ccpu386/lldt.c;softpc.new/base/ccpu386/lmsw.c;softpc.new/base/ccpu386/loopxx.c;softpc.new/base/ccpu386/lsl.c;softpc.new/base/ccpu386/ltr.c;softpc.new/base/ccpu386/lxs.c;softpc.new/base/ccpu386/mov.c;softpc.new/base/ccpu386/movsx.c;softpc.new/base/ccpu386/mul.c;softpc.new/base/ccpu386/neg.c;softpc.new/base/ccpu386/nop.c;softpc.new/base/ccpu386/not.c;softpc.new/base/ccpu386/or.c;softpc.new/base/ccpu386/out.c;softpc.new/base/ccpu386/pop.c;softpc.new/base/ccpu386/popa.c;softpc.new/base/ccpu386/popf.c;softpc.new/base/ccpu386/push.c;softpc.new/base/ccpu386/pusha.c;softpc.new/base/ccpu386/pushf.c;softpc.new/base/ccpu386/rcl.c;softpc.new/base/ccpu386/rcr.c;softpc.new/base/ccpu386/ret.c;softpc.new/base/ccpu386/rol.c;softpc.new/base/ccpu386/ror.c;softpc.new/base/ccpu386/rsrvd.c;softpc.new/base/ccpu386/sahf.c;softpc.new/base/ccpu386/sar.c;softpc.new/base/ccpu386/sbb.c;softpc.new/base/ccpu386/setxx.c;softpc.new/base/ccpu386/sgdt.c;softpc.new/base/ccpu386/shl.c;softpc.new/base/ccpu386/shld.c;softpc.new/base/ccpu386/shr.c;softpc.new/base/ccpu386/shrd.c;softpc.new/base/ccpu386/sidt.c;softpc.new/base/ccpu386/sldt.c;softpc.new/base/ccpu386/smsw.c;softpc.new/base/ccpu386/stc.c;softpc.new/base/ccpu386/std.c;softpc.new/base/ccpu386/sti.c;softpc.new/base/ccpu386/str.c;softpc.new/base/ccpu386/sub.c;softpc.new/base/ccpu386/test.c;softpc.new/base/ccpu386/verr.c;softpc.new/base/ccpu386/verw.c;softpc.new/base/ccpu386/wait.c;softpc.new/base/ccpu386/wbinvd.c;softpc.new/base/ccpu386/xadd.c;softpc.new/base/ccpu386/xchg.c;softpc.new/base/ccpu386/xlat.c;softpc.new/base/ccpu386/xor.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_bsic.h"	"122"	"122"	"softpc.new/base/ccpu386/aaa.c;softpc.new/base/ccpu386/aad.c;softpc.new/base/ccpu386/aam.c;softpc.new/base/ccpu386/aas.c;softpc.new/base/ccpu386/adc.c;softpc.new/base/ccpu386/add.c;softpc.new/base/ccpu386/and.c;softpc.new/base/ccpu386/arpl.c;softpc.new/base/ccpu386/bound.c;softpc.new/base/ccpu386/bsf.c;softpc.new/base/ccpu386/bsr.c;softpc.new/base/ccpu386/bswap.c;softpc.new/base/ccpu386/bt.c;softpc.new/base/ccpu386/btc.c;softpc.new/base/ccpu386/btr.c;softpc.new/base/ccpu386/bts.c;softpc.new/base/ccpu386/c_addr.c;softpc.new/base/ccpu386/c_bsic.c;softpc.new/base/ccpu386/c_debug.c;softpc.new/base/ccpu386/c_div64.c;softpc.new/base/ccpu386/c_intr.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_mul64.c;softpc.new/base/ccpu386/c_neg64.c;softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/c_prot.c;softpc.new/base/ccpu386/c_reg.c;softpc.new/base/ccpu386/c_seg.c;softpc.new/base/ccpu386/c_stack.c;softpc.new/base/ccpu386/c_tlb.c;softpc.new/base/ccpu386/c_tsksw.c;softpc.new/base/ccpu386/c_xcptn.c;softpc.new/base/ccpu386/c_xfer.c;softpc.new/base/ccpu386/c_xtrn.c;softpc.new/base/ccpu386/call.c;softpc.new/base/ccpu386/cbw.c;softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/cdq.c;softpc.new/base/ccpu386/clc.c;softpc.new/base/ccpu386/cld.c;softpc.new/base/ccpu386/cli.c;softpc.new/base/ccpu386/clts.c;softpc.new/base/ccpu386/cmc.c;softpc.new/base/ccpu386/cmp.c;softpc.new/base/ccpu386/cmpxchg.c;softpc.new/base/ccpu386/cwd.c;softpc.new/base/ccpu386/cwde.c;softpc.new/base/ccpu386/daa.c;softpc.new/base/ccpu386/das.c;softpc.new/base/ccpu386/dec.c;softpc.new/base/ccpu386/div.c;softpc.new/base/ccpu386/enter.c;softpc.new/base/ccpu386/idiv.c;softpc.new/base/ccpu386/imul.c;softpc.new/base/ccpu386/in.c;softpc.new/base/ccpu386/inc.c;softpc.new/base/ccpu386/into.c;softpc.new/base/ccpu386/intx.c;softpc.new/base/ccpu386/invd.c;softpc.new/base/ccpu386/invlpg.c;softpc.new/base/ccpu386/iret.c;softpc.new/base/ccpu386/jcxz.c;softpc.new/base/ccpu386/jmp.c;softpc.new/base/ccpu386/jxx.c;softpc.new/base/ccpu386/lahf.c;softpc.new/base/ccpu386/lar.c;softpc.new/base/ccpu386/lea.c;softpc.new/base/ccpu386/leave.c;softpc.new/base/ccpu386/lgdt.c;softpc.new/base/ccpu386/lidt.c;softpc.new/base/ccpu386/lldt.c;softpc.new/base/ccpu386/lmsw.c;softpc.new/base/ccpu386/loopxx.c;softpc.new/base/ccpu386/lsl.c;softpc.new/base/ccpu386/ltr.c;softpc.new/base/ccpu386/lxs.c;softpc.new/base/ccpu386/mov.c;softpc.new/base/ccpu386/movsx.c;softpc.new/base/ccpu386/mul.c;softpc.new/base/ccpu386/neg.c;softpc.new/base/ccpu386/nop.c;softpc.new/base/ccpu386/not.c;softpc.new/base/ccpu386/or.c;softpc.new/base/ccpu386/out.c;softpc.new/base/ccpu386/pop.c;softpc.new/base/ccpu386/popa.c;softpc.new/base/ccpu386/popf.c;softpc.new/base/ccpu386/push.c;softpc.new/base/ccpu386/pusha.c;softpc.new/base/ccpu386/pushf.c;softpc.new/base/ccpu386/rcl.c;softpc.new/base/ccpu386/rcr.c;softpc.new/base/ccpu386/ret.c;softpc.new/base/ccpu386/rol.c;softpc.new/base/ccpu386/ror.c;softpc.new/base/ccpu386/rsrvd.c;softpc.new/base/ccpu386/sahf.c;softpc.new/base/ccpu386/sar.c;softpc.new/base/ccpu386/sbb.c;softpc.new/base/ccpu386/setxx.c;softpc.new/base/ccpu386/sgdt.c;softpc.new/base/ccpu386/shl.c;softpc.new/base/ccpu386/shld.c;softpc.new/base/ccpu386/shr.c;softpc.new/base/ccpu386/shrd.c;softpc.new/base/ccpu386/sidt.c;softpc.new/base/ccpu386/sldt.c;softpc.new/base/ccpu386/smsw.c;softpc.new/base/ccpu386/stc.c;softpc.new/base/ccpu386/std.c;softpc.new/base/ccpu386/sti.c;softpc.new/base/ccpu386/str.c;softpc.new/base/ccpu386/sub.c;softpc.new/base/ccpu386/test.c;softpc.new/base/ccpu386/verr.c;softpc.new/base/ccpu386/verw.c;softpc.new/base/ccpu386/wait.c;softpc.new/base/ccpu386/wbinvd.c;softpc.new/base/ccpu386/xadd.c;softpc.new/base/ccpu386/xchg.c;softpc.new/base/ccpu386/xlat.c;softpc.new/base/ccpu386/xor.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_debug.h"	"5"	"4"	"softpc.new/base/ccpu386/c_debug.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/mov.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_div64.h"	"3"	"3"	"softpc.new/base/ccpu386/c_div64.c;softpc.new/base/ccpu386/div.c;softpc.new/base/ccpu386/idiv.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_intr.h"	"6"	"5"	"softpc.new/base/ccpu386/c_intr.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_xcptn.c;softpc.new/base/ccpu386/into.c;softpc.new/base/ccpu386/intx.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_main.h"	"123"	"123"	"softpc.new/base/ccpu386/aaa.c;softpc.new/base/ccpu386/aad.c;softpc.new/base/ccpu386/aam.c;softpc.new/base/ccpu386/aas.c;softpc.new/base/ccpu386/adc.c;softpc.new/base/ccpu386/add.c;softpc.new/base/ccpu386/and.c;softpc.new/base/ccpu386/arpl.c;softpc.new/base/ccpu386/bound.c;softpc.new/base/ccpu386/bsf.c;softpc.new/base/ccpu386/bsr.c;softpc.new/base/ccpu386/bswap.c;softpc.new/base/ccpu386/bt.c;softpc.new/base/ccpu386/btc.c;softpc.new/base/ccpu386/btr.c;softpc.new/base/ccpu386/bts.c;softpc.new/base/ccpu386/c_addr.c;softpc.new/base/ccpu386/c_bsic.c;softpc.new/base/ccpu386/c_debug.c;softpc.new/base/ccpu386/c_div64.c;softpc.new/base/ccpu386/c_intr.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_mul64.c;softpc.new/base/ccpu386/c_neg64.c;softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/c_prot.c;softpc.new/base/ccpu386/c_reg.c;softpc.new/base/ccpu386/c_seg.c;softpc.new/base/ccpu386/c_stack.c;softpc.new/base/ccpu386/c_tlb.c;softpc.new/base/ccpu386/c_tsksw.c;softpc.new/base/ccpu386/c_xcptn.c;softpc.new/base/ccpu386/c_xfer.c;softpc.new/base/ccpu386/c_xtrn.c;softpc.new/base/ccpu386/call.c;softpc.new/base/ccpu386/cbw.c;softpc.new/base/ccpu386/ccpusas4.c;softpc.new/base/ccpu386/cdq.c;softpc.new/base/ccpu386/clc.c;softpc.new/base/ccpu386/cld.c;softpc.new/base/ccpu386/cli.c;softpc.new/base/ccpu386/clts.c;softpc.new/base/ccpu386/cmc.c;softpc.new/base/ccpu386/cmp.c;softpc.new/base/ccpu386/cmpxchg.c;softpc.new/base/ccpu386/cwd.c;softpc.new/base/ccpu386/cwde.c;softpc.new/base/ccpu386/daa.c;softpc.new/base/ccpu386/das.c;softpc.new/base/ccpu386/dec.c;softpc.new/base/ccpu386/div.c;softpc.new/base/ccpu386/enter.c;softpc.new/base/ccpu386/idiv.c;softpc.new/base/ccpu386/imul.c;softpc.new/base/ccpu386/in.c;softpc.new/base/ccpu386/inc.c;softpc.new/base/ccpu386/into.c;softpc.new/base/ccpu386/intx.c;softpc.new/base/ccpu386/invd.c;softpc.new/base/ccpu386/invlpg.c;softpc.new/base/ccpu386/iret.c;softpc.new/base/ccpu386/jcxz.c;softpc.new/base/ccpu386/jmp.c;softpc.new/base/ccpu386/jxx.c;softpc.new/base/ccpu386/lahf.c;softpc.new/base/ccpu386/lar.c;softpc.new/base/ccpu386/lea.c;softpc.new/base/ccpu386/leave.c;softpc.new/base/ccpu386/lgdt.c;softpc.new/base/ccpu386/lidt.c;softpc.new/base/ccpu386/lldt.c;softpc.new/base/ccpu386/lmsw.c;softpc.new/base/ccpu386/loopxx.c;softpc.new/base/ccpu386/lsl.c;softpc.new/base/ccpu386/ltr.c;softpc.new/base/ccpu386/lxs.c;softpc.new/base/ccpu386/mov.c;softpc.new/base/ccpu386/movsx.c;softpc.new/base/ccpu386/mul.c;softpc.new/base/ccpu386/neg.c;softpc.new/base/ccpu386/nop.c;softpc.new/base/ccpu386/not.c;softpc.new/base/ccpu386/or.c;softpc.new/base/ccpu386/out.c;softpc.new/base/ccpu386/pop.c;softpc.new/base/ccpu386/popa.c;softpc.new/base/ccpu386/popf.c;softpc.new/base/ccpu386/push.c;softpc.new/base/ccpu386/pusha.c;softpc.new/base/ccpu386/pushf.c;softpc.new/base/ccpu386/rcl.c;softpc.new/base/ccpu386/rcr.c;softpc.new/base/ccpu386/ret.c;softpc.new/base/ccpu386/rol.c;softpc.new/base/ccpu386/ror.c;softpc.new/base/ccpu386/rsrvd.c;softpc.new/base/ccpu386/sahf.c;softpc.new/base/ccpu386/sar.c;softpc.new/base/ccpu386/sbb.c;softpc.new/base/ccpu386/setxx.c;softpc.new/base/ccpu386/sgdt.c;softpc.new/base/ccpu386/shl.c;softpc.new/base/ccpu386/shld.c;softpc.new/base/ccpu386/shr.c;softpc.new/base/ccpu386/shrd.c;softpc.new/base/ccpu386/sidt.c;softpc.new/base/ccpu386/sldt.c;softpc.new/base/ccpu386/smsw.c;softpc.new/base/ccpu386/stc.c;softpc.new/base/ccpu386/std.c;softpc.new/base/ccpu386/sti.c;softpc.new/base/ccpu386/str.c;softpc.new/base/ccpu386/sub.c;softpc.new/base/ccpu386/test.c;softpc.new/base/ccpu386/verr.c;softpc.new/base/ccpu386/verw.c;softpc.new/base/ccpu386/wait.c;softpc.new/base/ccpu386/wbinvd.c;softpc.new/base/ccpu386/xadd.c;softpc.new/base/ccpu386/xchg.c;softpc.new/base/ccpu386/xlat.c;softpc.new/base/ccpu386/xor.c;softpc.new/base/ccpu386/zfrsrvd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_mem.h"	"7"	"7"	"softpc.new/base/ccpu386/c_addr.c;softpc.new/base/ccpu386/c_intr.c;softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/c_page.c;softpc.new/base/ccpu386/c_tlb.c;softpc.new/base/ccpu386/c_xtrn.c;softpc.new/base/ccpu386/zfrsrvd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_mul64.h"	"3"	"3"	"softpc.new/base/ccpu386/c_mul64.c;softpc.new/base/ccpu386/imul.c;softpc.new/base/ccpu386/mul.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_neg64.h"	"3"	"3"	"softpc.new/base/ccpu386/c_div64.c;softpc.new/base/ccpu386/c_mul64.c;softpc.new/base/ccpu386/c_neg64.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
"c_oprnd.h"	"3"	"2"	"softpc.new/base/ccpu386/c_main.c;softpc.new/base/ccpu386/zfrsrvd.c"	""	""	"selected-mvdm-header; no external package edge"	"classify public compiler/API leaf or resolve spelling"	"mvdm selected union"	"internal-or-selected-input"
