"file_id"	"source_path"	"sha256"	"file_kind"	"final_disposition"	"target_owner"	"non_link_reason"	"evidence"	"source_derived_adapter_disposition"	"modern_nonintrusive_route"	"adapter_audit_owner"
"KERNEL-VDM-FILE-0011"	"base/ntos/vdm/x86/genvdmtb.m4"	"4a574a396de038134470f74c65c6488a88938f43b33486b43118fbdae4294c8f"	"build-or-resource"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0012"	"base/ntos/vdm/x86/rdwr.c"	"b469f3e8d62590a4b2bcc82362faf8e0bd5d2f162abfea85af041754ac6c1493"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0013"	"base/ntos/vdm/x86/strtexec.c"	"714855f36efa757aa7c8c5fe49c2fbe37964042edbe9d49f4f1fbf13a3445ffb"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0014"	"base/ntos/vdm/x86/vdm.inc"	"e75c3859c62e156b1d11d70abf4513b0e11c3672355b478bf97bc4bd3c5de7d3"	"kernel-declaration-or-implementation-carrier"	"declaration-contract-evidence-only"	"mvdm-platform-abi declarations as individually selected"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0015"	"base/ntos/vdm/x86/vdmentry.c"	"656ccc1c728ef54e96427b4b73b842c73cf7704151580fe6057b19d1dd633f6f"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0016"	"base/ntos/vdm/x86/vdmfault.c"	"d494654d4255948878cb961d8313cbd8e439d1d4752188e88d27e5d2a837503b"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0017"	"base/ntos/vdm/x86/vdminit.c"	"989ac11091a2a282e7d6fd1440a8c2539f26374205c2910ebc78c95d51e638fd"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0018"	"base/ntos/vdm/x86/vdmints.c"	"d8c09d534204d086975fc66df79c4bd1f7f124563fa00769d10127d530c6b44b"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0019"	"base/ntos/vdm/x86/vdmmisc.asm"	"74d5d094303fa049e72b9226938072f0072c855ee7ba01a618860c0c0087f4c4"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0020"	"base/ntos/vdm/x86/vdmnpx.c"	"26b13877aca867e1f539167e95746254196916694c5cc289aadfba144ecf289f"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0021"	"base/ntos/vdm/x86/vdmop0f.asm"	"505c917feb9197a32beff90e228aa871221a8255bd2215a9ec8396d0fd894b99"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0022"	"base/ntos/vdm/x86/vdmoprnd.asm"	"3db2c684662f443a6ce2171bcfea68c9e9d19280c2732c5c9595ddb0d20f4e00"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0023"	"base/ntos/vdm/x86/vdmp.h"	"18bcca4b7ecdb6d52a2918af57b05ae5177af1a10778cb58cc1fa57ce8ccaf1f"	"kernel-declaration-or-implementation-carrier"	"declaration-contract-evidence-only"	"mvdm-platform-abi declarations as individually selected"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0024"	"base/ntos/vdm/x86/vdmprint.c"	"071bd6a307a39d4a48f21006c5e25c838a9c2b87b56264697c00b8ee232e7567"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0025"	"base/ntos/vdm/x86/vdmprint.h"	"7d6726ef7e6071cd605c4d57f4af57827b20263de8c42de0d7620f04ca1a9e3c"	"kernel-declaration-or-implementation-carrier"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending declaration/build-carrier classification"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
"KERNEL-VDM-FILE-0026"	"base/ntos/vdm/x86/vdmtrace.c"	"7162bc46ad5b48c00dc237f83bbf7f41cc6809d17c0d8cfa1e9e5f34add8a0d9"	"kernel-source"	"not-host-runtime"	"none; retained external kernel-contract evidence"	"requires NT kernel VDM, kernel objects, IRQL, IRP/MDL or hardware VDM execution; must not enter user-mode host closure"	"adapter-source-reuse-at-stopping-boundaries-001.md"	"pending per-function/per-block adapter-reuse audit"	"pending per-function/per-block audit: public Win32, adapter-bochs, session/broker, or explicit unavailable"	"future kernel-contract audit packet"
