zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	exclusion
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1213"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1213"	"DdeClientTransaction"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1401"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1401"	"DdeGetLastError"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1500"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1500"	"DdeCreateDataHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1547"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1547"	"DdeAddData"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1716"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1716"	"DdeAccessData"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1756"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1756"	"DdeUnaccessData"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1781"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1781"	"HDdeData_Validate"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1807"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1807"	"DdeFreeDataHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1883"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1883"	"DdeCreateStringHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1926"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1926"	"DdeFreeStringHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1953"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1953"	"DdeKeepStringHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|1981"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"1981"	"DdeQueryString"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|2029"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"2029"	"DdeCmpStringHandles"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|2052"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"2052"	"DdeAbandonTransaction"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|2106"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"2106"	"AbandonTransaction"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|2178"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"2178"	"DdeEnableCallback"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/ddeml.c|db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6|2257"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/ddeml.c"	"db5e05ec3476aad827158ee92c97bcf499d5e16afe6cdbab8b232210ea100de6"	"2257"	"DdeNameService"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|24"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"24"	"GetCurrentAppInfo"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|350"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"350"	"CmpAdv"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|371"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"371"	"CountAdvReqLeft"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|392"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"392"	"AddAdvList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|429"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"429"	"DeleteAdvList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|457"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"457"	"FindAdvList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|511"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"511"	"CleanupAdvList"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|926"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdb.c"	"a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71"	"926"	"ValidateHConv"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdde.c|e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505|45"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"45"	"timeout"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdde.c|e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505|260"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"260"	"PostDdeMessage"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdde.c|e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505|451"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgdde.c"	"e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505"	"451"	"EmptyDDEPostQ"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|73"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"73"	"DumpGmObject"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|261"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"261"	"LogDdeObject"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|308"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"308"	"DumpGlobalLogs"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|479"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"479"	"FarFreeMem"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|549"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmem.c"	"94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8"	"549"	"RegisterClasses"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmon.c|cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925|67"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmon.c"	"cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925"	"67"	"MonBrdcastCB"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmon.c|cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925|221"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmon.c"	"cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925"	"221"	"MonitorBroadcast"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmon.c|cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925|247"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgmon.c"	"cc5f2fc70db0a2fb0bfed3f5ef6b43edad78f9cb90e4ab7e8c9662f3fbff0925"	"247"	"allocMonBuf"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgq.c|254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b|193"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgq.c"	"254d37ce3990229730dbbfc3cb97c2d32f2eef2d514385abc08b49f77f825e0b"	"193"	"FindNextQi"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|551"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"551"	"CheckCBQ"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|645"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"645"	"Disconnect"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|770"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"770"	"Terminate"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|1083"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"1083"	"ChildMsg"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|1272"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"1272"	"DoCallback"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgwndp.c|90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875|1369"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/dmgwndp.c"	"90ed7ba26029ba4b2dda2cd4bc6f857bf6a6150c6f8f97d9fe2ce02a89283875"	"1369"	"dbz"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|96"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/hdata.c"	"ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8"	"96"	"FreeDataHandle"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|174"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"wow16/ddeml/hdata.c"	"ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8"	"174"	"DllEntry"	"mvdm-guest source is not a zero-degree host root or admitted host closure member"
