record_id	architecture	source_path	source_line	warning	message	occurrence_count	review_cluster	source_review_requirement	disposition
T310-S8-P4-WARN-000021	x64	src/mvdm-host/dos/command/cmdconf.c	532	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000022	x86	src/mvdm-host/dos/command/cmdconf.c	532	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000023	x64	src/mvdm-host/dos/command/cmdconf.c	535	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000024	x86	src/mvdm-host/dos/command/cmdconf.c	535	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000025	x64	src/mvdm-host/dos/command/cmdconf.c	536	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000026	x86	src/mvdm-host/dos/command/cmdconf.c	536	C4996	'strcat': This function or variable may be unsafe. Consider using strcat_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000027	x64	src/mvdm-host/dos/command/cmdconf.c	539	C4267	'function': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000028	x64	src/mvdm-host/dos/command/cmdconf.c	587	C4244	'=': conversion from '__int64' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000029	x64	src/mvdm-host/dos/command/cmdconf.c	604	C4244	'=': conversion from '__int64' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000030	x64	src/mvdm-host/dos/command/cmdenv.c	64	C4013	'RtlCreateEnvironment' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000031	x86	src/mvdm-host/dos/command/cmdenv.c	64	C4013	'RtlCreateEnvironment' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000032	x64	src/mvdm-host/dos/command/cmdenv.c	84	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000033	x86	src/mvdm-host/dos/command/cmdenv.c	84	C4244	'=': conversion from 'unsigned int' to 'USHORT', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000034	x64	src/mvdm-host/dos/command/cmdenv.c	86	C4013	'RtlSetEnvironmentVariable' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000035	x86	src/mvdm-host/dos/command/cmdenv.c	86	C4013	'RtlSetEnvironmentVariable' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000036	x64	src/mvdm-host/dos/command/cmdenv.c	88	C4013	'RtlDestroyEnvironment' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000037	x86	src/mvdm-host/dos/command/cmdenv.c	88	C4013	'RtlDestroyEnvironment' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000038	x64	src/mvdm-host/dos/command/cmdenv.c	135	C4013	'RtlOemStringToUnicodeString' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000039	x86	src/mvdm-host/dos/command/cmdenv.c	135	C4013	'RtlOemStringToUnicodeString' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000040	x64	src/mvdm-host/dos/command/cmdenv.c	143	C4267	'=': conversion from 'size_t' to 'USHORT', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000041	x86	src/mvdm-host/dos/command/cmdenv.c	143	C4244	'=': conversion from 'unsigned int' to 'USHORT', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000042	x64	src/mvdm-host/dos/command/cmdenv.c	216	C4267	'=': conversion from 'size_t' to 'WORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000043	x86	src/mvdm-host/dos/command/cmdenv.c	216	C4267	'=': conversion from 'size_t' to 'WORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000044	x64	src/mvdm-host/dos/command/cmdenv.c	234	C4267	'=': conversion from 'size_t' to 'WORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000045	x86	src/mvdm-host/dos/command/cmdenv.c	234	C4267	'=': conversion from 'size_t' to 'WORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000046	x64	src/mvdm-host/dos/command/cmdenv.c	281	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000047	x86	src/mvdm-host/dos/command/cmdenv.c	281	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000048	x64	src/mvdm-host/dos/command/cmdenv.c	316	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000049	x86	src/mvdm-host/dos/command/cmdenv.c	316	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000050	x64	src/mvdm-host/dos/command/cmdenv.c	394	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000051	x64	src/mvdm-host/dos/command/cmdenv.c	425	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000052	x86	src/mvdm-host/dos/command/cmdenv.c	425	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000053	x64	src/mvdm-host/dos/command/cmdenv.c	509	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000054	x64	src/mvdm-host/dos/command/cmdenv.c	511	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000055	x64	src/mvdm-host/dos/command/cmdenv.c	520	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000056	x64	src/mvdm-host/dos/command/cmdenv.c	570	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000057	x86	src/mvdm-host/dos/command/cmdenv.c	570	C4996	'_strupr': This function or variable may be unsafe. Consider using _strupr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000058	x64	src/mvdm-host/dos/command/cmdenv.c	673	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000059	x64	src/mvdm-host/dos/command/cmdenv.c	682	C4706	assignment used as a condition	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000060	x86	src/mvdm-host/dos/command/cmdenv.c	682	C4706	assignment used as a condition	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000061	x64	src/mvdm-host/dos/command/cmdenv.c	688	C4267	'=': conversion from 'size_t' to 'DWORD', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000062	x64	src/mvdm-host/dos/command/cmdexec.c	69	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000063	x86	src/mvdm-host/dos/command/cmdexec.c	69	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000064	x64	src/mvdm-host/dos/command/cmdexec.c	74	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000065	x86	src/mvdm-host/dos/command/cmdexec.c	74	C4996	'strncpy': This function or variable may be unsafe. Consider using strncpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000066	x64	src/mvdm-host/dos/command/cmdexec.c	87	C4057	'function': 'LPBYTE' differs in indirection to slightly different base types from 'char [12]'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000067	x86	src/mvdm-host/dos/command/cmdexec.c	87	C4057	'function': 'LPBYTE' differs in indirection to slightly different base types from 'char [12]'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000068	x64	src/mvdm-host/dos/command/cmdexec.c	103	C4996	'_strlwr': This function or variable may be unsafe. Consider using _strlwr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000069	x86	src/mvdm-host/dos/command/cmdexec.c	103	C4996	'_strlwr': This function or variable may be unsafe. Consider using _strlwr_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000070	x64	src/mvdm-host/dos/command/cmdexec.c	109	C4996	'sscanf': This function or variable may be unsafe. Consider using sscanf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000071	x86	src/mvdm-host/dos/command/cmdexec.c	109	C4996	'sscanf': This function or variable may be unsafe. Consider using sscanf_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000072	x64	src/mvdm-host/dos/command/cmdexec.c	162	C4013	'RtlOemStringToUnicodeString' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000073	x86	src/mvdm-host/dos/command/cmdexec.c	162	C4013	'RtlOemStringToUnicodeString' undefined; assuming extern returning int	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000074	x64	src/mvdm-host/dos/command/cmdexec.c	169	C4057	'function': 'LPDWORD' differs in indirection to slightly different base types from 'LPLONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000075	x86	src/mvdm-host/dos/command/cmdexec.c	169	C4057	'function': 'LPDWORD' differs in indirection to slightly different base types from 'LPLONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000076	x64	src/mvdm-host/dos/command/cmdexec.c	222	C4267	'=': conversion from 'size_t' to 'ULONG', possible loss of data	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000077	x64	src/mvdm-host/dos/command/cmdexec.c	250	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000078	x86	src/mvdm-host/dos/command/cmdexec.c	250	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000079	x64	src/mvdm-host/dos/command/cmdexec.c	252	C4311	'type cast': pointer truncation from 'PCHAR' to 'ULONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000080	x64	src/mvdm-host/dos/command/cmdexec.c	252	C4311	'type cast': pointer truncation from 'UCHAR *' to 'ULONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000081	x64	src/mvdm-host/dos/command/cmdexec.c	252	C4312	'type cast': conversion from 'unsigned long' to 'PCHAR' of greater size	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000082	x64	src/mvdm-host/dos/command/cmdexec.c	253	C4311	'type cast': pointer truncation from 'PCHAR' to 'ULONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000083	x64	src/mvdm-host/dos/command/cmdexec.c	255	C4311	'type cast': pointer truncation from 'PCHAR' to 'ULONG'	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000084	x64	src/mvdm-host/dos/command/cmdexec.c	263	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
T310-S8-P4-WARN-000085	x86	src/mvdm-host/dos/command/cmdexec.c	263	C4996	'strcpy': This function or variable may be unsafe. Consider using strcpy_s instead. To disable deprecation, use _CRT_SECURE_NO_WARNINGS. See online help for details.	1	MVDM-DOS-OWNER-PACKAGE	read original declaration/caller/initializer and reconcile with static ABI inventory; warning alone is not a defect decision	unreviewed-source-context-required
