canonical_interface_id	callee_spelling	raw_candidate_ids	raw_call_site_count	resolution	original_definition_ids	original_definition_identities	basis
"MVDM-FIRST-INTERFACE-000028"	"a3_getDS"	"MVDM-FIRST-CANDIDATE-001861"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000029"	"a3_getDX"	"MVDM-FIRST-CANDIDATE-001862"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000030"	"a3_getES"	"MVDM-FIRST-CANDIDATE-001863"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000031"	"a3_getIF"	"MVDM-FIRST-CANDIDATE-001870"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000032"	"a3_getIP"	"MVDM-FIRST-CANDIDATE-001866;MVDM-FIRST-CANDIDATE-001906"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000033"	"a3_getOF"	"MVDM-FIRST-CANDIDATE-001872"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000034"	"a3_getPF"	"MVDM-FIRST-CANDIDATE-001873"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000035"	"a3_getSF"	"MVDM-FIRST-CANDIDATE-001874"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000036"	"a3_getSI"	"MVDM-FIRST-CANDIDATE-001864"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000037"	"a3_getSP"	"MVDM-FIRST-CANDIDATE-001865"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000038"	"a3_getSS"	"MVDM-FIRST-CANDIDATE-001867"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000039"	"a3_getZF"	"MVDM-FIRST-CANDIDATE-001875"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000040"	"a3_p_setMSW"	"MVDM-FIRST-CANDIDATE-001871;MVDM-FIRST-CANDIDATE-001897"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000041"	"a3_setAF"	"MVDM-FIRST-CANDIDATE-001892"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000042"	"a3_setAH"	"MVDM-FIRST-CANDIDATE-001877"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000043"	"a3_setAL"	"MVDM-FIRST-CANDIDATE-001876"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000044"	"a3_setAX"	"MVDM-FIRST-CANDIDATE-001878"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000045"	"a3_setBH"	"MVDM-FIRST-CANDIDATE-001881"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000046"	"a3_setBL"	"MVDM-FIRST-CANDIDATE-001880"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000047"	"a3_setBP"	"MVDM-FIRST-CANDIDATE-001879"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000048"	"a3_setBX"	"MVDM-FIRST-CANDIDATE-001882"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000049"	"a3_setCF"	"MVDM-FIRST-CANDIDATE-001883"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000050"	"a3_setCH"	"MVDM-FIRST-CANDIDATE-001884"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000051"	"a3_setCL"	"MVDM-FIRST-CANDIDATE-001885"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000052"	"a3_setCS"	"MVDM-FIRST-CANDIDATE-001905"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000053"	"a3_setCX"	"MVDM-FIRST-CANDIDATE-001886"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000054"	"a3_setDF"	"MVDM-FIRST-CANDIDATE-001900"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000055"	"a3_setDH"	"MVDM-FIRST-CANDIDATE-001887"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000056"	"a3_setDI"	"MVDM-FIRST-CANDIDATE-001891"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000057"	"a3_setDL"	"MVDM-FIRST-CANDIDATE-001888"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000058"	"a3_setDS"	"MVDM-FIRST-CANDIDATE-001904"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000059"	"a3_setDX"	"MVDM-FIRST-CANDIDATE-001889"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000060"	"a3_setES"	"MVDM-FIRST-CANDIDATE-001903"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000061"	"a3_setIF"	"MVDM-FIRST-CANDIDATE-001893"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000062"	"a3_setIP"	"MVDM-FIRST-CANDIDATE-001899;MVDM-FIRST-CANDIDATE-001907"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000063"	"a3_setOF"	"MVDM-FIRST-CANDIDATE-001894"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000064"	"a3_setPF"	"MVDM-FIRST-CANDIDATE-001895"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000065"	"a3_setSF"	"MVDM-FIRST-CANDIDATE-001896"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000066"	"a3_setSI"	"MVDM-FIRST-CANDIDATE-001890"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000067"	"a3_setSP"	"MVDM-FIRST-CANDIDATE-001901"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000068"	"a3_setSS"	"MVDM-FIRST-CANDIDATE-001902"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000069"	"a3_setZF"	"MVDM-FIRST-CANDIDATE-001898"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000070"	"AbortDoc"	"MVDM-FIRST-CANDIDATE-002404"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000071"	"AddFontResourceA"	"MVDM-FIRST-CANDIDATE-002441"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000072"	"AddFontResourceTracking"	"MVDM-FIRST-CANDIDATE-002440"	"1"	"original-definition-variant-family"	";"	"undefined:2528@8c74be8f5336de7e204897241ba375ca63c481717a781c25ef8320bd7a59282d;undefined:2528@8c74be8f5336de7e204897241ba375ca63c481717a781c25ef8320bd7a59282d"	"Include-constrained package roots (base/mvdm) had no body; every approved-tree candidate is retained without selecting a provider."
"MVDM-FIRST-INTERFACE-000073"	"AddToTraceXBuffer"	"MVDM-FIRST-CANDIDATE-001194"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000074"	"AdjustWindowRect"	"MVDM-FIRST-CANDIDATE-002801"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000075"	"AnimatePalette"	"MVDM-FIRST-CANDIDATE-002448"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000076"	"AnyPopup"	"MVDM-FIRST-CANDIDATE-002802"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000077"	"Arc"	"MVDM-FIRST-CANDIDATE-002263"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000078"	"AsyncDispositionRoutine"	"MVDM-FIRST-CANDIDATE-002110"	"1"	"no-original-c-cpp-definition-found-in-approved-trees"	""	""	"No C/C++ body definition was found in either approved tree after include-constrained roots (base/mvdm) and the discovery fallback."
"MVDM-FIRST-INTERFACE-000079"	"atan2"	"MVDM-FIRST-CANDIDATE-000364;MVDM-FIRST-CANDIDATE-000365"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000080"	"b_write"	"MVDM-FIRST-CANDIDATE-000424;MVDM-FIRST-CANDIDATE-000426"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000081"	"BeginDeferWindowPos"	"MVDM-FIRST-CANDIDATE-002803"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000082"	"BitBlt"	"MVDM-FIRST-CANDIDATE-002264"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000083"	"bop_name"	"MVDM-FIRST-CANDIDATE-001004"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000084"	"BringWindowToTop"	"MVDM-FIRST-CANDIDATE-002804"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000085"	"byte_at"	"MVDM-FIRST-CANDIDATE-000996;MVDM-FIRST-CANDIDATE-000997;MVDM-FIRST-CANDIDATE-000998;MVDM-FIRST-CANDIDATE-000999;MVDM-FIRST-CANDIDATE-001000;MVDM-FIRST-CANDIDATE-001001;MVDM-FIRST-CANDIDATE-001002;MVDM-FIRST-CANDIDATE-001003;MVDM-FIRST-CANDIDATE-001005"	"9"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000086"	"call_ica_hw_interrupt"	"MVDM-FIRST-CANDIDATE-002108;MVDM-FIRST-CANDIDATE-002109;MVDM-FIRST-CANDIDATE-002111;MVDM-FIRST-CANDIDATE-002544"	"4"	"no-original-c-cpp-definition-found-in-approved-trees"	""	""	"No C/C++ body definition was found in either approved tree after include-constrained roots (base/mvdm) and the discovery fallback."
"MVDM-FIRST-INTERFACE-000087"	"cannot_phy_write_byte"	"MVDM-FIRST-CANDIDATE-000328;MVDM-FIRST-CANDIDATE-000331;MVDM-FIRST-CANDIDATE-000338;MVDM-FIRST-CANDIDATE-000339;MVDM-FIRST-CANDIDATE-000340;MVDM-FIRST-CANDIDATE-000342;MVDM-FIRST-CANDIDATE-000343"	"7"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000088"	"cannot_phy_write_dword"	"MVDM-FIRST-CANDIDATE-000329;MVDM-FIRST-CANDIDATE-000332"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000089"	"cannot_phy_write_word"	"MVDM-FIRST-CANDIDATE-000330;MVDM-FIRST-CANDIDATE-000333"	"2"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000090"	"ceil"	"MVDM-FIRST-CANDIDATE-000349;MVDM-FIRST-CANDIDATE-000352;MVDM-FIRST-CANDIDATE-000355;MVDM-FIRST-CANDIDATE-000356;MVDM-FIRST-CANDIDATE-000369"	"5"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000091"	"CheckRadioButton"	"MVDM-FIRST-CANDIDATE-002753"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000092"	"Chord"	"MVDM-FIRST-CANDIDATE-002267"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000093"	"ClearCommBreak"	"MVDM-FIRST-CANDIDATE-001335;MVDM-FIRST-CANDIDATE-001346;MVDM-FIRST-CANDIDATE-002715"	"3"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000094"	"ClearCommError"	"MVDM-FIRST-CANDIDATE-001344;MVDM-FIRST-CANDIDATE-001352;MVDM-FIRST-CANDIDATE-001354;MVDM-FIRST-CANDIDATE-001359;MVDM-FIRST-CANDIDATE-001361;MVDM-FIRST-CANDIDATE-002742"	"6"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000095"	"clearconsole"	"MVDM-FIRST-CANDIDATE-001991"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000096"	"clock"	"MVDM-FIRST-CANDIDATE-001033"	"1"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000097"	"CloseMetaFile"	"MVDM-FIRST-CANDIDATE-002445;MVDM-FIRST-CANDIDATE-002447"	"2"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
"MVDM-FIRST-INTERFACE-000098"	"cmos_read"	"MVDM-FIRST-CANDIDATE-001097;MVDM-FIRST-CANDIDATE-001098;MVDM-FIRST-CANDIDATE-001142;MVDM-FIRST-CANDIDATE-001143;MVDM-FIRST-CANDIDATE-001144;MVDM-FIRST-CANDIDATE-001145;MVDM-FIRST-CANDIDATE-001148;MVDM-FIRST-CANDIDATE-001149;MVDM-FIRST-CANDIDATE-001153;MVDM-FIRST-CANDIDATE-001155;MVDM-FIRST-CANDIDATE-001156;MVDM-FIRST-CANDIDATE-001157;MVDM-FIRST-CANDIDATE-001158;MVDM-FIRST-CANDIDATE-001161;MVDM-FIRST-CANDIDATE-001162;MVDM-FIRST-CANDIDATE-001168;MVDM-FIRST-CANDIDATE-001170;MVDM-FIRST-CANDIDATE-001173;MVDM-FIRST-CANDIDATE-001174;MVDM-FIRST-CANDIDATE-001178;MVDM-FIRST-CANDIDATE-001180;MVDM-FIRST-CANDIDATE-001182"	"22"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000099"	"cmos_write"	"MVDM-FIRST-CANDIDATE-001146;MVDM-FIRST-CANDIDATE-001147;MVDM-FIRST-CANDIDATE-001150;MVDM-FIRST-CANDIDATE-001151;MVDM-FIRST-CANDIDATE-001152;MVDM-FIRST-CANDIDATE-001154;MVDM-FIRST-CANDIDATE-001159;MVDM-FIRST-CANDIDATE-001160;MVDM-FIRST-CANDIDATE-001163;MVDM-FIRST-CANDIDATE-001164;MVDM-FIRST-CANDIDATE-001165;MVDM-FIRST-CANDIDATE-001166;MVDM-FIRST-CANDIDATE-001167;MVDM-FIRST-CANDIDATE-001169;MVDM-FIRST-CANDIDATE-001171;MVDM-FIRST-CANDIDATE-001172;MVDM-FIRST-CANDIDATE-001175;MVDM-FIRST-CANDIDATE-001176;MVDM-FIRST-CANDIDATE-001177;MVDM-FIRST-CANDIDATE-001179;MVDM-FIRST-CANDIDATE-001181"	"21"	"original-boundary-no-body-search"	""	""	"All original raw call sites terminate at a public/private/kernel/not-host-runtime boundary; T299 does not search beyond that boundary."
"MVDM-FIRST-INTERFACE-000100"	"CombineRgn"	"MVDM-FIRST-CANDIDATE-002268"	"1"	"public-win32-or-crt-leaf"	""	""	"T298 public Win32/CRT leaf classification; no original body search is required."
