"include"	"disposition"	"occurrence_count"	"source_count"	"forms"	"selected_candidate"	"first_source"	"first_line"	"rationale"
"apistruc.h"	"mvdm-selected-include"	"2"	"2"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\apistruc.h"	"vdmredir/vrmslot.c"	"87"	"include name maps to a selected MVDM union path"
"apiworke.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\ds\netapi\rpcxlate\apiworke.h;O:\repos.external\OpenNT-4.5\nt\private\net\rpcxlate\apiworke.h;O:\repos.external\OpenNT-4.5\nt\private\os2\client\apiworke.h"	"vdmredir/vrremote.c"	"64"	"multiple same-basename candidates; package and declaration review required before import"
"arpl.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\arpl.h"	"softpc.new/base/ccpu386/arpl.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"assert.h"	"toolchain-or-public-sdk"	"4"	"4"	"angle"	""	"softpc.new/base/ccpu386/ccpupig.c"	"33"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"at_stuff.seg"	"unresolved-external-include"	"4"	"4"	"quote"	""	"softpc.new/base/bios/cntlbop.c"	"39"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"avm361.h"	"unresolved-external-include"	"1"	"1"	"quote"	""	"softpc.new/base/video/cga.c"	"96"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"base_def.h"	"mvdm-selected-include"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\base_def.h"	"softpc.new/host/inc/insignia.h"	"34"	"include name maps to a selected MVDM union path"
"bde.h"	"mvdm-local-direct"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\bde\bde.h"	"bde/precomp.h"	"17"	"quoted include resolves beside one or more selected MVDM sources"
"bios.h"	"mvdm-selected-include"	"47"	"47"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\bios.h"	"softpc.new/base/bios/bios.c"	"43"	"include name maps to a selected MVDM union path"
"bios_support.seg"	"unresolved-external-include"	"1"	"1"	"quote"	""	"softpc.new/base/bios/bios.c"	"29"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"bop.h"	"mvdm-local-direct"	"6"	"6"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\bop.h"	"dbg/dbg.c"	"20"	"quoted include resolves beside one or more selected MVDM sources"
"bound.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bound.h"	"softpc.new/base/ccpu386/bound.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"bsf.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bsf.h"	"softpc.new/base/ccpu386/bsf.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"bsr.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bsr.h"	"softpc.new/base/ccpu386/bsr.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"bswap.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bswap.h"	"softpc.new/base/ccpu386/bswap.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"bt.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bt.h"	"softpc.new/base/ccpu386/bt.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"btc.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\btc.h"	"softpc.new/base/ccpu386/btc.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"btr.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\btr.h"	"softpc.new/base/ccpu386/btr.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"bts.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\bts.h"	"softpc.new/base/ccpu386/bts.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"build_id.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\build_id.h"	"softpc.new/base/bios/build_id.c"	"30"	"include name maps to a selected MVDM union path"
"c_addr.h"	"mvdm-local-direct"	"121"	"121"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_addr.h"	"softpc.new/base/ccpu386/aaa.c"	"19"	"quoted include resolves beside one or more selected MVDM sources"
"c_bsic.h"	"mvdm-local-direct"	"122"	"122"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_bsic.h"	"softpc.new/base/ccpu386/aaa.c"	"20"	"quoted include resolves beside one or more selected MVDM sources"
"c_debug.h"	"mvdm-local-direct"	"5"	"4"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_debug.h"	"softpc.new/base/ccpu386/c_debug.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"c_div64.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_div64.h"	"softpc.new/base/ccpu386/c_div64.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"c_intr.h"	"mvdm-local-direct"	"6"	"5"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_intr.h"	"softpc.new/base/ccpu386/c_intr.c"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"c_main.h"	"mvdm-local-direct"	"123"	"123"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_main.h"	"softpc.new/base/ccpu386/aaa.c"	"18"	"quoted include resolves beside one or more selected MVDM sources"
"c_mem.h"	"mvdm-local-direct"	"7"	"7"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_mem.h"	"softpc.new/base/ccpu386/c_addr.c"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"c_mul64.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_mul64.h"	"softpc.new/base/ccpu386/c_mul64.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"c_neg64.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_neg64.h"	"softpc.new/base/ccpu386/c_div64.c"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"c_oprnd.h"	"mvdm-local-direct"	"3"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_oprnd.h"	"softpc.new/base/ccpu386/c_main.c"	"42"	"quoted include resolves beside one or more selected MVDM sources"
"c_page.h"	"mvdm-local-direct"	"19"	"18"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_page.h"	"softpc.new/base/ccpu386/c_bsic.c"	"26"	"quoted include resolves beside one or more selected MVDM sources"
"c_prot.h"	"mvdm-local-direct"	"121"	"121"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_prot.h"	"softpc.new/base/ccpu386/aaa.c"	"21"	"quoted include resolves beside one or more selected MVDM sources"
"c_reg.h"	"mvdm-local-direct"	"125"	"125"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_reg.h"	"softpc.new/base/ccpu386/aaa.c"	"25"	"quoted include resolves beside one or more selected MVDM sources"
"c_seg.h"	"mvdm-local-direct"	"121"	"121"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_seg.h"	"softpc.new/base/ccpu386/aaa.c"	"22"	"quoted include resolves beside one or more selected MVDM sources"
"c_stack.h"	"mvdm-local-direct"	"121"	"121"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_stack.h"	"softpc.new/base/ccpu386/aaa.c"	"23"	"quoted include resolves beside one or more selected MVDM sources"
"c_tlb.h"	"mvdm-local-direct"	"6"	"6"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_tlb.h"	"softpc.new/base/ccpu386/c_page.c"	"27"	"quoted include resolves beside one or more selected MVDM sources"
"c_tsksw.h"	"mvdm-local-direct"	"5"	"5"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_tsksw.h"	"softpc.new/base/ccpu386/c_intr.c"	"28"	"quoted include resolves beside one or more selected MVDM sources"
"c_xcptn.h"	"mvdm-local-direct"	"124"	"124"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_xcptn.h"	"softpc.new/base/ccpu386/aaa.c"	"24"	"quoted include resolves beside one or more selected MVDM sources"
"c_xfer.h"	"mvdm-local-direct"	"9"	"9"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_xfer.h"	"softpc.new/base/ccpu386/c_intr.c"	"27"	"quoted include resolves beside one or more selected MVDM sources"
"c_xtrn.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\c_xtrn.h"	"softpc.new/base/ccpu386/c_reg.c"	"34"	"quoted include resolves beside one or more selected MVDM sources"
"call.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\call.h"	"softpc.new/base/ccpu386/c_main.c"	"68"	"quoted include resolves beside one or more selected MVDM sources"
"cbw.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cbw.h"	"softpc.new/base/ccpu386/c_main.c"	"69"	"quoted include resolves beside one or more selected MVDM sources"
"ccpupig.h"	"mvdm-local-direct"	"8"	"8"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ccpupig.h"	"softpc.new/base/ccpu386/c_addr.c"	"27"	"quoted include resolves beside one or more selected MVDM sources"
"ccpusas4.h"	"mvdm-local-direct"	"9"	"9"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\ccpusas4.h"	"softpc.new/base/ccpu386/c_getset.c"	"48"	"quoted include resolves beside one or more selected MVDM sources"
"cderr.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\wow16\commdlg\cderr.h;O:\repos.external\OpenNT\base\mvdm\wow16\inc\cderr.h;O:\repos.external\OpenNT\com\ole32\olethunk\ole16\inc\cderr.h;O:\repos.external\OpenNT\public\sdk\inc\cderr.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\cderr.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\commdlg\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\inc\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\ole32\olethunk\ole16\inc\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\cderr.h;O:\repos.external\OpenNT-4.5\nt\private\windows\shell\accesory\terminal\cderr.h"	"wow32/wcommdlg.c"	"25"	"multiple same-basename candidates; package and declaration review required before import"
"cdq.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cdq.h"	"softpc.new/base/ccpu386/c_main.c"	"70"	"quoted include resolves beside one or more selected MVDM sources"
"cfpu_def.h"	"mvdm-selected-include"	"2"	"2"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\cfpu_def.h"	"softpc.new/base/ccpu386/fpu.c"	"21"	"include name maps to a selected MVDM union path"
"cga.h"	"mvdm-selected-include"	"8"	"8"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cga.h"	"softpc.new/base/keymouse/mouse.c"	"56"	"include name maps to a selected MVDM union path"
"chkmallc.h"	"mvdm-selected-include"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\chkmallc.h"	"softpc.new/host/src/stubs.c"	"14"	"include name maps to a selected MVDM union path"
"ckmalloc.h"	"mvdm-selected-include"	"13"	"12"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\ckmalloc.h"	"softpc.new/base/ccpu386/ccpusas4.c"	"48"	"include name maps to a selected MVDM union path"
"clc.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\clc.h"	"softpc.new/base/ccpu386/c_main.c"	"71"	"quoted include resolves beside one or more selected MVDM sources"
"cld.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cld.h"	"softpc.new/base/ccpu386/c_main.c"	"72"	"quoted include resolves beside one or more selected MVDM sources"
"cli.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cli.h"	"softpc.new/base/ccpu386/c_main.c"	"73"	"quoted include resolves beside one or more selected MVDM sources"
"clts.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\clts.h"	"softpc.new/base/ccpu386/c_main.c"	"74"	"quoted include resolves beside one or more selected MVDM sources"
"cmc.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cmc.h"	"softpc.new/base/ccpu386/c_main.c"	"75"	"quoted include resolves beside one or more selected MVDM sources"
"cmd.h"	"mvdm-local-direct"	"11"	"11"	"quote"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmd.h"	"dos/command/cmd.c"	"7"	"quoted include resolves beside one or more selected MVDM sources"
"cmdkeyb.h"	"mvdm-local-direct"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmdkeyb.h"	"dos/command/cmdkeyb.c"	"16"	"quoted include resolves beside one or more selected MVDM sources"
"cmdsvc.h"	"mvdm-selected-include"	"13"	"13"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\cmdsvc.h"	"dos/command/cmd.c"	"8"	"include name maps to a selected MVDM union path"
"cmos.h"	"mvdm-selected-include"	"14"	"14"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cmos.h"	"softpc.new/base/bios/cmos_bis.c"	"50"	"include name maps to a selected MVDM union path"
"cmosbios.h"	"mvdm-selected-include"	"6"	"6"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cmosbios.h"	"softpc.new/base/bios/cmos_bis.c"	"51"	"include name maps to a selected MVDM union path"
"cmp.h"	"mvdm-local-direct"	"3"	"3"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cmp.h"	"softpc.new/base/ccpu386/c_main.c"	"76"	"quoted include resolves beside one or more selected MVDM sources"
"cmpxchg.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cmpxchg.h"	"softpc.new/base/ccpu386/c_main.c"	"157"	"quoted include resolves beside one or more selected MVDM sources"
"cntlbop.h"	"mvdm-selected-include"	"3"	"3"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cntlbop.h"	"softpc.new/base/bios/bios.c"	"46"	"include name maps to a selected MVDM union path"
"commdlg.h"	"ambiguous-opennt-platform-candidate"	"2"	"2"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\wow16\commdlg\commdlg.h;O:\repos.external\OpenNT\base\mvdm\wow16\inc\commdlg.h;O:\repos.external\OpenNT\com\ole32\olethunk\ole16\inc\commdlg.h;O:\repos.external\OpenNT\public\sdk\inc\commdlg.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\commdlg.h;O:\repos.external\OpenNT\sdktools\jetadmin\sdk\inc32\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\commdlg\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\wow16\inc\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\ole32\olethunk\ole16\inc\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\os2\inc\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\commdlg.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\sdk\inc32\commdlg.h"	"vdmutils/pifedit/pifedit.c"	"6"	"multiple same-basename candidates; package and declaration review required before import"
"conapi.h"	"ambiguous-opennt-platform-candidate"	"20"	"20"	"angle;quote"	"O:\repos.external\OpenNT\public\internal\windows\inc\conapi.h;O:\repos.external\OpenNT-4.5\nt\private\os2\inc\conapi.h;O:\repos.external\OpenNT-4.5\nt\private\windows\inc\conapi.h"	"softpc.new/host/src/config.c"	"34"	"multiple same-basename candidates; package and declaration review required before import"
"config.h"	"mvdm-selected-include"	"65"	"65"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\config.h"	"softpc.new/base/bios/bootstra.c"	"5"	"include name maps to a selected MVDM union path"
"conio.h"	"ambiguous-opennt-platform-candidate"	"10"	"10"	"angle"	"O:\repos.external\OpenNT\base\crts\crtw32\h\conio.h;O:\repos.external\OpenNT\base\crts\libw32\include\conio.h;O:\repos.external\OpenNT\base\mvdm\dos\v86\h\conio.h;O:\repos.external\OpenNT\public\sdk\inc\crt\conio.h;O:\repos.external\OpenNT\sdktools\jetadmin\inc\conio.h;O:\repos.external\OpenNT-4.5\nt\private\mvdm\dos\v86\h\conio.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800\include\conio.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\hdos\c800_old\include\conio.h;O:\repos.external\OpenNT-4.5\nt\private\oleauto\tools\win16\os2\inc\conio.h;O:\repos.external\OpenNT-4.5\nt\private\os2\client\thunk\include\conio.h;O:\repos.external\OpenNT-4.5\nt\private\rpc\import\msvc15\include\conio.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\jetadmin\inc\conio.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\vctools\crt\crtw32\h\conio.h;O:\repos.external\OpenNT-4.5\nt\private\sdktools\vctools\crt\libw32\include\conio.h"	"dos/command/cmd.h"	"71"	"multiple same-basename candidates; package and declaration review required before import"
"conroute.h"	"ambiguous-opennt-platform-candidate"	"1"	"1"	"quote"	"O:\repos.external\OpenNT\public\internal\base\inc\conroute.h;O:\repos.external\OpenNT-4.5\nt\private\windows\inc\conroute.h"	"softpc.new/host/src/nt_event.c"	"29"	"multiple same-basename candidates; package and declaration review required before import"
"cpu_c.h"	"mvdm-selected-include"	"5"	"5"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\cvidc\cpu_c.h"	"softpc.new/base/ccpu386/c_main.c"	"26"	"include name maps to a selected MVDM union path"
"cpu_vid.h"	"mvdm-selected-include"	"13"	"13"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cpu_vid.h"	"softpc.new/base/ccpu386/ccpusas4.c"	"46"	"include name maps to a selected MVDM union path"
"cpu4.h"	"mvdm-selected-include"	"5"	"5"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\cpu4.h"	"softpc.new/base/ccpu386/ntstubs.c"	"5"	"include name maps to a selected MVDM union path"
"cpu4gen.h"	"mvdm-selected-include"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\host\inc\mips\prod\cpu4gen.h"	"softpc.new/base/inc/cpu4.h"	"62"	"include name maps to a selected MVDM union path"
"cpuint_c.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cpuint_c.h"	"softpc.new/base/ccpu386/zfrsrvd.c"	"29"	"quoted include resolves beside one or more selected MVDM sources"
"crypt.h"	"selected-ds-declaration-package"	"1"	"1"	"angle"	"O:\repos.external\OpenNT\public\internal\ds\inc\crypt.h"	"vdmredir/vrnetapi.c"	"90"	"T290 S5 selected the complete original DS declaration package; see m0-t290-s5-ds-declaration-package-manifest-001.tsv"
"ctype.h"	"toolchain-or-public-sdk"	"23"	"23"	"angle;quote"	""	"bde/bdemisc.c"	"23"	"CRT or public Windows SDK declaration; do not mirror into OpenNT platform ABI"
"curdir.h"	"mvdm-selected-include"	"2"	"2"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\curdir.h"	"dos/dem/dosdef.h"	"12"	"include name maps to a selected MVDM union path"
"cwd.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cwd.h"	"softpc.new/base/ccpu386/c_main.c"	"77"	"quoted include resolves beside one or more selected MVDM sources"
"cwde.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\cwde.h"	"softpc.new/base/ccpu386/c_main.c"	"78"	"quoted include resolves beside one or more selected MVDM sources"
"d_inst.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\d_inst.h"	"softpc.new/base/dasm386/dasm386.c"	"52"	"include name maps to a selected MVDM union path"
"d_oper.h"	"mvdm-selected-include"	"2"	"2"	"quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\d_oper.h"	"softpc.new/base/dasm386/dasm386.c"	"51"	"include name maps to a selected MVDM union path"
"daa.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\daa.h"	"softpc.new/base/ccpu386/c_main.c"	"79"	"quoted include resolves beside one or more selected MVDM sources"
"das.h"	"mvdm-local-direct"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\das.h"	"softpc.new/base/ccpu386/c_main.c"	"80"	"quoted include resolves beside one or more selected MVDM sources"
"dasm.h"	"mvdm-selected-include"	"4"	"4"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\inc\dasm.h"	"softpc.new/base/ccpu386/ccpupig.c"	"30"	"include name maps to a selected MVDM union path"
"dasm1.seg"	"unresolved-external-include"	"1"	"1"	"quote"	""	"softpc.new/base/debug/dasm.c"	"29"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"dasm2.seg"	"unresolved-external-include"	"1"	"1"	"quote"	""	"softpc.new/base/debug/dasm.c"	"1459"	"no selected MVDM, CRT/SDK or unique OpenNT header candidate found"
"dbgexp.h"	"mvdm-selected-include"	"4"	"4"	"angle;quote"	"O:\repos.external\OpenNT\base\mvdm\inc\dbgexp.h"	"dbg/dbg.c"	"22"	"include name maps to a selected MVDM union path"
"dbginfo.h"	"mvdm-selected-include"	"2"	"2"	"angle"	"O:\repos.external\OpenNT\base\mvdm\inc\dbginfo.h"	"dbg/dbg.c"	"25"	"include name maps to a selected MVDM union path"
