"caller_path"	"source_line"	"declaration_text"	"edge_kind"	"stage1_state"	"next_stage"	"lexical_name"	"selected_definition_paths"
"dos/command/cmd.h"	"282"	"extern BOOL	IsFirstVDM;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstVDM"	""
"dos/command/cmd.h"	"283"	"extern VDMENVBLK cmdVDMEnvBlk;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cmdVDMEnvBlk"	""
"dos/command/cmd.h"	"284"	"extern CHAR	*lpszzVDMEnv32;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"lpszzVDMEnv32"	""
"dos/command/cmd.h"	"285"	"extern DWORD	cchVDMEnv32;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"cchVDMEnv32"	""
"dos/command/cmd.h"	"286"	"extern UINT	VdmExitCode;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"VdmExitCode"	""
"dos/command/cmdenv.c"	"23"	"extern BOOL fSeparateWow;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fSeparateWow"	""
"dos/command/cmdkeyb.c"	"22"	"extern BOOL bPifFastPaste;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"bPifFastPaste"	""
"dos/command/cmdmisc.c"	"27"	"extern ULONG fSeparateWow;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"fSeparateWow"	""
"dos/command/cmdpif.h"	"45"	"extern PIF_DATA pfdata;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pfdata"	""
"dos/dem/dem.h"	"125"	"extern mvdm_guest_location dta_location;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"dta_location"	""
"dos/dem/dem.h"	"126"	"extern BOOL   VDMForWOW;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"VDMForWOW"	""
"dos/dem/dem.h"	"127"	"extern PVHE   pHardErrPacket;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pHardErrPacket"	""
"dos/dem/dem.h"	"128"	"extern ULONG  CurrentISVC;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentISVC"	""
"dos/dem/dem.h"	"129"	"extern PCHAR  aSVCNames[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"aSVCNames"	""
"dos/dem/dem.h"	"130"	"extern PFNSVC apfnSVC[];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"apfnSVC"	""
"dos/dem/dem.h"	"131"	"extern PSZ    pszDefaultDOSDirectory;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"pszDefaultDOSDirectory"	""
"dos/dem/dem.h"	"132"	"extern USHORT nDrives;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"nDrives"	""
"dos/dem/dem.h"	"135"	"extern mvdm_guest_location current_pdb_location;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"current_pdb_location"	""
"dos/dem/dem.h"	"139"	"extern mvdm_guest_location sft_head_location;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"sft_head_location"	""
"dos/dem/dem.h"	"142"	"extern mvdm_guest_location extended_error_location;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"extended_error_location"	""
"dos/dem/dem.h"	"147"	"extern CHAR demDebugBuffer [];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"demDebugBuffer"	""
"dos/dem/demdasd.c"	"20"	"extern	WORD int13h_vector_off, int13h_vector_seg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"int13h_vector_seg"	""
"dos/dem/demdasd.c"	"21"	"extern	WORD int13h_caller_off, int13h_caller_seg;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"int13h_caller_seg"	""
"dos/dem/demdasd.h"	"298"	"extern PBDS	demBDS;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"demBDS"	""
"dos/dem/demdasd.h"	"299"	"extern BYTE	NumberOfFloppy, NumberOfFdisk;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"NumberOfFdisk"	""
"dos/dem/demmisc.c"	"138"	"extern BOOL IsFirstCall;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstCall"	""
"dos/dem/demmisc.c"	"609"	"extern WORD * pFDAccess;	    // defined in SoftPC."	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	""	""
"dos/dem/demsrch.c"	"24"	"extern BOOL IsFirstCall;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IsFirstCall"	""
"dpmi32/dpmi32p.h"	"93"	"extern USHORT CurrentPSPSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentPSPSelector"	""
"dpmi32/dpmi32p.h"	"98"	"extern ULONG FlatAddress[LDT_SIZE];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"FlatAddress"	""
"dpmi32/dpmi32p.h"	"104"	"extern ULONG Index;"	"extern-data-or-function-pointer declaration"	"selected-MVDM lexical definition candidate"	"definition/package BFS"	"Index"	"softpc.new/host/src/stubs.c:261"
"dpmi32/dpmi32p.h"	"110"	"extern USHORT LockedPMStackSel;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"LockedPMStackSel"	""
"dpmi32/dpmi32p.h"	"111"	"extern ULONG LockedPMStackCount;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"LockedPMStackCount"	""
"dpmi32/dpmi32p.h"	"112"	"extern ULONG PMLockOrigEIP;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"PMLockOrigEIP"	""
"dpmi32/dpmi32p.h"	"113"	"extern ULONG PMLockOrigSS;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"PMLockOrigSS"	""
"dpmi32/dpmi32p.h"	"114"	"extern ULONG PMLockOrigESP;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"PMLockOrigESP"	""
"dpmi32/dpmi32p.h"	"116"	"extern ULONG DosxFaultHandlerIret;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxFaultHandlerIret"	""
"dpmi32/dpmi32p.h"	"117"	"extern ULONG DosxFaultHandlerIretd;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxFaultHandlerIretd"	""
"dpmi32/dpmi32p.h"	"118"	"extern ULONG DosxIntHandlerIret;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxIntHandlerIret"	""
"dpmi32/dpmi32p.h"	"119"	"extern ULONG DosxIntHandlerIretd;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxIntHandlerIretd"	""
"dpmi32/dpmi32p.h"	"121"	"extern ULONG DosxIret;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxIret"	""
"dpmi32/dpmi32p.h"	"122"	"extern ULONG DosxIretd;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxIretd"	""
"dpmi32/dpmidata.h"	"122"	"extern PUCHAR SmallXlatBuffer;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SmallXlatBuffer"	""
"dpmi32/dpmidata.h"	"123"	"extern PUCHAR LargeXlatBuffer;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"LargeXlatBuffer"	""
"dpmi32/dpmidata.h"	"124"	"extern BOOL SmallBufferInUse;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SmallBufferInUse"	""
"dpmi32/dpmidata.h"	"125"	"extern USHORT LargeBufferInUseCount;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"LargeBufferInUseCount"	""
"dpmi32/dpmidata.h"	"130"	"extern USHORT DosxStackSegment;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxStackSegment"	""
"dpmi32/dpmidata.h"	"135"	"extern USHORT DosxRmCodeSegment;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxRmCodeSegment"	""
"dpmi32/dpmidata.h"	"140"	"extern USHORT DosxRmCodeSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxRmCodeSelector"	""
"dpmi32/dpmidata.h"	"145"	"extern PWORD16 DosxStackFramePointer;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxStackFramePointer"	""
"dpmi32/dpmidata.h"	"150"	"extern USHORT DosxStackFrameSize;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxStackFrameSize"	""
"dpmi32/dpmidata.h"	"155"	"extern USHORT DosxPmDataSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxPmDataSelector"	""
"dpmi32/dpmidata.h"	"161"	"extern ULONG DosxSegmentToSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxSegmentToSelector"	""
"dpmi32/dpmidata.h"	"166"	"extern USHORT CurrentAppFlags;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentAppFlags"	""
"dpmi32/dpmidata.h"	"171"	"extern ULONG RmBopFe;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"RmBopFe"	""
"dpmi32/dpmidata.h"	"176"	"extern PUCHAR DosxDtaBuffer;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"DosxDtaBuffer"	""
"dpmi32/dpmidata.h"	"189"	"extern PUCHAR CurrentDta;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentDta"	""
"dpmi32/dpmidata.h"	"190"	"extern PUCHAR CurrentPmDtaAddress;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentPmDtaAddress"	""
"dpmi32/dpmidata.h"	"191"	"extern PUCHAR CurrentDosDta;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentDosDta"	""
"dpmi32/dpmidata.h"	"192"	"extern USHORT CurrentDtaSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentDtaSelector"	""
"dpmi32/dpmidata.h"	"193"	"extern USHORT CurrentDtaOffset;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentDtaOffset"	""
"dpmi32/dpmidata.h"	"194"	"extern USHORT CurrentPspSelector;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"CurrentPspSelector"	""
"dpmi32/dpmidata.h"	"197"	"extern ULONG SelectorLimit[LDT_SIZE];"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SelectorLimit"	""
"dpmi32/dpmidata.h"	"200"	"extern ULONG IntelBase;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"IntelBase"	""
"dpmi32/dpmidata.h"	"204"	"extern GETREGISTERFUNCTION GetCXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetCXRegister"	""
"dpmi32/dpmidata.h"	"205"	"extern GETREGISTERFUNCTION GetDXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetDXRegister"	""
"dpmi32/dpmidata.h"	"206"	"extern GETREGISTERFUNCTION GetDIRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetDIRegister"	""
"dpmi32/dpmidata.h"	"207"	"extern GETREGISTERFUNCTION GetSIRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetSIRegister"	""
"dpmi32/dpmidata.h"	"208"	"extern GETREGISTERFUNCTION GetBXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetBXRegister"	""
"dpmi32/dpmidata.h"	"209"	"extern GETREGISTERFUNCTION GetAXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetAXRegister"	""
"dpmi32/dpmidata.h"	"210"	"extern GETREGISTERFUNCTION GetSPRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"GetSPRegister"	""
"dpmi32/dpmidata.h"	"212"	"extern SETREGISTERFUNCTION SetCXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SetCXRegister"	""
"dpmi32/dpmidata.h"	"213"	"extern SETREGISTERFUNCTION SetDXRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SetDXRegister"	""
"dpmi32/dpmidata.h"	"214"	"extern SETREGISTERFUNCTION SetDIRegister;"	"extern-data-or-function-pointer declaration"	"unresolved declared data/function-pointer; BFS package resolution required"	"definition/package BFS"	"SetDIRegister"	""
