"file_id"	"target_path"	"file_kind"	"original_build_membership"	"original_subpackage_role"	"final_component_owner"	"provisional_composition_disposition"	"source_derived_reason"	"state"	"evidence"
"MVDM-FILE-0316"	"softpc.new/base/bios/sources"	"resource-or-other"	"not-a-translation-unit"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0317"	"softpc.new/base/bios/tape_io.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0318"	"softpc.new/base/bios/virtual.c"	"source"	"observed-in-literal-sources"	"historical-machine-firmware"	"opennt-mvdm-host"	"adapter-bochs-firmware-review"	"firmware/machine source; later evaluate only as an adapter-bochs firmware input, never as a parallel machine implementation"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0319"	"softpc.new/base/ccpu386/aaa.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0320"	"softpc.new/base/ccpu386/aaa.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0321"	"softpc.new/base/ccpu386/aad.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0322"	"softpc.new/base/ccpu386/aad.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0323"	"softpc.new/base/ccpu386/aam.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0324"	"softpc.new/base/ccpu386/aam.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0325"	"softpc.new/base/ccpu386/aas.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0326"	"softpc.new/base/ccpu386/aas.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0327"	"softpc.new/base/ccpu386/adc.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0328"	"softpc.new/base/ccpu386/adc.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0329"	"softpc.new/base/ccpu386/add.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0330"	"softpc.new/base/ccpu386/add.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0331"	"softpc.new/base/ccpu386/and.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0332"	"softpc.new/base/ccpu386/and.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0333"	"softpc.new/base/ccpu386/arpl.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0334"	"softpc.new/base/ccpu386/arpl.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0335"	"softpc.new/base/ccpu386/bound.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0336"	"softpc.new/base/ccpu386/bound.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0337"	"softpc.new/base/ccpu386/bsf.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0338"	"softpc.new/base/ccpu386/bsf.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0339"	"softpc.new/base/ccpu386/bsr.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0340"	"softpc.new/base/ccpu386/bsr.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0341"	"softpc.new/base/ccpu386/bswap.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0342"	"softpc.new/base/ccpu386/bswap.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0343"	"softpc.new/base/ccpu386/bt.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0344"	"softpc.new/base/ccpu386/bt.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0345"	"softpc.new/base/ccpu386/btc.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0346"	"softpc.new/base/ccpu386/btc.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0347"	"softpc.new/base/ccpu386/btr.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0348"	"softpc.new/base/ccpu386/btr.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0349"	"softpc.new/base/ccpu386/bts.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0350"	"softpc.new/base/ccpu386/bts.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0351"	"softpc.new/base/ccpu386/c_addr.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0352"	"softpc.new/base/ccpu386/c_addr.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0353"	"softpc.new/base/ccpu386/c_bsic.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0354"	"softpc.new/base/ccpu386/c_bsic.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0355"	"softpc.new/base/ccpu386/c_debug.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0356"	"softpc.new/base/ccpu386/c_debug.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0357"	"softpc.new/base/ccpu386/c_div64.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0358"	"softpc.new/base/ccpu386/c_div64.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0359"	"softpc.new/base/ccpu386/c_getset.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0360"	"softpc.new/base/ccpu386/c_intr.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0361"	"softpc.new/base/ccpu386/c_intr.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0362"	"softpc.new/base/ccpu386/c_main.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0363"	"softpc.new/base/ccpu386/c_main.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0364"	"softpc.new/base/ccpu386/c_mem.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0365"	"softpc.new/base/ccpu386/c_mul64.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0366"	"softpc.new/base/ccpu386/c_mul64.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0367"	"softpc.new/base/ccpu386/c_neg64.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0368"	"softpc.new/base/ccpu386/c_neg64.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0369"	"softpc.new/base/ccpu386/c_oprnd.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0370"	"softpc.new/base/ccpu386/c_page.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0371"	"softpc.new/base/ccpu386/c_page.h"	"declaration"	"not-a-translation-unit"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0372"	"softpc.new/base/ccpu386/c_prot.c"	"source"	"observed-in-literal-sources"	"historical-machine-execution-or-device"	"opennt-mvdm-host"	"bochs-replacement-profile-excluded"	"CPU/memory/device execution ownership belongs to Bochs; retain exact original source as exclusion evidence"	"provisional-not-enabled"	"mvdm-file-recovery-ledger.tsv; m0-t276-s2-translation-unit-build-ledger.tsv"
