candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	source_map_disposition	global_original_definition_packages	declaration_shapes	declaration_count	static_disposition	rationale	next_action
"MVDM-FIRST-REBASELINED-000013"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"71"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000014"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"72"	"strcat"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000015"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"74"	"OpenFile"	"host-boundary-source-candidate-present"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000016"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"77"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000017"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"78"	"strcat"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000018"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"80"	"OpenFile"	"host-boundary-source-candidate-present"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000019"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"87"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000020"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"96"	"_llseek"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000021"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"101"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000022"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"110"	"_llseek"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000023"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"115"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000024"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"173"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000025"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"184"	"_llseek"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000026"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"189"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000027"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"206"	"_llseek"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000028"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"211"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000029"	"FindExport"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"230"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000030"	"read_symbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"243"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000031"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"293"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000032"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"307"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000033"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"308"	"strcat"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000034"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"310"	"OpenFile"	"host-boundary-source-candidate-present"	"base/mvdm/dos;base/win32/client;com/ole32/stg"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000035"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"328"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000036"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"331"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000037"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"336"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000038"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"339"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000039"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"343"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000040"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"346"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000041"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"349"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000042"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"352"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000043"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"355"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000044"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"358"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000045"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"361"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000046"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"364"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000047"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"369"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000048"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"372"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000049"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"380"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000050"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"383"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000051"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"401"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000052"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"404"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000053"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"415"	"_llseek"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000054"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"418"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000055"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"421"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000056"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"424"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000057"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"429"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000058"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"432"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000059"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"436"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000060"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"439"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000061"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"443"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000062"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"446"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000063"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"459"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000064"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"462"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000065"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"504"	"strcpy"	"CRT-source-candidate-present"	"admin/netui/common;base/boot/veneer;base/crts/crtw32"	"none"	"0"	"public-crt-leaf"	"CRT implementation is a public leaf; do not select an OpenNT CRT body."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000066"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"512"	"_lread"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
"MVDM-FIRST-REBASELINED-000067"	"FindSymbol"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"515"	"_lclose"	"host-boundary-source-candidate-present"	"base/win32/client"	"none"	"0"	"private-host-hard-boundary"	"Original source reaches CSR/CSRSS, kernel VDM, Win32k or an equivalent private host shell; retain declaration-only boundary."	"do not inspect a callee body in this disposition phase"
