# Generated by tools/research/Generate-WowPointerPlaneLedger.mjs.
# The ledger groups every selected original WOW32 source use by pointer form.
# Selected original C sources: 77.
form	class	span_contract	lease_ready	source_file	occurrences	current_disposition
GETARGPTR	derived-frame	parent-frame-offset	No	wmmedia2.c	60	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wsdata.c	15	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wsext.c	6	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wsraw.c	24	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wcommdlg.c	5	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wspool.c	6	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wusercli.c	28	Derived byte alias; parent lease owns lifetime.
GETARGPTR	derived-frame	parent-frame-offset	No	wdib.c	4	Derived byte alias; parent lease owns lifetime.
FREEARGPTR	derived-frame	parent-frame-offset	No	wow32.c	2	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wdde.c	1	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgdi31.c	41	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgdi.c	123	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgfont.c	8	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgmeta.c	15	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgpal.c	12	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgprnset.c	3	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wgtext.c	12	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkbman.c	10	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkmem.c	5	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkgthunk.c	5	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkman.c	25	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkfileio.c	20	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wkernel.c	13	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wshell.c	19	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuser31.c	16	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuman.c	5	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wucaret.c	6	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuclass.c	7	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuclip.c	13	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wucomm.c	18	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wucursor.c	8	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wudlg.c	20	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuhook.c	6	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wulang.c	12	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wumenu.c	18	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wumsg.c	51	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuser.c	53	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wutext.c	2	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wutmr.c	2	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wuwind.c	37	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wdos.c	4	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wmmedia.c	2	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wmmedia1.c	11	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wmmedia2.c	60	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wsdata.c	23	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wsext.c	11	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wsraw.c	56	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wcommdlg.c	17	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wspool.c	6	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wusercli.c	28	Must not release a derived alias.
FREEARGPTR	derived-frame	parent-frame-offset	No	wdib.c	3	Must not release a derived alias.
GETVDMPTR	fixed-span	explicit-span	Yes	wow32.c	3	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	walias.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wstruc.c	42	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wcall16.c	2	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wcntl32.c	5	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wres16.c	3	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmsg16.c	13	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmdisp32.c	12	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmsgcb.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmsglb.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wgdi31.c	3	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wgdi.c	6	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wgmeta.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wkmem.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wkgthunk.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wkman.c	20	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wkfileio.c	6	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wkernel.c	4	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wow32fax.c	13	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wuser31.c	4	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wuman.c	5	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wuclass.c	1	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wucursor.c	2	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wulang.c	2	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wumsg.c	4	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wuser.c	9	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wdos.c	2	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wcuricon.c	5	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wsubcls.c	7	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmmstru1.c	14	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wmmstru2.c	3	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	waccel.c	3	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wsdata.c	22	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wsext.c	2	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wsraw.c	18	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wcommdlg.c	24	Acquire original numeric VP with the supplied fixed span.
GETVDMPTR	fixed-span	explicit-span	Yes	wdib.c	1	Acquire original numeric VP with the supplied fixed span.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wcntl32.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wgdi.c	2	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wgtext.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wkernel.c	3	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wuclip.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wudlg.c	3	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wumenu.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wuser.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wuwind.c	1	Acquire a supplied output span; commit is still explicit.
ALLOCVDMPTR	fixed-span-output	explicit-span	Yes	wusercli.c	2	Acquire a supplied output span; commit is still explicit.
GETOPTPTR	optional-span	call-site span	Partial	wres16.c	1	Null gate is original; variable span needs a selected caller cohort.
GETOPTPTR	optional-span	call-site span	Partial	wgdi.c	16	Null gate is original; variable span needs a selected caller cohort.
GETOPTPTR	optional-span	call-site span	Partial	wgmeta.c	5	Null gate is original; variable span needs a selected caller cohort.
GETOPTPTR	optional-span	call-site span	Partial	wshell.c	9	Null gate is original; variable span needs a selected caller cohort.
GETOPTPTR	optional-span	call-site span	Partial	wuwind.c	1	Null gate is original; variable span needs a selected caller cohort.
GETOPTPTR	optional-span	call-site span	Partial	wsraw.c	7	Null gate is original; variable span needs a selected caller cohort.
FREEOPTPTR	optional-span	call-site span	Partial	wgdi.c	15	Release only an exact active base alias.
FREEOPTPTR	optional-span	call-site span	Partial	wgmeta.c	3	Release only an exact active base alias.
FREEOPTPTR	optional-span	call-site span	Partial	wshell.c	18	Release only an exact active base alias.
FREEOPTPTR	optional-span	call-site span	Partial	wsraw.c	7	Release only an exact active base alias.
GETMISCPTR	variable-object	unknown variable span	No	wstruc.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wcall32.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wcntl32.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wdde.c	14	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmsg16.c	5	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmdisp32.c	7	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmsgem.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wgdi.c	8	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wgmeta.c	3	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wgprnset.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wkbman.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wkman.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wkernel.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wshell.c	3	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wuser31.c	3	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wuman.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wuclip.c	8	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wucomm.c	6	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wucursor.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wudlg.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wuser.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wowhooks.c	33	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wcuricon.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmmedia.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmmedia1.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmmedia2.c	8	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wmmstruc.c	2	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wspool.c	3	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wusercli.c	1	Requires an owner-selected object extent before source enablement.
GETMISCPTR	variable-object	unknown variable span	No	wdib.c	2	Requires an owner-selected object extent before source enablement.
FREEMISCPTR	variable-object	unknown variable span	No	wstruc.c	2	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wcall32.c	1	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wdde.c	14	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wmsg16.c	5	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wmdisp32.c	5	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wgdi.c	8	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wgmeta.c	3	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wkbman.c	1	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wkman.c	2	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wkernel.c	1	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wshell.c	3	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wuser31.c	3	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wuman.c	1	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wuclip.c	5	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wucomm.c	5	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wucursor.c	2	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wuser.c	2	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wcuricon.c	1	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wmmedia1.c	8	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wmmedia2.c	8	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wspool.c	3	Pairs only after the matching variable-object contract exists.
FREEMISCPTR	variable-object	unknown variable span	No	wdib.c	3	Pairs only after the matching variable-object contract exists.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wstruc.c	2	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wmsg16.c	4	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wmsgcb.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wmsgem.c	1	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wmsglb.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wgdi31.c	6	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wgdi.c	7	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wgfont.c	4	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wgmeta.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wgprnset.c	7	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wkbman.c	10	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wkman.c	10	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wkernel.c	22	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wshell.c	13	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuser31.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuman.c	1	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuclass.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuclip.c	1	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wucomm.c	3	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wudlg.c	5	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wulang.c	7	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wumenu.c	4	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wumsg.c	1	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuser.c	5	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wutext.c	2	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wuwind.c	2	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wmmstru1.c	5	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wcommdlg.c	16	Requires a source-defined maximum/termination failure contract.
GETPSZPTR	terminated-string	terminator-bounded	Partial	wspool.c	2	Requires a source-defined maximum/termination failure contract.
GETPSZPTRNOLOG	terminated-string	terminator-bounded	Partial	wkman.c	5	Same pointer contract without the diagnostic side effect.
GETPSZPTRNOLOG	terminated-string	terminator-bounded	Partial	wshell.c	1	Same pointer contract without the diagnostic side effect.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wmsg16.c	3	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wkgthunk.c	1	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wuclass.c	2	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wucursor.c	1	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wulang.c	2	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wumenu.c	1	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wuser.c	4	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wuwind.c	2	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wcuricon.c	1	Preserves the original non-pointer ID branch; string branch is bounded.
GETPSZIDPTR	string-or-id	terminator-bounded	Partial	wcommdlg.c	1	Preserves the original non-pointer ID branch; string branch is bounded.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wmsg16.c	3	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wmsgcb.c	2	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wmsgem.c	1	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wmsglb.c	1	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wgdi31.c	2	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wgdi.c	7	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wgfont.c	4	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wgmeta.c	5	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wgprnset.c	9	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wkbman.c	10	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wkman.c	14	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wkernel.c	22	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wshell.c	14	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wuser31.c	1	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wuman.c	1	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wuclass.c	4	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wuclip.c	1	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wucomm.c	3	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wudlg.c	7	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wulang.c	7	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wumenu.c	4	Releases only a selected bounded string alias.
FREEPSZPTR	terminated-string	terminator-bounded	Partial	wumsg.c	1	Releases only a selected bounded string alias.
