candidate_id	callee_spelling	caller_frontier_id	declaration_header_identity	declaration_header_path	declaration_line	declaration_package_root	disposition
"MVDM-FIRST-REBASELINED-000331"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:public/internal/base/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"public/internal/base/inc/vdmapi.h"	"106"	"public/internal"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000351"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT-4.5:nt/private/windows/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"nt/private/windows/inc/vdmapi.h"	"106"	"nt/private/windows/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000351"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:public/internal/base/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"public/internal/base/inc/vdmapi.h"	"106"	"public/internal"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000355"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT-4.5:nt/private/windows/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"nt/private/windows/inc/vdmapi.h"	"106"	"nt/private/windows/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000355"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:public/internal/base/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"public/internal/base/inc/vdmapi.h"	"106"	"public/internal"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000361"	"cmdUpdateCurrentDirectories"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:base/mvdm/dos/command/cmd.h@ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"base/mvdm/dos/command/cmd.h"	"206"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000362"	"cmdCheckCopyForRedirection"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:base/mvdm/dos/command/cmd.h@ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"base/mvdm/dos/command/cmd.h"	"191"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000363"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT-4.5:nt/private/windows/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"nt/private/windows/inc/vdmapi.h"	"106"	"nt/private/windows/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000363"	"GetNextVDMCommand"	"MVDM-FIRST-CALLER-FRONTIER-000011"	"OpenNT:public/internal/base/inc/vdmapi.h@b942656ba8761ddb9325a7eea7997394562d2e57797c923ff5688d7be86426de"	"public/internal/base/inc/vdmapi.h"	"106"	"public/internal"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000391"	"cmdInitConsole"	"MVDM-FIRST-CALLER-FRONTIER-000012"	"OpenNT:base/mvdm/dos/command/cmd.h@ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"base/mvdm/dos/command/cmd.h"	"194"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000420"	"nt_floppy_media_check"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"289"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000423"	"nt_fdisk_read"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"294"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000424"	"nt_floppy_read"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"286"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000425"	"nt_floppy_media_check"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"289"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000428"	"nt_fdisk_write"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"295"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000429"	"nt_floppy_write"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"287"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000430"	"nt_floppy_get_media_type"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"290"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000431"	"nt_floppy_format"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"288"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000432"	"nt_floppy_verify"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"291"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000434"	"nt_fdisk_verify"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"296"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000435"	"nt_floppy_media_check"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"289"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000436"	"nt_floppy_close"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"285"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000437"	"nt_floppy_read"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"286"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000439"	"demGetPhysicalDriveType"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT-4.5:nt/private/mvdm/inc/demexp.h@dfb912ee16a360e36d149bca01592a61ec11ff0f1d1b148edcffb42fda52d5c4"	"nt/private/mvdm/inc/demexp.h"	"21"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000439"	"demGetPhysicalDriveType"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/inc/demexp.h@dfb912ee16a360e36d149bca01592a61ec11ff0f1d1b148edcffb42fda52d5c4"	"base/mvdm/inc/demexp.h"	"21"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000440"	"nt_fdisk_init"	"MVDM-FIRST-CALLER-FRONTIER-000015"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"293"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000472"	"demGetPhysicalDriveType"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT-4.5:nt/private/mvdm/inc/demexp.h@dfb912ee16a360e36d149bca01592a61ec11ff0f1d1b148edcffb42fda52d5c4"	"nt/private/mvdm/inc/demexp.h"	"21"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000472"	"demGetPhysicalDriveType"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/inc/demexp.h@dfb912ee16a360e36d149bca01592a61ec11ff0f1d1b148edcffb42fda52d5c4"	"base/mvdm/inc/demexp.h"	"21"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000473"	"GetMediaId"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/dem.h@c9c4b4814e1b30ffad29a7716948ec7b6c0ade8f6ab2fbb9fd6998d358706e5a"	"base/mvdm/dos/dem/dem.h"	"234"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000475"	"nt_floppy_close"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"285"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000476"	"nt_fdisk_close"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"297"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000480"	"nt_fdisk_read"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"294"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000481"	"nt_floppy_read"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"286"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000483"	"nt_fdisk_write"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"295"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000484"	"nt_fdisk_close"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"297"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000485"	"nt_floppy_write"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"287"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000486"	"nt_floppy_close"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/demdasd.h@de5bd5e437c17a34af71999e6e6e7c0e749d9d9da61bc5cc8420c0406e1a2c35"	"base/mvdm/dos/dem/demdasd.h"	"285"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000488"	"demGetDiskFreeSpace"	"MVDM-FIRST-CALLER-FRONTIER-000019"	"OpenNT:base/mvdm/dos/dem/dem.h@c9c4b4814e1b30ffad29a7716948ec7b6c0ade8f6ab2fbb9fd6998d358706e5a"	"base/mvdm/dos/dem/dem.h"	"229"	"base/mvdm/dos"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000525"	"HostFloppyReset"	"MVDM-FIRST-CALLER-FRONTIER-000022"	"OpenNT-4.5:nt/private/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"nt/private/mvdm/inc/softpc.h"	"42"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000525"	"HostFloppyReset"	"MVDM-FIRST-CALLER-FRONTIER-000022"	"OpenNT:base/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"base/mvdm/inc/softpc.h"	"42"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000526"	"HostFdiskReset"	"MVDM-FIRST-CALLER-FRONTIER-000022"	"OpenNT-4.5:nt/private/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"nt/private/mvdm/inc/softpc.h"	"43"	"nt/private/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000526"	"HostFdiskReset"	"MVDM-FIRST-CALLER-FRONTIER-000022"	"OpenNT:base/mvdm/inc/softpc.h@1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"base/mvdm/inc/softpc.h"	"43"	"base/mvdm/inc"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000530"	"DpmiSwitchToDosxStack"	"MVDM-FIRST-CALLER-FRONTIER-000024"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"498"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000531"	"DpmiSwitchFromDosxStack"	"MVDM-FIRST-CALLER-FRONTIER-000024"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"503"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000532"	"EnableIntHooks"	"MVDM-FIRST-CALLER-FRONTIER-000025"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"91"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000533"	"DisableIntHooks"	"MVDM-FIRST-CALLER-FRONTIER-000025"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"92"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000555"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000556"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000557"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000563"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000564"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000565"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000566"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000567"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000568"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000569"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
"MVDM-FIRST-REBASELINED-000570"	"DpmiSimulateIretCF"	"MVDM-FIRST-CALLER-FRONTIER-000028"	"OpenNT:base/mvdm/dpmi32/dpmidata.h@f9772482513601c2e316e097a92485864557af77010e77285d725d903a0fd7b2"	"base/mvdm/dpmi32/dpmidata.h"	"523"	"base/mvdm/dpmi32"	"original-header token in the physical caller include closure; declaration form and compatible definition remain to be resolved"
