caller_identity	caller_symbol	caller_source_path	caller_source_line	callee_spelling	internal_candidate_identity	disposition
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"CreateFile"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"cmdCreateTempFile"	"dos/command/cmdredir.c"	"99"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"cmdInitConsole"	"dos/command/cmdmisc.c"	"729"	"nt_init_event_thread"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_fulsc.c|e7dc683be45a04b63d783ae91263f55d50bf41aac480d7bac1a302f19205934c|170"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"malloc"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"GetEnvironmentVariable"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|220"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"GetDriveTypeOem"	"O:\repos.external\OpenNT\base\mvdm|oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|756"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"GetEnvironmentVariable"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"realloc"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"GetEnvironmentVariable"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"realloc"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"SetVDMCurrentDirectories"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"cmdUpdateCurrentDirectories"	"dos/command/cmdmisc.c"	"778"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"EnterCriticalSection"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"WaitForSingleObject"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"TerminateThread"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"WaitForSingleObject"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"LeaveCriticalSection"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"DeleteCriticalSection"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"DeleteFile"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"SetEvent"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"WaitForSingleObject"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"SetEvent"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"WaitForSingleObject"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"CloseHandle"	"O:\repos.external\OpenNT\base\mvdm|wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"cmdCheckCopyForRedirection"	"dos/command/cmdredir.c"	"20"	"free"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619"	"GetMediaId"	"dos/dem/demgset.c"	"619"	"demClientError"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demerror.c|8c266cc5086f5bfb834f7d2054459f0a91b1789e90095e56ff363f77d409b64f|124"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|825"	"demGetDiskFreeSpace"	"dos/dem/demgset.c"	"825"	"GetDiskFreeSpaceOem"	"O:\repos.external\OpenNT\base\mvdm|oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|797"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"DpmiSwitchToDosxStack"	"dpmi32/stack.c"	"25"	"setSS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"DpmiSwitchToDosxStack"	"dpmi32/stack.c"	"25"	"setSS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"DpmiSwitchToDosxStack"	"dpmi32/stack.c"	"25"	"setSP"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1145"	"EnableIntHooks"	"dpmi32/dpmiint.c"	"1145"	"VdmInstallHardwareIntHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1145"	"EnableIntHooks"	"dpmi32/dpmiint.c"	"1145"	"VdmInstallSoftwareIntHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1145"	"EnableIntHooks"	"dpmi32/dpmiint.c"	"1145"	"VdmInstallFaultHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1179"	"DisableIntHooks"	"dpmi32/dpmiint.c"	"1179"	"VdmInstallHardwareIntHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1179"	"DisableIntHooks"	"dpmi32/dpmiint.c"	"1179"	"VdmInstallSoftwareIntHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1179"	"DisableIntHooks"	"dpmi32/dpmiint.c"	"1179"	"VdmInstallFaultHandler"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"Sim32GetVDMPointer"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"getSS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"getSP"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"setSTATUS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"getSTATUS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"setCS"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"setIP"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"setSP"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"DpmiSimulateIretCF"	"dpmi32/stack.c"	"131"	"getSP"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|inc/wowfax.h|97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84|284"	"GetFaxDataMapName"	"inc/wowfax.h"	"284"	"lstrlen"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|inc/wowfax.h|97c6c40dc2d0565a21dc1be4112fe24f138b10ddbb55fbd29e55da972a2a2c84|284"	"GetFaxDataMapName"	"inc/wowfax.h"	"284"	"lstrcpy"	""	"direct exit from newly discovered original-MVDM body; classify in T301 first-degree audit"
"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|143"	"cmos_read"	"softpc.new/base/bios/cmos_bis.c"	"143"	"outb"	"O:\repos.external\OpenNT\base\mvdm|v86/scaffold/i386/stubs.c|41825d03737ab8b001993798a2fcd20d752a81bdc8cf95d098b5929e70a97d4b|25"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|143"	"cmos_read"	"softpc.new/base/bios/cmos_bis.c"	"143"	"inb"	"O:\repos.external\OpenNT\base\mvdm|v86/scaffold/i386/stubs.c|41825d03737ab8b001993798a2fcd20d752a81bdc8cf95d098b5929e70a97d4b|21"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|143"	"cmos_read"	"softpc.new/base/bios/cmos_bis.c"	"143"	"outb"	"O:\repos.external\OpenNT\base\mvdm|v86/scaffold/i386/stubs.c|41825d03737ab8b001993798a2fcd20d752a81bdc8cf95d098b5929e70a97d4b|25"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/cmos_bis.c|e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd|178"	"cmos_write"	"softpc.new/base/bios/cmos_bis.c"	"178"	"outb"	"O:\repos.external\OpenNT\base\mvdm|v86/scaffold/i386/stubs.c|41825d03737ab8b001993798a2fcd20d752a81bdc8cf95d098b5929e70a97d4b|25"	"original-MVDM direct internal candidate; requires next shape/frontier gate if newly reached"
