"edge_id"	"edge_kind"	"from_package"	"to_package_or_boundary"	"observed_edge_count"	"evidence_kind"	"topological_wave"	"dependency_state"	"evidence"
"MVDM-T277-CORRELATION-0014"	"observed-name-correlation"	"v86"	"inc"	"42"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"v86/monitor/i386/int.c:70; inc/softpc.h:132; v86/monitor/i386/monitor.c:270; inc/softpc.h:132; v86/monitor/i386/monitor.c:686; inc/softpc.h:132"
"MVDM-T277-CORRELATION-0015"	"observed-name-correlation"	"v86"	"softpc.new"	"8"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"v86/monitor/i386/monitor.c:522; softpc.new/host/inc/nt_mon.h:42; v86/monitor/i386/monitor.c:528; softpc.new/host/inc/nt_mon.h:41; v86/monitor/i386/monitor.c:536; softpc.new/host/inc/nt_mon.h:44"
"MVDM-T277-CORRELATION-0016"	"observed-name-correlation"	"v86"	"softpc.new"	"58"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"v86/monitor/i386/int.c:228; softpc.new/host/inc/nt_mon.h:49; v86/monitor/i386/monitor.c:425; softpc.new/base/inc/bios.h:288; v86/monitor/i386/monitor.c:471; softpc.new/host/inc/nt_mon.h:36"
"MVDM-T277-CORRELATION-0017"	"observed-name-correlation"	"vdmredir"	"inc"	"1"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"vdmredir/vrdisp.c:171; inc/vdmredir.h:436"
"MVDM-T277-CORRELATION-0018"	"observed-name-correlation"	"vdmredir"	"softpc.new"	"3"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"vdmredir/vrdebug.c:458; softpc.new/base/inc/standard.h:84; vdmredir/vrdebug.c:465; softpc.new/base/inc/standard.h:84; vdmredir/vrdll.c:103; softpc.new/base/inc/standard.h:84"
"MVDM-T277-CORRELATION-0019"	"observed-name-correlation"	"wow32"	"inc"	"4"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"wow32/wkman.c:1138; inc/dbgexp.h:17; wow32/wkman.c:1663; inc/dbgexp.h:18; wow32/wow32.c:953; inc/wowexp.h:15"
"MVDM-T277-CORRELATION-0020"	"observed-name-correlation"	"wow32"	"softpc.new"	"6"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"wow32/wcall16.c:780; softpc.new/host/inc/host.h:42; wow32/wkman.c:879; softpc.new/host/inc/host.h:42; wow32/wkman.c:1184; softpc.new/host/inc/host.h:42"
"MVDM-T277-CORRELATION-0021"	"observed-name-correlation"	"wow32"	"vdmexts"	"2"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"wow32/debug.c:83; vdmexts/vdmexts.h:30; wow32/debug.c:91; vdmexts/vdmexts.h:31"
"MVDM-T277-CORRELATION-0022"	"observed-name-correlation"	"xms.486"	"inc"	"2"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"xms.486/xmsblock.c:206; inc/softpc.h:539; xms.486/xmsmemr.c:165; inc/softpc.h:539"
"MVDM-T277-CORRELATION-0023"	"observed-name-correlation"	"xms.486"	"softpc.new"	"3"	"external-boundary-candidate-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"xms.486/xmsumb.c:53; softpc.new/base/inc/standard.h:83; xms.486/xmsumb.c:135; softpc.new/base/inc/standard.h:83; xms.486/xmsumb.c:172; softpc.new/base/inc/standard.h:83"
"MVDM-T277-CORRELATION-0024"	"observed-name-correlation"	"xms.486"	"softpc.new"	"5"	"selected-definition-name-observed-not-abi-proof"	"derive-after-source-form-review"	"provisional-name-correlation"	"xms.486/xmsa20.c:49; softpc.new/base/inc/sas.h:214; xms.486/xmsa20.c:51; softpc.new/base/inc/sas.h:215; xms.486/xmsa20.c:61; softpc.new/base/inc/sas.h:214"
