architecture	library	object	caller	linker_symbol	normalized_symbol	occurrences	source_first_disposition	source_candidates	binding_rule
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"host_idle_init"	"host_idle_init"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_unix.c:87 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applClose"	"host_lpt_close_all"	"host_lpt_close_all"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_lpt.c:288 (retain-source-shaped-host-provider -> opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"host_error"	"host_nls_get_msg"	"host_nls_get_msg"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_nls.c:60 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"host_stream_io_enabled"	"host_stream_io_enabled"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"ErrorDialogBox"	"hWndConsole"	"hWndConsole"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"idle_ctl"	"idle_ctl"	"1"	"select-original-softpc-host-control-source"	"softpc.new/base/system/idetect.c:490 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"init_host_uis"	"init_host_uis"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_hosts.c:79 (retain-source-shaped-host-provider -> opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applClose"	"InitSound"	"InitSound"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_sound.c:93 (exclude-alternate-softpc-product-control -> adapter-bochs/bochs-core/app own final machine lifecycle and product composition)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"MouseAttachMenuItem"	"MouseAttachMenuItem"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_mouse.c:1845 (retain-source-shaped-host-provider -> opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applClose"	"MouseDetachMenuItem"	"MouseDetachMenuItem"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_mouse.c:1834 (retain-source-shaped-host-provider -> opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"nt_keybd_funcs"	"nt_keybd_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applClose"	"nt_remove_event_thread"	"nt_remove_event_thread"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_event.c:291 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"nt_start_event_thread"	"nt_start_event_thread"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_event.c:235 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"nt_video_funcs"	"nt_video_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"ErrorDialogBoxThread"	"pW32HungAppNotifyThread"	"pW32HungAppNotifyThread"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"WOWSysErrorBox"	"ResumeTimerThread"	"ResumeTimerThread"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_timer.c:938 (exclude-alternate-softpc-product-control -> adapter-bochs/bochs-core/app own final machine lifecycle and product composition)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"sc"	"sc"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"ShowStartGlass"	"ShowStartGlass"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"nt_std_handle_notification"	"stdoutRedirected"	"stdoutRedirected"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"WOWSysErrorBox"	"SuspendTimerThread"	"SuspendTimerThread"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_timer.c:916 (exclude-alternate-softpc-product-control -> adapter-bochs/bochs-core/app own final machine lifecycle and product composition)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"host_direct_access_error"	"szDoomMsg"	"szDoomMsg"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_error.obj"	"DisplayErrorTerm"	"szSysErrMsg"	"szSysErrMsg"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applClose"	"TerminateHeartBeat"	"TerminateHeartBeat"	"1"	"select-original-softpc-host-control-source"	"softpc.new/host/src/nt_timer.c:307 (exclude-alternate-softpc-product-control -> adapter-bochs/bochs-core/app own final machine lifecycle and product composition)"	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"the_mouse_funcs"	"the_mouse_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"ThreadInfo"	"ThreadInfo"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-ccpu386.lib"	"c_xcptn.obj"	"Int0"	"trace_file"	"trace_file"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"working_keybd_funcs"	"working_keybd_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"working_mouse_funcs"	"working_mouse_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"working_video_funcs"	"working_video_funcs"	"1"	"select-original-softpc-host-control-source"	""	"original SoftPC host-control source family must be selected before a modern public-API binding is considered"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"BIOS"	"BIOS"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"dispatch_q_event"	"dispatch_q_event"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/system/qevnt.c:326 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor) | softpc.new/base/system/quick_ev.c:830 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"c_xcptn.obj"	"Int0"	"host_exint_hook"	"host_exint_hook"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_inthk.c:204 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"host_ica_lock"	"host_ica_lock"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_eoi.c:356 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_reset"	"host_ica_unlock"	"host_ica_unlock"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_eoi.c:361 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"sas_init"	"host_sas_init"	"host_sas_init"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/sim32.c:325 (retain-source-shaped-overlay-provider -> original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner) | softpc.new/host/src/sim32.c:426 (retain-source-shaped-overlay-provider -> original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"sas_term"	"host_sas_term"	"host_sas_term"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/sim32.c:357 (retain-source-shaped-overlay-provider -> original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner) | softpc.new/host/src/sim32.c:445 (retain-source-shaped-overlay-provider -> original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"into.obj"	""	"host_swint_hook"	"host_swint_hook"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_inthk.c:140 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"intx.obj"	"INTx"	"host_swint_hook"	"host_swint_hook"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_inthk.c:140 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"host_timer_event"	"host_timer_event"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_timer.c:384 (exclude-alternate-softpc-product-control -> adapter-bochs/bochs-core/app own final machine lifecycle and product composition)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"zfrsrvd.obj"	"TakeNpxExceptionInt"	"ica_hw_interrupt"	"ica_hw_interrupt"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"c_main.obj"	""	"ica_intack"	"ica_intack"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/system/ica.c:1401 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"zfrsrvd.obj"	"TakeNpxExceptionInt"	"ica_intack"	"ica_intack"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/system/ica.c:1401 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-softpc-host-roots.lib"	"nt_reset.obj"	"host_applInit"	"InitializeIcaLock"	"InitializeIcaLock"	"1"	"select-original-softpc-machine-source"	"softpc.new/host/src/nt_eoi.c:366 (retain-source-shaped-host-provider -> opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"in.obj"	"IN8"	"Ios_in_adapter_table"	"Ios_in_adapter_table"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"in.obj"	"IN8"	"Ios_inb_function"	"Ios_inb_function"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"in.obj"	"IN16"	"Ios_inw_function"	"Ios_inw_function"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"out.obj"	"OUT8"	"Ios_out_adapter_table"	"Ios_out_adapter_table"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"out.obj"	"OUT8"	"Ios_outb_function"	"Ios_outb_function"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"out.obj"	"OUT16"	"Ios_outw_function"	"Ios_outw_function"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"phy_w8"	"LIM_b_write"	"LIM_b_write"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/dos/emm_mngr.c:2002 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-softpc-host-roots.lib"	"nt_msscs.obj"	"InitialiseDosEmulation"	"lim_page_frame_init"	"lim_page_frame_init"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/dos/emm_mngr.c:152 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"phy_w16"	"LIM_w_write"	"LIM_w_write"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/dos/emm_mngr.c:2033 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"phy_r8"	"read_pointers"	"read_pointers"	"1"	"select-original-softpc-machine-source"	""	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"ccpusas4.obj"	"sas_init"	"rom_init"	"rom_init"	"1"	"select-original-softpc-machine-source"	"softpc.new/base/system/rom.c:280 (exclude-bochs-pc-device-executor -> bochs-core via adapter-bochs; no second PIC/PIT/CMOS/DMA/video/disk/serial/keyboard/mouse/EMS device executor)"	"original SoftPC machine source family must be selected by physical owner; do not replace the mechanical body with a local stub"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_sas_touch"	"c_sas_touch"	"1"	"x86-patch-evidence-not-x64-composable"	""	"the byte-identical NTVDMx64 fmstubs.c body retains this x86 inline-assembly hook; x64 records it as a required source-shaped binding decision, never as an omitted interface"
"x64"	"original-ccpu386.lib"	"sasCdef.obj"	""	"c_VirtualiseInstruction"	"c_VirtualiseInstruction"	"1"	"x86-patch-evidence-not-x64-composable"	""	"the byte-identical NTVDMx64 fmstubs.c body retains this x86 inline-assembly hook; x64 records it as a required source-shaped binding decision, never as an omitted interface"
"x64"	"original-ccpu386.lib"	"c_main.obj"	"ccpu"	"EDL_fast_bop"	"EDL_fast_bop"	"1"	"x86-patch-evidence-not-x64-composable"	""	"the byte-identical NTVDMx64 fmstubs.c body retains this x86 inline-assembly hook; x64 records it as a required source-shaped binding decision, never as an omitted interface"
"x64"	"original-softpc-host-roots.lib"	"nt_mem.obj"	"VdmAddVirtualMemory"	"VdmSetPhysRecStructs"	"VdmSetPhysRecStructs"	"1"	"x86-patch-evidence-not-x64-composable"	""	"the byte-identical NTVDMx64 fmstubs.c body retains this x86 inline-assembly hook; x64 records it as a required source-shaped binding decision, never as an omitted interface"
