"file_id"	"source_path"	"original_literal_build_membership"	"original_role_group"	"required_boundary_owner"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-1234"	"softpc.new/host/src/nt_det.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_det.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1235"	"softpc.new/host/src/nt_ega.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_ega.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1236"	"softpc.new/host/src/nt_emm.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_emm.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1237"	"softpc.new/host/src/nt_eoi.c"	"observed-in-literal-sources"	"adapter-vdm-monitor"	"adapter-vdm-monitor; adapter-softpc"	"original event/interrupt/reset/monitor glue; retain interface shape and classify VDM monitor versus machine calls"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_eoi.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1238"	"softpc.new/host/src/nt_error.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_error.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1239"	"softpc.new/host/src/nt_ertbl.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_ertbl.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1240"	"softpc.new/host/src/nt_event.c"	"observed-in-literal-sources"	"adapter-vdm-monitor"	"adapter-vdm-monitor; adapter-softpc"	"original event/interrupt/reset/monitor glue; retain interface shape and classify VDM monitor versus machine calls"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_event.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1241"	"softpc.new/host/src/nt_fdisk.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_fdisk.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1242"	"softpc.new/host/src/nt_fulsc.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_fulsc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1243"	"softpc.new/host/src/nt_graph.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_graph.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1244"	"softpc.new/host/src/nt_hfx.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_hfx.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1245"	"softpc.new/host/src/nt_hosts.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_hosts.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1246"	"softpc.new/host/src/nt_hunt.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_hunt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1247"	"softpc.new/host/src/nt_input.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_input.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1248"	"softpc.new/host/src/nt_inthk.c"	"observed-in-literal-sources"	"adapter-vdm-monitor"	"adapter-vdm-monitor; adapter-softpc"	"original event/interrupt/reset/monitor glue; retain interface shape and classify VDM monitor versus machine calls"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_inthk.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1249"	"softpc.new/host/src/nt_keycd.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_keycd.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1250"	"softpc.new/host/src/nt_lpt.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_lpt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1251"	"softpc.new/host/src/nt_mem.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_mem.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1252"	"softpc.new/host/src/nt_mess.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_mess.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1253"	"softpc.new/host/src/nt_mouse.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_mouse.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1254"	"softpc.new/host/src/nt_msscs.c"	"observed-in-literal-sources"	"adapter-vdm-monitor"	"adapter-vdm-monitor; adapter-softpc"	"original event/interrupt/reset/monitor glue; retain interface shape and classify VDM monitor versus machine calls"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_msscs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1255"	"softpc.new/host/src/nt_munge.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_munge.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1256"	"softpc.new/host/src/nt_nls.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_nls.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1257"	"softpc.new/host/src/nt_ntfun.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_ntfun.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1258"	"softpc.new/host/src/nt_pif.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_pif.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1259"	"softpc.new/host/src/nt_reset.c"	"observed-in-literal-sources"	"adapter-vdm-monitor"	"adapter-vdm-monitor; adapter-softpc"	"original event/interrupt/reset/monitor glue; retain interface shape and classify VDM monitor versus machine calls"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_reset.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1260"	"softpc.new/host/src/nt_rez.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_rez.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1261"	"softpc.new/host/src/nt_rflop.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_rflop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1262"	"softpc.new/host/src/nt_sas.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_sas.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1263"	"softpc.new/host/src/nt_sec.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_sec.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1264"	"softpc.new/host/src/nt_smenu.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_smenu.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1265"	"softpc.new/host/src/nt_sound.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_sound.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1266"	"softpc.new/host/src/nt_term.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_term.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1267"	"softpc.new/host/src/nt_thred.c"	"observed-in-literal-sources"	"session-and-monitor-thread"	"session; adapter-vdm-monitor"	"original worker/thread coordination; recover only session-local observable contract, never NT4 global worker shell"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_thred.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1268"	"softpc.new/host/src/nt_timer.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_timer.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1269"	"softpc.new/host/src/nt_umb.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_umb.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1270"	"softpc.new/host/src/nt_unix.c"	"observed-in-literal-sources"	"adapter-win32-host-capability"	"adapter-win32"	"original host capability/NTDLL/Win32 source; preserve algorithm and error ordering while auditing public-modern binding shape"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_unix.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1271"	"softpc.new/host/src/nt_vdd.c"	"observed-in-literal-sources"	"adapter-vdd-or-debugger"	"adapter-vdd; adapter-debugger"	"original VDD or debugger product bridge; no provider policy or Bochs object enters source"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_vdd.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1272"	"softpc.new/host/src/nt_vflop.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/nt_vflop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1273"	"softpc.new/host/src/nt_vga.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_vga.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1274"	"softpc.new/host/src/nt_wcom.c"	"observed-in-literal-sources"	"machine-device-bridge-review"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"mixed original device bridge; determine Bochs-native replacement versus same-shaped host-device binding before enablement"	"device-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_wcom.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1275"	"softpc.new/host/src/nt_yoda.c"	"observed-in-literal-sources"	"adapter-vdd-or-debugger"	"adapter-vdd; adapter-debugger"	"original VDD or debugger product bridge; no provider policy or Bochs object enters source"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/nt_yoda.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1276"	"softpc.new/host/src/sim32.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/sim32.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1278"	"softpc.new/host/src/stf_conf.c"	"not-observed-in-literal-sources"	"literal-build-unobserved-auxiliary"	"none until original build/profile evidence expands"	"not in the literal host/src SOURCES list; retain exact mirror and do not infer runtime reachability"	"profile/build-unobserved"	"provisional-not-enabled"	"softpc.new/host/src/stf_conf.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1279"	"softpc.new/host/src/stubs.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/stubs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-1280"	"softpc.new/host/src/x86_emm.c"	"observed-in-literal-sources"	"adapter-softpc-machine-facade"	"adapter-softpc; adapter-bochs"	"original CCPU/SAS/memory facade; same-shaped calls may bind to Bochs mechanics only through declared adapter boundary"	"adapter-bound review"	"provisional-not-enabled"	"softpc.new/host/src/x86_emm.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
