coverage_id	review_cluster	static_candidate_count	classification_record_count	current_worklist_count	current_dispositions	prior_evidence_to_reread	coverage_state	mandatory_cluster_action
T310-S8-P4-COVERAGE-023	SPC-HOST-COMMS-BINDINGS	3	7	0	nonwidth-source-quality-not-current-blocker:5;nonwidth-unless-call-contract-evidence:2	docs/etc/evidence/m0-t310-s8-p4-comms-native-transport-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-024	SPC-HOST-CONFIGURATION-BINDINGS	0	29	2	nonwidth-source-quality-not-current-blocker:26;nonwidth-unless-call-contract-evidence:1;read-value-range-and-architecture-delta:2	docs/etc/evidence/m0-t310-s8-p4-config-scalar-native-width-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-configuration-guest-profile-conditional-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-pif-lim-call-contract-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-025	SPC-HOST-INPUT-BINDINGS	0	37	11	must-read-old-style-call-contract:2;must-repair-call-abi:1;nonwidth-source-quality-not-current-blocker:8;nonwidth-unless-call-contract-evidence:18;read-value-range-and-architecture-delta:7;unclassified-read-source:1	docs/etc/evidence/m0-t310-s8-p4-keyboard-oem-rtl-binding-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-keyboard-vector-native-backing-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-console-boundary-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-io-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-range-callback-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-026	SPC-HOST-PLATFORM-BINDINGS	84	100	38	must-read-old-style-call-contract:10;must-read-x64-narrowing:1;must-repair-call-abi:21;must-repair-width-or-pointer-abi:2;nonwidth-source-quality-not-current-blocker:35;nonwidth-unless-call-contract-evidence:27;read-value-range-and-architecture-delta:3;unclassified-read-source:1	docs/etc/evidence/m0-t310-s8-p4-console-menu-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-console-registration-abi-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-console-vdm-registration-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-error-dialog-native-callback-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-event-thread-declaration-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-host-native-format-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-host-simulate-call-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-host-stub-source-form-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-console-boundary-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-multiple-object-wait-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-hard-error-boundary-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-sec-pseudohandle-width-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-unix-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-stubs-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-x86gfx-console-video-hole-disposition-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-027	SPC-HOST-STORAGE-BINDINGS	0	42	7	must-read-old-style-call-contract:1;nonwidth-source-quality-not-current-blocker:11;nonwidth-unless-call-contract-evidence:24;read-value-range-and-architecture-delta:6	docs/etc/evidence/m0-t310-s8-p4-fprt-native-buffer-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-storage-private-backing-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-028	SPC-HOST-SYSTEM-INTERRUPT-BINDINGS	0	4	0	nonwidth-source-quality-not-current-blocker:3;nonwidth-unless-call-contract-evidence:1	docs/etc/evidence/m0-t310-s8-p4-nt-event-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-system-interrupt-abi-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-system-interrupt-native-contract-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-029	SPC-HOST-VDD-BINDING	2	3	0	nonwidth-unless-call-contract-evidence:3	-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-030	SPC-HOST-VIDEO-BINDINGS	3	278	134	must-read-old-style-call-contract:2;must-repair-call-abi:1;nonwidth-source-quality-not-current-blocker:10;nonwidth-unless-call-contract-evidence:134;read-value-range-and-architecture-delta:130;unclassified-read-source:1	-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-031	SPC-HUNTER-UNSELECTED	148	0	0		-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-032	SPC-INPUT-CONTROLLER-CALLBACKS	9	178	58	must-read-old-style-call-contract:3;must-repair-call-abi:11;nonwidth-source-quality-not-current-blocker:11;nonwidth-unless-call-contract-evidence:109;read-value-range-and-architecture-delta:44	docs/etc/evidence/m0-t310-s8-p4-keyboard-oem-rtl-binding-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-keyboard-vector-native-backing-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-console-boundary-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-io-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-mouse-range-callback-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-sound-ntio-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-033	SPC-MEMORY-MAPPING-BINDINGS	0	6	0	nonwidth-source-quality-not-current-blocker:4;nonwidth-unless-call-contract-evidence:2	docs/etc/evidence/m0-t310-s8-p4-ccpu-sas-monitor-boundary-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-emm-storage-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-emm-storage-id-native-width-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ems-page-alias-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-mem-page-span-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-rtl-fill-memory-ulong-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-sas-native-pointer-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-sas-vector-null-slot-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-umb-numeric-address-audit-001.md;docs/etc/evidence/m0-t310-s8-p4-vdd-umb-current-source-revalidation-001.md;docs/etc/evidence/m0-t310-s8-p4-vdd-umb-numeric-address-abi-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-034	SPC-OTHER-MACHINE-SOURCE	110	28	14	must-repair-call-abi:4;nonwidth-source-quality-not-current-blocker:13;nonwidth-unless-call-contract-evidence:1;read-value-range-and-architecture-delta:8;unclassified-read-source:2	-	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-035	SPC-SAS-MEMORY-CONTRACT	85	25	3	must-repair-control-or-result-contract:3;nonwidth-source-quality-not-current-blocker:5;nonwidth-unless-call-contract-evidence:17	docs/etc/evidence/m0-t310-s8-p4-ccpusas4-x86-x64-classification-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-036	SPC-STORAGE-CONTROLLER-CALLBACKS	7	88	62	must-repair-call-abi:36;nonwidth-source-quality-not-current-blocker:4;nonwidth-unless-call-contract-evidence:22;read-value-range-and-architecture-delta:26	docs/etc/evidence/m0-t310-s8-p4-floppy-default-int-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-storage-controller-call-contract-audit-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-037	SPC-SUPPORT-CONTROLLER-CALLBACKS	9	10	0	nonwidth-source-quality-not-current-blocker:5;nonwidth-unless-call-contract-evidence:5	docs/etc/evidence/m0-t310-s8-p4-support-x86-conditional-contract-closure-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-038	SPC-SYSTEM-CONTROLLER-CALLBACKS	98	58	27	must-read-old-style-call-contract:3;nonwidth-source-quality-not-current-blocker:26;nonwidth-unless-call-contract-evidence:5;read-value-range-and-architecture-delta:22;unclassified-read-source:2	docs/etc/evidence/m0-t310-s8-p4-cmos-reset-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-system-controller-callback-subcluster-audit-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
T310-S8-P4-COVERAGE-039	SPC-VIDEO-CONTROLLER-DISPATCH	82	241	154	must-read-old-style-call-contract:5;must-repair-call-abi:1;nonwidth-source-quality-not-current-blocker:25;nonwidth-unless-call-contract-evidence:62;read-value-range-and-architecture-delta:144;unclassified-read-source:4	docs/etc/evidence/m0-t310-s8-p4-ccpu-video-rule-storage-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-ega-word-fill-abi-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-aorc-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-nt-cga-x86-x64-classification-001.md;docs/etc/evidence/m0-t310-s8-p4-softpc-video-call-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-softpc-video-read-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-softpc-video-word-fill-contract-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-video-nonwidth-warning-disposition-001.md;docs/etc/evidence/m0-t310-s8-p4-video-original-call-declaration-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-video-profile-source-selection-closure-001.md;docs/etc/evidence/m0-t310-s8-p4-x86gfx-console-video-hole-disposition-001.md	requires-full-owner-contract-reread	re-read original declaration, definition, initializer/assignment, selected callers and every listed prior closure; retain, replace or remove each prior repair before closing the cluster
