binding_id	resolution_id	one_ledger1_identity	caller_include_frontier_id	callee_spelling	candidate_identity	definition_source_root	definition_source_path	definition_source_sha256	definition_source_line	definition_linkage	reachable_declaration_tokens	binding_disposition	next_action	boundary
"MVDM-HOST-ONE1-BINDING-000011"	"MVDM-HOST-ONE1-RESOLUTION-000005"	"MVDM-HOST-ONE1-000021"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000012"	"MVDM-HOST-ONE1-RESOLUTION-000005"	"MVDM-HOST-ONE1-000021"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000013"	"MVDM-HOST-ONE1-RESOLUTION-000005"	"MVDM-HOST-ONE1-000021"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000014"	"MVDM-HOST-ONE1-RESOLUTION-000006"	"MVDM-HOST-ONE1-000022"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000015"	"MVDM-HOST-ONE1-RESOLUTION-000006"	"MVDM-HOST-ONE1-000022"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000016"	"MVDM-HOST-ONE1-RESOLUTION-000006"	"MVDM-HOST-ONE1-000022"	"MVDM-HOST-ONE1-CALLER-000001"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000017"	"MVDM-HOST-ONE1-RESOLUTION-000039"	"MVDM-HOST-ONE1-000083"	"MVDM-HOST-ONE1-CALLER-000002"	"ReadByte"	"O:\repos.external\OpenNT|com/oleaut32/typelib/fstream.cxx|9c94dce5df44d225336ef2becef25ac3e095f3cddbbfd2d62280827cf7154f82|130|ReadByte"	"O:\repos.external\OpenNT"	"com/oleaut32/typelib/fstream.cxx"	"9c94dce5df44d225336ef2becef25ac3e095f3cddbbfd2d62280827cf7154f82"	"130"	"externally-linkable"	"OpenNT|base/mvdm/bde/bde.h|e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e@27"	"unique-source-candidate-with-reachable-declaration-token"	"P20 may inspect only the selected candidate body after a physical signature/condition gate"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000018"	"MVDM-HOST-ONE1-RESOLUTION-000052"	"MVDM-HOST-ONE1-000098"	"MVDM-HOST-ONE1-CALLER-000002"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000019"	"MVDM-HOST-ONE1-RESOLUTION-000052"	"MVDM-HOST-ONE1-000098"	"MVDM-HOST-ONE1-CALLER-000002"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000020"	"MVDM-HOST-ONE1-RESOLUTION-000052"	"MVDM-HOST-ONE1-000098"	"MVDM-HOST-ONE1-CALLER-000002"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000021"	"MVDM-HOST-ONE1-RESOLUTION-000057"	"MVDM-HOST-ONE1-000106"	"MVDM-HOST-ONE1-CALLER-000002"	"wsprintf"	"O:\repos.external\OpenNT|base/mvdm/wow16/user/wsprintf.c|f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7|336|wsprintf"	"O:\repos.external\OpenNT"	"base/mvdm/wow16/user/wsprintf.c"	"f58afbd56ab824442609f098d2b7f8709e978a61a51a195db874e28aea2130e7"	"336"	"externally-linkable"	"OpenNT-4.5|nt/private/sdktools/jetadmin/inc/wownt32.h|7b3077a7da4144abd73494311d85f34d46ecd483d2e14afd6619693891143cb7@225;OpenNT-4.5|nt/public/sdk/inc/wownt32.h|7b3077a7da4144abd73494311d85f34d46ecd483d2e14afd6619693891143cb7@225;OpenNT|public/sdk/inc/wownt32.h|7b3077a7da4144abd73494311d85f34d46ecd483d2e14afd6619693891143cb7@225;OpenNT|sdktools/jetadmin/inc/wownt32.h|7b3077a7da4144abd73494311d85f34d46ecd483d2e14afd6619693891143cb7@225"	"unique-source-candidate-with-reachable-declaration-token"	"P20 may inspect only the selected candidate body after a physical signature/condition gate"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000022"	"MVDM-HOST-ONE1-RESOLUTION-000059"	"MVDM-HOST-ONE1-000118"	"MVDM-HOST-ONE1-CALLER-000003"	"_lread"	"O:\repos.external\OpenNT|base/win32/client/lcompat.c|4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b|124|_lread"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"124"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000023"	"MVDM-HOST-ONE1-RESOLUTION-000060"	"MVDM-HOST-ONE1-000119"	"MVDM-HOST-ONE1-CALLER-000003"	"_lread"	"O:\repos.external\OpenNT|base/win32/client/lcompat.c|4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b|124|_lread"	"O:\repos.external\OpenNT"	"base/win32/client/lcompat.c"	"4c27c43dc911e276e2abb3cc36eb15840985360f0d32af1f4f8de332816bd25b"	"124"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000024"	"MVDM-HOST-ONE1-RESOLUTION-000061"	"MVDM-HOST-ONE1-000120"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000025"	"MVDM-HOST-ONE1-RESOLUTION-000061"	"MVDM-HOST-ONE1-000120"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000026"	"MVDM-HOST-ONE1-RESOLUTION-000061"	"MVDM-HOST-ONE1-000120"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000027"	"MVDM-HOST-ONE1-RESOLUTION-000062"	"MVDM-HOST-ONE1-000121"	"MVDM-HOST-ONE1-CALLER-000004"	"OpenFile"	"O:\repos.external\OpenNT|base/mvdm/dos/v86/tools/src/h2inc/h2inc.c|d41ccc8bb473c1bb4c0fd6a7baf0d19b933602a2c9ef5a5b9660b2f4a79c8163|456|OpenFile"	"O:\repos.external\OpenNT"	"base/mvdm/dos/v86/tools/src/h2inc/h2inc.c"	"d41ccc8bb473c1bb4c0fd6a7baf0d19b933602a2c9ef5a5b9660b2f4a79c8163"	"456"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000028"	"MVDM-HOST-ONE1-RESOLUTION-000062"	"MVDM-HOST-ONE1-000121"	"MVDM-HOST-ONE1-CALLER-000004"	"OpenFile"	"O:\repos.external\OpenNT|base/win32/client/fileopcr.c|8fb149d5466e8882efaef636c47fa6cb29cdde50e3b934c2e1be4fb597ee6626|2606|OpenFile"	"O:\repos.external\OpenNT"	"base/win32/client/fileopcr.c"	"8fb149d5466e8882efaef636c47fa6cb29cdde50e3b934c2e1be4fb597ee6626"	"2606"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000029"	"MVDM-HOST-ONE1-RESOLUTION-000062"	"MVDM-HOST-ONE1-000121"	"MVDM-HOST-ONE1-CALLER-000004"	"OpenFile"	"O:\repos.external\OpenNT|com/ole32/stg/props/utest/open.cxx|25c998a70aa22f5d67881a6d1d3829fd9add0fc04813ba193c39dd26ca2f0f2f|110|OpenFile"	"O:\repos.external\OpenNT"	"com/ole32/stg/props/utest/open.cxx"	"25c998a70aa22f5d67881a6d1d3829fd9add0fc04813ba193c39dd26ca2f0f2f"	"110"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000030"	"MVDM-HOST-ONE1-RESOLUTION-000063"	"MVDM-HOST-ONE1-000122"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcpy.cxx|e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56|84|strcpy"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcpy.cxx"	"e6069a2825702fb666ed97cce410d949538a26d400ab6dda804f5b7fa5a81b56"	"84"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000031"	"MVDM-HOST-ONE1-RESOLUTION-000063"	"MVDM-HOST-ONE1-000122"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|223|strcpy"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"223"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000032"	"MVDM-HOST-ONE1-RESOLUTION-000063"	"MVDM-HOST-ONE1-000122"	"MVDM-HOST-ONE1-CALLER-000004"	"strcpy"	"O:\repos.external\OpenNT|base/crts/crtw32/string/strcat.c|0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5|89|strcpy"	"O:\repos.external\OpenNT"	"base/crts/crtw32/string/strcat.c"	"0d3322705876f42ccd54dc68ee1ae9f3727ccc609c05aa44f8d1a5e9e84c32f5"	"89"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000033"	"MVDM-HOST-ONE1-RESOLUTION-000064"	"MVDM-HOST-ONE1-000123"	"MVDM-HOST-ONE1-CALLER-000004"	"strcat"	"O:\repos.external\OpenNT|admin/netui/common/src/string/string/strcat.cxx|7f2504abaada6dc3dc7df3f8ca18599725418a8df3e3b21b3aa052b4a1b248db|53|strcat"	"O:\repos.external\OpenNT"	"admin/netui/common/src/string/string/strcat.cxx"	"7f2504abaada6dc3dc7df3f8ca18599725418a8df3e3b21b3aa052b4a1b248db"	"53"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
"MVDM-HOST-ONE1-BINDING-000034"	"MVDM-HOST-ONE1-RESOLUTION-000064"	"MVDM-HOST-ONE1-000123"	"MVDM-HOST-ONE1-CALLER-000004"	"strcat"	"O:\repos.external\OpenNT|base/boot/veneer/vrlib.c|119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569|234|strcat"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrlib.c"	"119251ec114e3876ad1a89909091d102c7ace765c390714afda87b338ea62569"	"234"	"externally-linkable"	""	"original-definition-candidate-without-reachable-declaration-token"	"retain each candidate; declaration/signature/condition analysis must resolve or explicitly defer before body expansion"	"P19 reads caller include/declaration tokens and candidate declaration-line linkage only; it does not inspect a candidate body or select a runtime provider"
