definition_id	file_id	source_path	source_sha256	package_root	source_line	symbol	linkage	signature_evidence	file_disposition	final_function_disposition	function_disposition_basis	should_recover	recovery_form	leaf_status	leaf_basis	direct_call_summary
"MVDM-ZERO-DEFINITION-000011"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"422"	"ln"	"external-or-unspecified"	"ln( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@448:macro-expression;SETUP_WINDBG_POINTERS@453:macro-expression;ListNear@454:zero:MVDM-ZERO-DEFINITION-000038"
"MVDM-ZERO-DEFINITION-000012"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"460"	"r"	"external-or-unspecified"	"r( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@486:macro-expression;SETUP_WINDBG_POINTERS@491:macro-expression;DumpRegs@492:zero:MVDM-ZERO-DEFINITION-000022"
"MVDM-ZERO-DEFINITION-000013"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"498"	"ti"	"external-or-unspecified"	"ti( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@524:macro-expression;SETUP_WINDBG_POINTERS@529:macro-expression;TaskInfo@530:zero:MVDM-ZERO-DEFINITION-000025"
"MVDM-ZERO-DEFINITION-000014"	"MVDM-FILE-0003"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"bde"	"535"	"u"	"external-or-unspecified"	"u( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"UNREFERENCED_PARAMETER@561:macro-expression;SETUP_WINDBG_POINTERS@566:macro-expression;Unassemble@567:zero:MVDM-ZERO-DEFINITION-000057"
"MVDM-ZERO-DEFINITION-000015"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"8"	"GetHeapBase"	"external-or-unspecified"	"GetHeapBase( VOID )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"one-or-more-first-degree-candidate-callees"	"GetInfoFromSelector@20:first:MVDM-FIRST-CANDIDATE-000010;GetIntelBase@27:first:MVDM-FIRST-CANDIDATE-000011"
"MVDM-ZERO-DEFINITION-000016"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"34"	"GetFileNameFromOwner"	"external-or-unspecified"	"GetFileNameFromOwner( LPSTR filename, LPSTR OwnerName )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"leaf"	"no-direct-function-call"	""
"MVDM-ZERO-DEFINITION-000017"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"43"	"GetSegmentOwnerInfo"	"external-or-unspecified"	"GetSegmentOwnerInfo( HEAPENTRY *he )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"strcpy@58:macro-expression;strcpy@61:macro-expression;GetInfoFromSelector@66:first:MVDM-FIRST-CANDIDATE-000012;GetIntelBase@67:first:MVDM-FIRST-CANDIDATE-000013;ReadProcessMem@69:first:MVDM-FIRST-CANDIDATE-000014;ReadByteSafe@80:macro-expression;ReadProcessMem@84:first:MVDM-FIRST-CANDIDATE-000015;_stricmp@92:macro-expression;strcpy@93:macro-expression;strcpy@95:macro-expression;ReadWordSafe@101:macro-expression"
"MVDM-ZERO-DEFINITION-000018"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"115"	"CheckGlobalHeap"	"external-or-unspecified"	"CheckGlobalHeap( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetHeapBase@126:zero:MVDM-ZERO-DEFINITION-000015;ReadWord@127:macro-expression;ReadWord@133:macro-expression;ReadGNode32@139:macro-expression;PRINTF@141:macro-expression;PRINTF@153:macro-expression"
"MVDM-ZERO-DEFINITION-000019"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"159"	"FindHeapEntry"	"external-or-unspecified"	"FindHeapEntry( HEAPENTRY *he, BOOL bFindAny )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetHeapBase@171:zero:MVDM-ZERO-DEFINITION-000015;ReadWord@181:macro-expression;ReadGNode32@198:macro-expression;PRINTF@200:macro-expression;GetSegmentOwnerInfo@206:zero:MVDM-ZERO-DEFINITION-000017;ReadWord@214:macro-expression;ReadGNode32@221:macro-expression;PRINTF@223:macro-expression;GetSegmentOwnerInfo@234:zero:MVDM-ZERO-DEFINITION-000017;GetSegmentOwnerInfo@241:zero:MVDM-ZERO-DEFINITION-000017"
"MVDM-ZERO-DEFINITION-000020"	"MVDM-FILE-0004"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"bde"	"269"	"DumpGHeap"	"external-or-unspecified"	"DumpGHeap( VOID )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@278:macro-expression;GetNextToken@280:first:MVDM-FIRST-CANDIDATE-000016;EXPRESSION@281:macro-expression;PRINTF@284:macro-expression;PRINTF@285:macro-expression;PRINTF@287:macro-expression;PRINTF@288:macro-expression;FindHeapEntry@290:zero:MVDM-ZERO-DEFINITION-000019;PRINTF@292:macro-expression;PRINTF@293:macro-expression;PRINTF@294:macro-expression;PRINTF@295:macro-expression;PRINTF@296:macro-expression;PRINTF@297:macro-expression;PRINTF@298:macro-expression;GetInfoFromSelector@300:first:MVDM-FIRST-CANDIDATE-000017;PRINTF@302:macro-expression;PRINTF@305:macro-expression;PRINTF@307:macro-expression"
"MVDM-ZERO-DEFINITION-000021"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"bde"	"26"	"DumpMemory"	"external-or-unspecified"	"DumpMemory( UINT DumpType )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@42:macro-expression;GetNextToken@44:first:MVDM-FIRST-CANDIDATE-000018;PRINTF@45:macro-expression;ParseIntelAddress@49:first:MVDM-FIRST-CANDIDATE-000019;GetNextToken@53:first:MVDM-FIRST-CANDIDATE-000020;EXPRESSION@57:macro-expression;GetInfoFromSelector@60:first:MVDM-FIRST-CANDIDATE-000021;GetIntelBase@60:first:MVDM-FIRST-CANDIDATE-000022;PRINTF@64:macro-expression;PRINTF@66:macro-expression;LOWORD@66:macro-expression;PRINTF@74:macro-expression;PRINTF@76:macro-expression;PRINTF@78:macro-expression;ReadByteSafe@78:macro-expression;PRINTF@80:macro-expression;ReadByteSafe@83:macro-expression;isprint@84:macro-expression;PRINTF@85:macro-expression;PRINTF@87:macro-expression;PRINTF@94:macro-expression;ReadWordSafe@94:macro-expression;PRINTF@99:macro-expression;ReadDwordSafe@99:macro-expression;PRINTF@103:macro-expression"
"MVDM-ZERO-DEFINITION-000022"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"bde"	"113"	"DumpRegs"	"external-or-unspecified"	"DumpRegs( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@118:macro-expression;PRINTF@120:macro-expression;PRINTF@127:macro-expression;PRINTF@132:macro-expression;PRINTF@134:macro-expression;PRINTF@137:macro-expression;PRINTF@139:macro-expression;PRINTF@142:macro-expression;PRINTF@144:macro-expression;PRINTF@147:macro-expression;PRINTF@149:macro-expression;PRINTF@152:macro-expression;PRINTF@154:macro-expression;PRINTF@157:macro-expression;PRINTF@159:macro-expression;PRINTF@162:macro-expression;PRINTF@164:macro-expression;PRINTF@167:macro-expression;PRINTF@169:macro-expression;PRINTF@171:macro-expression;PRINTF@172:macro-expression"
"MVDM-ZERO-DEFINITION-000023"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"bde"	"184"	"ListModules"	"external-or-unspecified"	"ListModules( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@191:macro-expression;GetNextToken@193:first:MVDM-FIRST-CANDIDATE-000023;EXPRESSION@194:macro-expression;PRINTF@197:macro-expression;PRINTF@198:macro-expression;FindHeapEntry@201:first:MVDM-FIRST-CANDIDATE-000024;GetInfoFromSelector@203:first:MVDM-FIRST-CANDIDATE-000025;PRINTF@204:macro-expression;PRINTF@209:macro-expression;PRINTF@211:macro-expression"
"MVDM-ZERO-DEFINITION-000024"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"bde"	"221"	"DumpDescriptor"	"external-or-unspecified"	"DumpDescriptor( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@230:macro-expression;GetNextToken@232:first:MVDM-FIRST-CANDIDATE-000026;EXPRESSION@233:macro-expression;PRINTF@235:macro-expression;GetInfoFromSelector@241:first:MVDM-FIRST-CANDIDATE-000027;PRINTF@243:macro-expression;PRINTF@246:macro-expression;GetIntelBase@246:first:MVDM-FIRST-CANDIDATE-000028;PRINTF@249:macro-expression"
"MVDM-ZERO-DEFINITION-000025"	"MVDM-FILE-0005"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"bde"	"307"	"TaskInfo"	"external-or-unspecified"	"void TaskInfo ( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@317:macro-expression;GetNextToken@320:first:MVDM-FIRST-CANDIDATE-000029;EXPRESSION@321:macro-expression;EXPRESSION@324:macro-expression;ReadProcessMem@327:first:MVDM-FIRST-CANDIDATE-000030;PRINTF@334:macro-expression;ReadProcessMem@340:first:MVDM-FIRST-CANDIDATE-000031;PRINTF@346:macro-expression;DumpTaskInfo@351:first:MVDM-FIRST-CANDIDATE-000032;DumpTaskInfo@356:first:MVDM-FIRST-CANDIDATE-000033;PRINTF@366:macro-expression;PRINTF@369:macro-expression"
"MVDM-ZERO-DEFINITION-000026"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"6"	"dump_params"	"external-or-unspecified"	"void dump_params( ULONG params, char convention, int param_words )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"PRINTF@17:macro-expression;ReadWord@21:macro-expression;ReadWord@23:macro-expression;PRINTF@26:macro-expression;PRINTF@28:macro-expression;PRINTF@32:macro-expression"
"MVDM-ZERO-DEFINITION-000027"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"35"	"look_for_near"	"external-or-unspecified"	"int look_for_near( ULONG pbp, WORD cs, WORD ss, WORD bp, int framed, ULONG csBase, int mode, BOOL fUseSymbols, BOOL fParams )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"ReadWord@75:macro-expression;ReadByteSafe@79:macro-expression;ReadByteSafe@81:macro-expression;ReadByteSafe@86:macro-expression;ReadByteSafe@101:macro-expression;ReadByteSafe@103:macro-expression;ReadWordSafe@108:macro-expression;ReadByteSafe@115:macro-expression;ReadByteSafe@120:macro-expression;ReadByteSafe@130:macro-expression;ReadByteSafe@132:macro-expression;ReadByteSafe@137:macro-expression;FindSymbol@157:first:MVDM-FIRST-CANDIDATE-000034;PRINTF@165:macro-expression;PRINTF@167:macro-expression;PRINTF@170:macro-expression;ReadWordSafe@173:macro-expression;ReadByteSafe@175:macro-expression;FindSymbol@180:first:MVDM-FIRST-CANDIDATE-000035;PRINTF@186:macro-expression;PRINTF@188:macro-expression;PRINTF@192:macro-expression;PRINTF@194:macro-expression;dump_params@198:zero:MVDM-ZERO-DEFINITION-000026;PRINTF@201:macro-expression"
"MVDM-ZERO-DEFINITION-000028"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"208"	"look_for_far"	"external-or-unspecified"	"int look_for_far( ULONG pbp, WORD *cs, WORD ss, WORD bp, int framed, ULONG *csBase, int mode, BOOL fUseSymbols, BOOL fParams )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"ReadWord@253:macro-expression;ReadWord@254:macro-expression;GetInfoFromSelector@255:first:MVDM-FIRST-CANDIDATE-000036;ReadByteSafe@262:macro-expression;ReadByte@264:macro-expression;ReadByteSafe@280:macro-expression;ReadByteSafe@282:macro-expression;ReadByteSafe@289:macro-expression;ReadByteSafe@293:macro-expression;ReadByteSafe@295:macro-expression;ReadByteSafe@310:macro-expression;ReadWordSafe@312:macro-expression;ReadWordSafe@313:macro-expression;FindSymbol@323:first:MVDM-FIRST-CANDIDATE-000037;PRINTF@331:macro-expression;PRINTF@333:macro-expression;PRINTF@336:macro-expression;ReadWordSafe@339:macro-expression;ReadByteSafe@341:macro-expression;FindSymbol@346:first:MVDM-FIRST-CANDIDATE-000038;PRINTF@352:macro-expression;PRINTF@354:macro-expression;PRINTF@358:macro-expression;ReadWord@370:macro-expression;ReadWord@371:macro-expression;strcpy@376:macro-expression;GetInfoFromSelector@378:first:MVDM-FIRST-CANDIDATE-000039;ReadWord@381:macro-expression;ReadWord@382:macro-expression;GetInfoFromSelector@384:first:MVDM-FIRST-CANDIDATE-000040;ReadWord@387:macro-expression;ReadWord@388:macro-expression;FindSymbol@390:first:MVDM-FIRST-CANDIDATE-000041;wsprintf@392:macro-expression;PRINTF@400:macro-expression;PRINTF@402:macro-expression;PRINTF@406:macro-expression;PRINTF@409:macro-expression;PRINTF@412:macro-expression;dump_params@418:zero:MVDM-ZERO-DEFINITION-000026;PRINTF@421:macro-expression"
"MVDM-ZERO-DEFINITION-000029"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"429"	"scan_for_frameless"	"external-or-unspecified"	"int scan_for_frameless( WORD ss, WORD sp, WORD next_bp, WORD *cs, ULONG ssBase, ULONG *csBase, int limit, int mode, BOOL fUseSymbols, BOOL fParams )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"selected-zero-degree-callee-present"	"look_for_near@456:zero:MVDM-ZERO-DEFINITION-000027;look_for_far@465:zero:MVDM-ZERO-DEFINITION-000028"
"MVDM-ZERO-DEFINITION-000030"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"476"	"stack_trace"	"external-or-unspecified"	"void stack_trace( WORD ss, ULONG ssBase, WORD sp, WORD bp, WORD cs, ULONG csBase, int limit, int mode, BOOL fUseSymbols, BOOL fGuessFrameless, BOOL fParams )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"PRINTF@505:macro-expression;ReadWord@521:macro-expression;scan_for_frameless@524:zero:MVDM-ZERO-DEFINITION-000029;look_for_near@534:zero:MVDM-ZERO-DEFINITION-000027;look_for_far@545:zero:MVDM-ZERO-DEFINITION-000028;PRINTF@552:macro-expression;scan_for_frameless@558:zero:MVDM-ZERO-DEFINITION-000029"
"MVDM-ZERO-DEFINITION-000031"	"MVDM-FILE-0006"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"bde"	"566"	"WalkStack"	"external-or-unspecified"	"WalkStack( )"	"tool-only"	"tool-only"	"inherited from audited enclosing MVDM file disposition; no body is modified or enabled by T293"	"no"	"not-host-runtime"	"non-leaf"	"macro-or-function-pointer-expression-present"	"GetContext@580:macro-expression;GetIntelBase@581:first:MVDM-FIRST-CANDIDATE-000042;GetInfoFromSelector@589:first:MVDM-FIRST-CANDIDATE-000043;GetInfoFromSelector@590:first:MVDM-FIRST-CANDIDATE-000044;GetNextToken@593:first:MVDM-FIRST-CANDIDATE-000045;EXPRESSION@594:macro-expression;stack_trace@597:zero:MVDM-ZERO-DEFINITION-000030"
