"logical_path"	"target_path"	"selected_source"	"selected_sha256"	"role"	"selection_basis"
"public/internal/ds/inc/rap.h"	"source/public/internal/ds/inc/rap.h"	"O:\repos.external\opennt\public\internal\ds\inc\rap.h"	"f1b132b2ab6d5b848303f27696fbcf4a78d8d937919b46dda004efb0930b9086"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rapdebug.h"	"source/public/internal/ds/inc/rapdebug.h"	"O:\repos.external\opennt\public\internal\ds\inc\rapdebug.h"	"ffc0d0378b56e4ef1a7b4356f7c00749f6cc4ef459df4a59af2d3bcf64728003"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rapgtpt.h"	"source/public/internal/ds/inc/rapgtpt.h"	"O:\repos.external\opennt\public\internal\ds\inc\rapgtpt.h"	"b77a81c76ebf5a82bddbc4812a94f9fc4281f4e01612380d843f16b47878b8e4"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/remdef.h"	"source/public/internal/ds/inc/remdef.h"	"O:\repos.external\opennt\public\internal\ds\inc\remdef.h"	"bf4341d5c9fea49d79a5fd074c19e7ceebd2b9b17e8ad2085fff5d3f4969c7ed"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/remtypes.h"	"source/public/internal/ds/inc/remtypes.h"	"O:\repos.external\opennt\public\internal\ds\inc\remtypes.h"	"53c776fa1300bc533fb616bb6dadb0fcb1ca9721b82b229e08fabbdb00e9c4e7"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rx.h"	"source/public/internal/ds/inc/rx.h"	"O:\repos.external\opennt\public\internal\ds\inc\rx.h"	"2576b2cf2302fe8f816844f1715403fb35f2fa3fed3279f2cc03c503a6f0552d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxaccess.h"	"source/public/internal/ds/inc/rxaccess.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxaccess.h"	"f0c6f04ef4389cab5817bbe77384be1fe592329b762fbe4b4610af81aa023f74"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxaudit.h"	"source/public/internal/ds/inc/rxaudit.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxaudit.h"	"74faad360c6d686e257a0841cba588b96c333657f451aafc174139e1d35c9201"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxcanon.h"	"source/public/internal/ds/inc/rxcanon.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxcanon.h"	"15dcffa90b4a3832098461ee0dc00418279b8ca6eaa7c14b6f0e30f510cb2c7d"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxchdev.h"	"source/public/internal/ds/inc/rxchdev.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxchdev.h"	"2dea04accdd30574b1e404bcc33196d657d88f87a40c2937d96e0585af94c713"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxconfig.h"	"source/public/internal/ds/inc/rxconfig.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxconfig.h"	"a9579ab415748a9d6bf3b82b9c9c90bf63d3359c0fcac36c533740d861595c91"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxconn.h"	"source/public/internal/ds/inc/rxconn.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxconn.h"	"26f3258084419c4c31adb2b2832279910c8345af1fe8d008155161263cc9e902"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxdomain.h"	"source/public/internal/ds/inc/rxdomain.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxdomain.h"	"e77dfdcd9bb7660795dbcd3df6ced55bb935abf59ac2e6336648ab45ee92aab7"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxerrlog.h"	"source/public/internal/ds/inc/rxerrlog.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxerrlog.h"	"3a65d4358cc152de17a1808e62d81fd468082ec98b75ef30011000715eaf15dc"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxfile.h"	"source/public/internal/ds/inc/rxfile.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxfile.h"	"29555ae2e0418807d38448480f6bba0d10c9a32432de865d01d9acb65ef27e23"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxgroup.h"	"source/public/internal/ds/inc/rxgroup.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxgroup.h"	"828ae8d17143257b5fc7f4fd911bd311ec075d677e96e9a577512f42b1ecfbb4"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxlgenum.h"	"source/public/internal/ds/inc/rxlgenum.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxlgenum.h"	"b5e689476406b445d3c794a5eb48809863e70c57365a7bceb82d7ef6c1efa6e5"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxmsg.h"	"source/public/internal/ds/inc/rxmsg.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxmsg.h"	"4749f31c4446455155a06868c2ba71d8b37f8442c37c60e3604a3be1acbe66bc"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxp.h"	"source/public/internal/ds/inc/rxp.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxp.h"	"a9872ea30eaf56286b6306885a577198190724ff68c4bc6d387a426a23d2442e"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxpdebug.h"	"source/public/internal/ds/inc/rxpdebug.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxpdebug.h"	"2e91683121ab14cc67a70d236398d6ab6e3b599bc0a0025d5103ad9c73c59a78"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxprint.h"	"source/public/internal/ds/inc/rxprint.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxprint.h"	"3affdaccc5dd5ab0486a09546cbb8a85287162e2308195903e5fdfd0e5d2937e"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxprint.x"	"source/public/internal/ds/inc/rxprint.x"	"O:\repos.external\opennt\public\internal\ds\inc\rxprint.x"	"cadde6207752270143be1d155c6ace327624b89d7c2d21f7a939912fa9a6e4b3"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxremutl.h"	"source/public/internal/ds/inc/rxremutl.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxremutl.h"	"844c5741b2336cc0ae5743e3ba853c3c6497382244efd260182245c07264d5c1"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxserver.h"	"source/public/internal/ds/inc/rxserver.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxserver.h"	"04f0063118df79c226528c92f24c2afc11f3066aadde708c067642146166ef22"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxsess.h"	"source/public/internal/ds/inc/rxsess.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxsess.h"	"e3569c50a0dc8a54ed6bddd3e178bea6484a84a4bacaba86d82b46c806ea1b56"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxshare.h"	"source/public/internal/ds/inc/rxshare.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxshare.h"	"c80c8dcda679c86e8f363beb8dc72dadaabea68e51aacca5e148dafe260ef521"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxstats.h"	"source/public/internal/ds/inc/rxstats.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxstats.h"	"16ca299f742c9fe82eb9958f79c8e252fa0f0fa4e06d8d5f6bb39b31bcf5b696"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxsvc.h"	"source/public/internal/ds/inc/rxsvc.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxsvc.h"	"11f1b67f6cfb15ac278a03ef5f3b1ca112931f80450d0171b65a0cb449218c74"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxuse.h"	"source/public/internal/ds/inc/rxuse.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxuse.h"	"f4d7accae9a2fa3b13772dd3c4c87fc882e05bbd3d914f9886448865ac324f0e"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxuser.h"	"source/public/internal/ds/inc/rxuser.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxuser.h"	"040e4992a9b2ad7a69442c12dbcc73e8b8f69e034595ec35511a854ce2896c34"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/rxwksta.h"	"source/public/internal/ds/inc/rxwksta.h"	"O:\repos.external\opennt\public\internal\ds\inc\rxwksta.h"	"87e04271fd8474c36fe0a02de4be164bf90b306a2a688811ea66df7bb25db7bd"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/samimp.h"	"source/public/internal/ds/inc/samimp.h"	"O:\repos.external\opennt\public\internal\ds\inc\samimp.h"	"ebc9bb41cad86e8786e57d21d0b5cedf245bc44f87cf957d6d9a123590ecaf62"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/samisrv.h"	"source/public/internal/ds/inc/samisrv.h"	"O:\repos.external\opennt\public\internal\ds\inc\samisrv.h"	"8ebabe6173027f2153994cff892358e5e63d1f553346e79a4aaab89f88f6e080"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
"public/internal/ds/inc/samrpc.h"	"source/public/internal/ds/inc/samrpc.h"	"O:\repos.external\opennt\public\internal\ds\inc\samrpc.h"	"7662c75ac02d9063618cbfb8e7cd319c17f8f4291d91d85ed41ad5f00037d63a"	"declaration-package"	"M0 T290 S5 original DS declaration package selected for vdmredir/vrnetapi.c; declaration carrier only"
