review_id	review_cluster	profile_class	source_path	static_candidate_count	candidate_kinds	candidate_symbols	compiler_diagnostic_occurrence_count	compiler_unique_diagnostic_count	compiler_warning_counts	source_review_state	required_source_review
T310-S8-P4-REVIEW-0012	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/data.c	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0013	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmi32.c	2	architecture-conditional:1;function-pointer-declaration-or-slot:1	DpmiDispatchTable	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0014	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmi32p.h	3	architecture-conditional:3	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0015	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmidata.h	5	architecture-conditional:1;function-pointer-declaration-or-slot:2;function-pointer-indirect-call:2	GETREGISTERFUNCTION;SETREGISTERFUNCTION	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0016	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmiint.c	7	architecture-conditional:7	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0017	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmiint.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0018	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmimemr.c	2	function-pointer-indirect-call:2	GetDIRegister	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0019	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/dpmiselr.c	5	architecture-conditional:5	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0020	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/i386/dpmimem.c	1	function-pointer-indirect-call:1	GetDIRegister	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0021	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/int21map.c	37	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:36	APIXLATFUNCTION;GetBXRegister;GetCXRegister;GetDIRegister;GetDXRegister;GetSIRegister;GetSPRegister;SetAXRegister;SetBXRegister;SetSIRegister;SetSPRegister	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0022	MVDM-DPMI32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/dpmi32/modesw.c	4	architecture-conditional:4	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0023	MVDM-FAX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/fax/wowfax/wowfax.c	1	pointer-to-fixed-width-conversion:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0024	MVDM-FAX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/fax/wowfax/wowfaxdd.h	6	function-pointer-declaration-or-slot:3;function-pointer-indirect-call:3	PFNFW;PFNSM;PFNSNM	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0025	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/help.c	5	function-pointer-indirect-call:5	Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0026	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/i386/helpp.c	26	function-pointer-indirect-call:26	Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0027	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/i386/profile.c	12	function-pointer-indirect-call:12	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0028	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/i386/reflect.c	12	function-pointer-indirect-call:12	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0029	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/i386/regs.c	6	function-pointer-indirect-call:6	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0030	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/i386/vdmtib.c	36	function-pointer-indirect-call:36	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0031	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/ieuvddex.h	2	architecture-conditional:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0032	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/pmode.c	34	architecture-conditional:2;function-pointer-indirect-call:31;pointer-to-fixed-width-conversion:1	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0033	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/procdep.c	20	architecture-conditional:9;function-pointer-indirect-call:11	Print;ReadProcessMemWinDbg;WriteProcessMemWinDbg	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0034	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/system.c	1	function-pointer-indirect-call:1	GetExpression	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0035	MVDM-IEUVDDEX-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/ieuvddex/trace.c	8	function-pointer-indirect-call:7;pointer-to-fixed-width-conversion:1	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0036	MVDM-SIM32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/sim32/sim32.h	2	pointer-to-fixed-width-conversion:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0037	MVDM-SIM32-OWNER-PACKAGE	compiler-crosscheck-only	src/mvdm-host/softpc.new/host/src/sim32.c	0		-	18	18	C4013:2;C4100:12;C4244:4	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0038	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/mvdm.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0039	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/netb.h	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	ncb_post	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0040	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/softpc.h	2	architecture-conditional:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0041	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/suballoc.h	3	architecture-conditional:1;function-pointer-indirect-call:2	PSACOMMITROUTINE;PSAMEMORYMOVEROUTINE	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0042	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/vdmredir.h	8	architecture-conditional:6;function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	AsyncDispositionRoutine	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0043	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/vrinit.h	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	AsyncDispositionRoutine	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0044	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/vrnmpipe.h	8	function-pointer-indirect-call:8	VrAddOpenNamedPipeInfo;VrCancelPipeIo;VrConvertLocalNtPipeName;VrIsNamedPipeHandle;VrIsNamedPipeName;VrReadNamedPipe;VrRemoveOpenNamedPipeInfo;VrWriteNamedPipe	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0045	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/inc/wow.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0046	MVDM-SUPPORT-LIBRARY	support-library-source	src/mvdm-support/oemuni/file.c	1	pointer-to-fixed-width-conversion:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0047	MVDM-VDD-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdd/samples/mscdex/vdd/vcdex.c	2	pointer-to-fixed-width-conversion:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0048	MVDM-VDD-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdd/samples/mscdex/vdd/vcdex.h	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	PFNSVC	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0049	MVDM-VDMDBG-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmdbg/vdmdbg.c	5	architecture-conditional:3;function-pointer-indirect-call:2	fp;lpEventProc	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0050	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/debug.c	3	function-pointer-indirect-call:3	GetExpression	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0051	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/disasm.c	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	pfn	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0052	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/help.c	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0053	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/i386/profile.c	12	function-pointer-indirect-call:12	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0054	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/i386/regs.c	14	function-pointer-indirect-call:14	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0055	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/i386/vdmtib.c	36	function-pointer-indirect-call:36	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0056	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/misc.c	5	architecture-conditional:5	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0057	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/platform.c	7	architecture-conditional:7	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0058	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/reflect.c	12	function-pointer-indirect-call:12	GetExpression;Print	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0059	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/system.c	1	function-pointer-indirect-call:1	GetExpression	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0060	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/trace.c	1	function-pointer-indirect-call:1	GetExpression	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0061	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/util.c	9	architecture-conditional:7;function-pointer-indirect-call:2	ReadMem;WriteMem	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0062	MVDM-VDMEXTS-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmexts/vdmexts.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0063	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrdebug.c	4	pointer-to-fixed-width-conversion:4	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0064	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrdisp.c	2	architecture-conditional:1;function-pointer-declaration-or-slot:1	VrDispatchTable	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0065	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrdlc5c.c	6	function-pointer-declaration-or-slot:3;function-pointer-indirect-call:3	ACSLAN_FUNC_PTR;DLC_CALL_DRIVER_FUNC_PTR;NTACSLAN_FUNC_PTR	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0066	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrdlcdbg.c	2	function-pointer-declaration-or-slot:1;function-pointer-indirect-call:1	DumpParms	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0067	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrdlcpst.c	4	function-pointer-declaration-or-slot:2;function-pointer-indirect-call:2	AsyncDispositionRoutine;lpAcsLan	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0068	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrinit.c	4	function-pointer-declaration-or-slot:2;function-pointer-indirect-call:2	AsyncDispositionRoutine	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0069	MVDM-VDMREDIR-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/vdmredir/vrremote.c	1	pointer-to-fixed-width-conversion:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0070	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/debug.c	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0071	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/fastwow.h	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0072	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wcall16.c	1	pointer-to-fixed-width-conversion:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0073	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wcall32.c	4	architecture-conditional:3;pointer-to-fixed-width-conversion:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0074	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wcommdlg.c	2	function-pointer-indirect-call:2	Function	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0075	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wdib.c	9	architecture-conditional:7;fixed-width-to-pointer-conversion:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0076	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wgdi.c	2	pointer-to-fixed-width-conversion:2	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0077	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wgprnset.c	1	architecture-conditional:1	-	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0078	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/winsockp.h	1	function-pointer-indirect-call:1	PWINSOCK_POST_ROUTINE	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
T310-S8-P4-REVIEW-0079	MVDM-WOW32-OWNER-PACKAGE	unselected-owner-package-source	src/mvdm-host/wow32/wkfileio.c	14	function-pointer-indirect-call:14	VR_ADD_OPEN_NAMED_PIPE_INFO_FUNC;VR_CANCEL_PIPE_IO_FUNC;VR_CONVERT_LOCAL_NT_PIPE_NAME_FUNC;VR_IS_NAMED_PIPE_HANDLE_FUNC;VR_READ_NAMED_PIPE_FUNC;VR_REMOVE_OPEN_NAMED_PIPE_INFO_FUNC;VR_WRITE_NAMED_PIPE_FUNC;VrAddOpenNamedPipeInfo;VrCancelPipeIo;VrConvertLocalNtPipeName;VrIsNamedPipeHandle;VrReadNamedPipe;VrRemoveOpenNamedPipeInfo;VrWriteNamedPipe	0	0		pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify as minimal mirror correction, overlay, checked guest/physical mapping, or not selected
