"symbol"	"invocation_count"	"upstream_declaration_candidates"	"upstream_package_roots"	"first_hop_state"	"next_stage"	"selected_declaration_candidates"
"_dt0_bw_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt0_wf_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt0_ww_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt2_bf_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt2_bw_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt2_wf_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt2_ww_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt3_bf_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt3_bw_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt3_wf_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_dt3_ww_nch"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_gate"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_b_fill"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_b_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_b_read"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_b_write"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_str_read"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_w_fill"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_w_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_w_read"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_glue_w_write"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_lclose"	"83"	"admin/netui/common/hack/dos/pwin16.h:288;admin/netui/common/hack/dos/windows.h:734;com/ole32/olethunk/ole16/inc/windows.h:779;public/sdk/inc/pwin16.h:282;public/sdk/inc/pwin32.h:294;public/sdk/inc/winbase.h:3781;sdktools/jetadmin/inc/winbase.h:3258;sdktools/jetadmin/sdk/inc32/winbase.h:3166;sdktools/vmmreg32/pch.h:121;sdktools/wap/base/baseapi.h:465;shell/lz/lib/translat.h:147;windows/port1632/preport.h:41"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/vmmreg32/pch.h;sdktools/wap/base;shell/lz/lib;windows/port1632/preport.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_llseek"	"18"	"admin/netui/common/hack/dos/pwin16.h:290;admin/netui/common/hack/dos/windows.h:736;com/ole32/olethunk/ole16/inc/windows.h:781;com/ole32/olethunk/ole16/inc/windows.h:783;public/sdk/inc/pwin16.h:284;public/sdk/inc/winbase.h:3788;sdktools/jetadmin/inc/winbase.h:3265;sdktools/jetadmin/sdk/inc32/winbase.h:3173;sdktools/wap/base/baseapi.h:467;shell/lz/lib/translat.h:150;windows/core/ntgdi/direct/misc/logger.h:236;windows/port1632/preport.h:43"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/wap/base;shell/lz/lib;windows/core/ntgdi;windows/port1632/preport.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_lopen"	"1"	"admin/netui/common/hack/dos/pwin16.h:291;admin/netui/common/hack/dos/windows.h:726;admin/netui/common/hack/dos/windows.h:731;com/ole32/olethunk/ole16/inc/windows.h:771;com/ole32/olethunk/ole16/inc/windows.h:776;public/sdk/inc/pwin32.h:299;public/sdk/inc/winbase.h:3729;sdktools/fontedit/lio.h:12;sdktools/wap/base/baseapi.h:468;shell/lz/lib/translat.h:142;shell/lz/lib/translat.h:144;windows/port1632/preport.h:44"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/fontedit/lio.h;sdktools/wap/base;shell/lz/lib;windows/port1632/preport.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_lread"	"81"	"admin/netui/common/hack/dos/pwin16.h:292;admin/netui/common/hack/dos/windows.h:738;com/ole32/olethunk/ole16/inc/windows.h:788;public/sdk/inc/pwin16.h:286;public/sdk/inc/pwin32.h:300;public/sdk/inc/winbase.h:3745;sdktools/jetadmin/inc/winbase.h:3222;sdktools/jetadmin/sdk/inc32/winbase.h:3130;sdktools/slmnew/util/setup/cpydis.h:26;sdktools/wap/base/baseapi.h:469;shell/lz/lib/translat.h:148;windows/port1632/preport.h:45"	"admin/netui/common;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/jetadmin/sdk;sdktools/slmnew/util;sdktools/wap/base;shell/lz/lib;windows/port1632/preport.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_lseek"	"2"	"base/crts/crtw32/h/io.h:259;base/crts/crtw32/h/io.h:322;base/crts/crtw32/h/io.h:353;base/crts/libw32/include/io.h:185;base/crts/libw32/include/io.h:256;public/sdk/inc/crt/io.h:185;public/sdk/inc/crt/io.h:256;public/sdk/inc/diamondd.h:899;shell/lz/lib/translat.h:205;windows/diamond/chuck/fdi_int.h:707;windows/diamond/quantum/qdi.h:129;windows/diamond/quantum/qdi.h:171"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;shell/lz/lib;windows/diamond/chuck;windows/diamond/quantum"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_open"	"4"	"base/crts/crtw32/h/win32s.h:1047;base/crts/libw32/include/fcntl.h:8;base/crts/libw32/include/io.h:187;base/crts/libw32/include/io.h:258;base/crts/libw32/include/tchar.h:564;public/sdk/inc/diamondd.h:898;windows/diamond/chuck/fdi_int.h:706;windows/diamond/chuck/fdi_int.h:708;windows/diamond/crc32.h:81;windows/diamond/quantum/qdi.h:128;windows/diamond/quantum/qdi.h:130;windows/diamond/quantum/qdi.h:167"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;windows/diamond/chuck;windows/diamond/crc32.h;windows/diamond/quantum"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_outb"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_read"	"1"	"base/crts/crtw32/h/io.h:265;base/crts/crtw32/h/io.h:324;base/crts/crtw32/h/io.h:356;base/crts/libw32/include/io.h:191;base/crts/libw32/include/io.h:259;public/sdk/inc/crt/io.h:191;public/sdk/inc/crt/io.h:259;public/sdk/inc/diamondd.h:898;sdktools/wap/crtdll/crtapi.h:124;windows/diamond/chuck/fdi_int.h:706;windows/diamond/crc32.h:89;windows/diamond/quantum/qdi.h:128"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/crc32.h;windows/diamond/quantum"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-host\softpc.new\host\inc\nt_extra.h:25"
"_simple_b_fill"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_b_write"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_bb_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_bf_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_w_fill"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_w_write"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_wb_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_simple_wf_move"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_splitpath"	"1"	"base/crts/crtw32/h/stdlib.h:17;base/crts/crtw32/h/stdlib.h:339;base/crts/crtw32/h/stdlib.h:43;base/crts/crtw32/h/stdlib.h:694;base/crts/crtw32/h/tchar.h:614;base/crts/libw32/include/stdlib.h:187;base/crts/libw32/include/stdlib.h:488;base/crts/libw32/include/tchar.h:531;com/ole32/olethunk/ole16/inc/stdlib.h:191;com/ole32/olethunk/ole16/inc/stdlib.h:95;public/sdk/inc/crt/stdlib.h:187;public/sdk/inc/crt/tchar.h:531"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_strcmpi"	"4"	"base/boot/detect/x86/string.h:61;base/boot/detect/x86/string.h:95;base/crts/crtw32/h/string.h:204;base/crts/crtw32/h/string.h:246;base/crts/libw32/include/string.h:141;base/crts/libw32/include/string.h:183;com/ole32/olethunk/ole16/inc/string.h:64;public/sdk/inc/crt/string.h:141;public/sdk/inc/crt/string.h:183;sdktools/jetadmin/inc/string.h:141;sdktools/ppr/lpr.h:50;sdktools/wap/crtdll/crtapi.h:149"	"base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/jetadmin/inc;sdktools/ppr/lpr.h;sdktools/wap/crtdll"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_strdup"	"1"	"base/boot/detect/x86/string.h:67;base/boot/detect/x86/string.h:97;base/crts/libw32/include/string.h:148;base/crts/libw32/include/string.h:185;base/crts/libw32/include/tchar.h:479;com/ole32/olethunk/ole16/inc/string.h:69;com/ole32/olethunk/ole16/inc/tchar.h:441;public/sdk/inc/windowsx.h:1254;sdktools/compdir/compdir.h:30;windows/diamond/mem.h:18;windows/diamond/mem.h:58;windows/diamond/mem.h:65"	"base/boot/detect;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/compdir/compdir.h;windows/diamond/mem.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_stricmp"	"77"	"admin/netui/common/h/uinetlib.h:97;base/boot/detect/x86/string.h:63;base/boot/detect/x86/string.h:96;base/crts/crtw32/h/tchar.h:964;base/crts/libw32/include/string.h:142;base/crts/libw32/include/string.h:184;base/crts/libw32/include/tchar.h:881;com/ole32/olethunk/ole16/inc/string.h:66;com/ole32/olethunk/ole16/inc/tchar.h:442;com/oleaut32/dispatch/oledisp.h:224;com/oleaut32/dispatch/oledisp.h:256;public/sdk/inc/windowsx.h:1255"	"admin/netui/common;base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;com/oleaut32/dispatch;public/sdk/inc"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-host\softpc.new\host\inc\host_def.h:126;src/mvdm-host\softpc.new\host\inc\nt_extra.h:21;src/mvdm-host\wow32\mapembed.h:37;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:206;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:207"
"_strlwr"	"9"	"admin/netui/common/h/uinetlib.h:101;base/boot/detect/x86/string.h:71;base/boot/detect/x86/string.h:98;base/crts/crtw32/h/string.h:214;base/crts/crtw32/h/tchar.h:996;base/crts/libw32/include/string.h:151;base/crts/libw32/include/string.h:186;base/crts/libw32/include/tchar.h:913;com/ole32/olethunk/ole16/inc/string.h:73;com/ole32/olethunk/ole16/inc/tchar.h:469;public/sdk/inc/windowsx.h:1257;sdktools/compdir/compdir.h:29"	"admin/netui/common;base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc;sdktools/compdir/compdir.h"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_strnicmp"	"71"	"base/boot/detect/x86/string.h:75;base/boot/detect/x86/string.h:99;base/crts/crtw32/h/tchar.h:967;base/crts/crtw32/h/tchar.h:968;base/crts/libw32/include/string.h:154;base/crts/libw32/include/string.h:187;base/crts/libw32/include/tchar.h:884;base/crts/libw32/include/tchar.h:885;com/ole32/olethunk/ole16/inc/string.h:78;com/ole32/olethunk/ole16/inc/tchar.h:443;com/ole32/olethunk/ole16/inc/tchar.h:455;public/sdk/inc/windowsx.h:1261"	"base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-host\softpc.new\host\inc\nt_extra.h:22;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:209;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:210;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:42;src/mvdm-platform-abi\source\public\internal\net\inc\tstring.h:42"
"_strnset"	"2"	"base/boot/detect/x86/string.h:100;base/boot/detect/x86/string.h:77;base/crts/crtw32/h/tchar.h:959;base/crts/crtw32/h/tchar.h:983;base/crts/libw32/include/string.h:156;base/crts/libw32/include/string.h:188;base/crts/libw32/include/tchar.h:876;base/crts/libw32/include/tchar.h:900;com/ole32/olethunk/ole16/inc/string.h:82;com/ole32/olethunk/ole16/inc/tchar.h:444;com/ole32/olethunk/ole16/inc/tchar.h:456;public/sdk/inc/windowsx.h:1262"	"base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;public/sdk/inc"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_strupr"	"26"	"admin/netui/common/h/uinetlib.h:112;base/boot/detect/x86/string.h:103;base/boot/detect/x86/string.h:86;base/crts/crtw32/h/string.h:226;base/crts/crtw32/h/tchar.h:997;base/crts/libw32/include/string.h:163;base/crts/libw32/include/string.h:191;base/crts/libw32/include/tchar.h:914;com/ole32/olethunk/ole16/inc/string.h:92;com/ole32/olethunk/ole16/inc/tchar.h:470;com/oleaut32/dispatch/oledisp.h:234;public/sdk/inc/windowsx.h:1270"	"admin/netui/common;base/boot/detect;base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;com/oleaut32/dispatch;public/sdk/inc"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"_ultoa"	"25"	"base/crts/crtw32/h/stdlib.h:645;base/crts/crtw32/h/stdlib.h:797;base/crts/crtw32/h/stdlib.h:85;base/crts/crtw32/h/tchar.h:545;base/crts/libw32/include/stdlib.h:444;base/crts/libw32/include/stdlib.h:562;base/crts/libw32/include/tchar.h:468;com/ole32/olethunk/ole16/inc/stdlib.h:204;com/oleaut32/typelib/ntstring.h:97;public/sdk/inc/crt/stdlib.h:444;public/sdk/inc/crt/stdlib.h:562;public/sdk/inc/crt/tchar.h:468"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk;com/oleaut32/typelib;public/sdk/inc"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:216;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:25;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:77;src/mvdm-platform-abi\source\public\internal\net\inc\tstring.h:25"
"_vid_md0_bbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md0_bfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md0_wbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md0_wfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md2_bbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md2_bfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md2_wbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md2_wfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md3_bbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md3_bfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md3_wbm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_vid_md3_wfm_0_8"	"1"	""	""	"macro/CRT/public-import/assembly-or-unresolved leaf candidate"	"confirm exact declaration and source/build owner"	""
"_wcsnicmp"	"1"	"base/crts/crtw32/h/tchar.h:303;base/crts/crtw32/h/tchar.h:304;base/crts/crtw32/h/wchar.h:692;base/crts/crtw32/h/wchar.h:715;base/crts/libw32/include/string.h:235;base/crts/libw32/include/string.h:258;base/crts/libw32/include/tchar.h:226;base/crts/libw32/include/tchar.h:227;base/crts/libw32/include/wchar.h:607;base/crts/libw32/include/wchar.h:630;com/ole32/olethunk/ole16/inc/tchar.h:173;com/ole32/olethunk/ole16/inc/tchar.h:185"	"base/crts/crtw32;base/crts/libw32;com/ole32/olethunk"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:149;src/mvdm-platform-abi\source\public\internal\base\inc\tstr.h:150"
"_write"	"3"	"base/crts/crtw32/h/io.h:273;base/crts/crtw32/h/io.h:325;base/crts/crtw32/h/io.h:362;base/crts/libw32/include/io.h:199;base/crts/libw32/include/io.h:265;public/sdk/inc/crt/io.h:199;public/sdk/inc/crt/io.h:265;public/sdk/inc/diamondd.h:899;sdktools/wap/crtdll/crtapi.h:185;windows/diamond/chuck/fdi_int.h:707;windows/diamond/quantum/qdi.h:129;windows/diamond/quantum/qdi.h:173"	"base/crts/crtw32;base/crts/libw32;public/sdk/inc;sdktools/wap/crtdll;windows/diamond/chuck;windows/diamond/quantum"	"non-MVDM upstream declaration candidate"	"confirm exact declaration and source/build owner"	""
"A"	"4"	"base/win32/winnls/nls.h:1277;base/win32/winnls/nls.h:1301;base/win32/winnls/nls.h:1326;base/win32/winnls/utf.h:57;ds/lsa/client/ssp/connmgr.h:45;ds/lsa/server/adtp.h:198;ds/netapi/xactsrv/xsconst.h:60;ds/sam/server/samsrvp.h:1553;ds/sam/server/samsrvp.h:1672;ds/sam/server/samsrvp.h:1949;ds/security/protocols/ntlmssp/ntlmcomn.h:75;ds/security/protocols/ntlmssp/ntlmcomn.h:84"	"base/win32/winnls;ds/lsa/client;ds/lsa/server;ds/netapi/xactsrv;ds/sam/server;ds/security/protocols"	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-platform-abi\source\private\inc\dlcio.h:130;src/mvdm-platform-abi\source\private\inc\dlcio.h:247;src/mvdm-platform-abi\source\private\inc\dlcio.h:362;src/mvdm-platform-abi\source\public\ddk\inc\ntddbeep.h:16;src/mvdm-platform-abi\source\public\ddk\inc\ntddkbd.h:16;src/mvdm-platform-abi\source\public\ddk\inc\ntddser.h:211;src/mvdm-platform-abi\source\public\ddk\inc\ntddser.h:260;src/mvdm-platform-abi\source\public\ddk\inc\ntddser.h:380;src/mvdm-platform-abi\source\public\ddk\inc\ntddvdeo.h:1341;src/mvdm-platform-abi\source\public\ddk\inc\ntddvdeo.h:296;src/mvdm-platform-abi\source\public\ddk\inc\ntddvdeo.h:858;src/mvdm-platform-abi\source\public\ddk\inc\ntddvdeo.h:861"
"a_getNpxControlReg"	"1"	""	""	"selected-MVDM/platform declaration; no non-MVDM function edge"	"confirm exact declaration and source/build owner"	"src/mvdm-host\softpc.new\base\inc\cpu4.h:124"
