caller_object	symbol	disposition	original_or_adapter_owner	current_conclusion	audit_input
original-dem-provider-cohort.lib(demdasd.obj)	host_direct_access_error	original-source-candidate	mvdm-host/softpc.new/host/src/nt_error.c	adapter-backed through adapter-win32 and session controlled stop	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	getAH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	getBL	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	getCL	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	getCH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	getCF	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	setAH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	setDH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	setDL	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	setES	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	int13h_vector_off	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	int13h_vector_seg	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	int13h_caller_off	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdasd.obj)	int13h_caller_seg	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	memmove	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdexec.obj)	strchr	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdmisc.obj)	strrchr	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdpif.obj)	strcpy	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdexec.obj)	strncpy	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	_strnset	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	_strupr	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	NtClose	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlIsNameLegalDOS8Dot3	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	NtVdmControl	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlCreateUnicodeString	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlCompareUnicodeString	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlUpcaseUnicodeStringToCountedOemString	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlIsDosDeviceName_U	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	RtlDosPathNameToNtPathName_U	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	GetVolumeInformationOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	HostTerminatePDB	original-source-candidate	mvdm-host/softpc.new/host/src/nt_msscs.c	adapter-backed cross-owner VDD/session composition	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	VDDTerminateUserHook	original-source-candidate	mvdm-host/softpc.new/host/src/nt_msscs.c	adapter-backed cross-owner VDD/session composition	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demsrch.obj)	_local_unwind	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	NtQueryInformationProcess	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	CreateFileOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	GetFullPathNameOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	HostFloppyReset	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	HostFdiskReset	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	RcErrorDialogBox	original-source-candidate	mvdm-host/softpc.new/host/src/nt_error.c	adapter-backed through adapter-win32 and session controlled stop	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdmisc.obj)	TerminateVDM	existing-adapter	session; adapter-mvdm-host-out/monitor	same-shaped controlled session stop; do not enter the excluded v86 scaffold executor	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	ModuleLoad	debugger-product-boundary	mvdm-host/dbg/dbg.c	tool-only debugger product; retain original DEBUG conditional failure/absence rather than link a debugger shell	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	ModuleFree	debugger-product-boundary	mvdm-host/dbg/dbg.c	tool-only debugger product; retain original DEBUG conditional failure/absence rather than link a debugger shell	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	ModuleSegmentMove	debugger-product-boundary	mvdm-host/dbg/dbg.c	tool-only debugger product; retain original DEBUG conditional failure/absence rather than link a debugger shell	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	VDDCreateUserHook	original-source-candidate	mvdm-host/softpc.new/host/src/nt_msscs.c	adapter-backed cross-owner VDD/session composition	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	DbgPrompt	debugger-product-boundary	mvdm-host/dbg/dbg.c	tool-only debugger product; retain original DEBUG conditional failure/absence rather than link a debugger shell	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	NtCurrentProcess	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	VDMForWOW	wow-second-executor-boundary	mvdm-host/v86/scaffold/i386/softpc.c	not-host-runtime; separate WOW/second executor remains excluded	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demmisc.obj)	pFDAccess	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_fdisk.c	not-host-runtime direct FDC access state; Bochs owns the device	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demioctl.obj)	GetDriveTypeOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demioctl.obj)	nt_fdisk_close	bochs-firmware-boundary	mvdm-host/softpc.new/host/src/nt_rflop.c; mvdm-softpc-firmware/softpc.new/roms/bios4.asm	not-host-runtime; Bochs owns FDC/DMA/IRQ and firmware mechanics	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demhndl.obj)	getZF	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfcb.obj)	setBP	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demhndl.obj)	setZF	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demhndl.obj)	IsVdmRedirLoaded	existing-adapter	adapter-mvdm-host-out/redir	Redirector owner family	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	tolower	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	SetCurrentDirectoryOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	GetDiskFreeSpaceOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	GetComputerNameOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	getDH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	setCH	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demgset.obj)	setCL	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdmisc.obj)	toupper	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	_strcmpi	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	_strdup	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	_stricmp	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	_strnicmp	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	__imp_PostMessageA	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	SetFileAttributesOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	GetFileAttributesOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	DeleteFileOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	MoveFileOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	RemoveFontResourceOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfile.obj)	LoadVdmRedir	existing-adapter	adapter-mvdm-host-out/redir	Redirector owner family	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demerror.obj)	strstr	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demerror.obj)	RtlAppendUnicodeToString	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demerror.obj)	setDS	existing-adapter	adapter-mvdm-host-out/softpc	same-shaped register facade	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdir.obj)	CreateDirectoryOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdir.obj)	RemoveDirectoryOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demdir.obj)	SetEnvironmentVariableOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfcb.obj)	_splitpath	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfcb.obj)	FindFirstFileOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-dem-provider-cohort.lib(demfcb.obj)	FindNextFileOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	wcschr	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	wcslen	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	_wcsnicmp	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	__imp_CharToOemBuffA	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	realloc	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	RcMessageBox	original-source-candidate	mvdm-host/softpc.new/host/src/nt_error.c	adapter-backed through adapter-win32 and session controlled stop	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	GetEnvironmentVariableOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	RtlCreateEnvironment	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	RtlSetEnvironmentVariable	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	RtlDestroyEnvironment	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdenv.obj)	fSeparateWow	original-source-candidate	mvdm-host/softpc.new/host/src/nt_reset.c	adapter-backed session/app lifecycle state; no historical process-global exit behavior	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdkeyb.obj)	strcmp	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdkeyb.obj)	__imp_GetConsoleKeyboardLayoutNameA	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdkeyb.obj)	bPifFastPaste	original-source-candidate	mvdm-host/softpc.new/host/src/nt_pif.c	adapter-backed PIF configuration state	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdconf.obj)	isgraph	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdconf.obj)	strtoul	public-crt-leaf	MSVC CRT	link public runtime; do not import historical CRT	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdconf.obj)	GetPIFConfigFiles	original-source-candidate	mvdm-host/softpc.new/host/src/nt_pif.c	adapter-backed through adapter-win32/session; no independent launch policy	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdredir.obj)	nt_std_handle_notification	original-source-candidate	mvdm-host/softpc.new/host/src/nt_event.c; mvdm-host/softpc.new/host/src/nt_hosts.c	adapter-backed session/console lifecycle; no CSRSS reconstruction	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdpif.obj)	SearchPathOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdpif.obj)	GetShortPathNameOem	adapter-win32-or-public-leaf	adapter-mvdm-host-out/win32	preserve historical facade shape; bind public Win32/NTDLL only after source contract review	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
original-command-provider-cohort.lib(cmdpif.obj)	GetPIFData	original-source-candidate	mvdm-host/softpc.new/host/src/nt_pif.c	adapter-backed through adapter-win32/session; no independent launch policy	M0 T309 S2 x64 forced-link log; physical caller/symbol pair
