"source_path"	"original_role_group"	"disposition"	"next_owner_group"	"required_boundary_owner"	"prior_evidence"
"softpc.new/host/src/nt_fdisk.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_fdisk.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_fulsc.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_fulsc.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_graph.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_graph.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_hfx.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_hfx.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_hosts.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_hosts.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_hunt.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_hunt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_input.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_input.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_inthk.c"	"adapter-vdm-monitor"	"adapter-prerequisite"	"adapter-vdm-monitor plus named session/machine prerequisite"	"adapter-vdm-monitor; adapter-softpc"	"softpc.new/host/src/nt_inthk.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_keycd.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_keycd.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_lpt.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_lpt.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_mem.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/nt_mem.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_mess.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_mess.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_mouse.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_mouse.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_msscs.c"	"cross-owner-startup-composition"	"specialist-owner"	"app/session plus DEM/COMMAND/XMS/VDD composition"	"app; session; adapter-softpc; adapter-win32; adapter-vdd; opennt-mvdm-host owner packages"	"softpc.new/host/src/nt_msscs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_munge.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_munge.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_nls.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_nls.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_ntfun.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_ntfun.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_pif.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_pif.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_reset.c"	"adapter-vdm-monitor"	"adapter-prerequisite"	"adapter-vdm-monitor plus named session/machine prerequisite"	"adapter-vdm-monitor; adapter-softpc"	"softpc.new/host/src/nt_reset.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_rez.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_rez.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_rflop.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_rflop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_sas.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/nt_sas.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_sec.c"	"cross-owner-video-machine-initialization"	"specialist-owner"	"app/monitor/Bochs machine initialization composition"	"adapter-vdm-monitor; adapter-softpc; adapter-bochs; adapter-win32"	"softpc.new/host/src/nt_sec.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_smenu.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_smenu.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_sound.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_sound.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_term.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_term.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_thred.c"	"session-and-monitor-thread"	"adapter-prerequisite"	"session worker and adapter-vdm-monitor group"	"session; adapter-vdm-monitor"	"softpc.new/host/src/nt_thred.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_timer.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_timer.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_umb.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/nt_umb.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_unix.c"	"adapter-win32-host-capability"	"adapter-prerequisite"	"adapter-win32 same-shaped host capability group"	"adapter-win32; session; app; adapter-debugger as individually proved"	"softpc.new/host/src/nt_unix.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_vdd.c"	"adapter-vdd-or-debugger"	"specialist-owner"	"adapter-vdd or adapter-debugger package"	"adapter-vdd; adapter-debugger"	"softpc.new/host/src/nt_vdd.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_vflop.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/nt_vflop.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_vga.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_vga.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_wcom.c"	"machine-device-bridge-review"	"bochs-replacement"	"Bochs device/profile owner"	"adapter-softpc; adapter-bochs; adapter-win32 as individually proved"	"softpc.new/host/src/nt_wcom.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/nt_yoda.c"	"adapter-vdd-or-debugger"	"specialist-owner"	"adapter-vdd or adapter-debugger package"	"adapter-vdd; adapter-debugger"	"softpc.new/host/src/nt_yoda.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/sim32.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/sim32.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/stf_conf.c"	"literal-build-unobserved-auxiliary"	"specialist-owner"	"original build/profile owner"	"none until original build/profile evidence expands"	"softpc.new/host/src/stf_conf.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/stubs.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/stubs.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
"softpc.new/host/src/x86_emm.c"	"adapter-softpc-machine-facade"	"adapter-prerequisite"	"adapter-softpc and adapter-bochs mechanical facade"	"adapter-softpc; adapter-bochs"	"softpc.new/host/src/x86_emm.c; softpc.new/host/src/sources; m0-t276-s2-translation-unit-build-ledger.tsv"
