"work_item_id"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"failure_disposition"	"source_compatibility"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-00079"	"dpmi32/buffer.c"	"326"	"host_simulate"	"DPMI-bounded-machine-run"	"softpc.new/host/inc/host_cpu.h exposes a host_simulate function pointer; no CCPU loop may be linked"	"adapter-softpc -> adapter-bochs"	"same-shaped bounded run/stop/resume request"	"stop/failure result requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"Bochs remains sole executor"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00079"
"MVDM-T277-S2-MVDM-BOUNDARY-00080"	"dpmi32/debug.c"	"62"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00080"
"MVDM-T277-S2-MVDM-BOUNDARY-00094"	"dpmi32/dpmiint.c"	"1049"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00094"
"MVDM-T277-S2-MVDM-BOUNDARY-00095"	"dpmi32/dpmiint.c"	"1355"	"getCR0"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00095"
"MVDM-T277-S2-MVDM-BOUNDARY-00096"	"dpmi32/dpmiint.c"	"1376"	"setCR0"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00096"
"MVDM-T277-S2-MVDM-BOUNDARY-00081"	"dpmi32/dpmiint.c"	"526"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00081"
"MVDM-T277-S2-MVDM-BOUNDARY-00082"	"dpmi32/dpmiint.c"	"529"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00082"
"MVDM-T277-S2-MVDM-BOUNDARY-00083"	"dpmi32/dpmiint.c"	"608"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00083"
"MVDM-T277-S2-MVDM-BOUNDARY-00084"	"dpmi32/dpmiint.c"	"611"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00084"
"MVDM-T277-S2-MVDM-BOUNDARY-00085"	"dpmi32/dpmiint.c"	"631"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00085"
"MVDM-T277-S2-MVDM-BOUNDARY-00086"	"dpmi32/dpmiint.c"	"640"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00086"
"MVDM-T277-S2-MVDM-BOUNDARY-00087"	"dpmi32/dpmiint.c"	"692"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00087"
"MVDM-T277-S2-MVDM-BOUNDARY-00088"	"dpmi32/dpmiint.c"	"692"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00088"
"MVDM-T277-S2-MVDM-BOUNDARY-00089"	"dpmi32/dpmiint.c"	"722"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00089"
"MVDM-T277-S2-MVDM-BOUNDARY-00090"	"dpmi32/dpmiint.c"	"801"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00090"
"MVDM-T277-S2-MVDM-BOUNDARY-00091"	"dpmi32/dpmiint.c"	"895"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00091"
"MVDM-T277-S2-MVDM-BOUNDARY-00092"	"dpmi32/dpmiint.c"	"898"	"setEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00092"
"MVDM-T277-S2-MVDM-BOUNDARY-00093"	"dpmi32/dpmiint.c"	"901"	"getEFLAGS"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00093"
"MVDM-T277-S2-MVDM-BOUNDARY-00101"	"dpmi32/dpmiselr.c"	"226"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00101"
"MVDM-T277-S2-MVDM-BOUNDARY-00099"	"dpmi32/dpmiselr.c"	"64"	"EnableEmulatorIretHooks"	"DPMI-IRET-hook-control"	"softpc.new/host/src/nt_eoi.c:478 defines historical hook control"	"adapter-vdm-monitor -> adapter-softpc"	"same-shaped per-bound-session IRET observation enable"	"unavailable behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no kernel VDM hook"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00099"
"MVDM-T277-S2-MVDM-BOUNDARY-00100"	"dpmi32/dpmiselr.c"	"65"	"DisableEmulatorIretHooks"	"DPMI-IRET-hook-control"	"softpc.new/host/src/nt_eoi.c:488 defines historical hook control"	"adapter-vdm-monitor -> adapter-softpc"	"same-shaped per-bound-session IRET observation disable"	"unavailable behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no kernel VDM hook"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00100"
"MVDM-T277-S2-MVDM-BOUNDARY-00103"	"dpmi32/i386/dpmi386.c"	"188"	"switch_to_real_mode"	"DPMI-real-mode-transition"	"softpc.new/base/bios/bios.c publishes BOP FD handler; BIOS executor is firmware-only/Bochs-replaced"	"adapter-softpc -> adapter-bochs"	"typed mode-transition request preserving original entry/result contract"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no BIOS or DPMI policy in Bochs"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00103"
"MVDM-T277-S2-MVDM-BOUNDARY-00102"	"dpmi32/i386/dpmi386.c"	"87"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00102"
"MVDM-T277-S2-MVDM-BOUNDARY-00107"	"dpmi32/modesw.c"	"118"	"setCPL"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00107"
"MVDM-T277-S2-MVDM-BOUNDARY-00104"	"dpmi32/modesw.c"	"72"	"setSS_BASE_LIMIT_AR"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00104"
"MVDM-T277-S2-MVDM-BOUNDARY-00105"	"dpmi32/modesw.c"	"72"	"getSS_BASE"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00105"
"MVDM-T277-S2-MVDM-BOUNDARY-00106"	"dpmi32/modesw.c"	"72"	"getSS_AR"	"DPMI-atomic-CPU-frame"	"softpc.new/host/src/nt_aorc.c plus CCPU/CVIDC alternative CPU-private providers; parallel executor is excluded"	"adapter-softpc -> adapter-bochs"	"atomic typed CPU state read/commit preserving get/set ordering"	"failure behavior requires original caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"requires later source-form ABI detail before implementation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00106"
"MVDM-T277-S2-MVDM-BOUNDARY-00108"	"dpmi32/xmem.c"	"97"	"malloc"	"CRT-allocation"	"softpc.new/base/inc/standard.h declares CRT malloc; no MVDM provider body is selected"	"native CRT binding"	"original allocator call remains unchanged"	"allocation failure/result is deferred to caller-return-path proof"	"binding/adapter shape remains provisional pending caller-return-path review."	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00108"
