"reference_path"	"sha256"	"candidate_kind"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-softpc/dem/direct_context.h"	"e3b1a457f0193f4dda45e47f519ddafb92ee7186d7c1497a180e282a8c2ee8a0"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/exception_abi.c"	"d88e06338d9cdad6be1d4247d420227fc47586646ee8af79517b7fcbb23f8d30"	"implementation-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/exception_abi.h"	"8bf9865a7e112112d977937fcfe729ebab3df7f752aadd4a12d54e5e9702e32f"	"declaration-candidate"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport"
"adapter-softpc/finite_run.cc"	"4a00b66a4f0d3883941c532684338ff9093e8d625e3dac456b388a794c1674f4"	"implementation-candidate"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/finite_run.h"	"c24e76cc5227f1ec834ca94f015f568404c08ef44fe65116a78d5b5ff8faa3f9"	"declaration-candidate"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/first_fault_observation.cc"	"1e94ec6040e67f42ad7b31eaaf39f07c51227ec4a60f71b54c9e645741bdf3d0"	"implementation-candidate"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/first_fault_observation.h"	"b66df6563e8fae0c55f82bf5107e065a317501e78fdeb44bfaecb2050e78db51"	"declaration-candidate"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/guest_gather_read_action.c"	"440b536ab5238377b416f8c012ec01021b014ef6f2202d26ce70622c00df0e30"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_gather_read_action.h"	"1095f3d3377553f1287472d647aa8f69cd6a6bb23ef5f749e1d5cd6b5763356e"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/guest_pointer_manager.c"	"82a980a68883c885dd0b487d95148dec91c2c9a50c6363d68b6c202849bafeee"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_pointer_manager.h"	"904596122d3cf3e86653e5c803f2d0f49ecefa65e3fce41b369c5875d6ec354a"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/guest_range.c"	"49111068981906150b48f45f8a096a89b7b2688df13392182d22fc97bf42d53e"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_range.h"	"490662c5c3ecb8febe5158e5a46de9c57015398bc5a7ba471f5c9b45c26fdb5c"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/guest_read_action.c"	"552ed962fe67517ca95313e103fe6858747ce3601af0be01d3af14dd5dcb3e85"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_read_action.h"	"5c07272c26da20f08a1e21bcc30e3b4bb4ee31f91c64e4d3726ebd03a301278e"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/guest_write_abi.c"	"566dac8a8a42610734ef4322f295165ea98b7452dac66e48635621fb67060e8a"	"implementation-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_write_abi.h"	"41e4eb7c30266334a9b8b831b48966b5a620e63b734bb460b1fcb9a01fc49a0d"	"declaration-candidate"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade"
"adapter-softpc/host_handle_manager.c"	"7ca82c416e5ae97c02822350e8f66c405d2146a2c96c0486d02b4611f273b81d"	"implementation-candidate"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper, not original same-shaped facade"
"adapter-softpc/host_handle_manager.h"	"d1ebf0090dd2174761991198597afcaf2747337cb4541c2690090a3135122ba6"	"declaration-candidate"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper"
"adapter-softpc/idle_shim.c"	"c00018bbe935d74340f2ea1b7564a26814e836438861e336d738c24bb1b07db0"	"implementation-candidate"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper, not original same-shaped facade"
"adapter-softpc/idle_shim.h"	"55796677b024fd8f5d9d642bb6b2aae9c5b0613c935635a1682ac57204649cd0"	"declaration-candidate"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper"
"adapter-softpc/include/mvdm/apistruc.h"	"6e9c33b3939126d06a42e97786cac18e38b9f0c2ecdfb7b590c6cc80d611920f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/APISTRUC.INC"	"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/BOP.INC"	"a3705f225c47e53dc4e106c7362366477f2f06c33cb9bf52515ca1299556f669"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/cmdsvc.h"	"c22d682422e2ac3200bdae808a5309b57a7a0402df2a3aa6199502d911ff6624"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/CMDSVC.INC"	"7643746ceec383536ca3ea2cfc4400ac94c8c7a34bd266b09258cfcb337441c6"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/curdir.h"	"8fb302f406591989abe2cf93880a84a100e694be745e42d79ce674503c5e6f9f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/CURDIR.INC"	"8490c9aa0702bc17b6f73483837159934aa8c8f353df5402b71812ea87d63762"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/dbgexp.h"	"a915256a7a3796424ba8eb7ea2a257864a3986633752c870fe34762f3737ce95"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/dbginfo.h"	"eb63d7148716751592d41942924876b0a8d797a934785ab21b3202bfc436cf1b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/dbgsvc.h"	"4bc3b1d40ea167e6a15a18a746bfcd79a4023248c0621f6c8e27b2c9ad684a43"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/DBGSVC.INC"	"296a6387cfe02445e6c8d43f9f68e1fd4dfbd9d654de3ba6460dee54f6dfc171"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/dossvc.h"	"82b5135e78bd3010128bd5dd54978b0e00aec0073f0a7e6b547cbe8dff08a91c"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/DOSSVC.INC"	"07c4676c9a44418c5a0175acc7a09c251bde892b0a838381edeee26e49c9faf3"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/doswow.h"	"10cb9dc735fd62300a003877ec2099581dadd650c95e2446f4c446dabd24c7fb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/DOSWOW.INC"	"d6bd8a52bff2980dacab518da8f2330da5bb978e6c07d1846662078da49444fb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/DPMI.INC"	"9e1ee5a80452668b6ec2e5fcdd0ed2686fddff26da7ff03bab63d0d3c08ee381"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/enumapis.h"	"4b7cba46d0e5fc067fa7cab5d47ba1d3eb46b22964aec881288cb9ef8f68718a"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/ENUMAPIS.INC"	"2c0712fd64213997b99b8fada9e8a253547efc7937dd0e7cae3469cd6ff580db"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/exterr.h"	"b2ac4a77324abed1774e2cd8f2a88276e45b63f2321ba4579b499f36846aeb54"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/intapi.h"	"7f93f3c00d10b3fa2045cf7f34e9751272e2e403dc2dcbf950ed4160aeba63a5"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/intmac.inc"	"2980d43394c76f17966aa9aa2775b2fc7b87e093ab94e1249b9fbc1295f83485"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/makefile"	"22619f4bdd9be2f377ab919997527aa9797dfdb0e10d5082ebf424cddf7280d9"	"supporting-reference"	"REFERENCE"	"retain-as-reference-only"	"docs/etc or source provenance"	"not an adapter ABI input"
"adapter-softpc/include/mvdm/memapi.h"	"0e72109252dbec2a9c79b54d28d0c2bda0967644dd9d1d1d2d789e8fd8aa8c99"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/monregs.h"	"8b8baaa697b4dea31fa51b4699a496d9d48673825ba3ab60869611df8ec092fb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/mvdm.h"	"193ea3cc46ba1870883bbe682438221d54742357b4f617d759bc7e6d4723dd3f"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/MVDM.INC"	"514ce47685c836b3518242601f863befda40a47d472eac988780a678226794ed"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/netb.h"	"b2c047364573bf22ac28a507509942c5a4ba27b20523f3f30e87f5a7f8145872"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/oemuni.h"	"26c8509048272de86ed1b93f5af837434e90d8ecbc8a878d915c419be2d2bafb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/rdrexp.h"	"5a40a916b423d7758625f9e82ea938c0334e71710cb491c91d373aff44f9a098"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/rdrsvc.h"	"c8bc9db22634adb5e3dc85d30f721e602ff1c6a28221958587d0804f8e96e45e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/RDRSVC.INC"	"2c85bce46d4e9655fdf5c3bd18ace18b57d79160d9d85d1aefaa5cfb02c143ce"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/sharewow.h"	"6773774b049eed89820cf10c2354b95537e7d67c8e700566da14658dfa3a84a8"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/softpc.h"	"1e6fbd5f67aa04749d7896bd0109fe45daa22e691839d1261bbc3f039924bd9b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/SOFTPC.INC"	"525702d6bc5a320a1b112dee068ddfff32f23a62d64f1b177bf2f0295975ded7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/suballoc.h"	"98263eed4c261650c4b9c9b23f09f2ef19b31a0b1eb5c805d4c672ee85ded85c"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/tdb16.h"	"68f617f6edc76573d618ae2966887f0df4ea678b0b199f7347693d2ef11949eb"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/TDB16.INC"	"f8b245f5906d05d02cb4492698fbce84aadc381829ed438aa48461cb49eb0715"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/v86def.h"	"5bc822b487f5f1a236e6be8e107af5832fd680e026cf7231e0ae61e13595937e"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vdmredir.h"	"2462271dd22683738e60b4154bd891a8dfc679d4c34b9f75b23ecf91523add2d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vdmtib.h"	"0cc304b64119b47d34ad34071dc4187a2fa2c47d53ae33e26d5a196045f1681b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/VDMTIB.INC"	"0ad51b2faa863f5885f9b1326b24f8038d3bee01c04af11b059b4ca98c254661"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/VDMTIB.INC.old"	"675ceec6e626a6c05a1bae513d3712a1c216bffbe483fec6b86e06b17e8f11d7"	"supporting-reference"	"REFERENCE"	"retain-as-reference-only"	"docs/etc or source provenance"	"not an adapter ABI input"
"adapter-softpc/include/mvdm/vint.h"	"e88cc5f8624a4a899095a4f1794c697754c71aeb7e480d20d51fd6a976d612d1"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/VINT.INC"	"2ba06b3eea9a8ec96236d96ff7d996274b3feb5ac456524d6a9e8bd6a44541c7"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrdefld.h"	"e15089bf59f6f69fb39c2bc35d79d40da4b5ad2c9ed9401e955607ff5692b9ba"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/VRDEFLD.INC"	"8a1a7d7bd9c7c14739a469da3ea25ade85da77354ead01886780963119edb843"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrdlctab.h"	"bb57645d83b7285f14632914ee44d64f34b3c129b18fc59505b98c141a9cba2d"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/VRDLCTAB.INC"	"9c0c853347ff8cffc7d729eee61ae856f26bc21de466ca7237dbf5d825e12c09"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrinit.h"	"13fa0aa17ea85c2e9d0a48ffa72626c46cc1c53decad3dc4edcbdd1fa7034939"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrmisc.h"	"6dc036cec6c090484a85b21bd9fb51a7ebd263ce4186150f8d7ea1ba70598475"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrmslot.h"	"e3d8c1536f579ffe5751a2567ad24a662a76f7926a4ded696ac3c990fdcfc661"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrnetapi.h"	"fc1888ed1f18406fcb42c683dc414b22c08815e749576db9fa86afc60b416445"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/vrremote.h"	"e2214353d522aa44fb3bb2b2cd0918d51f5fc0a300e3643bb53090842d3d1819"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
"adapter-softpc/include/mvdm/wow.h"	"64663c13abaefccd99533352e08fb28efc66032c94a1780bff73be4f4cdbf70b"	"declaration-candidate"	"ADAPTER-IF-002"	"replace-with-exact-opennt-mirror-declaration"	"T275 S3 declaration audit"	"original declaration topology now lives in opennt-mvdm-host"
