one_ledger1_identity	caller_physical_identity	caller_source_path	caller_symbol	call_source_line	callee_spelling	call_form	source_definition_result	signature_disposition	seed_class	final_adoption_disposition	owner	next_action
"MVDM-HOST-ONE1-000027"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159|FindHeapEntry"	"bde/bdeheap.c"	"FindHeapEntry"	"181"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000028"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159|FindHeapEntry"	"bde/bdeheap.c"	"FindHeapEntry"	"198"	"ReadGNode32"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000029"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159|FindHeapEntry"	"bde/bdeheap.c"	"FindHeapEntry"	"214"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000030"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159|FindHeapEntry"	"bde/bdeheap.c"	"FindHeapEntry"	"221"	"ReadGNode32"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000040"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory"	"bde/bdemisc.c"	"DumpMemory"	"78"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000041"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory"	"bde/bdemisc.c"	"DumpMemory"	"83"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000042"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory"	"bde/bdemisc.c"	"DumpMemory"	"84"	"isprint"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000043"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory"	"bde/bdemisc.c"	"DumpMemory"	"94"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000044"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26|DumpMemory"	"bde/bdemisc.c"	"DumpMemory"	"99"	"ReadDwordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000061"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|6|dump_params"	"bde/bdestack.c"	"dump_params"	"21"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000062"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|6|dump_params"	"bde/bdestack.c"	"dump_params"	"23"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000063"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"75"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000064"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"79"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000065"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"81"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000066"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"86"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000067"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"101"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000068"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"103"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000069"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"108"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000070"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"115"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000071"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"120"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000072"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"130"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000073"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"132"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000074"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"137"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000076"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"173"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000077"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35|look_for_near"	"bde/bdestack.c"	"look_for_near"	"175"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000079"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"253"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000080"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"254"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000082"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"262"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000083"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"264"	"ReadByte"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"physical-call-declaration-definition-arity-confirmed"	"oleaut-public-abi-candidate"	"mvdm-macro-rebase"	"selected MVDM debug owner"	"macro expands to local read_byte; no OLE dependency"
"MVDM-HOST-ONE1-000084"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"280"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000085"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"282"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000086"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"289"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000087"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"293"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000088"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"295"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000089"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"310"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000090"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"312"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000091"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"313"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000093"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"339"	"ReadWordSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000094"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"341"	"ReadByteSafe"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000096"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"370"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000097"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"371"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000098"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"376"	"strcpy"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
"MVDM-HOST-ONE1-000100"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"381"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000101"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"382"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000103"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"387"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000104"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"388"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000106"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208|look_for_far"	"bde/bdestack.c"	"look_for_far"	"392"	"wsprintf"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	"signature-or-condition-form-unresolved"	""	"owner-local-signature-or-condition-binding"	"caller owner package"	"not an import candidate; resolve only when the original caller package is admitted"
"MVDM-HOST-ONE1-000107"	"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|476|stack_trace"	"bde/bdestack.c"	"stack_trace"	"521"	"ReadWord"	"direct-named-call"	"no-original-C-or-C++-definition-candidate"	""	""	"owner-local-source-absent-macro-or-import-boundary"	"caller owner package"	"not an import candidate; classify exact macro/assembly/public/native form when the caller owner package is admitted"
"MVDM-HOST-ONE1-000118"	"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|6|read_name"	"bde/bdesym.c"	"read_name"	"13"	"_lread"	"direct-named-call"	"physical-original-definition-candidate(s)-recorded"	""	""	"owner-local-declaration-binding"	"caller owner package"	"not an import candidate; resolve declaration/linkage only in the caller owner package"
