candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	declaration_shapes	original_mvdm_definition_candidate_count	original_mvdm_definition_identities	next_disposition
"MVDM-FIRST-REBASELINED-000436"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"428"	"nt_floppy_close"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000437"	"demGetBPB"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"429"	"nt_floppy_read"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000440"	"demFdiskInit"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"651"	"nt_fdisk_init"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|269;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|269"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000473"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"189"	"GetMediaId"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619;O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000475"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"236"	"nt_floppy_close"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000481"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"318"	"nt_floppy_read"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000485"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"346"	"nt_floppy_write"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000486"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"351"	"nt_floppy_close"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|878"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000488"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"371"	"demGetDiskFreeSpace"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|825;O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|825"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000525"	"demDiskReset"	"dos/dem/demmisc.c"	"19676fa5995555ec0b16c2923953b4e6236467dc42bf36cc7e746f45d0fcf912"	"611"	"HostFloppyReset"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|857;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|857"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000526"	"demDiskReset"	"dos/dem/demmisc.c"	"19676fa5995555ec0b16c2923953b4e6236467dc42bf36cc7e746f45d0fcf912"	"612"	"HostFdiskReset"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|589;O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|589"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000530"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"290"	"DpmiSwitchToDosxStack"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000531"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"334"	"DpmiSwitchFromDosxStack"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|57;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|57"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000555"	"NoTranslation"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"241"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000556"	"DisplayString"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"300"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000557"	"BufferedKeyboardInput"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"373"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000563"	"FindFileFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"521"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000564"	"MapFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"590"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000565"	"RenameFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"654"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000566"	"GetDriveData"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"692"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000567"	"CreatePSP"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"738"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000568"	"ParseFilename"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"809"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000569"	"GetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"848"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000570"	"SetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"894"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
"MVDM-FIRST-REBASELINED-000571"	"GetDevParamBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1055"	"DpmiSimulateIretCF"	"function-form-token"	"2"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131;O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"candidate original-MVDM body exists; require per-call include/linkage/variant binding before zero-degree reclassification"
