file_id	original_source_path	original_source_sha256	original_package_root	reached_symbols	source_definition_lines	caller_paths	function_dispositions	final_owner	final_file_disposition	first_hop_rule
"MVDM-FIRST-HOP-FILE-0011"	"base/subsys/csr/server/process.c"	"02249832beb767b07fbac5a3c6d14116ca6ebfaf63f9933163f03c2fe00d009b"	"base/subsys"	"CsrLockProcessByClientId;CsrUnlockProcess"	"943"	"base/win32/server/srvvdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0012"	"base/win32/client/support.c"	"5f02b7247b7c23d717e5348d31b4f1e2a8db1bcfdaa373340adb79800dc9bd0f"	"base/win32/client"	"Basep8BitStringToUnicodeString;BasepUnicodeStringTo8BitString"	"1286"	"base/win32/client/vdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0013"	"ds/netapi/netlib/copystr.c"	"69efa31cf86cbcc958a8b7ffa8a6072abcbb024dd3bb4c551a7bc01cea5d66fe"	"ds/netapi"	"NetpCopyWStrToStr"	"109"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0014"	"ds/netapi/rpcxlate/rxapi/rxuser.c"	"d2c1d9ce3028995ad41d689fc3673ede68880eb40e542a92d9864536f614612a"	"ds/netapi"	"RxNetUserPasswordSet"	"1180"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0015"	"ds/netapi/rpcxlate/rxcommon/transact.c"	"7f57f81ca34f63509fcd07d64b4cf06d584c816f7615953317ee9f4fb317cc58"	"ds/netapi"	"RxpTransactSmb"	"92"	"vdmredir/vrnetapi.c;vdmredir/vrremote.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0016"	"ds/netapi/xactsrv/apisrv.c"	"070437121d8a1ee57ea07672ea9aba3e85a8f4b80b802034cc208383dca4e5cd"	"ds/netapi"	"XsNetServerEnum2"	"172"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0017"	"ds/netapi/xactsrv/apiuse.c"	"93d368f24f2b8fdf82e7f3459dbd53d028ccf6059db5e0f7fb621826135e96c4"	"ds/netapi"	"XsNetUseAdd;XsNetUseDel;XsNetUseEnum;XsNetUseGetInfo"	"117"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0018"	"nt/private/csr/server/process.c"	"02249832beb767b07fbac5a3c6d14116ca6ebfaf63f9933163f03c2fe00d009b"	"nt/private"	"CsrLockProcessByClientId;CsrUnlockProcess"	"943"	"base/win32/server/srvvdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0019"	"nt/private/net/netlib/copystr.c"	"69efa31cf86cbcc958a8b7ffa8a6072abcbb024dd3bb4c551a7bc01cea5d66fe"	"nt/private"	"NetpCopyWStrToStr"	"109"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0020"	"nt/private/net/rpcxlate/rxapi/rxuser.c"	"d2c1d9ce3028995ad41d689fc3673ede68880eb40e542a92d9864536f614612a"	"nt/private"	"RxNetUserPasswordSet"	"1180"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0021"	"nt/private/net/rpcxlate/rxcommon/transact.c"	"7f57f81ca34f63509fcd07d64b4cf06d584c816f7615953317ee9f4fb317cc58"	"nt/private"	"RxpTransactSmb"	"92"	"vdmredir/vrnetapi.c;vdmredir/vrremote.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0022"	"nt/private/net/xactsrv/apisrv.c"	"070437121d8a1ee57ea07672ea9aba3e85a8f4b80b802034cc208383dca4e5cd"	"nt/private"	"XsNetServerEnum2"	"172"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0023"	"nt/private/net/xactsrv/apiuse.c"	"93d368f24f2b8fdf82e7f3459dbd53d028ccf6059db5e0f7fb621826135e96c4"	"nt/private"	"XsNetUseAdd;XsNetUseDel;XsNetUseEnum;XsNetUseGetInfo"	"117"	"vdmredir/vrnetapi.c"	"redirector-private-contract-boundary"	"adapter-mvdm-host-out/redir"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0024"	"nt/private/ntos/dll/csrutil.c"	"75ad074cfed527609da76fa5e79e395eed01075616e2519c7271bdf240a7b7e1"	"nt/private"	"CsrAllocateCaptureBuffer;CsrAllocateMessagePointer;CsrFreeCaptureBuffer"	"267"	"base/win32/client/vdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0025"	"nt/private/ntos/dll/curdir.c"	"1a341913edcef259286ae48450ab5a7dd5603d4b6a80d3ac3bb08500a45fb89a"	"nt/private"	"RtlDetermineDosPathNameType_U;RtlGetCurrentDirectory_U;RtlGetFullPathName_U;RtlSetCurrentDirectory_U"	"483"	"base/win32/client/vdm.c;oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0026"	"nt/private/ntos/dll/ldrapi.c"	"498837b08b24eed04a65ca4f0f7a679b650edcf9634c00eec5e9d3665ea263de"	"nt/private"	"LdrGetProcedureAddress;LdrUnloadDll"	"812"	"base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0027"	"nt/private/ntos/ex/event.c"	"9a93708427933f92ffccb16acaa6d225979f6b288872c46107b5e4195122ccd9"	"nt/private"	"NtCreateEvent;NtQueryEvent;NtResetEvent;NtSetEvent"	"180"	"base/win32/client/vdm.c;base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0028"	"nt/private/ntos/ps/psquery.c"	"699cc35f8fa80e6992c9c26b81d7a7f713fdc02fa856b420cdbf0ee4aed5519a"	"nt/private"	"NtQueryInformationProcess"	"364"	"dbg/dbg.c;dos/dem/demmisc.c;softpc.new/obj.vdm/ntvdm.c;v86/monitor/i386/proflib.c;wow32/wow32.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0029"	"nt/private/ntos/rtl/eballoc.c"	"0eaadd09c27b7614368c4b99d0fb9d7d354299ffc8ee799d1d521f20504b3a27"	"nt/private"	"RtlReleasePebLock"	"47"	"oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0030"	"nt/private/ntos/rtl/nls.c"	"1a26fde96f1c337b1e9f04b18560d88681c4840bc5551a094f11394dae16c560"	"nt/private"	"RtlFreeOemString"	"1251"	"base/win32/client/vdm.c;oemuni/file.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0031"	"nt/private/ntos/rtl/regutil.c"	"d9553e6167adf698357b9c1a54a1c2a814236a6605b7a4307b582087d1b6535a"	"nt/private"	"RtlExpandEnvironmentStrings_U"	"1043"	"base/win32/client/vdm.c;base/win32/server/srvinit.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0032"	"nt/private/ntos/rtl/sertl.c"	"f749da1e3a71513d3805dc57699646fe220da2966a2cf9ace1a17cdacd4e2d73"	"nt/private"	"RtlAllocateAndInitializeSid;RtlEqualSid"	"780"	"base/win32/server/srvinit.c;base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0033"	"nt/private/ntos/se/tokenopn.c"	"f36de7d4567838040b11a00f210b1cae5b8619bc79d90966c339dd74d4676775"	"nt/private"	"NtOpenProcessToken;NtOpenThreadToken"	"164"	"base/win32/server/srvvdm.c"	"private-nt-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0034"	"nt/private/ntos/w32/ntcon/client/ctrlc.c"	"631442c7e93a9a2eb35f13c7fe61fe8673146c268fefae8ba0480ca8525df96e"	"nt/private"	"SetLastConsoleEventActive"	"249"	"softpc.new/host/src/nt_hosts.c;v86/scaffold/i386/softpc.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0035"	"nt/private/ntos/w32/ntcon/client/iostubs.c"	"cb9978b5e110fdd05e18a4d903ba92ab7cd37276758d7663884313dbd749471e"	"nt/private"	"ReadConsoleInputExW"	"265"	"softpc.new/host/src/nt_event.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0036"	"nt/private/ntos/w32/ntcon/client/private.c"	"bd1b6ed576f85c65a2c427957a149c54190c4653cc064c65329534998e63bdd2"	"nt/private"	"ConsoleMenuControl;GetConsoleDisplayMode;SetConsoleDisplayMode;SetConsoleKeyShortcuts;ShowConsoleCursor;WriteConsoleInputVDMW"	"135"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_mouse.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0037"	"nt/private/ntos/w32/ntgdi/client/dcquery.c"	"210ee355ddfc264fd0639e4f124817358e790c8be9ca3dab8082aa6b82ecd8e6"	"nt/private"	"GetETM;GetGlyphOutlineWow"	"3009"	"wow32/wgdi.c;wow32/wgdi31.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0038"	"nt/private/ntos/w32/ntgdi/client/region.c"	"2b1c15776771b12c50c6fdfd186dbfb99aadabc43a88f199c59bb3b621fe53c9"	"nt/private"	"GetRandomRgn"	"962"	"wow32/wgdi31.c"	"private-gdi-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0039"	"nt/private/ntos/w32/ntuser/client/client.c"	"787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472"	"nt/private"	"GetShellWindow;UserRegisterWowHandlers"	"2740"	"wow32/wkman.c;wow32/wow32.c"	"named-non-mvdm-source-definition;wow-private-contract-boundary"	"adapter-mvdm-host-out/wow;candidate non-MVDM package"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0040"	"nt/private/ntos/w32/ntuser/client/clres.c"	"c11265557b8406d60928032f3caa0c106301b5847930c98e356e8c72372808f5"	"nt/private"	"DialogBoxIndirectParamAorW"	"593"	"wow32/wudlg.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0041"	"nt/private/windows/base/client/support.c"	"5f02b7247b7c23d717e5348d31b4f1e2a8db1bcfdaa373340adb79800dc9bd0f"	"nt/private"	"Basep8BitStringToUnicodeString;BasepUnicodeStringTo8BitString"	"1286"	"base/win32/client/vdm.c"	"csr-product-boundary"	"adapter-mvdm-host-out/monitor"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0042"	"nt/private/windows/shell/library/dragdrop.c"	"148141b89f1477d2916b65b76373d344967df41329ab842f0063d7b01800031f"	"nt/private"	"DragQueryFileAorW"	"67"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0043"	"nt/private/windows/shell/library/exec.c"	"816167621a7b0754d101ceb7e387aba8686eabaf7bf0a47095fc5559c476bcc6"	"nt/private"	"WOWShellExecute"	"1662"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0044"	"nt/private/windows/shell/shelldll/rdrag.c"	"f217022ec86fbf30878a855ee5399cf4a36ef193d68ed0dc34bc0b9f06d2a5f9"	"nt/private"	"DragQueryFileAorW"	"289"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0045"	"nt/private/windows/shell/shelldll/unicode/execnt.c"	"0440349b3be9f6b094ff724f4df1d16a4d92f9250e810f63749ebd2b375931bb"	"nt/private"	"WOWShellExecute"	"1410"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0046"	"shell/shell32/rdrag.c"	"f217022ec86fbf30878a855ee5399cf4a36ef193d68ed0dc34bc0b9f06d2a5f9"	"shell/shell32"	"DragQueryFileAorW"	"289"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0047"	"shell/shell32/unicode/execnt.c"	"0440349b3be9f6b094ff724f4df1d16a4d92f9250e810f63749ebd2b375931bb"	"shell/shell32"	"WOWShellExecute"	"1410"	"wow32/wshell.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0048"	"windows/core/ntcon/client/ctrlc.c"	"631442c7e93a9a2eb35f13c7fe61fe8673146c268fefae8ba0480ca8525df96e"	"windows/core"	"SetLastConsoleEventActive"	"249"	"softpc.new/host/src/nt_hosts.c;v86/scaffold/i386/softpc.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0049"	"windows/core/ntcon/client/iostubs.c"	"cb9978b5e110fdd05e18a4d903ba92ab7cd37276758d7663884313dbd749471e"	"windows/core"	"ReadConsoleInputExW"	"265"	"softpc.new/host/src/nt_event.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0050"	"windows/core/ntcon/client/private.c"	"bd1b6ed576f85c65a2c427957a149c54190c4653cc064c65329534998e63bdd2"	"windows/core"	"ConsoleMenuControl;GetConsoleDisplayMode;SetConsoleDisplayMode;SetConsoleKeyShortcuts;ShowConsoleCursor;WriteConsoleInputVDMW"	"135"	"softpc.new/host/src/config.c;softpc.new/host/src/nt_det.c;softpc.new/host/src/nt_event.c;softpc.new/host/src/nt_fulsc.c;softpc.new/host/src/nt_hosts.c;softpc.new/host/src/nt_mouse.c"	"console-private-contract-boundary"	"adapter-mvdm-host-out/win32"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0051"	"windows/core/ntgdi/client/dcquery.c"	"210ee355ddfc264fd0639e4f124817358e790c8be9ca3dab8082aa6b82ecd8e6"	"windows/core"	"GetETM;GetGlyphOutlineWow"	"3009"	"wow32/wgdi.c;wow32/wgdi31.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0052"	"windows/core/ntgdi/client/region.c"	"2b1c15776771b12c50c6fdfd186dbfb99aadabc43a88f199c59bb3b621fe53c9"	"windows/core"	"GetRandomRgn"	"962"	"wow32/wgdi31.c"	"private-gdi-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0053"	"windows/core/ntuser/client/client.c"	"787eda33785a87ce9e71202c97b5913e2857f7106fed5bb97103049b1d5e3472"	"windows/core"	"GetShellWindow;UserRegisterWowHandlers"	"2740"	"wow32/wkman.c;wow32/wow32.c"	"named-non-mvdm-source-definition;wow-private-contract-boundary"	"adapter-mvdm-host-out/wow;candidate non-MVDM package"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
"MVDM-FIRST-HOP-FILE-0054"	"windows/core/ntuser/client/clres.c"	"c11265557b8406d60928032f3caa0c106301b5847930c98e356e8c72372808f5"	"windows/core"	"DialogBoxIndirectParamAorW"	"593"	"wow32/wudlg.c"	"wow-private-contract-boundary"	"adapter-mvdm-host-out/wow"	"BFS-depth-two-seed-or-hard-boundary-evidence"	"recorded exact provider candidate; not imported, linked or enabled by this audit"
