signature_gate_id	binding_id	resolution_id	one_ledger1_identity	callee_spelling	selected_definition_identity	caller_argument_count	declaration_argument_counts	definition_argument_count	caller_condition_context	definition_condition_context	signature_disposition	next_action	boundary
"MVDM-HOST-ONE1-SIGNATURE-000011"	"MVDM-HOST-ONE1-BINDING-000784"	"MVDM-HOST-ONE1-RESOLUTION-000492"	"MVDM-HOST-ONE1-000586"	"GetNextVDMCommand"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|340|GetNextVDMCommand"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000012"	"MVDM-HOST-ONE1-BINDING-000831"	"MVDM-HOST-ONE1-RESOLUTION-000522"	"MVDM-HOST-ONE1-000618"	"nt_init_event_thread"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fulsc.c|e7dc683be45a04b63d783ae91263f55d50bf41aac480d7bac1a302f19205934c|170|nt_init_event_thread"	"0"	"0"	"0"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000013"	"MVDM-HOST-ONE1-BINDING-000838"	"MVDM-HOST-ONE1-RESOLUTION-000526"	"MVDM-HOST-ONE1-000622"	"GetDriveTypeOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|756|GetDriveTypeOem"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000014"	"MVDM-HOST-ONE1-BINDING-000847"	"MVDM-HOST-ONE1-RESOLUTION-000532"	"MVDM-HOST-ONE1-000628"	"SetVDMCurrentDirectories"	"O:\repos.external\OpenNT|base/win32/client/vdm.c|3f03d0dbb08e0163f2d9cf415daad0981e42e1b1855f6f48a3b59022b7374173|804|SetVDMCurrentDirectories"	"2"	"2;2"	"2"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000015"	"MVDM-HOST-ONE1-BINDING-000863"	"MVDM-HOST-ONE1-RESOLUTION-000538"	"MVDM-HOST-ONE1-000634"	"GetFullPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|494|GetFullPathNameOem"	"4"	"4;4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000016"	"MVDM-HOST-ONE1-BINDING-000864"	"MVDM-HOST-ONE1-RESOLUTION-000539"	"MVDM-HOST-ONE1-000635"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000017"	"MVDM-HOST-ONE1-BINDING-000865"	"MVDM-HOST-ONE1-RESOLUTION-000540"	"MVDM-HOST-ONE1-000636"	"GetShortPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|844|GetShortPathNameOem"	"3"	"3;3"	"3"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000018"	"MVDM-HOST-ONE1-BINDING-000866"	"MVDM-HOST-ONE1-RESOLUTION-000541"	"MVDM-HOST-ONE1-000637"	"SetEnvironmentVariableOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|661|SetEnvironmentVariableOem"	"2"	"2;2"	"2"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000019"	"MVDM-HOST-ONE1-BINDING-000867"	"MVDM-HOST-ONE1-RESOLUTION-000542"	"MVDM-HOST-ONE1-000638"	"SetCurrentDirectoryOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|635|SetCurrentDirectoryOem"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000020"	"MVDM-HOST-ONE1-BINDING-000875"	"MVDM-HOST-ONE1-RESOLUTION-000546"	"MVDM-HOST-ONE1-000642"	"SearchPathOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|117|SearchPathOem"	"6"	"6;6"	"6"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000021"	"MVDM-HOST-ONE1-BINDING-000876"	"MVDM-HOST-ONE1-RESOLUTION-000547"	"MVDM-HOST-ONE1-000643"	"SearchPathOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|117|SearchPathOem"	"6"	"6;6"	"6"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000022"	"MVDM-HOST-ONE1-BINDING-000877"	"MVDM-HOST-ONE1-RESOLUTION-000548"	"MVDM-HOST-ONE1-000644"	"GetFileAttributesOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|182|GetFileAttributesOem"	"1"	"1;1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000023"	"MVDM-HOST-ONE1-BINDING-000878"	"MVDM-HOST-ONE1-RESOLUTION-000549"	"MVDM-HOST-ONE1-000645"	"GetShortPathNameOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/process.c|38c9125f9f3c43f32f696616e565e63b8f056da7ec264d980a5e5278cc640468|844|GetShortPathNameOem"	"3"	"3;3"	"3"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000024"	"MVDM-HOST-ONE1-BINDING-001021"	"MVDM-HOST-ONE1-RESOLUTION-000607"	"MVDM-HOST-ONE1-000703"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000025"	"MVDM-HOST-ONE1-BINDING-001024"	"MVDM-HOST-ONE1-RESOLUTION-000609"	"MVDM-HOST-ONE1-000705"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000026"	"MVDM-HOST-ONE1-BINDING-001027"	"MVDM-HOST-ONE1-RESOLUTION-000611"	"MVDM-HOST-ONE1-000707"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000027"	"MVDM-HOST-ONE1-BINDING-001036"	"MVDM-HOST-ONE1-RESOLUTION-000615"	"MVDM-HOST-ONE1-000711"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000028"	"MVDM-HOST-ONE1-BINDING-001037"	"MVDM-HOST-ONE1-RESOLUTION-000616"	"MVDM-HOST-ONE1-000712"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000029"	"MVDM-HOST-ONE1-BINDING-001040"	"MVDM-HOST-ONE1-RESOLUTION-000620"	"MVDM-HOST-ONE1-000716"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000030"	"MVDM-HOST-ONE1-BINDING-001043"	"MVDM-HOST-ONE1-RESOLUTION-000622"	"MVDM-HOST-ONE1-000718"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000031"	"MVDM-HOST-ONE1-BINDING-001046"	"MVDM-HOST-ONE1-RESOLUTION-000624"	"MVDM-HOST-ONE1-000720"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000032"	"MVDM-HOST-ONE1-BINDING-001055"	"MVDM-HOST-ONE1-RESOLUTION-000628"	"MVDM-HOST-ONE1-000724"	"OutputDebugStringOem"	"O:\repos.external\OpenNT|base/mvdm/oemuni/file.c|a3184eb571d6822577b52849e2da3955689899ecc6dfd9df100ff3f3636be5df|998|OutputDebugStringOem"	"1"	"1;1"	"1"	"if:DBG"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000033"	"MVDM-HOST-ONE1-BINDING-001056"	"MVDM-HOST-ONE1-RESOLUTION-000629"	"MVDM-HOST-ONE1-000725"	"nt_floppy_media_check"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956|nt_floppy_media_check"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000034"	"MVDM-HOST-ONE1-BINDING-001063"	"MVDM-HOST-ONE1-RESOLUTION-000635"	"MVDM-HOST-ONE1-000731"	"nt_fdisk_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|393|nt_fdisk_read"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000035"	"MVDM-HOST-ONE1-BINDING-001064"	"MVDM-HOST-ONE1-RESOLUTION-000636"	"MVDM-HOST-ONE1-000732"	"nt_floppy_read"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|711|nt_floppy_read"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000036"	"MVDM-HOST-ONE1-BINDING-001065"	"MVDM-HOST-ONE1-RESOLUTION-000637"	"MVDM-HOST-ONE1-000733"	"nt_floppy_media_check"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|956|nt_floppy_media_check"	"1"	"1"	"1"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000037"	"MVDM-HOST-ONE1-BINDING-001072"	"MVDM-HOST-ONE1-RESOLUTION-000643"	"MVDM-HOST-ONE1-000739"	"nt_fdisk_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_fdisk.c|f4cca0215e2ff4f49113fe95a26529854b712e096af1c3cc54536061808c4867|413|nt_fdisk_write"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000038"	"MVDM-HOST-ONE1-BINDING-001073"	"MVDM-HOST-ONE1-RESOLUTION-000644"	"MVDM-HOST-ONE1-000740"	"nt_floppy_write"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|726|nt_floppy_write"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000039"	"MVDM-HOST-ONE1-BINDING-001074"	"MVDM-HOST-ONE1-RESOLUTION-000645"	"MVDM-HOST-ONE1-000741"	"nt_floppy_get_media_type"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|903|nt_floppy_get_media_type"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000040"	"MVDM-HOST-ONE1-BINDING-001075"	"MVDM-HOST-ONE1-RESOLUTION-000646"	"MVDM-HOST-ONE1-000742"	"nt_floppy_format"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|742|nt_floppy_format"	"4"	"4"	"4"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
"MVDM-HOST-ONE1-SIGNATURE-000041"	"MVDM-HOST-ONE1-BINDING-001076"	"MVDM-HOST-ONE1-RESOLUTION-000647"	"MVDM-HOST-ONE1-000743"	"nt_floppy_verify"	"O:\repos.external\OpenNT|base/mvdm/softpc.new/host/src/nt_rflop.c|22c82627bf993ac4fd072ad1bb7d4f62000b60889e6955e83f5f676ac5bd7a29|771|nt_floppy_verify"	"3"	"3"	"3"	"unconditional"	"unconditional"	"physical-call-declaration-definition-arity-confirmed"	"eligible future seed for separately admitted callee-body/second-degree expansion; not a package/provider selection"	"P20 reads bounded call/declaration/definition signature regions and preprocessor contexts only; no candidate function body traversal occurred"
