"effective_id"	"disposition_id"	"call_id"	"caller_file_id"	"caller_path"	"caller_package"	"caller_line"	"symbol"	"declaration_path"	"declaration_package"	"caller_final_disposition"	"effective_state"	"family"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"source_form_evidence"	"limitation"	"evidence"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00011"	"MVDM-BOUNDARY-00011"	"MVDM-CALL-001460"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"243"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:243; softpc.new/base/inc/standard.h:83"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00012"	"MVDM-BOUNDARY-00012"	"MVDM-CALL-001462"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"248"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:248; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00013"	"MVDM-BOUNDARY-00013"	"MVDM-CALL-001467"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"258"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:258; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00014"	"MVDM-BOUNDARY-00014"	"MVDM-CALL-001471"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"268"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:268; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00015"	"MVDM-BOUNDARY-00015"	"MVDM-CALL-001546"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"634"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdconf.c:634; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00016"	"MVDM-BOUNDARY-00016"	"MVDM-CALL-001553"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"52"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00017"	"MVDM-BOUNDARY-00017"	"MVDM-CALL-001593"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"224"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdenv.c:224; softpc.new/base/inc/standard.h:83"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00018"	"MVDM-BOUNDARY-00018"	"MVDM-CALL-001595"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"228"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdenv.c:228; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00019"	"MVDM-BOUNDARY-00019"	"MVDM-CALL-001618"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"363"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdenv.c:363; softpc.new/base/inc/standard.h:83"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00020"	"MVDM-BOUNDARY-00020"	"MVDM-CALL-001630"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"459"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"adapter-backed"	"reviewed-future-host"	"CRT-allocation-and-environment"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"source-form reviewed; implementation not enabled"	"dos/command/cmdenv.c:459; softpc.new/base/inc/standard.h:83"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00021"	"MVDM-BOUNDARY-00021"	"MVDM-CALL-001754"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"441"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:441; inc/softpc.h:36"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00022"	"MVDM-BOUNDARY-00022"	"MVDM-CALL-001759"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"453"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:453; inc/softpc.h:37"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00023"	"MVDM-BOUNDARY-00023"	"MVDM-CALL-001760"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"454"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:454; dos/command/cmd.h:255"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00024"	"MVDM-BOUNDARY-00024"	"MVDM-CALL-001766"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"480"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:480; inc/softpc.h:37"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00025"	"MVDM-BOUNDARY-00025"	"MVDM-CALL-001767"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"481"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:481; dos/command/cmd.h:255"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00026"	"MVDM-BOUNDARY-00026"	"MVDM-CALL-001798"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"620"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:620; inc/softpc.h:36"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00027"	"MVDM-BOUNDARY-00027"	"MVDM-CALL-001808"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"641"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:641; inc/softpc.h:37"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00028"	"MVDM-BOUNDARY-00028"	"MVDM-CALL-001809"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"642"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexec.c:642; dos/command/cmd.h:255"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00029"	"MVDM-BOUNDARY-00029"	"MVDM-CALL-001811"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"30"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdexit.c:30; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00030"	"MVDM-BOUNDARY-00030"	"MVDM-CALL-001865"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"78"	"host_lpt_flush_initialize"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"host-device-state-cleanup"	"opennt-mvdm-host LPT provider -> adapter-win32"	"original void LPT flush-state initialization"	"session-owned host-resource state only"	"preserve original no-result initialization ordering; unavailable host port is explicit provider failure"	"softpc.new/host/src/nt_lpt.c:688 defines original LPT flush-state initialization"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:78; inc/softpc.h:49"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00031"	"MVDM-BOUNDARY-00031"	"MVDM-CALL-001868"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"100"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:100; inc/softpc.h:36"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00032"	"MVDM-BOUNDARY-00032"	"MVDM-CALL-001869"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"102"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:102; inc/softpc.h:36"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00033"	"MVDM-BOUNDARY-00033"	"MVDM-CALL-001880"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"126"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:126; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00034"	"MVDM-BOUNDARY-00034"	"MVDM-CALL-001885"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"156"	"cmdPushExitInConsoleBuffer"	"dos/command/cmd.h"	"dos"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32"	"original void console-exit notification call"	"session-local completion notification; no console HANDLE enters guest state"	"non-WOW local notification may be recovered; WOW/console injection is an adapter-wow successor"	"softpc.new/host/src/nt_event.c:1879 defines the original console-exit notification path"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:156; dos/command/cmd.h:256"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00035"	"MVDM-BOUNDARY-00035"	"MVDM-CALL-001890"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"181"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:181; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00036"	"MVDM-BOUNDARY-00036"	"MVDM-CALL-001893"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"198"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:198; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00037"	"MVDM-BOUNDARY-00037"	"MVDM-CALL-001896"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"203"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:203; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00038"	"MVDM-BOUNDARY-00038"	"MVDM-CALL-001902"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"220"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:220; inc/softpc.h:132"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00039"	"MVDM-BOUNDARY-00039"	"MVDM-CALL-001903"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"228"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"COMMAND-session-event-lifecycle"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:228; inc/softpc.h:37"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00040"	"MVDM-BOUNDARY-00040"	"MVDM-CALL-001940"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"379"	"host_lpt_flush_initialize"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"host-device-state-cleanup"	"opennt-mvdm-host LPT provider -> adapter-win32"	"original void LPT flush-state initialization"	"session-owned host-resource state only"	"preserve original no-result initialization ordering; unavailable host port is explicit provider failure"	"softpc.new/host/src/nt_lpt.c:688 defines original LPT flush-state initialization"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:379; inc/softpc.h:49"
"MVDM-T277-EFFECTIVE-MVDM-BOUNDARY-00041"	"MVDM-BOUNDARY-00041"	"MVDM-CALL-001947"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"412"	"TerminateVDM"	"inc/softpc.h"	"inc"	"adapter-backed"	"reviewed-future-host"	"session-controlled-termination"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"source-form reviewed; implementation not enabled"	"dos/command/cmdmisc.c:412; inc/softpc.h:132"
