"profile_id"	"package_root"	"selected_path_count"	"selected_source_count"	"original_build_description_count"	"x86_target_state"	"x64_target_state"	"include_library_state"	"final_disposition_summary"	"evidence"
"MVDM-T277-PROFILE-OEMUNI"	"oemuni"	"6"	"3"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=2; binding-only=3; tool-only=1"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-SIM16"	"sim16"	"8"	"2"	"1"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"binding-only=3; not-host-runtime=5"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-SIM32"	"sim32"	"5"	"1"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"binding-only=1; not-host-runtime=4"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-SOFTPC-NEW"	"softpc.new"	"998"	"339"	"43"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=34; binding-only=339; firmware-only=58; not-host-runtime=535; overlay-required=6; tool-only=26"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-SUBALLOC"	"suballoc"	"8"	"3"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"binding-only=6; tool-only=2"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-V86"	"v86"	"35"	"14"	"8"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"binding-only=9; not-host-runtime=24; tool-only=2"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-VDD"	"vdd"	"47"	"9"	"19"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"not-host-runtime=47"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-VDMDBG"	"vdmdbg"	"6"	"1"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"tool-only=6"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-VDMEXTS"	"vdmexts"	"25"	"19"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"tool-only=25"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-VDMREDIR"	"vdmredir"	"25"	"15"	"2"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=15; binding-only=6; not-host-runtime=4"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-VDMUTILS"	"vdmutils"	"28"	"6"	"9"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"tool-only=28"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-WOW32"	"wow32"	"201"	"85"	"3"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=16; binding-only=105; not-host-runtime=19; overlay-required=61"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
"MVDM-T277-PROFILE-XMS-486"	"xms.486"	"15"	"8"	"6"	"not-enabled; derive-after-interface-closure"	"not-enabled; derive-after-interface-closure"	"literal-input-evidence-only"	"adapter-backed=6; binding-only=1; not-host-runtime=8"	"m0-t276-final-integration-disposition-ledger.tsv; m0-t276-s2-original-build-description-ledger.tsv"
