cluster_id	review_cluster	raw_occurrence_count	unique_source_diagnostic_count	source_file_count	warning_counts	review_state	required_source_review
T310-S8-P4-WARN-CLUSTER-013	SPC-HOST-CONFIGURATION-BINDINGS	58	58	2	C4996:48;C4244:4;C4100:2;C4101:2;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-014	SPC-BIOS-FIRMWARE-BINDINGS	53	53	5	C4244:31;C4131:6;C4018:4;C4101:4;C4996:4;C4310:2;C4431:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-015	SPC-SAS-MEMORY-CONTRACT	50	50	1	C4100:34;C4033:6;C4101:4;C4996:4;C4389:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-016	SPC-COMMS-CONTROLLER-CALLBACKS	48	48	3	C4244:30;C4210:6;C4013:4;C4245:4;C4101:2;C4189:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-017	SPC-SUPPORT-CONTROLLER-CALLBACKS	20	20	3	C4100:10;C4996:6;C4142:2;C4210:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-018	MVDM-SIM32-OWNER-PACKAGE	16	16	1	C4100:12;C4244:4	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-019	SPC-HOST-BOP-BINDING	16	16	1	C4210:10;C4996:4;C4706:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-020	SPC-HOST-COMMS-BINDINGS	14	14	2	C4101:6;C4100:4;C4189:2;C4996:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-021	SPC-MEMORY-MAPPING-BINDINGS	12	12	3	C4100:4;C4554:4;C4101:2;C4996:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-022	SPC-HOST-SYSTEM-INTERRUPT-BINDINGS	7	7	2	C4100:2;C4101:2;C4102:2;C4005:1	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-023	MVDM-XMS.486-OWNER-PACKAGE	6	6	2	C4100:4;C4013:2	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
T310-S8-P4-WARN-CLUSTER-024	SPC-HOST-VDD-BINDING	6	6	1	C4100:6	pending-original-contract-review	read original declarations, assignments/initializers and selected callers; classify every diagnostic family as minimal mirror correction, overlay, guest/physical mapping-manager crossing, or not selected
