"work_item_id"	"caller_path"	"caller_line"	"symbol"	"family"	"original_provider_form"	"owner"	"retained_interface_shape"	"mapping_rule"	"failure_disposition"	"implementation_constraint"	"audit_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-00017"	"dos/command/cmdenv.c"	"224"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00017"
"MVDM-T277-S2-MVDM-BOUNDARY-00018"	"dos/command/cmdenv.c"	"228"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00018"
"MVDM-T277-S2-MVDM-BOUNDARY-00019"	"dos/command/cmdenv.c"	"363"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00019"
"MVDM-T277-S2-MVDM-BOUNDARY-00020"	"dos/command/cmdenv.c"	"459"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00020"
"MVDM-T277-S2-MVDM-BOUNDARY-00016"	"dos/command/cmdenv.c"	"52"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00016"
"MVDM-T277-S2-MVDM-BOUNDARY-00021"	"dos/command/cmdexec.c"	"441"	"nt_block_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00021"
"MVDM-T277-S2-MVDM-BOUNDARY-00022"	"dos/command/cmdexec.c"	"453"	"nt_resume_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00022"
"MVDM-T277-S2-MVDM-BOUNDARY-00023"	"dos/command/cmdexec.c"	"454"	"nt_std_handle_notification"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"no process-global SetStdHandle mutation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00023"
"MVDM-T277-S2-MVDM-BOUNDARY-00024"	"dos/command/cmdexec.c"	"480"	"nt_resume_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00024"
"MVDM-T277-S2-MVDM-BOUNDARY-00025"	"dos/command/cmdexec.c"	"481"	"nt_std_handle_notification"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"no process-global SetStdHandle mutation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00025"
"MVDM-T277-S2-MVDM-BOUNDARY-00026"	"dos/command/cmdexec.c"	"620"	"nt_block_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00026"
"MVDM-T277-S2-MVDM-BOUNDARY-00027"	"dos/command/cmdexec.c"	"641"	"nt_resume_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00027"
"MVDM-T277-S2-MVDM-BOUNDARY-00028"	"dos/command/cmdexec.c"	"642"	"nt_std_handle_notification"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"no process-global SetStdHandle mutation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00028"
"MVDM-T277-S2-MVDM-BOUNDARY-00029"	"dos/command/cmdexit.c"	"30"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00029"
"MVDM-T277-S2-MVDM-BOUNDARY-00031"	"dos/command/cmdmisc.c"	"100"	"nt_block_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00031"
"MVDM-T277-S2-MVDM-BOUNDARY-00032"	"dos/command/cmdmisc.c"	"102"	"nt_block_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1364 defines the historical event-thread block call and invokes private VDD/event machinery"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void block call and BlockFlags ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00032"
"MVDM-T277-S2-MVDM-BOUNDARY-00033"	"dos/command/cmdmisc.c"	"126"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00033"
"MVDM-T277-S2-MVDM-BOUNDARY-00034"	"dos/command/cmdmisc.c"	"156"	"cmdPushExitInConsoleBuffer"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1879 defines the original console-exit notification path"	"session -> adapter-win32"	"original void console-exit notification call"	"session-local completion notification; no console HANDLE enters guest state"	"non-WOW local notification may be recovered; WOW/console injection is an adapter-wow successor"	"no private console-group or CSRSS recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00034"
"MVDM-T277-S2-MVDM-BOUNDARY-00035"	"dos/command/cmdmisc.c"	"181"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00035"
"MVDM-T277-S2-MVDM-BOUNDARY-00036"	"dos/command/cmdmisc.c"	"198"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00036"
"MVDM-T277-S2-MVDM-BOUNDARY-00037"	"dos/command/cmdmisc.c"	"203"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00037"
"MVDM-T277-S2-MVDM-BOUNDARY-00038"	"dos/command/cmdmisc.c"	"220"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00038"
"MVDM-T277-S2-MVDM-BOUNDARY-00039"	"dos/command/cmdmisc.c"	"228"	"nt_resume_event_thread"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_event.c:1501 defines the historical event-thread resume call and stream-I/O restoration path"	"session -> adapter-win32; adapter-vdd successor for original VDD hook"	"original void resume call and stream-I/O restoration ordering"	"session-owned event identity; no host HANDLE enters guest state"	"preserve source ordering; private VDD callback is a named later adapter-vdd branch"	"no CSRSS/NT4 event-thread recreation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00039"
"MVDM-T277-S2-MVDM-BOUNDARY-00040"	"dos/command/cmdmisc.c"	"379"	"host_lpt_flush_initialize"	"host-device-state-cleanup"	"softpc.new/host/src/nt_lpt.c:688 defines original LPT flush-state initialization"	"opennt-mvdm-host LPT provider -> adapter-win32"	"original void LPT flush-state initialization"	"session-owned host-resource state only"	"preserve original no-result initialization ordering; unavailable host port is explicit provider failure"	"no Bochs device or DOS semantic in adapter-win32"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00040"
"MVDM-T277-S2-MVDM-BOUNDARY-00041"	"dos/command/cmdmisc.c"	"412"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00041"
"MVDM-T277-S2-MVDM-BOUNDARY-00042"	"dos/command/cmdmisc.c"	"467"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00042"
"MVDM-T277-S2-MVDM-BOUNDARY-00030"	"dos/command/cmdmisc.c"	"78"	"host_lpt_flush_initialize"	"host-device-state-cleanup"	"softpc.new/host/src/nt_lpt.c:688 defines original LPT flush-state initialization"	"opennt-mvdm-host LPT provider -> adapter-win32"	"original void LPT flush-state initialization"	"session-owned host-resource state only"	"preserve original no-result initialization ordering; unavailable host port is explicit provider failure"	"no Bochs device or DOS semantic in adapter-win32"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00030"
"MVDM-T277-S2-MVDM-BOUNDARY-00043"	"dos/command/cmdmisc.c"	"789"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00043"
"MVDM-T277-S2-MVDM-BOUNDARY-00044"	"dos/command/cmdredir.c"	"110"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00044"
"MVDM-T277-S2-MVDM-BOUNDARY-00045"	"dos/command/cmdredir.c"	"128"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00045"
"MVDM-T277-S2-MVDM-BOUNDARY-00046"	"dos/command/cmdredir.c"	"202"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00046"
"MVDM-T277-S2-MVDM-BOUNDARY-00047"	"dos/command/cmdredir.c"	"204"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00047"
"MVDM-T277-S2-MVDM-BOUNDARY-00048"	"dos/command/cmdredir.c"	"212"	"nt_std_handle_notification"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"no process-global SetStdHandle mutation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00048"
"MVDM-T277-S2-MVDM-BOUNDARY-00049"	"dos/command/cmdredir.c"	"217"	"nt_std_handle_notification"	"COMMAND-session-event-lifecycle"	"softpc.new/host/src/nt_msscs.c:1067 records stdoutRedirected; X86GFX extends it with historical full-screen behavior"	"session -> adapter-win32"	"original BOOL redirection notification, including stdoutRedirected state"	"session host_resource mapping instance owns any host standard-stream identity"	"record redirection state; X86GFX/full-screen branch is a named display successor"	"no process-global SetStdHandle mutation"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00049"
"MVDM-T277-S2-MVDM-BOUNDARY-00050"	"dos/command/cmdredir.c"	"250"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00050"
"MVDM-T277-S2-MVDM-BOUNDARY-00051"	"dos/command/cmdredir.c"	"267"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00051"
"MVDM-T277-S2-MVDM-BOUNDARY-00052"	"dos/command/cmdredir.c"	"299"	"TerminateVDM"	"session-controlled-termination"	"v86/scaffold/i386/softpc.c:397 supplies the historical standalone-product termination body; it is excluded from the rebootstrap host runtime"	"session -> adapter-bochs"	"original void termination call; typed controlled-stop record only"	"no raw process termination or host pointer"	"request session stop; never terminate the surrounding app process"	"historical v86 product shell is excluded; session successor must preserve caller ordering"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00052"
"MVDM-T277-S2-MVDM-BOUNDARY-00053"	"dos/command/cmdredir.c"	"350"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00053"
"MVDM-T277-S2-MVDM-BOUNDARY-00054"	"dos/command/cmdredir.c"	"484"	"malloc"	"CRT-allocation-and-environment"	"softpc.new/base/inc/standard.h exposes the original CRT allocation form"	"native CRT binding"	"original CRT allocation call and caller-side NULL handling"	"none"	"preserve original caller-side allocation failure path"	"no adapter body"	"source-form-family-reviewed; implementation-not-enabled"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00054"
