"package_id"	"package_root"	"package_kind"	"selected_path_count"	"dependency_state"	"topological_wave"	"blocked_successor"	"evidence"
"MVDM-PACKAGE-SUBALLOC"	"suballoc"	"support"	"8"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=3; build-input=2; include=8"
"MVDM-PACKAGE-V86"	"v86"	"owner-package"	"35"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=14; build-input=8; include=76"
"MVDM-PACKAGE-VDD"	"vdd"	"owner-package"	"47"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=9; build-input=19; include=19"
"MVDM-PACKAGE-VDMDBG"	"vdmdbg"	"owner-package"	"6"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=1; build-input=2; include=10"
"MVDM-PACKAGE-VDMEXTS"	"vdmexts"	"owner-package"	"25"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=19; build-input=2; include=46"
"MVDM-PACKAGE-VDMREDIR"	"vdmredir"	"owner-package"	"25"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=15; build-input=2; include=261"
"MVDM-PACKAGE-VDMUTILS"	"vdmutils"	"support"	"28"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=6; build-input=9; include=26"
"MVDM-PACKAGE-WOW32"	"wow32"	"owner-package"	"201"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=85; build-input=3; include=154"
"MVDM-PACKAGE-XMS-486"	"xms.486"	"owner-package"	"15"	"observed-textual-include-graph"	""	""	"m0-t276-s2-translation-unit-include-ledger.tsv; source=8; build-input=6; include=29"
"OPENNT-HOST-PACKAGE-BASESRV-VDM"	"base/win32"	"external-opennt-host-package"	"10"	"package-audited; required VDM slice selected; static subset closure pending"	""	"M0 T291 S5 P5, then Queue candidate 2"	"m0-t291-s5-p5-external-file-disposition-001.md; original BaseSrv/client VDM slice plus direct declaration carriers"
"OPENNT-BOUNDARY-CSR-CLIENT"	"base/ntdll CSR client transport"	"external-opennt-stopping-boundary"	"0"	"package-audited; rejected-not-host-runtime"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0002"
"OPENNT-BOUNDARY-CSRSRV"	"base/subsys/csr/server"	"external-opennt-stopping-boundary"	"0"	"package-audited; rejected-not-host-runtime"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0003"
"OPENNT-BOUNDARY-KERNEL-VDM"	"base/ntos/vdm"	"external-opennt-stopping-boundary"	"0"	"package-audited; rejected-not-host-runtime"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0004"
"OPENNT-BOUNDARY-BASECLIENT"	"base/win32/client"	"external-opennt-stopping-boundary"	"1"	"package-audited; rejected-except-selected-vdm-slice"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0005"
"OPENNT-BOUNDARY-BASESRV"	"base/win32/server"	"external-opennt-stopping-boundary"	"1"	"package-audited; rejected-except-selected-vdm-slice"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0006"
"OPENNT-BOUNDARY-PRIVATE-GRAPHICS"	"private/ntos/w32/ntgdi and USER/GDI server"	"external-opennt-stopping-boundary"	"0"	"package-audited; rejected-not-host-runtime"	""	"M0 T291 S5 P5"	"opennt-non-mvdm-package-boundary-ledger.tsv#OPENNT-BOUNDARY-0008"
