canonical_interface_id	callee_spelling	raw_call_site_count	raw_candidate_ids	caller_definition_count	caller_source_identities	initial_first_degree_statuses	prior_semantic_dispositions	boundary
"MVDM-FIRST-INTERFACE-000011"	"a3_getAF"	"1"	"MVDM-FIRST-CANDIDATE-001868"	"1"	"softpc.new/obj.vdm/c_regs.c:189"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000012"	"a3_getAH"	"1"	"MVDM-FIRST-CANDIDATE-001847"	"1"	"softpc.new/obj.vdm/c_regs.c:26"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000013"	"a3_getAL"	"1"	"MVDM-FIRST-CANDIDATE-001846"	"1"	"softpc.new/obj.vdm/c_regs.c:19"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000014"	"a3_getAX"	"1"	"MVDM-FIRST-CANDIDATE-001848"	"1"	"softpc.new/obj.vdm/c_regs.c:33"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000015"	"a3_getBH"	"1"	"MVDM-FIRST-CANDIDATE-001850"	"1"	"softpc.new/obj.vdm/c_regs.c:47"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000016"	"a3_getBL"	"1"	"MVDM-FIRST-CANDIDATE-001849"	"1"	"softpc.new/obj.vdm/c_regs.c:40"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000017"	"a3_getBP"	"1"	"MVDM-FIRST-CANDIDATE-001851"	"1"	"softpc.new/obj.vdm/c_regs.c:54"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000018"	"a3_getBX"	"1"	"MVDM-FIRST-CANDIDATE-001852"	"1"	"softpc.new/obj.vdm/c_regs.c:61"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000019"	"a3_getCF"	"1"	"MVDM-FIRST-CANDIDATE-001853"	"1"	"softpc.new/obj.vdm/c_regs.c:69"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000020"	"a3_getCH"	"1"	"MVDM-FIRST-CANDIDATE-001854"	"1"	"softpc.new/obj.vdm/c_regs.c:76"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000021"	"a3_getCL"	"1"	"MVDM-FIRST-CANDIDATE-001855"	"1"	"softpc.new/obj.vdm/c_regs.c:83"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000022"	"a3_getCS"	"1"	"MVDM-FIRST-CANDIDATE-001856"	"1"	"softpc.new/obj.vdm/c_regs.c:90"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000023"	"a3_getCX"	"1"	"MVDM-FIRST-CANDIDATE-001857"	"1"	"softpc.new/obj.vdm/c_regs.c:97"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000024"	"a3_getDF"	"1"	"MVDM-FIRST-CANDIDATE-001869"	"1"	"softpc.new/obj.vdm/c_regs.c:194"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000025"	"a3_getDH"	"1"	"MVDM-FIRST-CANDIDATE-001858"	"1"	"softpc.new/obj.vdm/c_regs.c:104"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000026"	"a3_getDI"	"1"	"MVDM-FIRST-CANDIDATE-001859"	"1"	"softpc.new/obj.vdm/c_regs.c:111"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000027"	"a3_getDL"	"1"	"MVDM-FIRST-CANDIDATE-001860"	"1"	"softpc.new/obj.vdm/c_regs.c:118"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000028"	"a3_getDS"	"1"	"MVDM-FIRST-CANDIDATE-001861"	"1"	"softpc.new/obj.vdm/c_regs.c:125"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000029"	"a3_getDX"	"1"	"MVDM-FIRST-CANDIDATE-001862"	"1"	"softpc.new/obj.vdm/c_regs.c:132"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000030"	"a3_getES"	"1"	"MVDM-FIRST-CANDIDATE-001863"	"1"	"softpc.new/obj.vdm/c_regs.c:139"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000031"	"a3_getIF"	"1"	"MVDM-FIRST-CANDIDATE-001870"	"1"	"softpc.new/obj.vdm/c_regs.c:199"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000032"	"a3_getIP"	"2"	"MVDM-FIRST-CANDIDATE-001866;MVDM-FIRST-CANDIDATE-001906"	"2"	"softpc.new/obj.vdm/c_regs.c:160;softpc.new/obj.vdm/c_regs.c:421"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000033"	"a3_getOF"	"1"	"MVDM-FIRST-CANDIDATE-001872"	"1"	"softpc.new/obj.vdm/c_regs.c:209"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000034"	"a3_getPF"	"1"	"MVDM-FIRST-CANDIDATE-001873"	"1"	"softpc.new/obj.vdm/c_regs.c:214"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000035"	"a3_getSF"	"1"	"MVDM-FIRST-CANDIDATE-001874"	"1"	"softpc.new/obj.vdm/c_regs.c:219"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000036"	"a3_getSI"	"1"	"MVDM-FIRST-CANDIDATE-001864"	"1"	"softpc.new/obj.vdm/c_regs.c:146"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000037"	"a3_getSP"	"1"	"MVDM-FIRST-CANDIDATE-001865"	"1"	"softpc.new/obj.vdm/c_regs.c:153"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000038"	"a3_getSS"	"1"	"MVDM-FIRST-CANDIDATE-001867"	"1"	"softpc.new/obj.vdm/c_regs.c:167"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000039"	"a3_getZF"	"1"	"MVDM-FIRST-CANDIDATE-001875"	"1"	"softpc.new/obj.vdm/c_regs.c:224"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000040"	"a3_p_setMSW"	"2"	"MVDM-FIRST-CANDIDATE-001871;MVDM-FIRST-CANDIDATE-001897"	"2"	"softpc.new/obj.vdm/c_regs.c:204;softpc.new/obj.vdm/c_regs.c:350"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000041"	"a3_setAF"	"1"	"MVDM-FIRST-CANDIDATE-001892"	"1"	"softpc.new/obj.vdm/c_regs.c:325"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000042"	"a3_setAH"	"1"	"MVDM-FIRST-CANDIDATE-001877"	"1"	"softpc.new/obj.vdm/c_regs.c:235"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000043"	"a3_setAL"	"1"	"MVDM-FIRST-CANDIDATE-001876"	"1"	"softpc.new/obj.vdm/c_regs.c:229"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000044"	"a3_setAX"	"1"	"MVDM-FIRST-CANDIDATE-001878"	"1"	"softpc.new/obj.vdm/c_regs.c:241"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000045"	"a3_setBH"	"1"	"MVDM-FIRST-CANDIDATE-001881"	"1"	"softpc.new/obj.vdm/c_regs.c:259"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000046"	"a3_setBL"	"1"	"MVDM-FIRST-CANDIDATE-001880"	"1"	"softpc.new/obj.vdm/c_regs.c:253"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000047"	"a3_setBP"	"1"	"MVDM-FIRST-CANDIDATE-001879"	"1"	"softpc.new/obj.vdm/c_regs.c:247"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000048"	"a3_setBX"	"1"	"MVDM-FIRST-CANDIDATE-001882"	"1"	"softpc.new/obj.vdm/c_regs.c:265"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000049"	"a3_setCF"	"1"	"MVDM-FIRST-CANDIDATE-001883"	"1"	"softpc.new/obj.vdm/c_regs.c:271"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000050"	"a3_setCH"	"1"	"MVDM-FIRST-CANDIDATE-001884"	"1"	"softpc.new/obj.vdm/c_regs.c:277"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000051"	"a3_setCL"	"1"	"MVDM-FIRST-CANDIDATE-001885"	"1"	"softpc.new/obj.vdm/c_regs.c:283"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000052"	"a3_setCS"	"1"	"MVDM-FIRST-CANDIDATE-001905"	"1"	"softpc.new/obj.vdm/c_regs.c:394"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000053"	"a3_setCX"	"1"	"MVDM-FIRST-CANDIDATE-001886"	"1"	"softpc.new/obj.vdm/c_regs.c:289"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000054"	"a3_setDF"	"1"	"MVDM-FIRST-CANDIDATE-001900"	"1"	"softpc.new/obj.vdm/c_regs.c:365"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000055"	"a3_setDH"	"1"	"MVDM-FIRST-CANDIDATE-001887"	"1"	"softpc.new/obj.vdm/c_regs.c:295"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000056"	"a3_setDI"	"1"	"MVDM-FIRST-CANDIDATE-001891"	"1"	"softpc.new/obj.vdm/c_regs.c:319"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000057"	"a3_setDL"	"1"	"MVDM-FIRST-CANDIDATE-001888"	"1"	"softpc.new/obj.vdm/c_regs.c:301"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000058"	"a3_setDS"	"1"	"MVDM-FIRST-CANDIDATE-001904"	"1"	"softpc.new/obj.vdm/c_regs.c:388"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000059"	"a3_setDX"	"1"	"MVDM-FIRST-CANDIDATE-001889"	"1"	"softpc.new/obj.vdm/c_regs.c:307"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000060"	"a3_setES"	"1"	"MVDM-FIRST-CANDIDATE-001903"	"1"	"softpc.new/obj.vdm/c_regs.c:382"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000061"	"a3_setIF"	"1"	"MVDM-FIRST-CANDIDATE-001893"	"1"	"softpc.new/obj.vdm/c_regs.c:330"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000062"	"a3_setIP"	"2"	"MVDM-FIRST-CANDIDATE-001899;MVDM-FIRST-CANDIDATE-001907"	"2"	"softpc.new/obj.vdm/c_regs.c:360;softpc.new/obj.vdm/c_regs.c:427"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000063"	"a3_setOF"	"1"	"MVDM-FIRST-CANDIDATE-001894"	"1"	"softpc.new/obj.vdm/c_regs.c:335"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000064"	"a3_setPF"	"1"	"MVDM-FIRST-CANDIDATE-001895"	"1"	"softpc.new/obj.vdm/c_regs.c:340"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000065"	"a3_setSF"	"1"	"MVDM-FIRST-CANDIDATE-001896"	"1"	"softpc.new/obj.vdm/c_regs.c:345"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000066"	"a3_setSI"	"1"	"MVDM-FIRST-CANDIDATE-001890"	"1"	"softpc.new/obj.vdm/c_regs.c:313"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000067"	"a3_setSP"	"1"	"MVDM-FIRST-CANDIDATE-001901"	"1"	"softpc.new/obj.vdm/c_regs.c:370"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000068"	"a3_setSS"	"1"	"MVDM-FIRST-CANDIDATE-001902"	"1"	"softpc.new/obj.vdm/c_regs.c:376"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000069"	"a3_setZF"	"1"	"MVDM-FIRST-CANDIDATE-001898"	"1"	"softpc.new/obj.vdm/c_regs.c:355"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000070"	"AbortDoc"	"1"	"MVDM-FIRST-CANDIDATE-002404"	"1"	"wow32/wgdi31.c:46"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000071"	"AddFontResourceA"	"1"	"MVDM-FIRST-CANDIDATE-002441"	"1"	"wow32/wgfont.c:44"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000072"	"AddFontResourceTracking"	"1"	"MVDM-FIRST-CANDIDATE-002440"	"1"	"wow32/wgfont.c:40"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000073"	"AddToTraceXBuffer"	"1"	"MVDM-FIRST-CANDIDATE-001194"	"1"	"softpc.new/base/system/illegalp.c:378"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000074"	"AdjustWindowRect"	"1"	"MVDM-FIRST-CANDIDATE-002801"	"1"	"wow32/wuwind.c:77"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000075"	"AnimatePalette"	"1"	"MVDM-FIRST-CANDIDATE-002448"	"1"	"wow32/wgpal.c:35"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000076"	"AnyPopup"	"1"	"MVDM-FIRST-CANDIDATE-002802"	"1"	"wow32/wuwind.c:168"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000077"	"Arc"	"1"	"MVDM-FIRST-CANDIDATE-002263"	"1"	"wow32/wgdi.c:91"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000078"	"AsyncDispositionRoutine"	"1"	"MVDM-FIRST-CANDIDATE-002110"	"1"	"vdmredir/vrinit.c:528"	"requires-first-degree-source-audit"	"selected-mvdm-internal-or-adapter-contract"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000079"	"atan2"	"2"	"MVDM-FIRST-CANDIDATE-000364;MVDM-FIRST-CANDIDATE-000365"	"1"	"softpc.new/base/ccpu386/fpu.c:3785;softpc.new/base/ccpu386/fpu.c:3817"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000080"	"b_write"	"2"	"MVDM-FIRST-CANDIDATE-000424;MVDM-FIRST-CANDIDATE-000426"	"2"	"softpc.new/base/cpu/src/evid/ev_glue.c:715;softpc.new/base/cvidc/ev_glue.c:715"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000081"	"BeginDeferWindowPos"	"1"	"MVDM-FIRST-CANDIDATE-002803"	"1"	"wow32/wuwind.c:240"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000082"	"BitBlt"	"1"	"MVDM-FIRST-CANDIDATE-002264"	"1"	"wow32/wgdi.c:114"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000083"	"bop_name"	"1"	"MVDM-FIRST-CANDIDATE-001004"	"1"	"softpc.new/base/dasm386/dasm386.c:1220"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000084"	"BringWindowToTop"	"1"	"MVDM-FIRST-CANDIDATE-002804"	"1"	"wow32/wuwind.c:273"	"public-modern-api-leaf-candidate"	"public-win32-or-crt-binding"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000085"	"byte_at"	"9"	"MVDM-FIRST-CANDIDATE-000996;MVDM-FIRST-CANDIDATE-000997;MVDM-FIRST-CANDIDATE-000998;MVDM-FIRST-CANDIDATE-000999;MVDM-FIRST-CANDIDATE-001000;MVDM-FIRST-CANDIDATE-001001;MVDM-FIRST-CANDIDATE-001002;MVDM-FIRST-CANDIDATE-001003;MVDM-FIRST-CANDIDATE-001005"	"1"	"softpc.new/base/dasm386/dasm386.c:765;softpc.new/base/dasm386/dasm386.c:770;softpc.new/base/dasm386/dasm386.c:788;softpc.new/base/dasm386/dasm386.c:824;softpc.new/base/dasm386/dasm386.c:826;softpc.new/base/dasm386/dasm386.c:849;softpc.new/base/dasm386/dasm386.c:872;softpc.new/base/dasm386/dasm386.c:1237"	"requires-first-degree-source-audit"	"not-host-runtime-source-only"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
"MVDM-FIRST-INTERFACE-000086"	"call_ica_hw_interrupt"	"4"	"MVDM-FIRST-CANDIDATE-002108;MVDM-FIRST-CANDIDATE-002109;MVDM-FIRST-CANDIDATE-002111;MVDM-FIRST-CANDIDATE-002544"	"4"	"vdmredir/vrinit.c:325;vdmredir/vrinit.c:388;vdmredir/vrinit.c:744;wow32/wkman.c:2943"	"requires-first-degree-source-audit"	"not-yet-classified-by-preceding-external-audit"	"Direct external interface spelling only; T298 does not inspect its definition or select an adapter."
