"work_item_id"	"source_path"	"source_owner"	"final_disposition"	"implementation_group"	"final_owner_or_link_boundary"	"named_adapter"	"mapping_implication"	"final_evidence"	"admission_state"
"T280-MVDM-FILE-0044"	"dos/dem/demgset.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0045"	"dos/dem/demhndl.c"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0046"	"dos/dem/demioctl.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0047"	"dos/dem/demlabel.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0048"	"dos/dem/demlock.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0049"	"dos/dem/demmisc.c"	"original DEM provider package"	"adapter-backed"	"03-dem-device-state"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0050"	"dos/dem/demmsg.c"	"original DEM provider package"	"adapter-backed"	"03-dem-dispatch-data"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0051"	"dos/dem/demmsg.h"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0052"	"dos/dem/demsrch.c"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"opennt-mvdm-host original DEM provider -> adapter-bop -> adapter-softpc -> adapter-bochs; host capability through adapter-win32 and session"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; session; adapter-redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0053"	"dos/dem/dosdef.h"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-bop; adapter-softpc; adapter-win32; session; adapter-redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0054"	"dos/dem/makefile"	"original DEM provider package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S13 DOS package baseline: original build/test metadata only"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-0055"	"dos/dem/sources"	"original DEM provider package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S13 DOS package baseline: original build/test metadata only"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1222"	"softpc.new/host/src/config.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1223"	"softpc.new/host/src/copy_fnc.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1224"	"softpc.new/host/src/cpucstbs.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1225"	"softpc.new/host/src/fprt.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1226"	"softpc.new/host/src/makefile"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original standalone SoftPC/NTVDM product build, resource or launch metadata; app owns the final product composition"	"none"	"no runtime mapping implication"	"T276 S12 original SoftPC host/app build-control evidence; no final host link input"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1227"	"softpc.new/host/src/makefile.inc"	"original SoftPC host-control package"	"binding-only"	"00-declaration-carrier"	"original SoftPC declaration surface retained for same-shaped adapter-softpc or adapter-bochs binding; never a direct MVDM-to-Bochs object dependency"	"adapter-softpc; adapter-bochs where a machine facade is reached"	"pointer-shaped MVDM fields bind only through the session mapping-manager rules; declaration inclusion alone does not establish an identity mapping"	"T276 S12 SoftPC original-subpackage and facade-interface baselines: declaration carrier, not a parallel machine executor"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1228"	"softpc.new/host/src/nt_aorc.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1229"	"softpc.new/host/src/nt_bop.c"	"original SoftPC host-control package"	"adapter-backed"	"01-bop-ingress-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1230"	"softpc.new/host/src/nt_cga.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1231"	"softpc.new/host/src/nt_com.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1232"	"softpc.new/host/src/nt_cprgs.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1233"	"softpc.new/host/src/nt_cpu.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1234"	"softpc.new/host/src/nt_det.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1235"	"softpc.new/host/src/nt_ega.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1236"	"softpc.new/host/src/nt_emm.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1237"	"softpc.new/host/src/nt_eoi.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1238"	"softpc.new/host/src/nt_error.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1239"	"softpc.new/host/src/nt_ertbl.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1240"	"softpc.new/host/src/nt_event.c"	"original SoftPC host-control package"	"adapter-backed"	"04-session-event-stop"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1241"	"softpc.new/host/src/nt_fdisk.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1242"	"softpc.new/host/src/nt_fulsc.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1243"	"softpc.new/host/src/nt_graph.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1244"	"softpc.new/host/src/nt_hfx.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1245"	"softpc.new/host/src/nt_hosts.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1246"	"softpc.new/host/src/nt_hunt.c"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1247"	"softpc.new/host/src/nt_input.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1248"	"softpc.new/host/src/nt_inthk.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1249"	"softpc.new/host/src/nt_keycd.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1250"	"softpc.new/host/src/nt_lpt.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original host endpoint/control provider -> adapter-win32 or adapter-wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-win32; adapter-wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1251"	"softpc.new/host/src/nt_mem.c"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-vdm-monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"S1-inherited-disposition; implementation-not-enabled"
"T280-MVDM-FILE-1252"	"softpc.new/host/src/nt_mess.c"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"opennt-mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-bop; adapter-softpc; adapter-bochs; adapter-win32; adapter-vdm-monitor; adapter-vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"S1-inherited-disposition; implementation-not-enabled"
