"candidate_id"	"callee_spelling"	"preliminary_category"	"disposition"
"MVDM-FIRST-REBASELINED-000108"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000109"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000110"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000111"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000112"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000113"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000114"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000115"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000116"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000117"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000118"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000119"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000120"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000121"	"_strupr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000122"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000123"	"strcat"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000124"	"OpenFile"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000125"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000126"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000127"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000128"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000129"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000130"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000131"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000132"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000133"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000134"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000135"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000136"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000137"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000138"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000139"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000140"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000141"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000142"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000143"	"_llseek"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000144"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000145"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000146"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000147"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000148"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000149"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000150"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000151"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000152"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000153"	"_lread"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000154"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000155"	"_stricmp"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000156"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000157"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000158"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000159"	"_strupr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000160"	"strstr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000161"	"_lclose"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000162"	"GetExceptionCode"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000163"	"ReadProcessMemory"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000164"	"WriteProcessMemory"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000189"	"NtGetContextThread"	"native-nt-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000190"	"NtQueryInformationThread"	"native-nt-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000191"	"strchr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000192"	"strchr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000193"	"strchr"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000194"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000195"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000196"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000198"	"strcpy"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000200"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000201"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000202"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000203"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000204"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000205"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000206"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000207"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000208"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000209"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000210"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000211"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000212"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000213"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000214"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000215"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000216"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000217"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000218"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000219"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000220"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000221"	"ExtraNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000222"	"ExtraNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000223"	"ExtraNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000224"	"ExtraNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000225"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000226"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000227"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000228"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000229"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000230"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000231"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000232"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000233"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000234"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000235"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000236"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000237"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000238"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000239"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000240"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000241"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000242"	"AppendNumber"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000243"	"AppendChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000244"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000245"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000246"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
"MVDM-FIRST-REBASELINED-000247"	"ExtraChar"	"crt-or-unprototyped-interface"	"preliminary only; T301 final resolution requires source/ABI evidence and must not select a runtime provider"
