"call_id"	"caller_file_id"	"caller_path"	"caller_package"	"source_line"	"lexical_callee"	"original_correlation"	"declaration_candidate_ids"	"file_provisional_disposition"	"call_accounting_state"	"evidence"
"MVDM-CALL-006158"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1087"	"GetComputerNameW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1087"
"MVDM-CALL-006159"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1088"	"RtlFreeHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1088"
"MVDM-CALL-006160"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1088"	"RtlProcessHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1088"
"MVDM-CALL-006161"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1096"	"RtlInitUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1096"
"MVDM-CALL-006162"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1097"	"RtlUnicodeStringToOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1097"
"MVDM-CALL-006163"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1100"	"RtlFreeHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1100"
"MVDM-CALL-006164"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1100"	"RtlProcessHeap"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1100"
"MVDM-CALL-006165"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1108"	"RemoveFontResourceOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1108"
"MVDM-CALL-006166"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1125"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1125"
"MVDM-CALL-006167"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1126"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1126"
"MVDM-CALL-006168"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1127"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1127"
"MVDM-CALL-006169"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1128"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1128"
"MVDM-CALL-006170"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1130"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1130"
"MVDM-CALL-006171"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1133"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1133"
"MVDM-CALL-006172"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"1137"	"RemoveFontResourceW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:1137"
"MVDM-CALL-005961"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"124"	"CreateFileW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:124"
"MVDM-CALL-005962"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"141"	"SetFileAttributesOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:141"
"MVDM-CALL-005963"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"159"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:159"
"MVDM-CALL-005964"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"160"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:160"
"MVDM-CALL-005965"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"161"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:161"
"MVDM-CALL-005966"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"162"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:162"
"MVDM-CALL-005967"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"164"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:164"
"MVDM-CALL-005968"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"167"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:167"
"MVDM-CALL-005948"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"17"	"CheckForSameCurdir"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:17"
"MVDM-CALL-005969"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"171"	"SetFileAttributesW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:171"
"MVDM-CALL-005970"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"182"	"GetFileAttributesOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:182"
"MVDM-CALL-005971"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"200"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:200"
"MVDM-CALL-005972"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"201"	"RtlInitAnsiString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:201"
"MVDM-CALL-005973"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"202"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:202"
"MVDM-CALL-005974"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"203"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:203"
"MVDM-CALL-005975"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"205"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:205"
"MVDM-CALL-005976"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"208"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:208"
"MVDM-CALL-005977"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"212"	"GetFileAttributesW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:212"
"MVDM-CALL-005978"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"219"	"DeleteFileOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:219"
"MVDM-CALL-005979"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"236"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:236"
"MVDM-CALL-005980"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"237"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:237"
"MVDM-CALL-005981"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"238"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:238"
"MVDM-CALL-005982"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"239"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:239"
"MVDM-CALL-005983"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"241"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:241"
"MVDM-CALL-005984"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"244"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:244"
"MVDM-CALL-005985"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"248"	"DeleteFileW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:248"
"MVDM-CALL-005986"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"256"	"MoveFileOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:256"
"MVDM-CALL-005949"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"26"	"NtCurrentPeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:26"
"MVDM-CALL-005987"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"277"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:277"
"MVDM-CALL-005988"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"278"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:278"
"MVDM-CALL-005989"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"279"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:279"
"MVDM-CALL-005990"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"280"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:280"
"MVDM-CALL-005991"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"282"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:282"
"MVDM-CALL-005992"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"285"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:285"
"MVDM-CALL-005993"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"290"	"ARGUMENT_PRESENT"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:290"
"MVDM-CALL-005994"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"291"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:291"
"MVDM-CALL-005995"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"292"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:292"
"MVDM-CALL-005996"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"293"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:293"
"MVDM-CALL-005997"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"294"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:294"
"MVDM-CALL-005998"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"302"	"MoveFileExW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:302"
"MVDM-CALL-005999"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"307"	"RtlFreeUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:307"
"MVDM-CALL-006000"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"316"	"MoveFileExOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:316"
"MVDM-CALL-006001"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"338"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:338"
"MVDM-CALL-006002"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"339"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:339"
"MVDM-CALL-006003"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"340"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:340"
"MVDM-CALL-006004"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"341"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:341"
"MVDM-CALL-006005"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"343"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:343"
"MVDM-CALL-006006"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"346"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:346"
"MVDM-CALL-006007"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"351"	"ARGUMENT_PRESENT"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:351"
"MVDM-CALL-006008"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"352"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:352"
"MVDM-CALL-006009"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"353"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:353"
"MVDM-CALL-006010"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"354"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:354"
"MVDM-CALL-006011"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"355"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:355"
"MVDM-CALL-006012"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"363"	"MoveFileExW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:363"
"MVDM-CALL-006013"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"368"	"RtlFreeUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:368"
"MVDM-CALL-006014"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"377"	"FindFirstFileOem"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:377"
"MVDM-CALL-005950"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"39"	"RtlAcquirePebLock"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:39"
"MVDM-CALL-006015"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"398"	"NtCurrentTeb"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:398"
"MVDM-CALL-006016"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"399"	"InitOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:399"
"MVDM-CALL-006017"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"400"	"RtlOemStringToUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:400"
"MVDM-CALL-006018"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"401"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:401"
"MVDM-CALL-006019"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"403"	"SetLastError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:403"
"MVDM-CALL-006020"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"406"	"BaseSetLastNTError"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:406"
"MVDM-CALL-006021"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"410"	"FindFirstFileW"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:410"
"MVDM-CALL-006022"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"414"	"RtlMoveMemory"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:414"
"MVDM-CALL-006023"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"419"	"RtlInitUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:419"
"MVDM-CALL-006024"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"422"	"RtlUnicodeStringToOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:422"
"MVDM-CALL-006025"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"423"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:423"
"MVDM-CALL-006026"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"424"	"RtlInitUnicodeString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:424"
"MVDM-CALL-006027"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"427"	"RtlUnicodeStringToOemString"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:427"
"MVDM-CALL-006028"	"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"429"	"NT_SUCCESS"	"no-selected-extern-candidate"	""	"runtime-support-candidate"	"accounted-lexically; ABI/provider form remains governed by source-unit family disposition or later package review"	"oemuni/file.c:429"
