"file_id"	"target_path"	"package_root"	"final_component_owner"	"file_kind"	"original_build_membership"	"provisional_composition_disposition"	"source_role_and_reason"	"original_evidence"	"interface_state"	"final_state"
"MVDM-FILE-0195"	"inc/dbginfo.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0196"	"inc/dbgsvc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0197"	"inc/DBGSVC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0198"	"inc/demexp.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0199"	"inc/dossvc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0200"	"inc/DOSSVC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0201"	"inc/doswow.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0202"	"inc/DOSWOW.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0203"	"inc/dpmi.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0204"	"inc/DPMI.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0205"	"inc/enumapis.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0206"	"inc/ENUMAPIS.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0207"	"inc/exterr.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0208"	"inc/intapi.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0209"	"inc/intmac.inc"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0210"	"inc/makefile"	"inc"	"opennt-mvdm-support"	"resource-or-other"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0211"	"inc/memapi.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0212"	"inc/monregs.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0213"	"inc/mvdm.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0214"	"inc/MVDM.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0215"	"inc/netb.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0216"	"inc/oemuni.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0217"	"inc/rdrexp.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0218"	"inc/rdrsvc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0219"	"inc/RDRSVC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0220"	"inc/sharewow.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0221"	"inc/softpc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0222"	"inc/SOFTPC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0223"	"inc/suballoc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0224"	"inc/tdb16.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0225"	"inc/TDB16.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0226"	"inc/v86def.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0227"	"inc/vdmredir.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0228"	"inc/vdmtb.inc"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0229"	"inc/vdmtib.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0230"	"inc/VDMTIB.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0231"	"inc/VDMTIB.INC.old"	"inc"	"opennt-mvdm-support"	"resource-or-other"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0232"	"inc/vint.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0233"	"inc/VINT.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0234"	"inc/vrdefld.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0235"	"inc/VRDEFLD.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0236"	"inc/vrdlctab.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0237"	"inc/VRDLCTAB.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0238"	"inc/vrinit.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0239"	"inc/vrmisc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0240"	"inc/vrmslot.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0241"	"inc/vrnetapi.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0242"	"inc/vrnmpipe.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0243"	"inc/vrremote.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0244"	"inc/wow.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0245"	"inc/WOW.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0246"	"inc/wowclip.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0247"	"inc/wowcmdlg.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0248"	"inc/WOWCMDLG.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0249"	"inc/wowcmpat.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0250"	"inc/WOWCMPAT.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0251"	"inc/wowcomm.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0252"	"inc/wowddeml.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0253"	"inc/wowexp.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0254"	"inc/wowfax.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0255"	"inc/wowgdi.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0256"	"inc/WOWGDI.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0257"	"inc/wowinfo.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0258"	"inc/wowint.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0259"	"inc/wowkbd.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0260"	"inc/WOWKBD.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0261"	"inc/wowkrn.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0262"	"inc/WOWKRN.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0263"	"inc/wowmmcb.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0264"	"inc/WOWMMCB.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0265"	"inc/wowmmed.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0266"	"inc/WOWMMED.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0267"	"inc/WOWNT32.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0268"	"inc/wowshell.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0269"	"inc/WOWSHELL.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0270"	"inc/wowsnd.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0271"	"inc/WOWSND.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0272"	"inc/wowth.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0273"	"inc/WOWTH.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0274"	"inc/wowusr.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0275"	"inc/WOWUSR.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0276"	"inc/wowwsock.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0277"	"inc/WOWWSOCK.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0278"	"inc/x86def.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0279"	"inc/xmsexp.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0280"	"inc/xmssvc.h"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0281"	"inc/XMSSVC.INC"	"inc"	"opennt-mvdm-support"	"declaration"	"not-a-translation-unit"	"declaration-carrier"	"shared declaration/resource carrier; no standalone runtime object"	"S3 lexical declaration evidence"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0282"	"makefil0"	"makefil0"	"opennt-mvdm-support"	"build-control"	"not-a-translation-unit"	"build-control-carrier"	"original build-control input; no runtime translation unit"	"original build description only"	"no executable source interface disposition in S11"	"provisional-not-enabled"
"MVDM-FILE-0283"	"oemuni/file.c"	"oemuni"	"opennt-mvdm-support"	"source"	"observed-in-literal-sources"	"runtime-support-candidate"	"original oemuni library source; public Win32 plus NT RTL binding review required"	"oemuni/sources: SOURCES=file.c process.c"	"see source-unit family ledger and call-accounting ledger"	"provisional-not-enabled"
"MVDM-FILE-0284"	"oemuni/makefile"	"oemuni"	"opennt-mvdm-support"	"resource-or-other"	"not-a-translation-unit"	"runtime-support-input"	"supporting input for original oemuni library or test"	"oemuni/sources"	"no executable source interface disposition in S11"	"provisional-not-enabled"
