raw_candidate_id	callee_spelling	canonical_resolution	canonical_group_keys	canonical_raw_definition_ids	boundary
"MVDM-FIRST-CANDIDATE-000023"	"SetEndOfFile"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000024"	"GetEnvironmentStringsW"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000025"	"RtlCreateEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000026"	"wcschr"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000027"	"RtlSetEnvironmentVariable"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000028"	"RtlDestroyEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000029"	"_wcsnicmp"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000030"	"RtlSetEnvironmentVariable"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000031"	"RtlDestroyEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000032"	"RtlInitString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000033"	"RtlOemStringToUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000034"	"RtlDestroyEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000035"	"wcschr"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000036"	"RtlSetEnvironmentVariable"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000037"	"RtlFreeUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000038"	"RtlDestroyEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000039"	"RtlUnicodeStringToAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000040"	"RtlDestroyEnvironment"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000041"	"GetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000042"	"RtlInitString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000043"	"RtlOemStringToUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000044"	"RtlUnicodeStringToAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000045"	"RtlNtStatusToDosError"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000046"	"RtlFreeUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000047"	"RtlFreeAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000048"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000049"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000050"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000051"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000052"	"RtlInitString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000053"	"RtlOemStringToUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000054"	"RtlUnicodeStringToAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000055"	"RtlFreeUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000056"	"RtlNtStatusToDosError"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000057"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000058"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000059"	"SetStdHandle"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000060"	"ResumeThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000061"	"GetExitCodeProcess"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000062"	"RtlFreeAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000063"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000064"	"ExitThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000065"	"CreateThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000066"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000067"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000068"	"GetConsoleCP"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000069"	"GetConsoleTitleA"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000070"	"SetConsoleTitleA"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000071"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000072"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000073"	"GetNextVDMCommand"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000074"	"GetDriveTypeOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000075"	"SetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000076"	"GetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000077"	"SetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000078"	"GetDriveTypeOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000079"	"SetVDMCurrentDirectories"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000080"	"GetFullPathNameOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000081"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000082"	"GetShortPathNameOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000083"	"SetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000084"	"SetCurrentDirectoryOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000085"	"SearchPathOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000086"	"SearchPathOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000087"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000088"	"GetShortPathNameOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000089"	"SetEvent"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000090"	"SetEvent"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000091"	"GetFileType"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000092"	"GetFileType"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000093"	"GetFileType"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000094"	"CreateThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000095"	"ExitThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000096"	"CreateThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000097"	"SetEvent"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000098"	"ExitThread"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000099"	"SetErrorMode"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000100"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000101"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000102"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000103"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000104"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000105"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000106"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000107"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000108"	"CreateDirectoryOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000109"	"RemoveDirectoryOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000110"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000111"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000112"	"SetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000113"	"SetCurrentDirectoryOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000114"	"SetEnvironmentVariableOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000115"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000116"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000117"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000118"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000119"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000120"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000121"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000122"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000123"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000124"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000125"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000126"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000127"	"NtQueryVolumeInformationFile"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000128"	"NtQueryObject"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000129"	"RtlUnicodeStringToAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000130"	"RtlFreeAnsiString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000131"	"RtlAppendUnicodeToString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000132"	"NtOpenSymbolicLinkObject"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000133"	"NtQuerySymbolicLinkObject"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000134"	"NtClose"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000135"	"RtlAppendUnicodeToString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000136"	"RtlEqualUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000137"	"FindFirstFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000138"	"SetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000139"	"DeleteFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000140"	"FindNextFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000141"	"FindClose"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000142"	"FindFirstFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000143"	"FindClose"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000144"	"MoveFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000145"	"FindClose"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000146"	"FindNextFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000147"	"FindClose"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000148"	"GetLocalTime"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000149"	"GetFileSize"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000150"	"CreateFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000151"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000152"	"CreateFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000153"	"GetFileTime"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000154"	"FileTimeToLocalFileTime"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000155"	"GetFileSize"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000156"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000157"	"CreateFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000158"	"GetFileSize"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000159"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000160"	"DeleteFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000161"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000162"	"GetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000163"	"SetFileAttributesOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000164"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000165"	"MoveFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000166"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000167"	"CreateFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000168"	"RemoveFontResourceOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000169"	"RemoveFontResourceOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000170"	"GetFileSize"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000171"	"GetVolumeInformationOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000172"	"OutputDebugStringOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000173"	"CreateFileOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000174"	"SetCurrentDirectoryOem"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000175"	"RtlOemStringToUnicodeString"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
"MVDM-FIRST-CANDIDATE-000176"	"RtlDosPathNameToNtPathName_U"	"remains-first-degree-external-interface"	""	""	"No canonical zero-degree function name matches this direct callee spelling."
