"node_id"	"bfs_depth"	"parent_node_id"	"original_package_root"	"edge_kind"	"selected_mvdm_evidence"	"external_evidence"	"discovery_disposition"	"next_bfs_action"	"terminal_reason"
"OPENNT-BFS-0017"	"2"	"OPENNT-BFS-0016"	"ds/netapi/svcdlls + dosprint"	"transitive-build"	"xactsrv/sources links dosprint.lib and server service packages"	"ds/netapi/{svcdlls,dosprint}; xactsrv/sources"	"transitive service candidate"	"enumerate only XactSrv-reached service slices; distinguish public NetAPI leaves from server product shell"	""
"OPENNT-BFS-0018"	"1"	"OPENNT-BFS-ROOT"	"public/internal/base/inc + base/win32/inc"	"declaration"	"MVDM command, monitor and VDM source includes"	"{vdmapi.h,vdm.h,basevdm.h,basemsg.h,conroute.h,smbgtpt.h}"	"declaration carrier candidate"	"classify each header as exact platform ABI, package-local declaration or source edge parent"	""
"OPENNT-BFS-0019"	"1"	"OPENNT-BFS-ROOT"	"public/internal/windows/inc"	"declaration"	"softpc console and WOW source includes"	"{conapi.h,wowuserp.h,wowgdip.h,wingdip.h,winuserp.h}"	"declaration carrier candidate"	"classify each declaration by public modern equivalent, private client package or hard boundary"	""
"OPENNT-BFS-0020"	"1"	"OPENNT-BFS-ROOT"	"public/internal/ds/inc"	"declaration"	"vdmredir source includes"	"{netlibnt.h,remtypes.h,rxp.h,rxuser.h,apinums.h}"	"declaration carrier candidate"	"classify exact declaration use and parent NetAPI package"	""
"OPENNT-BFS-0021"	"1"	"OPENNT-BFS-ROOT"	"public/ddk/inc"	"declaration"	"SoftPC device and Redirector source includes"	"{ntddvdeo.h,ntdddlc.h,ntdddisk.h,ntddser.h,ntddkbd.h,ntddcdrm.h}"	"kernel-device contract candidate"	"enumerate each reached IOCTL/device contract to adapter-bochs, public API or kernel-only leaf"	""
"OPENNT-BFS-0022"	"1"	"OPENNT-BFS-ROOT"	"public/sdk/inc + SDK import families"	"declaration/build-link"	"MVDM sources and sources files: kernel32, advapi32, netapi32, rpcrt4, shell32, comdlg32, winmm, winspool, version, winsock"	"public/sdk/inc; public/sdk/lib/x86"	"modern-public-API candidate set"	"classify every reached API as direct modern binding, unavailable compatibility facade or parent original source package"	""
"OPENNT-BFS-0023"	"1"	"OPENNT-BFS-ROOT"	"com/ole32/olethunk + com/oleaut32"	"source-include/thunk"	"wow32/{wole2.c,wcall16.c,wcall32.c,walias.c}; OLE-related declarations and thunk flow"	"com/ole32/olethunk; com/oleaut32; public SDK OLE declarations"	"candidate OLE/WOW thunk package"	"enumerate exact MVDM OLE entrypoints, distinguish public COM/OLE leaves from historical OLE thunk product code and its user/CSR dependencies"	""
"OPENNT-BFS-0024"	"1"	"OPENNT-BFS-ROOT"	"net/sockets/winsock2 + Winsock client surface"	"source-include"	"wow32/{winsockp.h,wsdata.c,wsext.c,wsraw.c}; Winsock thunk table"	"net/sockets/winsock2; public SDK Winsock declarations"	"candidate Winsock/WOW thunk package"	"enumerate exact Winsock thunk exports and determine public Winsock binding versus private provider/product dependency"	""
"OPENNT-BFS-0025"	"1"	"OPENNT-BFS-ROOT"	"printscan/print/spooler"	"source-include/build-link"	"fax/wowfaxui/{wowfaxui.c,wfhelper.c,wfsheets.c,wfspool.h}; wow32/{wspool.c,wow32fax.c}"	"printscan/print/spooler; public/internal/printscan; winspool.lib"	"candidate print-spooler package"	"enumerate reached spooler/UI contracts and distinguish public Winspool binding from spooler product/server paths"	""
"OPENNT-BFS-0026"	"1"	"OPENNT-BFS-ROOT"	"shell/shell32"	"source-include/build-link"	"wow32/{wshell.c,wowshell.h}; fax/wowfaxui/sources:shell32.lib"	"shell/shell32; public/internal/shell; public SDK Shell declarations"	"candidate Shell/WOW helper package"	"enumerate exact shell helpers and stop at public Shell APIs or named private server/client boundary"	""
"OPENNT-BFS-0027"	"1"	"OPENNT-BFS-ROOT"	"base/ntos/rtl + NTDLL RTL contracts"	"source-include"	"all MVDM packages include nt.h/ntrtl.h/nturtl.h; native RTL calls and structures"	"base/ntos/rtl; public/sdk/inc/{nt.h,ntrtl.h,nturtl.h}"	"candidate RTL contract/source-fragment boundary"	"enumerate reached RTL helpers; classify public/native direct route, small source-derived fragment or kernel-only stop"	""
