ledger0_identity	mvdm_host_subtree	zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason	softpc_file_disposition	ledger1_disposition	replacement_owner	final_disposition_evidence
"MVDM-HOST-ZERO-000433"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/reset.c|46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b|386"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"386"	"announce_variant"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/reset.c:509:reset@981"	"body-parsed"	"conditional-directives-recorded"	"#if defined(CPU_30_STYLE) && !defined(CPU_40_STYLE) | #endif /* CPU_30_STYLE && ! CPU_40_STYLE*/ | #ifdef CPU_40_STYLE | #endif /* CPU_40_STYLE */ | #ifdef CCPU | #endif /* CCPU */ | #ifdef A2CPU | #endif /* A2CPU */ | #ifdef A3CPU | #endif /* A3CPU */ | #ifdef GISP_CPU | #endif /* GISP_CPU */ | #if (defined(SPC386) && !defined(SPC486)) | #endif /* SPC386 && !SPC486 */ | #ifdef SPC486 | #endif /* SPC486 */ | #ifdef PIG | #endif /* PIG */ | #ifdef A_VID | #endif /* A_VID */ | #ifdef C_VID | #endif /* C_VID */ | #ifdef MSWDVR | #endif /* MSWDVR */ | #ifdef BACK_M | #endif /* BACK_M */ | #ifdef GISP_SVGA | #endif /* GISP_SVGA */ | #ifdef DPMI | #endif /* DPMI */ | #ifdef IRET_HOOKS | #endif /* IRET_HOOKS */ | #ifdef SECURE | #endif | #ifdef SYNCH_TIMERS | #endif"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000434"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/reset.c|46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b|509"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"509"	"reset"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/debug/yoda.c:8087:cga_test@8109"	"body-parsed"	"conditional-directives-recorded"	"#ifndef	NTVDM | #ifdef LIM | #endif /* LIM */ | #endif /* NTVDM */ | #ifdef PM | #ifdef NTVDM | #endif | #ifndef CPU_30_STYLE | #endif /* CPU_30_STYLE */ | #ifdef	NPX | #endif	/* NPX */ | #ifndef CPU_30_STYLE | #endif /* CPU_30_STYLE */ | #ifdef DPMI | #endif /* DPMI */ | #endif /* PM */ | #ifndef NTVDM | #ifdef HFX | #endif | #ifdef NTVDM | #endif /* NTVDM */ | #endif /* NTVDM */ | #ifdef NOVELL | #endif | #ifndef HostProcessClipData | #ifdef MSWDVR | #endif | #endif | #if !defined(NTVDM) || (defined(NTVDM) && !defined(X86GFX)) | #endif /* !defined(NTVDM) || (defined(NTVDM) && !defined(X86GFX)) */ | #ifndef NTVDM | #endif /* NTVDM */ | #ifdef IPC | #endif /* IPC */ | #ifdef PRINTER | #else /* PRINTER */ | #endif /* PRINTER */ | #ifdef NTVDM | #else | #endif /* NTVDM */ | #ifdef GISP_SVGA | #endif          /* GISP_SVGA */ | #ifdef PIG | #endif | #ifdef SWIN_SNDBLST_NULL | #endif /* SWIN_SNDBLST_NULL */ | #ifndef NTVDM	/* No signon for NTVDM - transparent integration */ | #ifdef LICENSING | #endif /* LICENSING */ | #ifndef PROD | #endif /* PROD */ | #endif	/* NTVDM */ | #if defined (GEN_DRVR) || defined (CDROM) | #endif /* GEN_DRVR || CDROM */ | #ifdef NPX | #endif | #ifdef PRINTER | #endif /* PRINTER */ | #if	defined(DELTA) && defined(A2CPU) | #endif /* DELTA && A2CPU */ | #ifdef SOFTWIN_API | #endif | #ifdef HUNTER | #endif | #ifdef LIM | #if !defined(SUN_VA) && !defined(NTVDM) | #ifdef GISP_SVGA | #endif /*GISP_SVGA */ | #ifdef GISP_SVGA | #endif /*GISP_SVGA */ | #endif /* !SUN_VA & !NTVDM */ | #endif /* LIM */ | #ifdef NTVDM | #endif | #ifndef	NTVDM | #endif | #ifdef	NTVDM | #endif | #ifdef HFX | #endif"	"structurally-valid-conditional-context-recorded"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000435"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|452"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"452"	"deallocate_all_NIDDB"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/virtual.c:672:NIDDB_System_Reboot@675"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000436"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|491"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"491"	"delete_NIDDB"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/virtual.c:452:deallocate_all_NIDDB@462"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000437"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|544"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"544"	"restore_snapshot"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/virtual.c:672:NIDDB_System_Reboot@676"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000438"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|559"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"559"	"swap_NIDDB"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/virtual.c:491:delete_NIDDB@500"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000439"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|582"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"582"	"NIDDB_Allocate_Instance_Data"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/keymouse/mouse_io.c:799:mouse_driver_initialisation@804"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000440"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|630"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"630"	"NIDDB_Deallocate_Instance_Data"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/keymouse/mouse_io.c:948:mouse_driver_termination@951"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000441"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/bios/virtual.c|346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40|672"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/virtual.c"	"346e2186fe608c318a25796c7d6a35bbc8de6f21c255b212c2ddfc2bc3c89f40"	"672"	"NIDDB_System_Reboot"	"externally-linkable"	"historic-MVDM-continuity-edge:softpc.new/base/bios/reset.c:509:reset@740"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"firmware-only"	"exclude-firmware-input"	"mvdm-softpc-firmware -> adapter-bochs immutable-input manifest"	"T276 S12 SoftPC baseline: BIOS/ROM/data paths are firmware-input questions only, never a second machine executor"
"MVDM-HOST-ZERO-000442"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/aaa.c|43583535e19a181d7a4c665c5fba5c00109eb1079b65d462f2b8a3d92ce2c052|37"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/aaa.c"	"43583535e19a181d7a4c665c5fba5c00109eb1079b65d462f2b8a3d92ce2c052"	"37"	"AAA"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef SET_UNDEFINED_FLAG | #endif"	"structurally-valid-conditional-context-recorded"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000443"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/aad.c|7f6216d39411838509402cc45a93741ee4e0142c1fc36a0dc7682f126c447cde|35"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/aad.c"	"7f6216d39411838509402cc45a93741ee4e0142c1fc36a0dc7682f126c447cde"	"35"	"AAD"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef SET_UNDEFINED_FLAG | #endif"	"structurally-valid-conditional-context-recorded"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000444"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/aam.c|fda0622e61bc039dad01cf0594389af7e9ffdc678719b107f90a5e1607d893ee|36"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/aam.c"	"fda0622e61bc039dad01cf0594389af7e9ffdc678719b107f90a5e1607d893ee"	"36"	"AAM"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef SET_UNDEFINED_FLAG | #endif"	"structurally-valid-conditional-context-recorded"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000445"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/aas.c|f58060b5f0732ca174b1124b2622aaafa9d7341774cd71427509f2548ace4672|36"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/aas.c"	"f58060b5f0732ca174b1124b2622aaafa9d7341774cd71427509f2548ace4672"	"36"	"AAS"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef SET_UNDEFINED_FLAG | #endif"	"structurally-valid-conditional-context-recorded"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000446"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/adc.c|f9cb50e05aa3198c03e670556a6b8a849105c9ffbc6ea22dcc41dcfb2875c56b|39"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/adc.c"	"f9cb50e05aa3198c03e670556a6b8a849105c9ffbc6ea22dcc41dcfb2875c56b"	"39"	"ADC"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000447"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/add.c|6bbfc3cacd07b66ef1d5c882a45aa88431404571538ef2134f6b0f081e5c3c11|39"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/add.c"	"6bbfc3cacd07b66ef1d5c882a45aa88431404571538ef2134f6b0f081e5c3c11"	"39"	"ADD"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000448"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/and.c|2973105fbfc70afd2a1f6846e1358c5c781538974e2dde72576286de95d1c489|39"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/and.c"	"2973105fbfc70afd2a1f6846e1358c5c781538974e2dde72576286de95d1c489"	"39"	"AND"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
"MVDM-HOST-ZERO-000449"	"softpc.new/"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/base/ccpu386/arpl.c|676f5413ca79b4d5ff4656a6ca960fdc290445d37ac21358040788db9e113c0a|35"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/ccpu386/arpl.c"	"676f5413ca79b4d5ff4656a6ca960fdc290445d37ac21358040788db9e113c0a"	"35"	"ARPL"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""	"not-host-runtime"	"exclude-bochs-cpu-fpu-executor"	"bochs-core via adapter-bochs; no second CPU/FPU/decode/register executor"	"T276 S12 SoftPC baseline: original CCPU/CPU/device execution is a parallel-machine exclusion replaced by Bochs"
