"symbol"	"candidate_path"	"candidate_line"	"candidate_class"	"source_text"	"evidence_state"
"CMDInit"	"softpc.new/host/src/nt_msscs.c"	"44"	"host-control-provider-candidate"	"extern BOOL CMDInit (int argc,char *argv[]);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"CMDInit"	"softpc.new/host/src/nt_msscs.c"	"67"	"host-control-provider-candidate"	"CMDInit (argc,argv);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"CMDInit"	"v86/scaffold/i386/softpc.c"	"143"	"monitor-or-product-shell-candidate"	"CMDInit (argc,argv);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"cmdPushExitInConsoleBuffer"	"dos/command/cmd.h"	"256"	"MVDM-host-provider-candidate"	"extern VOID     cmdPushExitInConsoleBuffer (VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"cmdPushExitInConsoleBuffer"	"dos/command/cmdmisc.c"	"156"	"MVDM-host-provider-candidate"	"cmdPushExitInConsoleBuffer ();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"cmdPushExitInConsoleBuffer"	"softpc.new/host/src/nt_event.c"	"1879"	"host-control-provider-candidate"	"void cmdPushExitInConsoleBuffer (void)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_int_data"	"softpc.new/base/comms/com.c"	"2745"	"Bochs-replacement-executor-candidate"	"GLOBAL void com_int_data(int adapter,int *controller, int *line)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_int_data"	"softpc.new/host/inc/nt_com.h"	"53"	"other-source-candidate"	"extern void com_int_data(int adapter, int *controller, int *line);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_int_data"	"softpc.new/host/src/nt_com.c"	"384"	"host-control-provider-candidate"	"com_int_data(adapter, &current->controller, &current->line);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_int_data"	"softpc.new/host/src/nt_com.c"	"1303"	"host-control-provider-candidate"	"com_int_data(adapter, &controller, &line);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/base/comms/com.c"	"1692"	"Bochs-replacement-executor-candidate"	"void com_lsr_change(int adapter)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/base/inc/rs232.h"	"402"	"other-source-candidate"	"extern void com_lsr_change(int adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/host/src/nt_com.c"	"817"	"host-control-provider-candidate"	"com_lsr_change(adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/host/src/nt_com.c"	"1517"	"host-control-provider-candidate"	"com_lsr_change(adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/host/src/nt_com.c"	"1905"	"host-control-provider-candidate"	"com_lsr_change(adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/host/src/nt_com.c"	"1970"	"host-control-provider-candidate"	"com_lsr_change(adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"com_lsr_change"	"softpc.new/host/src/nt_com.c"	"2155"	"host-control-provider-candidate"	"com_lsr_change(adapter);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"dbg/dbg.c"	"1361"	"debugger-provider-candidate"	"void DBGDispatch()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"inc/dbgexp.h"	"16"	"declaration-carrier-candidate"	"extern VOID DBGDispatch( void );"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"softpc.new/host/src/nt_bop.c"	"331"	"host-control-provider-candidate"	"IMPORT VOID DBGDispatch(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"softpc.new/host/src/nt_bop.c"	"336"	"host-control-provider-candidate"	"DBGDispatch();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"v86/scaffold/i386/fakebop.c"	"24"	"monitor-or-product-shell-candidate"	"void DBGDispatch( void );"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGDispatch"	"v86/scaffold/i386/fakebop.c"	"155"	"monitor-or-product-shell-candidate"	"DBGDispatch();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGInit"	"dbg/dbg.c"	"138"	"debugger-provider-candidate"	"BOOL DBGInit (int argc, char *argv[])"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGInit"	"inc/dbgexp.h"	"15"	"declaration-carrier-candidate"	"extern BOOL DBGInit( int, char *[] );"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGInit"	"softpc.new/host/src/nt_msscs.c"	"46"	"host-control-provider-candidate"	"extern BOOL DBGInit (int argc,char *argv[]);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGInit"	"softpc.new/host/src/nt_msscs.c"	"85"	"host-control-provider-candidate"	"if(!DBGInit (argc,argv)) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DBGInit"	"v86/scaffold/i386/softpc.c"	"167"	"monitor-or-product-shell-candidate"	"if(!DBGInit (argc,argv)) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DisableEmulatorIretHooks"	"dpmi32/dpmidata.h"	"88"	"DPMI-provider-candidate"	"extern VOID DisableEmulatorIretHooks(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DisableEmulatorIretHooks"	"dpmi32/dpmimscr.c"	"108"	"DPMI-provider-candidate"	"DisableEmulatorIretHooks();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DisableEmulatorIretHooks"	"dpmi32/dpmiselr.c"	"65"	"DPMI-provider-candidate"	"extern VOID DisableEmulatorIretHooks(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DisableEmulatorIretHooks"	"softpc.new/host/src/nt_eoi.c"	"488"	"host-control-provider-candidate"	"VOID DisableEmulatorIretHooks(void)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DispatchPageFault"	"softpc.new/host/inc/nt_vddp.h"	"21"	"other-source-candidate"	"extern VOID DispatchPageFault (ULONG,ULONG);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DispatchPageFault"	"softpc.new/host/src/nt_msscs.c"	"1023"	"host-control-provider-candidate"	"VOID DispatchPageFault ("	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DispatchPageFault"	"v86/monitor/i386/monitor.c"	"743"	"monitor-or-product-shell-candidate"	"DispatchPageFault("	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"DispatchPageFault"	"v86/monitor/i386/monitorp.h"	"158"	"monitor-or-product-shell-candidate"	"VOID DispatchPageFault (ULONG,ULONG);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"enable_stream_io"	"softpc.new/base/video/video.c"	"2832"	"Bochs-replacement-executor-candidate"	"void enable_stream_io(void)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"enable_stream_io"	"softpc.new/host/inc/nt_reset.h"	"14"	"other-source-candidate"	"extern VOID enable_stream_io(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"enable_stream_io"	"softpc.new/host/src/nt_event.c"	"1524"	"host-control-provider-candidate"	"enable_stream_io();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"enable_stream_io"	"softpc.new/host/src/nt_reset.c"	"247"	"host-control-provider-candidate"	"enable_stream_io();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"EnableEmulatorIretHooks"	"dpmi32/dpmidata.h"	"89"	"DPMI-provider-candidate"	"extern VOID EnableEmulatorIretHooks(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"EnableEmulatorIretHooks"	"dpmi32/dpmimscr.c"	"83"	"DPMI-provider-candidate"	"EnableEmulatorIretHooks();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"EnableEmulatorIretHooks"	"dpmi32/dpmiselr.c"	"64"	"DPMI-provider-candidate"	"extern VOID EnableEmulatorIretHooks(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"EnableEmulatorIretHooks"	"softpc.new/host/src/nt_eoi.c"	"478"	"host-control-provider-candidate"	"VOID EnableEmulatorIretHooks(void)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommGetLineControl"	"softpc.new/host/inc/nt_com.h"	"51"	"other-source-candidate"	"extern BOOL FastCommGetLineControl(HANDLE FileHandle, UCHAR *StopBits,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommGetLineControl"	"softpc.new/host/src/nt_com.c"	"1190"	"host-control-provider-candidate"	"if (FastCommGetLineControl(current->handle, &StopBits, &Parity,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommGetLineControl"	"softpc.new/host/src/nt_com.c"	"1223"	"host-control-provider-candidate"	"if (FastCommGetLineControl(current->handle, &StopBits, &Parity, &DataBits))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommGetLineControl"	"softpc.new/host/src/nt_com.c"	"1268"	"host-control-provider-candidate"	"if (FastCommGetLineControl(current->handle, &StopBits, &Parity, &DataBits))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommGetLineControl"	"softpc.new/host/src/nt_ntfun.c"	"546"	"host-control-provider-candidate"	"BOOL FastCommGetLineControl(HANDLE FileHandle, UCHAR *StopBits, UCHAR *Parity,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetBaudRate"	"softpc.new/host/inc/nt_com.h"	"48"	"other-source-candidate"	"extern BOOL FastCommSetBaudRate(HANDLE FileHandle, int BaudRate);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetBaudRate"	"softpc.new/host/src/nt_com.c"	"587"	"host-control-provider-candidate"	"FastCommSetBaudRate(current->handle, current->ComStates.BaudRate);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetBaudRate"	"softpc.new/host/src/nt_com.c"	"1082"	"host-control-provider-candidate"	"if (!FastCommSetBaudRate(current->handle, arg))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetBaudRate"	"softpc.new/host/src/nt_ntfun.c"	"452"	"host-control-provider-candidate"	"BOOL FastCommSetBaudRate(HANDLE FileHandle, int BaudRate)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/inc/nt_com.h"	"49"	"other-source-candidate"	"extern BOOL FastCommSetLineControl(HANDLE FileHandle, UCHAR StopBits,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/src/nt_com.c"	"581"	"host-control-provider-candidate"	"FastCommSetLineControl(current->handle,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/src/nt_com.c"	"1207"	"host-control-provider-candidate"	"if(!FastCommSetLineControl(current->handle, StopBits, Parity, DataBits))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/src/nt_com.c"	"1252"	"host-control-provider-candidate"	"if(!FastCommSetLineControl(current->handle, StopBits, Parity, DataBits))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/src/nt_com.c"	"1271"	"host-control-provider-candidate"	"if(!FastCommSetLineControl(current->handle, StopBits, Parity, DataBits))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"FastCommSetLineControl"	"softpc.new/host/src/nt_ntfun.c"	"491"	"host-control-provider-candidate"	"BOOL FastCommSetLineControl(HANDLE FileHandle, UCHAR StopBits, UCHAR Parity,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"dos/dem/dem.c"	"68"	"MVDM-host-provider-candidate"	"if( getenv( ""YODA"" ) != 0 )"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"dos/dem/dem.c"	"70"	"MVDM-host-provider-candidate"	"if( getenv( ""DEBUGDOS"" ) != 0 )"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/c_main.c"	"676"	"Bochs-replacement-executor-candidate"	"char *env = getenv(""NOTE_486_INSTRUCTION"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/c_main.c"	"4662"	"Bochs-replacement-executor-candidate"	"char *s = getenv(""FLAGS_IGNORE_DEFAULT"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/c_main.c"	"4668"	"Bochs-replacement-executor-candidate"	"s = getenv(""SINGLE_INSTRUCTION_BLIND_SPOT"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/c_main.c"	"4676"	"Bochs-replacement-executor-candidate"	"printf(""*** Ignoring getenv(\""SINGLE_INSTRUCTION_BLIND_SPOT\"") value\n"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/ccpusas4.c"	"372"	"Bochs-replacement-executor-candidate"	"env = getenv(""CPU_INITIALISE_MEMORY"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/ccpusas4.c"	"529"	"Bochs-replacement-executor-candidate"	"char *env = getenv(""BEYOND_MEMORY_VALUE"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/ccpu386/ccpusas4.c"	"1397"	"Bochs-replacement-executor-candidate"	"if (getenv(""biosDoInst"") != NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/cpu/src/evid/ev_glue.c"	"775"	"other-source-candidate"	"if (getenv(""CEVID_VERBOSE"") != 0)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/cvidc/ev_glue.c"	"772"	"Bochs-replacement-executor-candidate"	"if (getenv(""CEVID_VERBOSE"") != 0)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/profile.c"	"44"	"other-source-candidate"	"#include <stdlib.h>	/* provides prototype for getenv() */"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/profile.c"	"3150"	"other-source-candidate"	"if ( (test = getenv(""PROFILE_OUTPUT_FILE"") ) == NULL )"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/profile.c"	"3288"	"other-source-candidate"	"if (getenv(""PROFDOMAX"") != 0)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/yoda.c"	"238"	"other-source-candidate"	"*			&& getenv(""YODA"") != NULL"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/yoda.c"	"2877"	"other-source-candidate"	"if (getenv(""InitialJumpCounter"") == NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/yoda.c"	"2882"	"other-source-candidate"	"if (getenv(""DisableQuickTickRecal"") == NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/debug/yoda.c"	"2887"	"other-source-candidate"	"if (getenv(""DEFAULT_QTIMER_RATE"") == NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/inc/get_env.h"	"12"	"other-source-candidate"	"*	Purpose:	Prototypes for the Soft486 getenv() wrappers"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/inc/standard.h"	"84"	"other-source-candidate"	"extern char *getenv ();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/base/support/get_env.c"	"45"	"other-source-candidate"	"printf(""Bad getenv(\""%s\"") %s value \""%s\"""", name, type_name, value);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/dat2obj/dat2obj.c"	"168"	"other-source-candidate"	"mcstr = getenv(""COFF_MACHINE_ID"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/debugger/vdmdebug.c"	"78"	"other-source-candidate"	"if((pipeName = getenv(""PIPE"")) == NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/debugger/vdmdebug.c"	"100"	"other-source-candidate"	"if((eventName = getenv(""EVENT"")) == NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/fprt.c"	"39"	"host-control-provider-candidate"	"if(pipe == NULL && getenv(""PIPE"") != NULL)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/fprt.c"	"41"	"host-control-provider-candidate"	"pipe = CreateFile(getenv(""PIPE""),GENERIC_READ | GENERIC_WRITE,"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/fprt.c"	"150"	"host-control-provider-candidate"	"if (getenv(""TRACE"") == NULL)        //JonLu request to limit debugs"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/nt_event.c"	"887"	"host-control-provider-candidate"	"if (getenv(""YODA"")) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/nt_mem.c"	"183"	"host-control-provider-candidate"	"if((env = getenv(""CPU_INITIALISE_MEMORY"")) != 0)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/stf_conf.c"	"260"	"host-control-provider-candidate"	"extern char *getenv();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/stf_conf.c"	"541"	"host-control-provider-candidate"	"char *pp, *getenv();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/host/src/stf_conf.c"	"566"	"host-control-provider-candidate"	"char *home, *getenv();"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/obj.vdm/ntvdm.c"	"320"	"other-source-candidate"	"pEnvStr = getenv(""VERBOSE_GETENV"");"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"softpc.new/obj.vdm/ntvdm.c"	"333"	"other-source-candidate"	"char * _CRTAPI1 getenv(const char *Name)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"vdmredir/vrdebug.c"	"458"	"other-source-candidate"	"if (envString = getenv(envVar)) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"vdmredir/vrdebug.c"	"465"	"other-source-candidate"	"if (envString = getenv(envVar)) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getenv"	"vdmredir/vrdll.c"	"103"	"other-source-candidate"	"if (ptr = getenv(""VR"")) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1601"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1666"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1730"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1794"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1858"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/ccpusas4.c"	"1922"	"Bochs-replacement-executor-candidate"	"if(getPE() && !getVM())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/cpu4gen.h"	"1884"	"Bochs-replacement-executor-candidate"	"#define	getPE()	c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/ccpu386/cpu4gen.h"	"1888"	"Bochs-replacement-executor-candidate"	"#define	getPE()	(*(Cpu.GetPE))()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/cvidc/cpu4gen.h"	"1834"	"Bochs-replacement-executor-candidate"	"#define	getPE()	c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/cvidc/cpu4gen.h"	"1838"	"Bochs-replacement-executor-candidate"	"#define	getPE()	(*(Cpu.GetPE))()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/trace.c"	"114"	"other-source-candidate"	"if (getPE() && !getVM()) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/trace.c"	"224"	"other-source-candidate"	"getNT(), getIOPL(), getWP(), getNE(), getET(), getTS(), getEM(), getMP(), getPE(),"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/trace.c"	"235"	"other-source-candidate"	"getNT(), getIOPL(), getTS(), getEM(), getMP(), getPE(),"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/trace.c"	"415"	"other-source-candidate"	"getNT(), getIOPL(), getTS(), getEM(), getMP(), getPE(), getCPL()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/yoda.c"	"550"	"other-source-candidate"	"if (getPE() && (getVM() == 0))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/debug/yoda.c"	"7837"	"other-source-candidate"	"&& getPE() && CsIsBig(check_I_cs))"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/inc/cpu.h"	"370"	"other-source-candidate"	"#define getPE() c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/inc/cpu.h"	"1387"	"other-source-candidate"	"#define getPE()		(MSW.PE)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/inc/cpu2.h"	"455"	"other-source-candidate"	"#define getPE()		(MSW.PE)"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/inc/cpu3.h"	"368"	"other-source-candidate"	"#define getPE() c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/support/xt.c"	"183"	"other-source-candidate"	"if ((!getPE()) || getVM()) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/support/xt.c"	"633"	"other-source-candidate"	"if(getVM() || !getPE()) {"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/system/timer.c"	"1880"	"Bochs-replacement-executor-candidate"	"if (getPE()){"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/base/video/ega_vide.c"	"1132"	"Bochs-replacement-executor-candidate"	"if (!getPE())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/host_cpu.h"	"242"	"other-source-candidate"	"#define getPE()         ((*getPE_func) ())"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/mips/pig/cpu4gen.h"	"1982"	"other-source-candidate"	"#define	getPE()	c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/mips/pig/cpu4gen.h"	"1986"	"other-source-candidate"	"#define	getPE()	(*(Cpu.GetPE))()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/mips/prod/cpu4gen.h"	"1982"	"other-source-candidate"	"#define	getPE()	c_getPE()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/mips/prod/cpu4gen.h"	"1986"	"other-source-candidate"	"#define	getPE()	(*(Cpu.GetPE))()"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
"getPE"	"softpc.new/host/inc/monregs.h"	"107"	"other-source-candidate"	"extern ULONG getPE(VOID);"	"lexical-candidate-only; definition-versus-call-or-declaration-not-inferred"
