"caller_build_path"	"source_line"	"build_text"	"edge_kind"	"stage1_state"	"first_hop_owners"	"first_hop_kind"
"fax/wowfaxui/sources"	"33"	"$(BASEDIR)\public\sdk\lib\*\kernel32.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"fax/wowfaxui/sources"	"34"	"$(BASEDIR)\public\sdk\lib\*\winspool.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"fax/wowfaxui/sources"	"35"	"$(BASEDIR)\public\sdk\lib\*\shell32.lib     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"fax/wowfaxui/sources"	"36"	"$(BASEDIR)\public\sdk\lib\*\advapi32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"fax/wowfaxui/sources"	"42"	"GDIDIR=$(BASEDIR)\private\ntos\w32\ntgdi"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfaxui/sources"	"43"	"PRINTERS=$(BASEDIR)\private\ntos\w32\ntgdi\printers"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"fax/wowfaxui/sources"	"50"	"INCLUDES=..;..\wowfax;..\..\inc;$(GDIDIR)\inc;..\..\..\windows\inc;$(PRINTERS)\lib"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"ieuvddex/sources"	"37"	"TARGETLIBS=\nt\public\sdk\lib\*\kernel32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"ieuvddex/sources"	"39"	"INCLUDES=..\inc;..\..\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"sim16/makefile"	"10"	"PATH    = $(_NTBINDIR)\private\mvdm\tools16;$(PATH)"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"sim32/sources"	"16"	"01/15/90 - kengr - Make includes and libs relative."	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"sim32/sources"	"18"	"04/11/90 - kengr - Add tldebug to includes and libs."	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"sim32/sources"	"36"	"INCLUDES=.\;"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"sim32/sources"	"51"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/ccpu386/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/ccpu386/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/ccpu386/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\Ccpu386;$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(SOFTPC_TREE)\host\genPg\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/comms/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/comms/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/comms/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/cvidc/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/cvidc/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/cvidc/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\base\jcode\hdigest\c;$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;."	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dasm386/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dasm386/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dasm386/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/debug/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/debug/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/debug/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/disks/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/disks/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/disks/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dos/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dos/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/dos/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/support/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/support/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/support/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/system/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/system/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/system/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/unix/sources"	"39"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/unix/sources"	"41"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/unix/sources"	"43"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/video/sources"	"40"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/video/sources"	"42"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/base/video/sources"	"44"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(BASEDIR)\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/convert/sources"	"42"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/convert/sources"	"46"	"LINKLIBS= $(BASEDIR)\public\sdk\lib\*\setargv.obj"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/convert/sources"	"55"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/dat2obj/sources"	"44"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/dat2obj/sources"	"46"	"INCLUDES=$(_NTDRIVE)\nt\private\mvdm\softpc.new\host\inc;$(_NTDRIVE)\nt\private\mvdm\softpc.new\base\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/dat2obj/sources"	"56"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/debugger/sources"	"44"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/debugger/sources"	"54"	"UMLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/host/link/sources"	"37"	"INCLUDES=$(SOFTPC_ROOT)\HOST\INC"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/host/src/sources"	"39"	"TARGETLIBS="	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/host/src/sources"	"41"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/host/src/sources"	"43"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc;$(_NTDRIVE)\nt\private\mvdm\vdd\h;$(_NTDRIVE)\nt\private\mvdm\inc;$(_NTDRIVE)\nt\private\windows\inc;$(_NTDRIVE)\nt\private\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"33"	"SOFTPC_TREE=$(BASEDIR)\private\mvdm\softpc.new"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"35"	"INCLUDES=$(SOFTPC_TREE)\host\inc;$(SOFTPC_TREE)\base\inc"	"include-path"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"41"	"TARGETPATH=$(BASEDIR)\public\sdk\lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"45"	"TARGETLIBS=\"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"46"	"$(BASEDIR)\public\sdk\lib\*\gdi32.lib     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"softpc.new/obj.vdm/sources"	"47"	"$(BASEDIR)\public\sdk\lib\*\user32p.lib   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"windows/core/ntuser/client"	"external-package-candidate"
"softpc.new/obj.vdm/sources"	"48"	"$(BASEDIR)\public\sdk\lib\*\ntdll.lib   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"base/ntdll CSR/native boundary"	"external-package-candidate"
"softpc.new/obj.vdm/sources"	"49"	"$(BASEDIR)\public\sdk\lib\*\advapi32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"softpc.new/obj.vdm/sources"	"51"	"TARGETLIBS=\"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"52"	"$(BASEDIR)\public\sdk\lib\*\binmode.obj  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"53"	"$(BASEDIR)\public\sdk\lib\*\gdi32.lib     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"softpc.new/obj.vdm/sources"	"54"	"$(BASEDIR)\public\sdk\lib\*\user32p.lib   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"windows/core/ntuser/client"	"external-package-candidate"
"softpc.new/obj.vdm/sources"	"55"	"$(BASEDIR)\public\sdk\lib\*\ntdll.lib   \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"base/ntdll CSR/native boundary"	"external-package-candidate"
"softpc.new/obj.vdm/sources"	"56"	"$(BASEDIR)\public\sdk\lib\*\advapi32.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"modern public Win32"	"public-API-leaf"
"softpc.new/obj.vdm/sources"	"66"	"# MIPS and ALPHA need TARGETLIBS set so small.lib (CRTLIBS) will"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"72"	"$(SOFTPC_TREE)\base\support\obj\*\MAIN.obj \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"74"	"$(SOFTPC_TREE)\base\system\obj\*\SYSTEM.LIB    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"75"	"$(SOFTPC_TREE)\base\bios\obj\*\BIOS.LIB    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"76"	"$(SOFTPC_TREE)\base\video\obj\*\VIDEO.LIB  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"77"	"$(SOFTPC_TREE)\base\dos\obj\*\DOS.LIB      \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"78"	"$(SOFTPC_TREE)\base\comms\obj\*\COMMS.LIB  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"79"	"$(SOFTPC_TREE)\base\debug\obj\*\DEBUG.LIB  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"80"	"$(SOFTPC_TREE)\base\support\obj\*\SUPPORT.LIB  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"81"	"$(SOFTPC_TREE)\base\disks\obj\*\DISKS.LIB  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"82"	"$(SOFTPC_TREE)\base\keymouse\obj\*\KEYMOUSE.LIB \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"84"	"$(BASEDIR)\public\sdk\lib\*\monitor.lib        \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"85"	"$(BASEDIR)\public\sdk\lib\*\dem.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"86"	"$(BASEDIR)\public\sdk\lib\*\dbg.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"87"	"$(BASEDIR)\public\sdk\lib\*\command.lib        \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"88"	"$(BASEDIR)\public\sdk\lib\*\dpmi32.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"89"	"$(BASEDIR)\public\sdk\lib\*\xms486.lib \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"90"	"$(BASEDIR)\public\sdk\lib\*\suballoc.lib    \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"91"	"$(BASEDIR)\public\sdk\lib\*\oemuni.lib"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"101"	"$(SOFTPC_TREE)\base\support\obj\*\MAIN.obj  \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	""	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"104"	"$(SOFTPC_TREE)\base\system\obj\*\SYSTEM.LIB \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"105"	"$(SOFTPC_TREE)\base\bios\obj\*\BIOS.LIB       \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"106"	"$(SOFTPC_TREE)\base\video\obj\*\VIDEO.LIB     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"107"	"$(SOFTPC_TREE)\base\dos\obj\*\DOS.LIB          \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"108"	"$(SOFTPC_TREE)\base\comms\obj\*\COMMS.LIB     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
"softpc.new/obj.vdm/sources"	"109"	"$(SOFTPC_TREE)\base\debug\obj\*\DEBUG.LIB     \"	"link-or-build"	"classify package/library carrier and enqueue non-MVDM source package"	"selected MVDM union"	"selected-MVDM-or-CRT"
