"file_id"	"source_path"	"file_kind"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0152"	"fax/wowfax/wowfaxdd.h"	"declaration"	"historical-fax-declaration"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax driver/UI ABI and shared layout evidence."	"declaration recovery prerequisite"	"provisional-not-enabled"	"fax/wowfax/wowfaxdd.h; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0153"	"fax/wowfaxui/makefile"	"resource-or-other"	"historical-fax-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original driver/DLL build, export or resource input."	"build/resource evidence only"	"provisional-not-enabled"	"fax/wowfaxui/makefile; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0154"	"fax/wowfaxui/sources"	"resource-or-other"	"historical-fax-build-or-resource-input"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original driver/DLL build, export or resource input."	"build/resource evidence only"	"provisional-not-enabled"	"fax/wowfaxui/sources; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0155"	"fax/wowfaxui/wfhelper.c"	"source"	"historical-fax-ui-dll-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original printer UI DLL body coordinates WOW fax structures, shared section and spooler/UI calls."	"whole fax UI owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"fax/wowfaxui/wfhelper.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0156"	"fax/wowfaxui/wfsheets.c"	"source"	"historical-fax-ui-dll-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original printer UI DLL body coordinates WOW fax structures, shared section and spooler/UI calls."	"whole fax UI owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"fax/wowfaxui/wfsheets.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0157"	"fax/wowfaxui/wfsheets.h"	"declaration"	"historical-fax-declaration"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax driver/UI ABI and shared layout evidence."	"declaration recovery prerequisite"	"provisional-not-enabled"	"fax/wowfaxui/wfsheets.h; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0158"	"fax/wowfaxui/wfupgrad.c"	"source"	"historical-fax-ui-dll-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original printer UI DLL body coordinates WOW fax structures, shared section and spooler/UI calls."	"whole fax UI owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"fax/wowfaxui/wfupgrad.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0159"	"fax/wowfaxui/wowfaxui.c"	"source"	"historical-fax-ui-dll-provider-body"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original printer UI DLL body coordinates WOW fax structures, shared section and spooler/UI calls."	"whole fax UI owner-package prerequisite; no body enabled"	"provisional-not-enabled"	"fax/wowfaxui/wowfaxui.c; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0160"	"fax/wowfaxui/wowfaxui.def"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/wowfaxui/wowfaxui.def; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0161"	"fax/wowfaxui/wowfaxui.h"	"declaration"	"historical-fax-declaration"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax driver/UI ABI and shared layout evidence."	"declaration recovery prerequisite"	"provisional-not-enabled"	"fax/wowfaxui/wowfaxui.h; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
"MVDM-FILE-0162"	"fax/wowfaxui/wowfaxui.rc"	"resource-or-other"	"historical-fax-product-resource"	"opennt-mvdm-host"	"adapter-wow; adapter-win32; session; broker"	"Original fax product installation/help/PPD resource."	"product resource evidence only"	"provisional-not-enabled"	"fax/wowfaxui/wowfaxui.rc; fax/wowfax/sources or fax/wowfaxui/sources where applicable"
