consumer_path	consumer_class	refs_root_or_path	current_reachability	owned_destination_or_disposition	packet
tools/probe/Invoke-T198S103FastReadObservationFixturePrepare.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S3FiniteNativeRunProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S48NtioCleanRebuildProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S83SpcKbdLifecycleProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S89CurrentCompositionNativeProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S93SourceBuiltNormalReturnFixturePrepare.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T198S94SourceBuiltNormalReturnNativeProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S14DirectCompositionProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S16DirectStartupPlanProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S21InitialStatePublicationProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S22EngineMachineStageProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S22MachineStageProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T200S27NativeCliProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T212S5MechanicalCancellationProbe.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T214S3CompositionOwnerFixture.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T220S5SourceCompositionClosure.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
tools/probe/Invoke-T225S6FourImageProfileFixture.ps1	historical-tool-or-probe	bochs	tracked	move to docs/etc/legacy_code or delete after report disposition	S4
