"edge_id"	"from_package"	"source_family"	"owner_boundary"	"reviewed_call_count"	"evidence"	"admission_rule"
"MVDM-T277-S8-EDGE-011"	"dos"	"session-controlled-termination"	"session -> adapter-bochs"	"24"	"dos/command/cmdconf.c:82; inc/softpc.h:132; dos/command/cmdconf.c:120; inc/softpc.h:132; dos/command/cmdconf.c:233; inc/softpc.h:132"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-012"	"dos"	"top-level-direct-device-error"	"opennt-mvdm-host nt_error -> adapter-win32 -> session"	"3"	"dos/dem/demdasd.c:145; inc/softpc.h:47; dos/dem/demdasd.c:456; inc/softpc.h:47; dos/dem/demioctl.c:206; inc/softpc.h:47"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-013"	"dpmi32"	"CRT-allocation"	"native CRT binding"	"3"	"dpmi32/dpmiselr.c:226; softpc.new/base/inc/standard.h:83; dpmi32/i386/dpmi386.c:87; softpc.new/base/inc/standard.h:83; dpmi32/xmem.c:97; softpc.new/base/inc/standard.h:83"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-014"	"dpmi32"	"DPMI-atomic-CPU-frame"	"adapter-softpc -> adapter-bochs"	"21"	"dpmi32/debug.c:62; inc/softpc.h:625; dpmi32/dpmiint.c:526; inc/softpc.h:625; dpmi32/dpmiint.c:529; inc/softpc.h:640"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-015"	"dpmi32"	"DPMI-bounded-machine-run"	"adapter-softpc -> adapter-bochs"	"1"	"dpmi32/buffer.c:326; softpc.new/host/inc/host.h:42"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-016"	"dpmi32"	"DPMI-IRET-hook-control"	"adapter-vdm-monitor -> adapter-softpc"	"2"	"dpmi32/dpmiselr.c:64; dpmi32/dpmidata.h:89; dpmi32/dpmiselr.c:65; dpmi32/dpmidata.h:88"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-017"	"dpmi32"	"DPMI-real-mode-transition"	"adapter-softpc -> adapter-bochs"	"1"	"dpmi32/i386/dpmi386.c:188; softpc.new/base/inc/bios.h:390"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-018"	"softpc.new"	"BOP-dispatch-control"	"adapter-bop -> opennt-mvdm-host; adapter-vdd successor for MS_bop_5"	"9"	"softpc.new/host/src/nt_bop.c:282; softpc.new/base/inc/bios.h:384; softpc.new/host/src/nt_bop.c:574; softpc.new/base/inc/bios.h:385; softpc.new/host/src/nt_bop.c:588; softpc.new/base/inc/bios.h:386"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-019"	"softpc.new"	"COMMAND-package-entry"	"opennt-mvdm-host COMMAND package"	"2"	"softpc.new/host/src/nt_msscs.c:44; inc/cmdsvc.h:89; softpc.new/host/src/nt_msscs.c:67; inc/cmdsvc.h:89"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-020"	"softpc.new"	"CRT-resource-helper"	"native CRT binding or original host helper"	"25"	"softpc.new/base/support/get_env.c:45; softpc.new/base/inc/standard.h:84; softpc.new/host/src/fprt.c:39; softpc.new/base/inc/standard.h:84; softpc.new/host/src/fprt.c:41; softpc.new/base/inc/standard.h:84"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-021"	"softpc.new"	"host-device-and-resource-endpoint"	"opennt-mvdm-host host provider -> adapter-win32; session owns resource records"	"16"	"softpc.new/host/src/nt_bop.c:625; inc/softpc.h:47; softpc.new/host/src/nt_emm.c:807; softpc.new/base/inc/timeval.h:64; softpc.new/host/src/nt_error.c:217; inc/softpc.h:47"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-022"	"softpc.new"	"machine-CPU-SAS-PIC-facade"	"adapter-softpc -> adapter-bochs"	"39"	"softpc.new/host/src/nt_bop.c:688; softpc.new/host/inc/monregs.h:107; softpc.new/host/src/nt_com.c:1308; softpc.new/base/inc/ica.h:117; softpc.new/host/src/nt_com.c:1310; softpc.new/base/inc/ica.h:118"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-023"	"softpc.new"	"monitor-debugger-VDD-boundary"	"adapter-vdm-monitor, adapter-debugger or adapter-vdd as selected by original branch"	"10"	"softpc.new/host/src/nt_bop.c:331; inc/dbgexp.h:16; softpc.new/host/src/nt_bop.c:336; inc/dbgexp.h:16; softpc.new/host/src/nt_eoi.c:136; softpc.new/host/inc/nt_eoi.h:47"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-024"	"softpc.new"	"mouse-display-console-endpoint"	"opennt-mvdm-host UI provider -> adapter-win32; session owns UI/session state"	"33"	"softpc.new/host/src/nt_event.c:463; softpc.new/host/inc/nt_graph.h:271; softpc.new/host/src/nt_event.c:573; softpc.new/host/inc/ntcheese.h:21; softpc.new/host/src/nt_event.c:592; softpc.new/host/inc/ntcheese.h:22"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-025"	"softpc.new"	"serial-host-endpoint"	"opennt-mvdm-host serial provider -> adapter-win32 and adapter-softpc -> adapter-bochs"	"36"	"softpc.new/host/src/nt_com.c:52; softpc.new/base/inc/host_com.h:201; softpc.new/host/src/nt_com.c:53; softpc.new/base/inc/host_com.h:202; softpc.new/host/src/nt_com.c:296; softpc.new/base/inc/host_com.h:200"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-026"	"softpc.new"	"session-stop-and-event"	"session -> adapter-win32; adapter-vdd successor where original hook is reached"	"27"	"softpc.new/host/src/nt_bop.c:181; inc/softpc.h:132; softpc.new/host/src/nt_bop.c:192; inc/softpc.h:132; softpc.new/host/src/nt_bop.c:202; inc/softpc.h:132"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-027"	"suballoc"	"CRT-allocation"	"native CRT binding"	"1"	"suballoc/suballoc.c:85; softpc.new/base/inc/standard.h:83"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-028"	"vdmredir"	"Redirector-CRT"	"native CRT binding"	"3"	"vdmredir/vrdebug.c:458; softpc.new/base/inc/standard.h:84; vdmredir/vrdebug.c:465; softpc.new/base/inc/standard.h:84; vdmredir/vrdll.c:103; softpc.new/base/inc/standard.h:84"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-029"	"vdmredir"	"Redirector-debug-output"	"adapter-redir -> adapter-debugger"	"1"	"vdmredir/vrdlcdbg.c:583; vdmredir/vrdebug.h:75"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-030"	"vdmredir"	"Redirector-guest-address-lease"	"adapter-redir -> adapter-softpc -> session guest_memory"	"1"	"vdmredir/vrdisp.c:171; inc/vdmredir.h:436"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-031"	"wow32"	"WOW-16-to-32-dispatch"	"adapter-wow -> adapter-softpc -> session guest_memory"	"1"	"wow32/wow32.c:953; inc/wowexp.h:15"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-032"	"wow32"	"WOW-bounded-machine-run"	"adapter-softpc -> adapter-bochs"	"4"	"wow32/wcall16.c:780; softpc.new/host/inc/host.h:42; wow32/wkman.c:879; softpc.new/host/inc/host.h:42; wow32/wkman.c:1184; softpc.new/host/inc/host.h:42"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-033"	"wow32"	"WOW-debugger-notification"	"adapter-wow -> adapter-debugger"	"3"	"wow32/wkman.c:1138; inc/dbgexp.h:17; wow32/wkman.c:1663; inc/dbgexp.h:18; wow32/wow32.c:1704; inc/dbgexp.h:19"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-034"	"wow32"	"WOW-media-debug"	"adapter-wow -> adapter-debugger"	"2"	"wow32/wmmstru1.c:1535; wow32/wmmedia.h:255; wow32/wmmstru1.c:1555; wow32/wmmedia.h:254"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-035"	"wow32"	"WOW-serial-endpoint"	"adapter-wow -> adapter-win32; session host_resource mapping"	"2"	"wow32/wucomm.c:2224; softpc.new/host/inc/nt_com.h:42; wow32/wucomm.c:2247; softpc.new/host/inc/nt_com.h:41"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-036"	"xms.486"	"CRT-allocation"	"native CRT binding"	"3"	"xms.486/xmsumb.c:53; softpc.new/base/inc/standard.h:83; xms.486/xmsumb.c:135; softpc.new/base/inc/standard.h:83; xms.486/xmsumb.c:172; softpc.new/base/inc/standard.h:83"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-037"	"xms.486"	"XMS-A20-and-state-byte"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"5"	"xms.486/xmsa20.c:49; softpc.new/base/inc/sas.h:214; xms.486/xmsa20.c:51; softpc.new/base/inc/sas.h:215; xms.486/xmsa20.c:61; softpc.new/base/inc/sas.h:214"	"source-form-reviewed only; no direct build edge inferred"
"MVDM-T277-S8-EDGE-038"	"xms.486"	"XMS-range-overwrite-notification"	"adapter-softpc -> adapter-bochs -> session guest_memory"	"1"	"xms.486/xmsblock.c:206; inc/softpc.h:539"	"source-form-reviewed only; no direct build edge inferred"
