candidate_id	caller_definition_id	caller_source_path	caller_source_sha256	caller_source_line	caller_symbol	callee_spelling	prior_semantic_disposition	resolution_outcome	definition_ids	definition_source_identities	final_disposition	final_owner	resolution_basis
"MVDM-FIRST-CANDIDATE-000011"	"MVDM-ZERO-DEFINITION-000124"	"dbg/dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"827"	"GPFault"	"SetErrorMode"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"admin/netui/common/hack/dos/windows.h:412;admin/netui/common/hack/dos/windows.h:417;base/crts/crtw32/h/stdlib.h:716;base/crts/libw32/include/stdlib.h:510;com/ole32/olethunk/ole16/inc/windows.h:464;com/ole32/olethunk/ole16/inc/windows.h:469;public/sdk/inc/crt/stdlib.h:510;public/sdk/inc/winbase.h:2251;sdktools/jetadmin/inc/stdlib.h:530;sdktools/jetadmin/inc/winbase.h:1959;sdktools/jetadmin/sdk/inc32/winbase.h:1775;sdktools/wap/base/baseapi.h:377"
"MVDM-FIRST-CANDIDATE-000012"	"MVDM-ZERO-DEFINITION-000133"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"68"	"cmdGetConfigSys"	"RtlInitAnsiString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12320;public/ddk/inc/ntddk.h:1277;public/halkit/inc/nthal.h:2726;public/ifskit/inc/ntifs.h:11544;public/sdk/inc/ntrtl.h:1620;windows/core/ntuser/client/cltxt.h:37"
"MVDM-FIRST-CANDIDATE-000013"	"MVDM-ZERO-DEFINITION-000133"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"69"	"cmdGetConfigSys"	"RtlAnsiStringToUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ndismain.h:2666;base/ntos/inc/ntsrv.h:12393;public/ddk/inc/ndis.h:5376;public/ddk/inc/ntddk.h:1340;public/halkit/inc/nthal.h:2865;public/ifskit/inc/ntifs.h:11617;public/sdk/inc/ntrtl.h:1759;windows/core/ntuser/client/cltxt.h:39"
"MVDM-FIRST-CANDIDATE-000014"	"MVDM-ZERO-DEFINITION-000133"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"74"	"cmdGetConfigSys"	"RtlUnicodeStringToOemString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12422;public/ifskit/inc/ntifs.h:11646;public/sdk/inc/ntrtl.h:1810"
"MVDM-FIRST-CANDIDATE-000015"	"MVDM-ZERO-DEFINITION-000133"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"77"	"cmdGetConfigSys"	"RtlFreeUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12549;public/ddk/inc/ntddk.h:1434;public/halkit/inc/nthal.h:2910;public/ifskit/inc/ntifs.h:11773;public/sdk/inc/ntrtl.h:1943"
"MVDM-FIRST-CANDIDATE-000016"	"MVDM-ZERO-DEFINITION-000134"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"105"	"cmdGetAutoexecBat"	"RtlInitAnsiString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12320;public/ddk/inc/ntddk.h:1277;public/halkit/inc/nthal.h:2726;public/ifskit/inc/ntifs.h:11544;public/sdk/inc/ntrtl.h:1620;windows/core/ntuser/client/cltxt.h:37"
"MVDM-FIRST-CANDIDATE-000017"	"MVDM-ZERO-DEFINITION-000134"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"106"	"cmdGetAutoexecBat"	"RtlAnsiStringToUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ndismain.h:2666;base/ntos/inc/ntsrv.h:12393;public/ddk/inc/ndis.h:5376;public/ddk/inc/ntddk.h:1340;public/halkit/inc/nthal.h:2865;public/ifskit/inc/ntifs.h:11617;public/sdk/inc/ntrtl.h:1759;windows/core/ntuser/client/cltxt.h:39"
"MVDM-FIRST-CANDIDATE-000018"	"MVDM-ZERO-DEFINITION-000134"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"111"	"cmdGetAutoexecBat"	"RtlUnicodeStringToOemString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12422;public/ifskit/inc/ntifs.h:11646;public/sdk/inc/ntrtl.h:1810"
"MVDM-FIRST-CANDIDATE-000019"	"MVDM-ZERO-DEFINITION-000134"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"114"	"cmdGetAutoexecBat"	"RtlFreeUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12549;public/ddk/inc/ntddk.h:1434;public/halkit/inc/nthal.h:2910;public/ifskit/inc/ntifs.h:11773;public/sdk/inc/ntrtl.h:1943"
"MVDM-FIRST-CANDIDATE-000020"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"210"	"ExpandConfigFiles"	"GetShortPathNameA"	"not-yet-classified-by-preceding-external-audit"	"public-modern-win32-binding"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public Win32 declaration/form retained; modern public Win32 binding is the intended non-invasive provider"
"MVDM-FIRST-CANDIDATE-000021"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"229"	"ExpandConfigFiles"	"GetFileSize"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/mapiwin.h:327;public/sdk/inc/winbase.h:2616;sdktools/jetadmin/inc/mapiwin.h:327;sdktools/jetadmin/inc/winbase.h:2296;sdktools/jetadmin/sdk/inc32/mapiwin.h:321;sdktools/jetadmin/sdk/inc32/winbase.h:2085;sdktools/wap/base/baseapi.h:162"
"MVDM-FIRST-CANDIDATE-000022"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"251"	"ExpandConfigFiles"	"cmdCreateTempFile"	"not-yet-classified-by-preceding-external-audit"	"exact-original-definition"	"MVDM-FIRST-DEFINITION-000002"	"base/mvdm/dos/command/cmdredir.c;nt/private/mvdm/dos/command/cmdredir.c:99@a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49"	"adapter-backed"	"mvdm-host (original MVDM mirror)"	"exact C/C++ definition candidate(s) parsed from approved original OpenNT source; no runtime selection is made"
"MVDM-FIRST-CANDIDATE-000023"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"262"	"ExpandConfigFiles"	"GetShortPathNameA"	"not-yet-classified-by-preceding-external-audit"	"public-modern-win32-binding"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public Win32 declaration/form retained; modern public Win32 binding is the intended non-invasive provider"
"MVDM-FIRST-CANDIDATE-000024"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"479"	"ExpandConfigFiles"	"strtoul"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/crts/crtw32/h/stdlib.h:641;base/crts/crtw32/h/tchar.h:541;base/crts/libw32/include/stdlib.h:440;base/crts/libw32/include/tchar.h:464;com/ole32/olethunk/ole16/inc/stdlib.h:198;com/ole32/olethunk/ole16/inc/tchar.h:301;com/oleaut32/typelib/ntstring.h:98;public/sdk/inc/crt/stdlib.h:440;public/sdk/inc/crt/tchar.h:464;sdktools/jetadmin/inc/stdlib.h:455;sdktools/jetadmin/inc/tchar.h:482;sdktools/vctools/contents/tchar.h:295;sdktools/wap/crtdll/crtapi.h:330"
"MVDM-FIRST-CANDIDATE-000025"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"485"	"ExpandConfigFiles"	"GetOEMCP"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/winnls.h:658;sdktools/jetadmin/inc/winnls.h:658;sdktools/jetadmin/sdk/inc32/winnls.h:640;sdktools/wap/base/baseapi.h:184;windows/core/ntuser/rtl/userrtl.h:151"
"MVDM-FIRST-CANDIDATE-000026"	"MVDM-ZERO-DEFINITION-000137"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"545"	"ExpandConfigFiles"	"SetEndOfFile"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/mapiwin.h:350;public/sdk/inc/winbase.h:2721;sdktools/jetadmin/inc/mapiwin.h:350;sdktools/jetadmin/inc/winbase.h:2362;sdktools/jetadmin/sdk/inc32/mapiwin.h:338;sdktools/jetadmin/sdk/inc32/winbase.h:2151;sdktools/wap/base/baseapi.h:374;windows/core/advapi/digsig/digsig/filest~1.h:66"
"MVDM-FIRST-CANDIDATE-000027"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"45"	"cmdXformEnvironment"	"GetEnvironmentStringsW"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/winbase.h:1901;public/sdk/inc/winbase.h:1906;sdktools/jetadmin/inc/winbase.h:1650;sdktools/jetadmin/inc/winbase.h:1655;sdktools/jetadmin/sdk/inc32/winbase.h:1550;sdktools/jetadmin/sdk/inc32/winbase.h:1555;sdktools/wap/base/baseapi.h:481"
"MVDM-FIRST-CANDIDATE-000028"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"64"	"cmdXformEnvironment"	"RtlCreateEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2402"
"MVDM-FIRST-CANDIDATE-000029"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"81"	"cmdXformEnvironment"	"wcschr"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"admin/netui/common/h/uinetlib.h:75;base/crts/libw32/include/string.h:219;base/crts/libw32/include/tchar.h:205;base/crts/libw32/include/wchar.h:591;com/ole32/ih/ole2com.h:239;com/ole32/olethunk/ole16/inc/tchar.h:157;com/ole32/stg/h/w4wchar.h:41;com/ole32/stg/ref/h/wchar.h:33;com/ole32/stg/wclib.obs/wcstr.h:26;com/oleaut32/dispatch/oledisp.h:213;com/oleaut32/typelib/ntstring.h:32;printscan/print/spooler/splsetup/local.h:48;public/internal/base/inc/tstr.h:126;public/internal/com/inc/olechar.h:60;public/internal/com/inc/olechar.h:69;public/sdk/inc/crt/string.h:219;public/sdk/inc/crt/tchar.h:205;public/sdk/inc/crt/wchar.h:591;windows/core/advapi/digsig/digsig/common.h:79;windows/core/advapi/digsig/softpub/common.h:516"
"MVDM-FIRST-CANDIDATE-000030"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"86"	"cmdXformEnvironment"	"RtlSetEnvironmentVariable"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2425"
"MVDM-FIRST-CANDIDATE-000031"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"88"	"cmdXformEnvironment"	"RtlDestroyEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2410"
"MVDM-FIRST-CANDIDATE-000032"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"97"	"cmdXformEnvironment"	"_wcsnicmp"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/crts/libw32/include/tchar.h:226;base/crts/libw32/include/tchar.h:227;base/crts/libw32/include/wchar.h:607;base/crts/libw32/include/wchar.h:630;com/ole32/olethunk/ole16/inc/tchar.h:173;com/ole32/olethunk/ole16/inc/tchar.h:185;public/internal/com/inc/olechar.h:63;public/sdk/inc/crt/string.h:235;public/sdk/inc/crt/string.h:258;public/sdk/inc/crt/tchar.h:226;public/sdk/inc/crt/tchar.h:227;public/sdk/inc/crt/wchar.h:607;public/sdk/inc/crt/wchar.h:630;sdktools/jetadmin/inc/string.h:235;sdktools/jetadmin/inc/string.h:258;sdktools/jetadmin/inc/tchar.h:236;sdktools/jetadmin/inc/tchar.h:237;sdktools/jetadmin/inc/wchar.h:685;sdktools/jetadmin/inc/wchar.h:708;sdktools/wap/crtdll/crtapi.h:180"
"MVDM-FIRST-CANDIDATE-000033"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"102"	"cmdXformEnvironment"	"RtlSetEnvironmentVariable"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2425"
"MVDM-FIRST-CANDIDATE-000034"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"107"	"cmdXformEnvironment"	"RtlDestroyEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2410"
"MVDM-FIRST-CANDIDATE-000035"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"125"	"cmdXformEnvironment"	"RtlInitString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ndismain.h:2664;base/ntos/inc/ntsrv.h:12312;ds/netapi/svcdlls/logonsrv/server/ssiinit.h:1003;ds/netapi/svcdlls/logonsrv/server/ssiinit.h:1004;ds/netapi/svcdlls/logonsrv/server/ssiinit.h:1005;ds/netapi/svcdlls/logonsrv/server/ssiinit.h:1006;public/ddk/inc/ndis.h:5374;public/ddk/inc/ntddk.h:1269;public/halkit/inc/nthal.h:2718;public/ifskit/inc/ntifs.h:11536;public/sdk/inc/ntrtl.h:1612"
"MVDM-FIRST-CANDIDATE-000036"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"135"	"cmdXformEnvironment"	"RtlOemStringToUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12413;public/ifskit/inc/ntifs.h:11637;public/sdk/inc/ntrtl.h:1801"
"MVDM-FIRST-CANDIDATE-000037"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"137"	"cmdXformEnvironment"	"RtlDestroyEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2410"
"MVDM-FIRST-CANDIDATE-000038"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"140"	"cmdXformEnvironment"	"wcschr"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"admin/netui/common/h/uinetlib.h:75;base/crts/libw32/include/string.h:219;base/crts/libw32/include/tchar.h:205;base/crts/libw32/include/wchar.h:591;com/ole32/ih/ole2com.h:239;com/ole32/olethunk/ole16/inc/tchar.h:157;com/ole32/stg/h/w4wchar.h:41;com/ole32/stg/ref/h/wchar.h:33;com/ole32/stg/wclib.obs/wcstr.h:26;com/oleaut32/dispatch/oledisp.h:213;com/oleaut32/typelib/ntstring.h:32;printscan/print/spooler/splsetup/local.h:48;public/internal/base/inc/tstr.h:126;public/internal/com/inc/olechar.h:60;public/internal/com/inc/olechar.h:69;public/sdk/inc/crt/string.h:219;public/sdk/inc/crt/tchar.h:205;public/sdk/inc/crt/wchar.h:591;windows/core/advapi/digsig/digsig/common.h:79;windows/core/advapi/digsig/softpub/common.h:516"
"MVDM-FIRST-CANDIDATE-000039"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"145"	"cmdXformEnvironment"	"RtlSetEnvironmentVariable"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2425"
"MVDM-FIRST-CANDIDATE-000040"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"146"	"cmdXformEnvironment"	"RtlFreeUnicodeString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ntsrv.h:12549;public/ddk/inc/ntddk.h:1434;public/halkit/inc/nthal.h:2910;public/ifskit/inc/ntifs.h:11773;public/sdk/inc/ntrtl.h:1943"
"MVDM-FIRST-CANDIDATE-000041"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"148"	"cmdXformEnvironment"	"RtlDestroyEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2410"
"MVDM-FIRST-CANDIDATE-000042"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"158"	"cmdXformEnvironment"	"RtlUnicodeStringToAnsiString"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"base/ntos/inc/ndismain.h:2667;base/ntos/inc/ntsrv.h:12403;public/ddk/inc/ndis.h:1091;public/ddk/inc/ndis.h:5377;public/ddk/inc/ntddk.h:1350;public/halkit/inc/nthal.h:2875;public/ifskit/inc/ntifs.h:11627;public/sdk/inc/ntrtl.h:1779"
"MVDM-FIRST-CANDIDATE-000043"	"MVDM-ZERO-DEFINITION-000141"	"dos/command/cmdenv.c"	"afc71d306491fe6a7f8cd7356b8682176a33a05f3652bae735be079b3cd0a32b"	"159"	"cmdXformEnvironment"	"RtlDestroyEnvironment"	"public-win32-or-crt-binding"	"public-modern-win32-crt-leaf"	""	""	"binding-only"	"adapter-mvdm-host-out/win32"	"public/sdk/inc/ntrtl.h:2410"
