"file_id"	"source_path"	"file_kind"	"original_literal_build_membership"	"original_role_group"	"provisional_component_owner"	"required_boundary_owner"	"lexical_external_families"	"original_contract_summary"	"provisional_disposition"	"state"	"evidence"
"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"source"	"observed-in-literal-sources"	"command-bootstrap-console"	"opennt-mvdm-host"	"session; adapter-win32; adapter-softpc; opennt-mvdm-support"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original startup, console and command-information orchestration; it is a cross-provider composition point"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdmisc.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0029"	"dos/command/cmdpif.c"	"source"	"observed-in-literal-sources"	"command-pif-policy"	"opennt-mvdm-host"	"adapter-win32; session; opennt-mvdm-support"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original PIF/environment policy reader; modern public binding must preserve PIF absence/failure semantics"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdpif.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0030"	"dos/command/cmdpif.h"	"declaration"	"not-a-translation-unit"	"command-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original COMMAND declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/command/cmdpif.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0031"	"dos/command/cmdredir.c"	"source"	"observed-in-literal-sources"	"command-redirection-pipes"	"opennt-mvdm-host"	"adapter-redir; adapter-win32; session; adapter-softpc"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-redir (redirector/pipe lexical surface); adapter-bop (BOP ABI lexical surface); session (VDM session/lifecycle lexical surface)"	"original standard-stream redirection and pipe control flow; Redirector ownership is a prerequisite"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/command/cmdredir.c; MVDM-BUILD-0007; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0032"	"dos/command/makefile"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-host"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original build description; source selection evidence only, not a modern build edge"	"build-description-only"	"provisional-not-enabled"	"dos/command/makefile; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0033"	"dos/command/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-host"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original build description; source selection evidence only, not a modern build edge"	"build-description-only"	"provisional-not-enabled"	"dos/command/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0034"	"dos/dem/dem.c"	"source"	"observed-in-literal-sources"	"dem-service-entry"	"opennt-mvdm-host"	"adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original DEM entry/configuration contract; retain source-owned service semantics"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/dem.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0035"	"dos/dem/dem.h"	"declaration"	"not-a-translation-unit"	"dem-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); opennt-mvdm-support (OEM/NLS lexical surface); adapter-bop (BOP ABI lexical surface)"	"original DEM declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/dem/dem.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0036"	"dos/dem/demdasd.c"	"source"	"observed-in-literal-sources"	"dem-raw-dasd"	"opennt-mvdm-host"	"adapter-softpc; adapter-bochs; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface)"	"original absolute disk/floppy control path; machine-media ownership must be proved before enablement"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demdasd.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0037"	"dos/dem/demdasd.h"	"declaration"	"not-a-translation-unit"	"dem-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original DEM declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/dem/demdasd.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0038"	"dos/dem/demdata.c"	"source"	"observed-in-literal-sources"	"dem-shared-state"	"opennt-mvdm-host"	"session; adapter-softpc"	"none detected in retained source text"	"original DEM global state and guest pointer data; recover only through session and same-shaped SoftPC facade"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demdata.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0039"	"dos/dem/demdir.c"	"source"	"observed-in-literal-sources"	"dem-directory-namespace"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original directory/current-drive provider; public host path binding must preserve DOS-facing error order"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demdir.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0040"	"dos/dem/demdisp.c"	"source"	"observed-in-literal-sources"	"dem-service-dispatch"	"opennt-mvdm-host"	"adapter-bop; adapter-softpc"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original DEM BOP dispatch and not-yet-implemented failure routing; selectors remain in source"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demdisp.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0041"	"dos/dem/demerror.c"	"source"	"observed-in-literal-sources"	"dem-hard-error-state"	"opennt-mvdm-host"	"adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface)"	"original hard-error state, guest register result and user-visible error ordering"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demerror.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0042"	"dos/dem/demfcb.c"	"source"	"observed-in-literal-sources"	"dem-fcb-filesystem"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); session (VDM session/lifecycle lexical surface)"	"original FCB filesystem provider; host handles and guest memory require their dedicated same-shaped adapters"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demfcb.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0043"	"dos/dem/demfile.c"	"source"	"observed-in-literal-sources"	"dem-handle-filesystem"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; adapter-redir; adapter-vdd; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-redir (redirector/pipe lexical surface); adapter-vdd (VDD lexical surface)"	"original DOS handle filesystem, pipe and VDD-aware provider; each external bridge remains separately owned"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demfile.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0044"	"dos/dem/demgset.c"	"source"	"observed-in-literal-sources"	"dem-drive-system-state"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); session (VDM session/lifecycle lexical surface)"	"original drive, date/time and system-state query/set provider"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demgset.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0045"	"dos/dem/demhndl.c"	"source"	"observed-in-literal-sources"	"dem-handle-lifecycle"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-redir (redirector/pipe lexical surface); session (VDM session/lifecycle lexical surface)"	"original DOS-handle lifecycle provider; opaque host identity mapping remains session-owned"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demhndl.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0046"	"dos/dem/demioctl.c"	"source"	"observed-in-literal-sources"	"dem-device-ioctl"	"opennt-mvdm-host"	"adapter-softpc; adapter-bochs; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface)"	"original IOCTL/provider path; raw device and BIOS-style branches require machine-media ownership proof"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demioctl.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0047"	"dos/dem/demlabel.c"	"source"	"observed-in-literal-sources"	"dem-volume-label"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); opennt-mvdm-support (OEM/NLS lexical surface)"	"original volume-label provider and DOS error mapping"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demlabel.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0048"	"dos/dem/demlock.c"	"source"	"observed-in-literal-sources"	"dem-file-locking"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original DOS file-lock provider; public host locking binding must retain source failure behavior"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demlock.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0049"	"dos/dem/demmisc.c"	"source"	"observed-in-literal-sources"	"dem-miscellaneous-state"	"opennt-mvdm-host"	"adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-vdd (VDD lexical surface); session (VDM session/lifecycle lexical surface)"	"original miscellaneous DEM state and guest/host conversion helpers"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demmisc.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0050"	"dos/dem/demmsg.c"	"source"	"observed-in-literal-sources"	"dem-message-catalog"	"opennt-mvdm-host"	"adapter-win32; session"	"none detected in retained source text"	"original DEM message/resource and diagnostic helper path"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demmsg.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0051"	"dos/dem/demmsg.h"	"declaration"	"not-a-translation-unit"	"dem-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"none detected in retained source text"	"original DEM declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/dem/demmsg.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0052"	"dos/dem/demsrch.c"	"source"	"observed-in-literal-sources"	"dem-search-namespace"	"opennt-mvdm-host"	"adapter-win32; adapter-softpc; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface); adapter-win32 (historical Win32/NTDLL lexical surface); adapter-vdd (VDD lexical surface); session (VDM session/lifecycle lexical surface)"	"original find-first/find-next namespace provider; guest DTA and host search state require declared mappings"	"package-led adapter/interface review"	"provisional-not-enabled"	"dos/dem/demsrch.c; MVDM-BUILD-0009; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0053"	"dos/dem/dosdef.h"	"declaration"	"not-a-translation-unit"	"dem-public-declaration"	"opennt-mvdm-host"	"opennt-mvdm-host; adapter-bop; adapter-softpc; adapter-win32; session"	"adapter-softpc (SoftPC/SAS/guest-state lexical surface)"	"original DEM declaration/data surface; preserve exact source shape before provider enablement"	"declaration-only"	"provisional-not-enabled"	"dos/dem/dosdef.h; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0054"	"dos/dem/makefile"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-host"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original build description; source selection evidence only, not a modern build edge"	"build-description-only"	"provisional-not-enabled"	"dos/dem/makefile; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0055"	"dos/dem/sources"	"resource-or-other"	"not-a-translation-unit"	"original-build-description"	"opennt-mvdm-host"	"opennt-mvdm-support; build governance"	"none (non-code metadata)"	"original build description; source selection evidence only, not a modern build edge"	"build-description-only"	"provisional-not-enabled"	"dos/dem/sources; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0056"	"dos/dirs"	"resource-or-other"	"not-a-translation-unit"	"original-build-directory-metadata"	"opennt-mvdm-support"	"opennt-mvdm-support"	"none (non-code metadata)"	"original build-tree metadata; exact mirror only, never a runtime input"	"metadata-only"	"provisional-not-enabled"	"dos/dirs; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
"MVDM-FILE-0057"	"dos/test/test.bat"	"resource-or-other"	"not-a-translation-unit"	"historical-package-test"	"opennt-mvdm-tools"	"none until an admitted test harness"	"none (non-code metadata)"	"historical test evidence; no product test or runtime inference"	"test-evidence-only"	"provisional-not-enabled"	"dos/test/test.bat; not-applicable; m0-t276-s2-translation-unit-build-ledger.tsv"
