"work_item_id"	"source_path"	"current_source_sha256"	"source_owner"	"final_disposition"	"implementation_group"	"final_owner_or_link_boundary"	"named_adapter"	"mapping_implication"	"inherited_evidence"	"admission_state"
"T285-MVDM-FILE-0051"	"dos/dem/demmsg.h"	"de14973d8c9a5ee9e76111c52b687f30321955eef623b79a01345cdd78942e43"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0052"	"dos/dem/demsrch.c"	"dbf451fac3e99b76eb7fb1cfb5ba6c5504efa95d98b47aabf10bc204ebb8a33b"	"original DEM provider package"	"adapter-backed"	"03-dem-namespace-file"	"mvdm-host original DEM provider -> adapter-mvdm-host-in -> adapter-mvdm-host-out/softpc -> adapter-bochs; host capability through adapter-mvdm-host-out/win32 and session"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"guest frames and pointer-shaped fields use the sole session guest-memory mapping-manager instance; host resources remain opaque mapped identities"	"T276 S13 DOS package and interface baselines: selected original DEM/COMMAND provider body"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0053"	"dos/dem/dosdef.h"	"171333c84027b71307192ec6aa0fcd0f8d8b829ec30b9703b59308c0dd7210c3"	"original DEM provider package"	"binding-only"	"00-declaration-carrier"	"opennt-platform-abi original DEM/COMMAND declaration surface shared by the source provider packages and same-shaped adapters"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-mvdm-host-out/win32; session; adapter-mvdm-host-out/redir where reached"	"reached pointer fields resolve through the appropriate one of the three session mapping-manager instances; no raw host identity is represented in guest fields"	"T276 S13 DOS package baseline: original declaration carrier"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0054"	"dos/dem/makefile"	"047a26e6fcfa2238cb3ad2c41d78c0a535727e3fb8c2624395f6fc40faf01439"	"original DEM provider package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S13 DOS package baseline: original build/test metadata only"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-0055"	"dos/dem/sources"	"3f29e2e85499831847f03fc91fd246c668c5bd7d1c20eed8724c9a873e22d818"	"original DEM provider package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original DOS package build, metadata or test evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S13 DOS package baseline: original build/test metadata only"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1222"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1223"	"softpc.new/host/src/copy_fnc.c"	"320d697e9969cf146d5b0f94813aa62b501b0eefeff31806b22d463912965518"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1224"	"softpc.new/host/src/cpucstbs.c"	"0e114c6368a616dc87cdf4311aff19d50283e38a51b3f0e3301cbc45487ddaeb"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1225"	"softpc.new/host/src/fprt.c"	"f7918f49be621c55f53c51c9ae6db756ff239768bb886b84fcfe39eeedb65424"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1226"	"softpc.new/host/src/makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original standalone SoftPC/NTVDM product build, resource or launch metadata; app owns the final product composition"	"none"	"no runtime mapping implication"	"T276 S12 original SoftPC host/app build-control evidence; no final host link input"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1227"	"softpc.new/host/src/makefile.inc"	"edb100e4744d39d208ef88e84a4c25cd4ce018bfb913c4754d6ed1ea3ab6386c"	"original SoftPC host-control package"	"binding-only"	"00-declaration-carrier"	"original SoftPC declaration surface retained for same-shaped adapter-mvdm-host-out/softpc or adapter-bochs binding; never a direct MVDM-to-Bochs object dependency"	"adapter-mvdm-host-out/softpc; adapter-bochs where a machine facade is reached"	"pointer-shaped MVDM fields bind only through the session mapping-manager rules; declaration inclusion alone does not establish an identity mapping"	"T276 S12 SoftPC original-subpackage and facade-interface baselines: declaration carrier, not a parallel machine executor"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1228"	"softpc.new/host/src/nt_aorc.c"	"7816128fbd968703f2f7b478b0992902f522f9c6853ca166eb69a904cd965061"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1229"	"softpc.new/host/src/nt_bop.c"	"f93960cfc3c31efffbbe08598ed5bee2eaf50c5416fa8bbf6034510ac5fd2821"	"original SoftPC host-control package"	"adapter-backed"	"01-bop-ingress-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1230"	"softpc.new/host/src/nt_cga.c"	"ef84222253b20092ab43505ea3232b3c1174833166ebb4880cb378880a967cc7"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1231"	"softpc.new/host/src/nt_com.c"	"56d39e89f2e077350ad07b77651224a0162314fced5abb498279b486f35afb32"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original host endpoint/control provider -> adapter-mvdm-host-out/win32 or adapter-mvdm-host-out/wow -> adapter-bochs typed device request; app supplies presentation policy"	"adapter-mvdm-host-out/win32; adapter-mvdm-host-out/wow where reached; adapter-bochs; session host-resource mapping manager"	"host handles/resources remain opaque session host-resource identities; Bochs receives only typed endpoint/device operations"	"T276 S12 device-bridge baseline: original host endpoint/provider body with named public capability and Bochs profile boundary"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1232"	"softpc.new/host/src/nt_cprgs.c"	"cbf9ee8a199d48ee74171b2e23d55bb1e5d019710fdea2a917762739d6a49044"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original alternate CPU, historical profile, virtual-FDC or debugger/product-shell evidence; no final host link input"	"none"	"not applicable to the final host runtime"	"T276 S12 source-span review: no final profile may reintroduce this second executor or unsupported historical product shell"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1233"	"softpc.new/host/src/nt_cpu.c"	"3f77f06e497854b00f58acde8bfe7b5e67af7c5e67174deb579cd76e13f5830f"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-mvdm-host-out/softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-mvdm-host-out/softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-mvdm-host-out/monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1234"	"softpc.new/host/src/nt_det.c"	"c58d15d58672440bf94e015f61a10b43311e601ae150dae5b1559f2399f9dadc"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1235"	"softpc.new/host/src/nt_ega.c"	"ebc58583cec7e257a997185a1ab83f3284dbd1efe6e06c99f680bcce93dca695"	"original SoftPC host-control package"	"not-host-runtime"	"99-excluded-historical-product"	"retained original SoftPC native device/executor evidence; Bochs is the sole final video, FDC/DMA, PIT/PIC or PPI/sound owner"	"none"	"no MVDM identity mapping is permitted into a parallel machine implementation"	"T276 S12 device-bridge baseline: original device execution is a Bochs-replacement exclusion"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1236"	"softpc.new/host/src/nt_emm.c"	"d51310af362e60023feb59c89afb21ff6fae8e1bb74ae8614231f4ec3a001729"	"original SoftPC host-control package"	"overlay-required"	"05-machine-transport-overlay"	"original SoftPC control algorithm with a narrow same-shaped adapter-mvdm-host-out/softpc/adapter-bochs overlay; Bochs remains sole CPU/RAM/physical-page owner"	"adapter-mvdm-host-out/softpc; adapter-bochs; session guest-memory and host-resource mapping managers; adapter-mvdm-host-out/monitor where reached"	"all historical 32-bit pointer-shaped values resolve via checked session mappings and typed machine requests; raw host addresses cannot enter the mirror body"	"T276 S12 SoftPC/SAS facade baseline: original useful control algorithm mixed with non-reusable executor or direct-address transport"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1237"	"softpc.new/host/src/nt_eoi.c"	"f6a898050e894de0a2c17d11ecf502b0d13ed4c2d58766175063ca0246ec2db5"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1238"	"softpc.new/host/src/nt_error.c"	"3305eaabac76e039dfe80aa0f2e15c48433edd95a74615e5db55b97d2b393228"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
"T285-MVDM-FILE-1239"	"softpc.new/host/src/nt_ertbl.c"	"3a41bbce47258534e4375615a960048a97143a2353aa5946de13c8f870dc572f"	"original SoftPC host-control package"	"adapter-backed"	"04-host-capability-control"	"mvdm-host original monitor, BOP, session, host-capability, configuration, VDD or error provider -> named adapters and session; Bochs receives only typed mechanical requests"	"adapter-mvdm-host-in; adapter-mvdm-host-out/softpc; adapter-bochs; adapter-mvdm-host-out/win32; adapter-mvdm-host-out/monitor; adapter-mvdm-host-out/vdd; session as reached"	"guest data uses only session guest-memory mapping; callbacks/resources use the session completion or host-resource instance, never native identity in MVDM fields"	"T276 S12 monitor/session, Win32 capability and BOP/VDD/debugger source-span owner baselines"	"T285-S1-current-path-verified; implementation-not-enabled"
